date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,72.15,73.15,70.1,73.1,29742
2015-02-02 10:15:00+05:30,73.1,73.75,73.05,73.5,41160
2015-02-02 11:15:00+05:30,73.5,73.65,72.75,73.4,14544
2015-02-02 12:15:00+05:30,73.4,74.2,73.15,74.1,26140
2015-02-02 13:15:00+05:30,74.1,75.0,73.85,74.7,83202
2015-02-02 14:15:00+05:30,74.75,74.95,73.55,74.2,23964
2015-02-02 15:15:00+05:30,74.2,74.75,74.0,74.05,15362
2015-02-03 09:15:00+05:30,74.85,76.75,74.85,75.9,72312
2015-02-03 10:15:00+05:30,75.75,76.85,75.45,76.6,35390
2015-02-03 11:15:00+05:30,76.6,76.7,75.5,76.3,26400
2015-02-03 12:15:00+05:30,76.3,77.0,76.3,77.0,23286
2015-02-03 13:15:00+05:30,77.05,77.45,76.3,76.55,62062
2015-02-03 14:15:00+05:30,76.55,77.1,76.05,76.4,33140
2015-02-03 15:15:00+05:30,76.4,76.7,76.05,76.7,13546
2015-02-04 09:15:00+05:30,76.95,76.95,74.6,74.75,18518
2015-02-04 10:15:00+05:30,74.75,75.2,74.5,75.0,6376
2015-02-04 11:15:00+05:30,75.0,75.95,75.0,75.65,6426
2015-02-04 12:15:00+05:30,75.7,75.95,75.55,75.75,5170
2015-02-04 13:15:00+05:30,75.75,75.85,75.0,75.55,7104
2015-02-04 14:15:00+05:30,75.55,75.8,75.0,75.25,5294
2015-02-04 15:15:00+05:30,75.25,75.45,74.75,74.8,6180
2015-02-05 09:15:00+05:30,74.0,75.85,74.0,74.9,17702
2015-02-05 10:15:00+05:30,74.9,75.7,74.8,75.35,7640
2015-02-05 11:15:00+05:30,75.35,75.5,74.85,74.85,3700
2015-02-05 12:15:00+05:30,74.85,75.0,74.7,74.95,5150
2015-02-05 13:15:00+05:30,74.95,75.45,74.95,75.45,9358
2015-02-05 14:15:00+05:30,75.1,75.5,72.7,73.25,17386
2015-02-05 15:15:00+05:30,73.3,73.45,72.35,73.45,8916
2015-02-06 09:15:00+05:30,73.75,74.5,72.55,73.65,10702
2015-02-06 10:15:00+05:30,73.65,73.65,71.55,72.35,8992
2015-02-06 11:15:00+05:30,72.35,73.3,72.35,72.5,7742
2015-02-06 12:15:00+05:30,72.5,73.15,72.5,72.75,7446
2015-02-06 13:15:00+05:30,72.75,73.1,72.0,72.25,3730
2015-02-06 14:15:00+05:30,72.25,73.3,72.0,73.25,10818
2015-02-06 15:15:00+05:30,73.25,73.3,72.75,73.2,5306
2015-02-09 09:15:00+05:30,73.6,73.6,69.8,71.0,32390
2015-02-09 10:15:00+05:30,71.0,72.45,70.5,71.65,10226
2015-02-09 11:15:00+05:30,71.65,72.45,71.6,72.0,9134
2015-02-09 12:15:00+05:30,72.1,72.45,71.8,71.8,2714
2015-02-09 13:15:00+05:30,71.8,72.25,71.75,71.75,2772
2015-02-09 14:15:00+05:30,71.75,72.2,70.45,70.95,11950
2015-02-09 15:15:00+05:30,70.95,72.0,70.5,72.0,8650
2015-02-10 09:15:00+05:30,70.85,71.75,69.5,71.65,18964
2015-02-10 10:15:00+05:30,71.65,71.95,71.35,71.5,9640
2015-02-10 11:15:00+05:30,71.4,71.7,71.1,71.45,77602
2015-02-10 12:15:00+05:30,71.45,71.45,70.75,71.0,42062
2015-02-10 13:15:00+05:30,71.0,71.15,70.85,70.85,14480
2015-02-10 14:15:00+05:30,70.85,71.15,70.6,70.75,84476
2015-02-10 15:15:00+05:30,70.75,71.25,70.35,70.35,58770
2015-02-11 09:15:00+05:30,71.25,71.85,71.0,71.7,6218
2015-02-11 10:15:00+05:30,71.7,72.85,71.5,72.5,11584
2015-02-11 11:15:00+05:30,72.5,72.8,71.25,71.65,21932
2015-02-11 12:15:00+05:30,71.65,71.9,71.25,71.75,3136
2015-02-11 13:15:00+05:30,71.75,71.9,71.25,71.65,1808
2015-02-11 14:15:00+05:30,71.5,73.5,71.4,72.35,11536
2015-02-11 15:15:00+05:30,72.35,73.75,72.35,73.75,9888
2015-02-12 09:15:00+05:30,73.75,73.95,72.55,73.45,10082
2015-02-12 10:15:00+05:30,73.45,73.45,73.05,73.45,4378
2015-02-12 11:15:00+05:30,73.45,75.25,73.3,75.0,26070
2015-02-12 12:15:00+05:30,75.0,75.25,74.75,75.0,22414
2015-02-12 13:15:00+05:30,75.0,75.7,74.75,75.4,51470
2015-02-12 14:15:00+05:30,75.4,76.25,75.25,76.2,99256
2015-02-12 15:15:00+05:30,76.2,76.7,75.75,75.75,32956
2015-02-13 09:15:00+05:30,76.25,76.25,74.55,74.7,36344
2015-02-13 10:15:00+05:30,74.7,75.0,73.6,74.45,235860
2015-02-13 11:15:00+05:30,74.45,74.6,74.05,74.45,12402
2015-02-13 12:15:00+05:30,74.45,74.85,73.75,74.0,50892
2015-02-13 13:15:00+05:30,74.0,74.45,73.8,74.45,10810
2015-02-13 14:15:00+05:30,74.45,74.65,73.75,74.0,39442
2015-02-13 15:15:00+05:30,74.0,74.0,73.25,73.5,6880
2015-02-16 09:15:00+05:30,73.5,73.5,72.5,73.15,8602
2015-02-16 10:15:00+05:30,73.15,73.25,72.75,72.95,3626
2015-02-16 11:15:00+05:30,72.95,72.95,71.75,71.75,19930
2015-02-16 12:15:00+05:30,71.75,71.85,71.05,71.4,18830
2015-02-16 13:15:00+05:30,71.5,71.6,70.4,71.55,21056
2015-02-16 14:15:00+05:30,71.55,71.75,71.0,71.25,8908
2015-02-16 15:15:00+05:30,71.25,71.5,70.3,70.3,8260
2015-02-18 09:15:00+05:30,71.0,71.2,70.75,70.9,7912
2015-02-18 10:15:00+05:30,70.9,71.7,70.75,71.25,12632
2015-02-18 11:15:00+05:30,71.25,71.5,70.9,71.25,3100
2015-02-18 12:15:00+05:30,71.25,71.25,69.9,69.9,18136
2015-02-18 13:15:00+05:30,69.9,70.3,68.5,68.75,32178
2015-02-18 14:15:00+05:30,68.75,69.25,68.15,68.9,50736
2015-02-18 15:15:00+05:30,68.9,69.0,68.75,69.0,17990
2015-02-19 09:15:00+05:30,69.0,69.75,67.5,67.95,14872
2015-02-19 10:15:00+05:30,67.95,67.95,67.25,67.7,11404
2015-02-19 11:15:00+05:30,67.7,67.7,66.75,67.15,13522
2015-02-19 12:15:00+05:30,67.15,67.15,66.75,66.95,14228
2015-02-19 13:15:00+05:30,66.95,67.5,66.85,67.0,13000
2015-02-19 14:15:00+05:30,67.0,67.75,66.85,67.25,33166
2015-02-19 15:15:00+05:30,67.25,67.75,67.15,67.25,3774
2015-02-20 09:15:00+05:30,68.1,72.9,67.75,71.8,66934
2015-02-20 10:15:00+05:30,71.8,71.95,71.25,71.7,15074
2015-02-20 11:15:00+05:30,71.5,71.7,70.85,71.1,45580
2015-02-20 12:15:00+05:30,71.1,71.35,70.85,70.95,24338
2015-02-20 13:15:00+05:30,70.95,71.0,70.8,70.85,9410
2015-02-20 14:15:00+05:30,70.85,71.25,70.8,70.85,18126
2015-02-20 15:15:00+05:30,70.85,71.15,70.4,70.75,48952
2015-02-23 09:15:00+05:30,71.25,71.45,70.75,71.25,7712
2015-02-23 10:15:00+05:30,71.25,71.45,70.55,70.6,3904
2015-02-23 11:15:00+05:30,70.75,70.95,70.5,70.95,2694
2015-02-23 12:15:00+05:30,70.95,70.95,68.9,69.2,16110
2015-02-23 13:15:00+05:30,69.2,70.0,69.2,69.75,8368
2015-02-23 14:15:00+05:30,69.75,70.0,68.25,68.25,32870
2015-02-23 15:15:00+05:30,68.25,68.7,67.55,67.9,20942
2015-02-24 09:15:00+05:30,68.75,68.75,66.75,68.5,16564
2015-02-24 10:15:00+05:30,68.5,68.55,68.25,68.25,5978
2015-02-24 11:15:00+05:30,68.25,68.7,68.15,68.15,5906
2015-02-24 12:15:00+05:30,68.25,68.5,68.25,68.45,2698
2015-02-24 13:15:00+05:30,68.45,68.65,68.15,68.3,4520
2015-02-24 14:15:00+05:30,68.3,68.55,68.1,68.55,10756
2015-02-24 15:15:00+05:30,68.55,68.6,68.3,68.6,3736
2015-02-25 09:15:00+05:30,68.5,71.35,68.5,70.9,14908
2015-02-25 10:15:00+05:30,70.9,73.2,70.6,73.0,194948
2015-02-25 11:15:00+05:30,73.0,74.9,73.0,74.25,194174
2015-02-25 12:15:00+05:30,73.9,76.0,73.9,75.45,329324
2015-02-25 13:15:00+05:30,75.35,77.35,74.5,75.5,602662
2015-02-25 14:15:00+05:30,75.4,76.5,74.65,75.0,259992
2015-02-25 15:15:00+05:30,75.0,75.55,74.05,74.8,103142
2015-02-26 09:15:00+05:30,75.7,76.2,73.1,74.05,102286
2015-02-26 10:15:00+05:30,74.05,74.2,73.35,73.5,21264
2015-02-26 11:15:00+05:30,73.5,74.1,73.45,74.1,10590
2015-02-26 12:15:00+05:30,74.05,74.05,73.25,73.25,11826
2015-02-26 13:15:00+05:30,73.25,73.5,72.75,72.9,17244
2015-02-26 14:15:00+05:30,72.9,73.5,72.5,73.05,26616
2015-02-26 15:15:00+05:30,73.05,73.4,72.5,73.0,17402
2015-02-27 09:15:00+05:30,73.0,73.0,71.55,72.15,33194
2015-02-27 10:15:00+05:30,72.15,72.95,72.0,72.45,13834
2015-02-27 11:15:00+05:30,72.45,72.8,72.15,72.15,5272
2015-02-27 12:15:00+05:30,72.15,72.9,72.05,72.45,13004
2015-02-27 13:15:00+05:30,72.45,72.75,72.0,72.6,8324
2015-02-27 14:15:00+05:30,72.6,72.75,72.25,72.6,11926
2015-02-27 15:15:00+05:30,72.6,73.0,72.25,72.6,9776
2015-02-28 09:15:00+05:30,73.0,74.75,71.75,73.75,38700
2015-02-28 10:15:00+05:30,73.7,73.75,72.5,73.2,13468
