date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,109.0,111.95,108.5,111.0,11769
2015-01-02 00:00:00+05:30,109.35,123.85,109.1,119.1,44996
2015-01-05 00:00:00+05:30,124.9,127.9,122.0,123.15,30027
2015-01-06 00:00:00+05:30,124.0,127.9,119.5,120.65,26893
2015-01-07 00:00:00+05:30,120.5,127.0,120.5,124.45,18083
2015-01-08 00:00:00+05:30,130.0,137.85,127.8,133.94,40088
2015-01-09 00:00:00+05:30,135.44,139.0,133.0,134.94,31425
2015-01-12 00:00:00+05:30,142.0,142.0,135.05,138.65,30484
2015-01-13 00:00:00+05:30,139.0,140.75,134.75,138.69,60307
2015-01-14 00:00:00+05:30,138.0,144.4,136.8,139.75,70183
2015-01-15 00:00:00+05:30,141.25,142.44,138.44,139.44,61516
2015-01-16 00:00:00+05:30,140.1,141.0,137.25,139.1,45008
2015-01-19 00:00:00+05:30,140.0,143.94,136.8,139.4,59878
2015-01-20 00:00:00+05:30,140.5,143.0,138.75,140.55,20906
2015-01-21 00:00:00+05:30,142.69,142.69,138.75,139.3,10133
2015-01-22 00:00:00+05:30,149.94,149.94,137.85,138.0,5041
2015-01-23 00:00:00+05:30,143.55,150.0,133.75,136.9,193431
2015-01-27 00:00:00+05:30,140.94,155.0,134.25,140.25,122389
2015-01-28 00:00:00+05:30,143.94,143.94,134.1,137.5,86499
2015-01-29 00:00:00+05:30,138.0,138.94,134.55,135.9,9503
2015-01-30 00:00:00+05:30,136.5,138.0,134.6,135.65,10872
2015-02-02 00:00:00+05:30,136.0,138.0,130.75,131.85,22307
2015-02-03 00:00:00+05:30,132.1,133.9,128.0,130.15,38449
2015-02-04 00:00:00+05:30,130.25,131.9,126.5,127.35,22691
2015-02-05 00:00:00+05:30,130.85,130.85,126.9,128.25,22868
2015-02-06 00:00:00+05:30,129.19,131.9,127.3,127.55,21291
2015-02-09 00:00:00+05:30,128.9,146.0,125.1,127.6,9849
2015-02-10 00:00:00+05:30,127.9,134.8,125.15,126.25,9592
2015-02-11 00:00:00+05:30,127.0,130.4,125.5,128.19,9525
2015-02-12 00:00:00+05:30,134.75,134.75,126.3,127.65,40241
2015-02-13 00:00:00+05:30,128.55,131.5,125.7,126.75,18329
2015-02-16 00:00:00+05:30,127.1,133.6,125.5,126.15,17000
2015-02-18 00:00:00+05:30,128.35,128.35,124.8,125.6,12273
2015-02-19 00:00:00+05:30,125.5,127.0,124.0,125.2,11330
2015-02-20 00:00:00+05:30,126.25,126.25,120.0,124.05,34601
2015-02-23 00:00:00+05:30,125.5,127.2,123.95,124.55,20102
2015-02-24 00:00:00+05:30,125.0,127.85,117.5,125.4,26674
2015-02-25 00:00:00+05:30,129.5,129.5,124.8,126.2,24934
2015-02-26 00:00:00+05:30,127.7,127.7,125.05,125.75,20356
2015-02-27 00:00:00+05:30,129.8,129.8,123.0,124.6,20657
2015-03-02 00:00:00+05:30,126.1,128.8,123.9,124.4,13785
2015-03-03 00:00:00+05:30,126.8,126.8,122.75,123.5,22327
2015-03-04 00:00:00+05:30,126.85,126.85,122.8,123.2,22865
2015-03-05 00:00:00+05:30,126.0,126.0,122.0,122.6,24868
2015-03-09 00:00:00+05:30,126.9,126.9,119.5,120.9,23272
2015-03-10 00:00:00+05:30,122.3,124.3,121.2,121.5,12690
2015-03-11 00:00:00+05:30,123.05,123.1,120.0,120.5,18772
2015-03-12 00:00:00+05:30,122.1,123.0,120.05,120.95,15877
2015-03-13 00:00:00+05:30,122.5,122.5,119.45,120.2,29693
2015-03-16 00:00:00+05:30,121.05,121.55,117.5,117.85,19371
2015-03-17 00:00:00+05:30,118.3,121.0,114.85,116.35,27875
2015-03-18 00:00:00+05:30,118.5,120.0,115.2,117.2,16552
2015-03-19 00:00:00+05:30,118.8,118.8,115.0,116.25,27425
2015-03-20 00:00:00+05:30,117.0,117.5,113.75,114.75,22711
2015-03-23 00:00:00+05:30,117.0,117.0,109.95,110.75,19155
2015-03-24 00:00:00+05:30,111.5,113.9,98.65,100.8,43153
2015-03-25 00:00:00+05:30,109.0,109.0,96.5,98.0,10467
2015-03-26 00:00:00+05:30,99.0,103.8,94.75,98.05,34154
2015-03-27 00:00:00+05:30,103.95,103.95,88.0,88.9,38602
2015-03-30 00:00:00+05:30,93.0,99.95,89.8,90.95,15467
2015-03-31 00:00:00+05:30,92.5,93.5,86.5,91.75,6680
2015-04-01 00:00:00+05:30,95.0,100.0,87.25,97.45,14387
2015-04-06 00:00:00+05:30,107.9,110.7,97.05,107.4,6184
2015-04-07 00:00:00+05:30,112.0,115.15,108.0,110.7,1754
2015-04-08 00:00:00+05:30,110.8,114.75,110.0,111.6,12030
2015-04-09 00:00:00+05:30,116.9,116.9,111.5,114.7,2178
2015-04-10 00:00:00+05:30,113.05,113.9,110.75,111.85,1603
2015-04-13 00:00:00+05:30,111.85,113.85,109.0,110.45,2476
2015-04-15 00:00:00+05:30,113.0,113.0,108.6,109.9,3099
2015-04-16 00:00:00+05:30,110.0,119.65,108.0,115.1,11436
2015-04-17 00:00:00+05:30,122.9,122.9,111.0,114.45,16305
2015-04-20 00:00:00+05:30,114.5,116.9,111.0,114.35,6811
2015-04-21 00:00:00+05:30,114.5,117.8,105.3,108.65,13823
2015-04-22 00:00:00+05:30,109.1,113.5,107.8,110.55,2052
2015-04-23 00:00:00+05:30,111.1,112.05,106.15,108.4,3881
2015-04-24 00:00:00+05:30,109.0,110.0,102.0,103.7,3150
2015-04-27 00:00:00+05:30,104.5,109.95,97.5,98.95,5449
2015-04-28 00:00:00+05:30,99.1,110.0,95.05,95.85,3228
2015-04-29 00:00:00+05:30,99.75,101.95,95.0,99.55,10722
2015-04-30 00:00:00+05:30,100.0,101.95,97.8,99.25,9384
2015-05-04 00:00:00+05:30,99.3,100.35,97.5,98.85,3849
2015-05-05 00:00:00+05:30,99.0,104.0,95.8,98.3,3177
2015-05-06 00:00:00+05:30,101.0,102.0,95.7,96.75,3273
2015-05-07 00:00:00+05:30,98.5,100.0,89.0,90.75,12237
2015-05-08 00:00:00+05:30,94.45,97.7,90.9,92.1,1213
2015-05-11 00:00:00+05:30,93.0,94.0,91.75,92.05,2246
2015-05-12 00:00:00+05:30,92.45,93.9,89.5,91.5,4467
2015-05-13 00:00:00+05:30,91.75,94.8,90.6,94.35,1041
2015-05-14 00:00:00+05:30,94.0,96.5,91.0,95.1,6823
2015-05-15 00:00:00+05:30,95.3,100.4,93.0,93.85,11893
2015-05-18 00:00:00+05:30,96.0,96.95,94.8,96.05,4478
2015-05-19 00:00:00+05:30,96.0,96.95,95.2,95.8,294
2015-05-20 00:00:00+05:30,96.0,97.0,92.0,92.7,8070
2015-05-21 00:00:00+05:30,93.75,94.75,89.0,90.65,4364
2015-05-22 00:00:00+05:30,92.0,92.0,89.0,90.1,7511
2015-05-25 00:00:00+05:30,91.8,93.95,89.95,91.35,1169
2015-05-26 00:00:00+05:30,91.5,94.2,90.0,92.95,2926
2015-05-27 00:00:00+05:30,93.2,102.8,93.2,100.9,4876
2015-05-28 00:00:00+05:30,101.0,107.0,96.65,103.35,6055
2015-05-29 00:00:00+05:30,103.85,103.9,98.9,102.4,4104
2015-06-01 00:00:00+05:30,105.0,105.0,97.5,98.75,3257
2015-06-02 00:00:00+05:30,99.4,106.6,99.4,104.35,11822
2015-06-03 00:00:00+05:30,104.5,104.5,99.1,100.3,14161
2015-06-04 00:00:00+05:30,100.4,106.95,100.0,102.6,2454
2015-06-05 00:00:00+05:30,101.25,105.95,100.0,101.7,4743
2015-06-08 00:00:00+05:30,102.05,102.05,99.25,99.65,5797
2015-06-09 00:00:00+05:30,100.1,104.0,99.4,102.3,10396
2015-06-10 00:00:00+05:30,102.3,103.0,100.0,101.6,13417
2015-06-11 00:00:00+05:30,101.9,102.6,98.8,99.1,3087
2015-06-12 00:00:00+05:30,100.0,103.95,98.5,99.6,1103
2015-06-15 00:00:00+05:30,100.0,101.95,99.0,100.2,22030
2015-06-16 00:00:00+05:30,101.5,101.5,99.4,99.5,408
2015-06-17 00:00:00+05:30,101.2,102.0,98.8,99.75,3892
2015-06-18 00:00:00+05:30,100.2,103.5,99.1,101.85,1329
2015-06-19 00:00:00+05:30,102.0,102.0,99.5,100.5,3100
2015-06-22 00:00:00+05:30,101.0,102.0,100.0,100.35,6323
2015-06-23 00:00:00+05:30,100.4,100.75,97.9,99.6,5314
2015-06-24 00:00:00+05:30,101.0,101.0,98.5,98.8,1697
2015-06-25 00:00:00+05:30,99.25,103.95,97.75,99.75,4413
2015-06-26 00:00:00+05:30,100.5,102.0,98.9,101.65,8764
2015-06-29 00:00:00+05:30,99.4,104.0,98.0,101.55,6110
2015-06-30 00:00:00+05:30,102.0,102.0,98.0,98.75,7605
2015-07-01 00:00:00+05:30,101.0,104.7,98.5,101.25,1440
2015-07-02 00:00:00+05:30,104.95,104.95,102.25,103.6,1260
2015-07-03 00:00:00+05:30,104.6,104.9,103.0,104.0,7838
2015-07-06 00:00:00+05:30,102.0,104.9,99.0,104.1,5645
2015-07-07 00:00:00+05:30,105.0,106.0,100.0,101.5,4013
2015-07-08 00:00:00+05:30,100.0,107.0,99.0,99.2,1481
2015-07-09 00:00:00+05:30,102.0,104.9,99.0,99.15,4864
2015-07-10 00:00:00+05:30,100.0,103.9,99.0,100.0,2805
2015-07-13 00:00:00+05:30,100.0,104.4,99.0,103.95,6477
2015-07-14 00:00:00+05:30,101.0,110.0,100.5,104.05,7248
2015-07-15 00:00:00+05:30,114.95,114.95,102.5,103.1,4121
2015-07-16 00:00:00+05:30,111.5,111.5,99.0,99.95,8376
2015-07-17 00:00:00+05:30,100.25,101.0,99.85,99.85,3277
2015-07-20 00:00:00+05:30,100.0,100.5,99.5,100.5,129
2015-07-21 00:00:00+05:30,102.95,108.9,100.5,106.2,6250
2015-07-22 00:00:00+05:30,104.0,107.7,99.1,100.05,19860
2015-07-23 00:00:00+05:30,104.5,104.5,99.75,100.0,5755
2015-07-24 00:00:00+05:30,100.0,103.9,99.75,100.0,3692
2015-07-27 00:00:00+05:30,100.0,101.1,97.5,98.15,3278
2015-07-28 00:00:00+05:30,100.85,103.95,96.0,98.75,4166
2015-07-29 00:00:00+05:30,100.0,100.0,98.0,99.8,14984
2015-07-30 00:00:00+05:30,100.0,103.0,97.75,98.1,2914
2015-07-31 00:00:00+05:30,100.0,100.0,97.0,97.15,6779
2015-08-03 00:00:00+05:30,99.95,100.5,98.5,98.5,5527
2015-08-04 00:00:00+05:30,99.0,100.0,98.0,98.2,959
2015-08-05 00:00:00+05:30,98.6,103.0,98.6,100.9,22725
2015-08-06 00:00:00+05:30,101.0,121.05,101.0,121.05,36742
2015-08-07 00:00:00+05:30,131.5,136.5,125.4,127.8,48478
2015-08-10 00:00:00+05:30,130.0,131.05,120.1,123.55,7423
2015-08-11 00:00:00+05:30,130.0,130.0,115.0,120.05,13045
2015-08-12 00:00:00+05:30,120.1,120.1,114.75,117.1,3694
2015-08-13 00:00:00+05:30,117.15,117.15,107.5,114.4,13498
2015-08-14 00:00:00+05:30,114.5,115.55,108.45,113.75,9397
2015-08-17 00:00:00+05:30,122.4,132.94,115.4,117.75,12787
2015-08-18 00:00:00+05:30,120.0,126.45,117.0,117.15,1918
2015-08-19 00:00:00+05:30,118.0,125.9,115.25,116.3,3509
2015-08-20 00:00:00+05:30,119.95,122.95,115.0,117.5,6261
2015-08-21 00:00:00+05:30,117.5,119.0,114.25,117.85,2272
2015-08-24 00:00:00+05:30,124.95,124.95,99.75,100.5,9594
2015-08-25 00:00:00+05:30,109.0,109.0,100.0,102.7,6226
2015-08-26 00:00:00+05:30,103.6,105.9,98.75,100.3,3412
2015-08-27 00:00:00+05:30,103.0,108.5,99.5,102.1,2379
2015-08-28 00:00:00+05:30,103.9,115.0,103.7,104.35,12022
2015-08-31 00:00:00+05:30,105.0,112.5,104.5,109.0,8556
2015-09-01 00:00:00+05:30,113.0,113.0,100.6,102.8,18919
2015-09-02 00:00:00+05:30,103.2,107.0,102.0,102.05,3351
2015-09-03 00:00:00+05:30,104.0,105.0,100.1,103.0,4010
2015-09-04 00:00:00+05:30,103.5,105.8,103.0,103.0,8945
2015-09-07 00:00:00+05:30,104.0,108.8,103.0,103.2,15307
2015-09-08 00:00:00+05:30,103.3,109.5,98.1,100.65,5415
2015-09-09 00:00:00+05:30,103.0,106.95,100.1,102.55,543
2015-09-10 00:00:00+05:30,103.0,103.0,100.0,101.05,1787
2015-09-11 00:00:00+05:30,103.0,106.0,101.05,104.15,2243
2015-09-14 00:00:00+05:30,104.2,108.35,103.75,104.1,515
2015-09-15 00:00:00+05:30,104.9,104.9,98.0,98.8,7053
2015-09-16 00:00:00+05:30,99.9,100.0,93.75,95.15,49488
2015-09-18 00:00:00+05:30,98.25,100.0,95.0,96.9,22746
