date,open,high,low,close,volume
2019-03-08 00:00:00+05:30,66.46,66.46,53.75,57.37,56523
2019-03-11 00:00:00+05:30,60.3,60.35,56.73,58.74,7481
2019-03-12 00:00:00+05:30,55.95,59.62,54.58,58.35,113277
2019-03-13 00:00:00+05:30,59.62,61.86,56.88,60.45,210300
2019-03-14 00:00:00+05:30,59.66,64.99,58.64,63.52,250566
2019-03-15 00:00:00+05:30,73.1,73.1,62.84,65.43,123938
2019-03-18 00:00:00+05:30,68.31,70.85,64.5,68.36,418257
2019-03-19 00:00:00+05:30,71.25,72.32,65.58,70.85,496666
2019-03-20 00:00:00+05:30,72.52,73.2,71.0,72.66,403463
2019-03-22 00:00:00+05:30,72.71,73.49,70.37,73.2,86752
2019-03-25 00:00:00+05:30,73.4,78.14,71.15,75.25,556975
2019-03-26 00:00:00+05:30,76.82,78.14,69.44,76.08,501601
2019-03-27 00:00:00+05:30,76.82,76.82,70.41,72.32,426490
2019-03-28 00:00:00+05:30,73.2,73.25,69.39,70.27,240162
2019-03-29 00:00:00+05:30,72.32,72.32,66.55,68.61,48775
2019-04-01 00:00:00+05:30,72.32,72.32,66.9,70.37,2244
2019-04-02 00:00:00+05:30,72.32,72.32,66.99,70.56,59078
2019-04-03 00:00:00+05:30,67.04,70.27,67.04,67.43,40339
2019-04-04 00:00:00+05:30,70.37,70.37,64.06,70.12,28557
2019-04-05 00:00:00+05:30,69.88,69.88,68.41,69.39,103397
2019-04-08 00:00:00+05:30,71.54,71.54,66.46,70.32,1260
2019-04-09 00:00:00+05:30,69.39,69.39,67.04,68.9,242
2019-04-10 00:00:00+05:30,66.46,72.32,66.46,70.51,415
2019-04-11 00:00:00+05:30,67.43,71.25,67.43,67.78,22203
2019-04-12 00:00:00+05:30,71.15,71.15,64.99,68.41,7612
2019-04-15 00:00:00+05:30,71.34,71.34,65.43,67.24,116902
2019-04-16 00:00:00+05:30,70.37,70.37,64.16,68.41,91558
2019-04-18 00:00:00+05:30,68.41,68.41,64.99,68.41,70
2019-04-22 00:00:00+05:30,70.95,71.34,68.26,68.26,122
2019-04-23 00:00:00+05:30,65.97,68.41,65.19,66.31,5841
2019-04-24 00:00:00+05:30,63.62,69.19,63.23,68.36,4872
2019-04-25 00:00:00+05:30,68.41,68.41,65.24,66.07,515
2019-04-26 00:00:00+05:30,64.5,68.31,64.5,68.31,141703
2019-04-30 00:00:00+05:30,68.41,68.41,64.99,66.9,612
2019-05-02 00:00:00+05:30,63.57,70.22,63.57,68.9,3005
2019-05-03 00:00:00+05:30,65.48,69.39,65.48,69.39,45024
2019-05-06 00:00:00+05:30,67.43,72.81,65.97,69.78,10143
2019-05-07 00:00:00+05:30,66.36,71.34,66.36,70.12,24964
2019-05-08 00:00:00+05:30,70.32,70.32,66.65,69.39,101545
2019-05-09 00:00:00+05:30,68.41,71.34,66.07,69.88,12090
2019-05-10 00:00:00+05:30,66.55,69.78,66.55,69.63,6580
2019-05-13 00:00:00+05:30,69.39,69.63,66.16,68.46,25044
2019-05-14 00:00:00+05:30,66.55,70.37,65.04,70.37,31581
2019-05-15 00:00:00+05:30,66.95,70.37,66.95,69.97,39611
2019-05-16 00:00:00+05:30,67.39,71.34,66.51,70.51,148841
2019-05-17 00:00:00+05:30,71.73,71.73,66.99,70.51,141
2019-05-20 00:00:00+05:30,72.32,72.32,70.85,72.27,314
2019-05-21 00:00:00+05:30,71.34,71.34,68.7,69.0,43438
2019-05-22 00:00:00+05:30,65.58,72.22,65.58,72.22,510
2019-05-23 00:00:00+05:30,68.66,72.13,68.66,72.13,56103
2019-05-24 00:00:00+05:30,68.66,72.13,68.56,72.03,25798
2019-05-27 00:00:00+05:30,68.61,72.13,68.61,71.83,30625
2019-05-28 00:00:00+05:30,68.46,72.13,68.46,72.08,30704
2019-05-29 00:00:00+05:30,68.66,72.13,68.66,71.73,2973
2019-05-30 00:00:00+05:30,72.22,72.22,68.26,71.93,10152
2019-05-31 00:00:00+05:30,71.34,75.5,71.34,74.32,37303
2019-06-03 00:00:00+05:30,74.32,75.5,70.61,75.15,43613
2019-06-04 00:00:00+05:30,74.32,78.09,73.3,76.23,1913
2019-06-06 00:00:00+05:30,78.09,78.09,74.28,75.3,1198
2019-06-07 00:00:00+05:30,78.04,78.04,77.74,77.74,10020
2019-06-10 00:00:00+05:30,77.99,78.18,77.7,78.18,24164
2019-06-11 00:00:00+05:30,78.77,80.14,78.18,80.14,56060
2019-06-12 00:00:00+05:30,80.14,82.09,76.33,82.04,72894
2019-06-13 00:00:00+05:30,82.97,85.91,82.09,84.88,53810
2019-06-14 00:00:00+05:30,85.91,85.91,81.07,81.17,61829
2019-06-17 00:00:00+05:30,81.17,83.02,77.21,82.97,401
2019-06-18 00:00:00+05:30,82.97,86.59,78.87,83.41,1445
2019-06-19 00:00:00+05:30,79.41,86.0,79.26,82.97,1310
2019-06-20 00:00:00+05:30,81.21,85.51,78.87,83.9,24267
2019-06-21 00:00:00+05:30,83.56,84.05,80.14,84.05,69036
2019-06-24 00:00:00+05:30,84.0,84.0,79.85,80.87,405
2019-06-25 00:00:00+05:30,84.29,84.29,76.86,83.71,54686
2019-06-26 00:00:00+05:30,79.55,84.05,79.55,83.75,75797
2019-06-27 00:00:00+05:30,84.05,84.05,80.24,83.56,157
2019-06-28 00:00:00+05:30,83.56,85.03,79.41,83.71,38597
2019-07-01 00:00:00+05:30,81.21,86.0,81.21,84.34,30472
2019-07-02 00:00:00+05:30,85.51,85.51,81.26,81.85,30186
2019-07-03 00:00:00+05:30,81.65,84.05,81.65,83.41,430
2019-07-04 00:00:00+05:30,84.59,84.59,82.78,82.78,229
2019-07-05 00:00:00+05:30,85.56,85.56,81.12,81.17,35735
2019-07-08 00:00:00+05:30,81.17,85.22,81.17,85.22,53866
2019-07-09 00:00:00+05:30,85.22,89.47,84.98,86.0,5338
2019-07-10 00:00:00+05:30,87.47,90.3,87.47,89.96,109069
2019-07-11 00:00:00+05:30,91.48,94.46,91.43,92.7,34652
2019-07-12 00:00:00+05:30,92.36,96.36,91.87,92.89,12568
2019-07-15 00:00:00+05:30,96.46,96.46,88.35,93.77,52776
2019-07-16 00:00:00+05:30,95.78,95.78,90.01,91.08,3301
2019-07-17 00:00:00+05:30,89.72,92.45,87.08,91.77,91975
2019-07-18 00:00:00+05:30,88.06,92.11,88.06,91.57,15565
2019-07-19 00:00:00+05:30,87.03,90.89,87.03,90.84,16740
2019-07-22 00:00:00+05:30,86.34,91.33,86.34,88.2,71465
2019-07-23 00:00:00+05:30,86.49,90.01,86.49,89.96,65613
2019-07-24 00:00:00+05:30,88.93,94.41,88.45,89.62,17877
2019-07-25 00:00:00+05:30,85.17,91.62,85.17,87.86,5667
2019-07-26 00:00:00+05:30,90.89,91.62,83.56,88.79,6791
2019-07-29 00:00:00+05:30,92.84,92.84,84.68,87.22,7101
2019-07-30 00:00:00+05:30,83.07,90.79,83.07,89.81,25688
2019-07-31 00:00:00+05:30,85.37,90.89,85.37,89.47,776
2019-08-01 00:00:00+05:30,85.03,92.36,85.03,91.48,147
2019-08-02 00:00:00+05:30,88.06,90.89,87.18,87.18,366
2019-08-05 00:00:00+05:30,86.0,86.0,83.07,85.51,392
2019-08-06 00:00:00+05:30,81.26,89.77,81.26,88.93,49207
2019-08-07 00:00:00+05:30,93.23,93.23,84.49,87.22,2790
2019-08-08 00:00:00+05:30,86.49,90.89,83.07,89.47,2964
2019-08-09 00:00:00+05:30,87.47,89.91,85.07,89.91,23974
2019-08-13 00:00:00+05:30,89.91,89.91,85.42,86.69,142
2019-08-14 00:00:00+05:30,86.69,89.52,83.17,88.79,543
2019-08-16 00:00:00+05:30,89.42,89.42,84.39,87.37,1331
2019-08-19 00:00:00+05:30,83.07,89.33,83.07,88.89,301
2019-08-20 00:00:00+05:30,88.93,88.93,84.54,87.86,268
2019-08-21 00:00:00+05:30,83.66,88.15,83.66,85.61,40
2019-08-22 00:00:00+05:30,85.71,88.69,81.36,82.09,1213
2019-08-23 00:00:00+05:30,78.67,85.91,77.99,84.15,1128
2019-08-26 00:00:00+05:30,80.24,87.96,80.04,87.47,344
2019-08-27 00:00:00+05:30,87.96,87.96,83.75,87.47,588
2019-08-28 00:00:00+05:30,88.45,91.08,83.36,87.96,1024
2019-08-29 00:00:00+05:30,91.67,91.67,85.51,85.51,635
2019-08-30 00:00:00+05:30,87.86,87.86,81.65,86.88,839
2019-09-03 00:00:00+05:30,86.0,86.83,86.0,86.74,24072
2019-09-04 00:00:00+05:30,82.44,86.49,82.44,82.58,247
2019-09-05 00:00:00+05:30,79.65,86.49,79.65,86.25,1189
2019-09-06 00:00:00+05:30,86.0,86.49,82.09,86.44,517
2019-09-09 00:00:00+05:30,83.17,86.39,83.07,86.15,659
2019-09-11 00:00:00+05:30,82.58,86.39,82.58,84.05,9414
2019-09-12 00:00:00+05:30,82.68,85.95,82.68,82.68,21
2019-09-13 00:00:00+05:30,85.03,86.78,78.72,82.24,7280
2019-09-16 00:00:00+05:30,86.0,86.0,83.07,84.98,6269
2019-09-17 00:00:00+05:30,85.12,88.93,84.49,87.96,13082
2019-09-18 00:00:00+05:30,87.96,92.36,87.96,91.77,33524
2019-09-19 00:00:00+05:30,92.84,96.26,91.72,95.58,55880
2019-09-20 00:00:00+05:30,98.76,100.32,90.89,94.85,187584
2019-09-23 00:00:00+05:30,97.73,98.9,90.3,95.87,73872
2019-09-24 00:00:00+05:30,99.69,99.69,91.52,94.55,211527
2019-09-25 00:00:00+05:30,94.9,95.78,92.84,94.31,99237
2019-09-26 00:00:00+05:30,94.65,96.75,91.92,96.36,102284
2019-09-27 00:00:00+05:30,96.75,100.61,93.33,97.58,246017
2019-09-30 00:00:00+05:30,97.88,99.98,97.78,99.93,486455
2019-10-01 00:00:00+05:30,100.08,102.47,99.98,100.37,352523
2019-10-03 00:00:00+05:30,100.47,101.69,100.42,101.64,323878
2019-10-04 00:00:00+05:30,102.03,102.37,101.84,102.18,260118
2019-10-07 00:00:00+05:30,102.37,103.79,102.27,103.69,547240
2019-10-09 00:00:00+05:30,103.74,104.57,103.74,104.28,393865
2019-10-10 00:00:00+05:30,104.33,105.89,104.33,105.6,401718
2019-10-11 00:00:00+05:30,105.74,106.77,105.7,106.58,428501
2019-10-14 00:00:00+05:30,106.67,107.94,106.62,107.6,721091
2019-10-15 00:00:00+05:30,107.75,108.04,107.6,107.7,534710
2019-10-16 00:00:00+05:30,107.75,107.89,107.7,107.75,310078
2019-10-17 00:00:00+05:30,107.75,108.19,107.7,108.09,273520
2019-10-18 00:00:00+05:30,108.19,108.68,108.19,108.53,289232
2019-10-22 00:00:00+05:30,108.68,109.46,108.63,109.16,640355
2019-10-23 00:00:00+05:30,109.46,110.58,109.26,110.14,620957
2019-10-24 00:00:00+05:30,110.39,111.85,110.34,111.56,561688
2019-10-25 00:00:00+05:30,111.85,112.68,111.8,112.29,550571
2019-10-27 00:00:00+05:30,112.39,112.59,112.39,112.59,190467
2019-10-29 00:00:00+05:30,112.83,113.61,112.83,113.17,526892
2019-10-30 00:00:00+05:30,113.56,113.76,113.32,113.37,307534
2019-10-31 00:00:00+05:30,113.56,113.86,113.42,113.47,313178
2019-11-01 00:00:00+05:30,113.56,113.95,113.51,113.61,345695
2019-11-04 00:00:00+05:30,113.76,114.64,113.76,114.3,678850
2019-11-05 00:00:00+05:30,114.64,115.52,114.64,115.37,656580
2019-11-06 00:00:00+05:30,115.76,116.35,115.76,115.86,645388
2019-11-07 00:00:00+05:30,116.35,117.23,116.35,116.45,576808
