date,open,high,low,close,volume
2019-03-08 09:15:00+05:30,66.46,66.46,53.75,56.63,2519
2019-03-08 10:15:00+05:30,56.63,56.63,54.73,56.0,18389
2019-03-08 11:15:00+05:30,56.0,56.19,55.61,55.95,214
2019-03-08 12:15:00+05:30,55.95,56.63,55.46,56.59,2123
2019-03-08 13:15:00+05:30,56.59,57.66,56.59,57.66,1105
2019-03-08 14:15:00+05:30,57.66,58.64,57.22,57.66,28774
2019-03-08 15:15:00+05:30,57.66,58.44,55.9,55.9,1397
2019-03-11 09:15:00+05:30,60.3,60.35,57.66,59.32,1589
2019-03-11 10:15:00+05:30,59.32,59.42,57.91,59.42,653
2019-03-11 11:15:00+05:30,59.37,59.37,59.13,59.13,245
2019-03-11 12:15:00+05:30,59.13,59.13,58.98,59.03,501
2019-03-11 13:15:00+05:30,59.03,59.03,58.64,58.64,96
2019-03-11 14:15:00+05:30,57.66,59.62,56.73,59.62,3267
2019-03-11 15:15:00+05:30,59.62,59.62,57.66,57.66,1050
2019-03-12 09:15:00+05:30,55.9,58.98,54.58,58.98,266
2019-03-12 10:15:00+05:30,58.98,58.98,56.0,58.98,19530
2019-03-12 11:15:00+05:30,58.98,58.98,56.68,56.93,34648
2019-03-12 12:15:00+05:30,58.54,58.54,58.54,58.54,10
2019-03-12 13:15:00+05:30,58.54,59.62,57.17,59.52,33064
2019-03-12 14:15:00+05:30,59.52,59.52,58.15,58.15,14176
2019-03-12 15:15:00+05:30,58.15,58.64,58.15,58.64,11483
2019-03-13 09:15:00+05:30,59.62,59.62,59.62,59.62,0
2019-03-13 10:15:00+05:30,59.62,59.62,56.88,56.88,7500
2019-03-13 11:15:00+05:30,58.59,61.86,58.59,61.57,123760
2019-03-13 12:15:00+05:30,61.57,61.57,59.71,60.59,1235
2019-03-13 13:15:00+05:30,60.59,60.59,60.1,60.3,272
2019-03-13 14:15:00+05:30,60.3,60.59,57.27,60.59,72481
2019-03-13 15:15:00+05:30,60.59,61.52,59.62,59.66,4952
