date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,106.6,106.6,104.2,105.75,2478
2015-02-02 10:15:00+05:30,105.75,105.75,104.2,104.8,812
2015-02-02 11:15:00+05:30,104.8,105.6,104.2,105.5,4400
2015-02-02 12:15:00+05:30,105.5,105.5,105.0,105.0,434
2015-02-02 13:15:00+05:30,105.35,105.45,104.2,105.45,2882
2015-02-02 14:15:00+05:30,105.45,105.45,104.4,104.4,1146
2015-02-02 15:15:00+05:30,104.4,106.0,104.4,105.8,2688
2015-02-03 09:15:00+05:30,105.8,108.2,105.5,108.0,3846
2015-02-03 10:15:00+05:30,108.0,109.35,105.15,107.2,4746
2015-02-03 11:15:00+05:30,107.2,107.6,105.4,106.0,2482
2015-02-03 12:15:00+05:30,106.0,106.6,105.25,105.8,2336
2015-02-03 13:15:00+05:30,105.8,106.4,105.7,106.0,1106
2015-02-03 14:15:00+05:30,106.0,106.0,105.0,105.2,3106
2015-02-03 15:15:00+05:30,105.2,106.0,105.2,105.8,1112
2015-02-04 09:15:00+05:30,105.8,107.0,105.8,107.0,744
2015-02-04 10:15:00+05:30,107.0,108.4,106.6,106.65,4946
2015-02-04 11:15:00+05:30,106.65,107.2,106.2,107.0,5526
2015-02-04 12:15:00+05:30,107.0,107.4,107.0,107.4,6538
2015-02-04 13:15:00+05:30,107.4,107.5,106.8,106.8,1508
2015-02-04 14:15:00+05:30,106.8,107.2,106.4,106.4,1936
2015-02-04 15:15:00+05:30,106.4,106.8,106.4,106.5,916
2015-02-05 09:15:00+05:30,106.5,107.0,106.4,107.0,1574
2015-02-05 10:15:00+05:30,107.0,111.9,107.0,108.9,25640
2015-02-05 11:15:00+05:30,108.9,109.4,108.4,109.0,1322
2015-02-05 12:15:00+05:30,109.0,109.35,108.6,108.8,826
2015-02-05 13:15:00+05:30,108.8,109.0,108.5,108.9,2070
2015-02-05 14:15:00+05:30,109.0,109.2,107.15,107.95,9882
2015-02-05 15:15:00+05:30,107.95,109.2,106.9,109.2,6094
2015-02-06 09:15:00+05:30,109.4,110.0,98.25,98.95,46056
2015-02-06 10:15:00+05:30,98.95,100.6,98.5,99.8,13368
2015-02-06 11:15:00+05:30,99.8,102.95,99.4,100.8,11866
2015-02-06 12:15:00+05:30,100.5,100.75,99.3,100.15,3350
2015-02-06 13:15:00+05:30,100.15,100.15,99.3,99.6,7388
2015-02-06 14:15:00+05:30,99.95,100.2,98.4,98.4,6536
2015-02-06 15:15:00+05:30,98.4,98.4,96.25,96.25,10168
2015-02-09 09:15:00+05:30,89.2,94.9,88.0,90.8,15686
2015-02-09 10:15:00+05:30,90.8,92.95,90.2,92.05,8310
2015-02-09 11:15:00+05:30,92.05,93.95,92.05,92.6,6302
2015-02-09 12:15:00+05:30,92.6,92.6,88.6,89.4,8660
2015-02-09 13:15:00+05:30,89.4,92.2,89.4,91.05,3736
2015-02-09 14:15:00+05:30,91.05,91.6,90.0,90.0,2660
2015-02-09 15:15:00+05:30,90.0,92.0,89.8,90.6,4540
2015-02-10 09:15:00+05:30,90.75,92.15,90.0,90.65,2586
2015-02-10 10:15:00+05:30,90.65,93.35,90.4,90.8,1986
2015-02-10 11:15:00+05:30,90.8,91.75,90.8,91.2,3082
2015-02-10 12:15:00+05:30,91.2,92.0,91.2,91.2,1680
2015-02-10 13:15:00+05:30,91.2,92.0,90.0,90.0,2342
2015-02-10 14:15:00+05:30,90.05,92.0,90.0,92.0,4518
2015-02-10 15:15:00+05:30,92.0,93.0,91.0,92.0,1402
2015-02-11 09:15:00+05:30,94.0,94.0,91.1,91.25,682
2015-02-11 10:15:00+05:30,91.25,93.6,91.25,93.0,868
2015-02-11 11:15:00+05:30,93.0,94.0,92.7,93.7,800
2015-02-11 12:15:00+05:30,93.7,93.8,93.0,93.6,650
2015-02-11 13:15:00+05:30,93.6,93.6,92.7,92.7,218
2015-02-11 14:15:00+05:30,92.7,94.0,92.4,93.25,2324
2015-02-11 15:15:00+05:30,93.25,94.9,93.2,93.2,3110
2015-02-12 09:15:00+05:30,93.2,96.4,92.15,96.0,2754
2015-02-12 10:15:00+05:30,96.0,97.6,96.0,96.9,3600
2015-02-12 11:15:00+05:30,96.9,97.6,96.3,96.4,1992
2015-02-12 12:15:00+05:30,96.25,96.6,95.05,95.6,854
2015-02-12 13:15:00+05:30,95.6,96.0,95.6,95.75,192
2015-02-12 14:15:00+05:30,95.75,96.4,94.4,94.55,2904
2015-02-12 15:15:00+05:30,94.55,95.4,94.55,94.8,350
2015-02-13 09:15:00+05:30,94.8,96.0,94.8,95.0,1110
2015-02-13 10:15:00+05:30,95.0,95.6,95.0,95.2,930
2015-02-13 11:15:00+05:30,95.2,96.8,95.2,95.6,562
2015-02-13 12:15:00+05:30,95.6,95.8,95.2,95.65,1078
2015-02-13 13:15:00+05:30,95.65,95.8,95.0,95.4,1724
2015-02-13 14:15:00+05:30,95.4,95.95,95.0,95.0,2140
2015-02-13 15:15:00+05:30,95.0,95.0,93.2,94.4,2290
2015-02-16 09:15:00+05:30,94.4,94.8,92.05,93.0,1290
2015-02-16 10:15:00+05:30,93.0,93.0,92.25,93.0,386
2015-02-16 11:15:00+05:30,93.0,93.8,92.4,93.6,2314
2015-02-16 12:15:00+05:30,93.6,94.0,93.6,93.8,616
2015-02-16 13:15:00+05:30,93.8,94.0,93.8,93.8,1004
2015-02-16 14:15:00+05:30,93.8,94.0,93.6,93.6,4862
2015-02-16 15:15:00+05:30,93.6,93.8,92.45,92.6,462
2015-02-18 09:15:00+05:30,92.6,93.6,92.2,92.2,1332
2015-02-18 10:15:00+05:30,92.2,93.0,92.2,92.3,1182
2015-02-18 11:15:00+05:30,92.3,93.4,92.1,93.0,1492
