date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,27.95,29.1,27.6,28.1,661872
2003-01-02 00:00:00+05:30,28.35,28.95,26.8,27.1,420148
2003-01-03 00:00:00+05:30,27.65,27.95,26.9,27.1,201597
2003-01-06 00:00:00+05:30,27.3,28.2,26.45,26.6,415369
2003-01-07 00:00:00+05:30,27.15,27.5,26.2,26.5,286104
2003-01-08 00:00:00+05:30,27.15,28.15,26.65,27.85,474817
2003-01-09 00:00:00+05:30,27.7,28.5,27.7,28.05,500420
2003-01-10 00:00:00+05:30,22.5,28.35,22.5,26.45,331751
2003-01-13 00:00:00+05:30,27.85,27.85,25.85,26.1,205264
2003-01-14 00:00:00+05:30,26.15,27.35,26.15,26.95,315018
2003-01-15 00:00:00+05:30,27.05,27.95,26.7,26.9,260714
2003-01-16 00:00:00+05:30,27.85,32.1,27.55,31.45,2942766
2003-01-17 00:00:00+05:30,32.15,33.75,31.1,31.65,2410045
2003-01-20 00:00:00+05:30,30.7,31.45,28.3,28.6,976018
2003-01-21 00:00:00+05:30,25.8,29.25,25.8,27.15,699198
2003-01-22 00:00:00+05:30,27.05,28.2,26.5,27.0,479426
2003-01-23 00:00:00+05:30,26.45,27.3,25.95,26.05,295001
2003-01-24 00:00:00+05:30,26.15,26.5,23.55,23.95,451653
2003-01-27 00:00:00+05:30,23.55,23.95,21.45,21.95,405997
2003-01-28 00:00:00+05:30,22.7,23.85,21.6,23.5,423608
2003-01-29 00:00:00+05:30,24.05,24.05,22.7,22.9,301482
2003-01-30 00:00:00+05:30,23.3,23.55,22.55,23.0,222158
2003-01-31 00:00:00+05:30,22.95,23.2,22.2,22.4,260561
2003-02-03 00:00:00+05:30,23.2,24.1,22.65,23.85,348499
2003-02-04 00:00:00+05:30,23.8,24.2,22.85,23.0,256697
2003-02-05 00:00:00+05:30,21.45,23.2,21.45,22.1,166488
2003-02-06 00:00:00+05:30,22.3,22.7,21.85,22.2,179960
2003-02-07 00:00:00+05:30,21.45,21.85,20.65,21.15,354236
2003-02-10 00:00:00+05:30,22.5,24.0,22.05,22.9,673442
2003-02-11 00:00:00+05:30,27.45,27.45,25.55,25.85,1618714
2003-02-12 00:00:00+05:30,25.95,25.95,23.8,24.15,724758
2003-02-14 00:00:00+05:30,24.3,24.95,23.4,23.85,778287
2003-02-17 00:00:00+05:30,24.95,26.2,24.45,25.7,549424
2003-02-18 00:00:00+05:30,25.95,26.0,25.1,25.2,215127
2003-02-19 00:00:00+05:30,25.45,25.45,24.7,24.8,111394
2003-02-20 00:00:00+05:30,24.55,24.65,24.1,24.3,125609
2003-02-21 00:00:00+05:30,24.1,24.55,24.1,24.2,110743
2003-02-24 00:00:00+05:30,24.3,24.7,24.2,24.3,82834
2003-02-25 00:00:00+05:30,24.15,24.25,23.95,24.05,66179
2003-02-26 00:00:00+05:30,24.1,24.3,23.85,24.0,116158
2003-02-27 00:00:00+05:30,23.9,24.35,23.9,24.1,53805
2003-02-28 00:00:00+05:30,24.45,24.5,24.05,24.2,112099
2003-03-03 00:00:00+05:30,24.3,24.4,24.1,24.2,52074
2003-03-04 00:00:00+05:30,23.95,24.2,23.25,23.35,84242
2003-03-05 00:00:00+05:30,23.2,23.7,23.05,23.55,95942
2003-03-06 00:00:00+05:30,23.45,23.55,23.3,23.45,30618
2003-03-07 00:00:00+05:30,23.15,23.5,23.15,23.3,72765
2003-03-10 00:00:00+05:30,23.05,23.45,23.05,23.2,93615
2003-03-11 00:00:00+05:30,23.2,23.55,23.05,23.3,92254
2003-03-12 00:00:00+05:30,24.1,24.1,22.95,23.4,66536
2003-03-13 00:00:00+05:30,23.3,23.5,23.05,23.2,86470
2003-03-17 00:00:00+05:30,23.2,23.3,23.0,23.1,55405
2003-03-19 00:00:00+05:30,23.3,23.55,23.3,23.35,96265
2003-03-20 00:00:00+05:30,23.15,23.75,23.15,23.45,50077
2003-03-21 00:00:00+05:30,23.45,23.7,23.4,23.55,86486
2003-03-24 00:00:00+05:30,23.45,23.55,23.4,23.45,77421
2003-03-25 00:00:00+05:30,23.4,23.5,23.35,23.45,36289
2003-03-26 00:00:00+05:30,23.4,23.55,23.2,23.4,47279
2003-03-27 00:00:00+05:30,23.5,23.5,23.05,23.35,28045
2003-03-28 00:00:00+05:30,23.2,23.35,22.5,22.55,202374
2003-03-31 00:00:00+05:30,22.6,23.05,21.65,21.95,203176
2003-04-01 00:00:00+05:30,22.85,22.85,21.8,22.0,139868
2003-04-02 00:00:00+05:30,22.8,22.85,22.3,22.55,32967
2003-04-03 00:00:00+05:30,23.2,23.2,22.35,22.55,131541
2003-04-04 00:00:00+05:30,22.85,23.9,22.7,23.55,64340
2003-04-07 00:00:00+05:30,24.15,24.2,23.55,23.95,93804
2003-04-08 00:00:00+05:30,24.2,24.3,23.7,24.05,51328
2003-04-09 00:00:00+05:30,23.85,24.15,23.7,24.05,43579
2003-04-10 00:00:00+05:30,23.8,23.95,22.7,22.85,91843
2003-04-11 00:00:00+05:30,21.55,22.85,21.55,22.4,53393
2003-04-15 00:00:00+05:30,23.15,23.15,22.5,22.6,25341
2003-04-16 00:00:00+05:30,22.7,22.8,22.55,22.7,25806
2003-04-17 00:00:00+05:30,22.7,22.7,22.0,22.2,96008
2003-04-21 00:00:00+05:30,22.6,23.15,22.25,22.35,179761
