date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,91.67,94.4,90.7,92.97,89182
2015-02-02 10:15:00+05:30,92.97,93.0,92.23,92.73,23214
2015-02-02 11:15:00+05:30,92.73,98.8,92.47,97.0,499600
2015-02-02 12:15:00+05:30,97.0,97.4,95.53,96.83,78349
2015-02-02 13:15:00+05:30,96.83,97.0,95.53,96.27,90775
2015-02-02 14:15:00+05:30,96.27,97.17,95.47,96.4,21499
2015-02-02 15:15:00+05:30,96.4,99.2,96.4,98.37,33193
2015-02-03 09:15:00+05:30,96.73,98.67,96.73,97.07,18169
2015-02-03 10:15:00+05:30,97.07,98.03,96.93,97.73,7731
2015-02-03 11:15:00+05:30,97.73,97.93,95.5,95.83,25289
2015-02-03 12:15:00+05:30,95.83,96.0,95.67,95.83,5598
2015-02-03 13:15:00+05:30,95.83,97.0,95.7,97.0,15680
2015-02-03 14:15:00+05:30,97.27,97.27,95.8,95.83,12908
2015-02-03 15:15:00+05:30,95.8,96.0,95.7,96.0,8234
2015-02-04 09:15:00+05:30,96.0,97.87,94.73,95.0,11633
2015-02-04 10:15:00+05:30,95.0,96.6,94.07,95.73,9930
2015-02-04 11:15:00+05:30,95.73,97.33,95.6,97.1,7713
2015-02-04 12:15:00+05:30,97.1,98.0,95.8,95.97,50576
2015-02-04 13:15:00+05:30,95.97,96.0,95.27,95.6,7945
2015-02-04 14:15:00+05:30,95.6,96.0,95.0,95.07,8911
2015-02-04 15:15:00+05:30,95.07,95.07,92.67,93.7,36865
2015-02-05 09:15:00+05:30,93.7,95.23,93.6,93.6,15059
2015-02-05 10:15:00+05:30,93.6,94.67,93.07,94.27,8675
2015-02-05 11:15:00+05:30,94.27,94.67,93.5,93.73,4986
2015-02-05 12:15:00+05:30,93.77,94.17,93.77,94.13,1429
2015-02-05 13:15:00+05:30,94.13,94.53,93.4,93.4,4416
2015-02-05 14:15:00+05:30,93.4,93.5,91.43,92.33,29492
2015-02-05 15:15:00+05:30,92.33,92.33,90.17,90.47,25441
2015-02-06 09:15:00+05:30,91.87,92.3,90.17,91.87,8911
2015-02-06 10:15:00+05:30,91.87,91.87,89.77,90.13,6669
2015-02-06 11:15:00+05:30,90.13,91.13,89.73,91.13,9280
2015-02-06 12:15:00+05:30,91.13,92.27,91.0,91.33,8313
2015-02-06 13:15:00+05:30,91.33,91.43,89.6,89.87,13378
2015-02-06 14:15:00+05:30,90.0,90.0,88.4,88.67,31539
2015-02-06 15:15:00+05:30,88.67,92.67,88.67,90.0,32547
2015-02-09 09:15:00+05:30,89.33,90.5,88.67,89.3,6969
2015-02-09 10:15:00+05:30,89.4,90.33,89.07,90.27,21604
2015-02-09 11:15:00+05:30,90.0,90.8,90.0,90.13,5769
2015-02-09 12:15:00+05:30,90.13,92.9,90.0,92.67,17455
2015-02-09 13:15:00+05:30,92.67,93.27,91.5,92.23,4793
2015-02-09 14:15:00+05:30,92.23,92.27,90.0,90.17,9338
2015-02-09 15:15:00+05:30,90.13,90.57,89.33,89.73,6168
2015-02-10 09:15:00+05:30,89.87,93.07,89.83,91.67,7232
2015-02-10 10:15:00+05:30,91.67,93.0,91.47,92.53,10946
2015-02-10 11:15:00+05:30,92.53,92.8,91.53,92.0,4783
2015-02-10 12:15:00+05:30,92.0,92.27,91.57,91.57,2246
2015-02-10 13:15:00+05:30,91.57,91.7,90.0,91.33,14174
2015-02-10 14:15:00+05:30,91.33,91.47,89.07,90.67,49132
2015-02-10 15:15:00+05:30,90.67,93.33,90.67,93.33,24310
2015-02-11 09:15:00+05:30,94.0,94.67,92.8,93.73,15106
2015-02-11 10:15:00+05:30,93.73,94.53,93.1,94.53,24290
2015-02-11 11:15:00+05:30,94.53,95.0,94.0,95.0,14365
