date,open,high,low,close,volume
2023-05-12 00:00:00+05:30,21.39,22.95,20.23,22.08,1113163
2023-05-15 00:00:00+05:30,23.14,23.14,20.71,21.78,3316130
2023-05-16 00:00:00+05:30,22.12,22.56,21.44,22.03,987216
2023-05-17 00:00:00+05:30,22.22,22.22,21.2,21.78,738419
2023-05-18 00:00:00+05:30,22.12,22.12,21.64,21.98,357335
2023-05-19 00:00:00+05:30,21.44,22.17,21.44,21.93,35502
2023-05-22 00:00:00+05:30,21.98,22.8,21.44,22.03,107087
2023-05-23 00:00:00+05:30,22.51,22.51,21.39,21.93,1778654
2023-05-24 00:00:00+05:30,22.12,22.27,21.73,21.98,1502210
2023-05-25 00:00:00+05:30,22.17,22.17,21.59,22.08,2834525
2023-05-26 00:00:00+05:30,22.17,22.37,21.39,22.08,2105371
2023-05-29 00:00:00+05:30,22.37,22.37,21.73,21.93,1890842
2023-05-30 00:00:00+05:30,22.12,22.32,20.81,21.15,4003380
2023-05-31 00:00:00+05:30,21.78,22.12,21.39,22.03,1620326
2023-06-01 00:00:00+05:30,22.27,22.27,21.73,21.98,1220512
2023-06-02 00:00:00+05:30,22.17,22.17,21.78,21.93,1866121
2023-06-05 00:00:00+05:30,21.78,22.17,21.73,21.98,784486
2023-06-06 00:00:00+05:30,21.98,22.08,21.35,21.83,1364073
2023-06-07 00:00:00+05:30,22.12,22.12,21.44,21.73,1062118
2023-06-08 00:00:00+05:30,21.98,22.17,21.78,22.08,669188
2023-06-09 00:00:00+05:30,21.98,22.12,21.88,22.08,335406
2023-06-12 00:00:00+05:30,21.59,22.37,21.59,22.08,1196486
2023-06-13 00:00:00+05:30,22.17,22.37,21.98,22.32,265086
2023-06-14 00:00:00+05:30,22.37,22.9,22.08,22.46,1500375
2023-06-15 00:00:00+05:30,22.71,23.05,22.32,22.61,859151
2023-06-16 00:00:00+05:30,23.1,23.1,22.42,22.8,91611
2023-06-19 00:00:00+05:30,22.95,23.05,22.37,22.95,1937645
2023-06-20 00:00:00+05:30,22.8,23.1,22.66,22.9,715313
2023-06-21 00:00:00+05:30,23.19,23.49,22.85,23.24,1242127
2023-06-22 00:00:00+05:30,23.53,23.83,23.14,23.53,1337816
2023-06-23 00:00:00+05:30,23.78,23.92,23.24,23.73,679080
2023-06-26 00:00:00+05:30,24.51,24.51,23.19,23.58,1019412
2023-06-27 00:00:00+05:30,23.83,23.87,23.19,23.53,2908341
2023-06-28 00:00:00+05:30,24.12,24.12,23.0,23.14,1587472
2023-06-30 00:00:00+05:30,23.14,23.44,22.85,23.14,883090
2023-07-03 00:00:00+05:30,23.19,23.34,22.8,23.05,1090879
2023-07-04 00:00:00+05:30,22.95,23.73,22.76,23.19,755838
2023-07-05 00:00:00+05:30,23.68,23.87,23.29,23.49,1041094
2023-07-06 00:00:00+05:30,23.49,23.58,23.14,23.39,103514
2023-07-07 00:00:00+05:30,23.39,23.53,23.0,23.39,135237
2023-07-10 00:00:00+05:30,23.39,23.58,22.85,23.1,45513
2023-07-11 00:00:00+05:30,23.1,23.24,22.76,22.95,722079
2023-07-12 00:00:00+05:30,23.19,23.39,22.42,23.19,1882677
2023-07-13 00:00:00+05:30,23.29,23.34,22.95,23.24,805721
2023-07-14 00:00:00+05:30,23.34,23.73,22.8,23.34,691631
2023-07-17 00:00:00+05:30,23.68,24.8,23.1,24.51,3064700
2023-07-18 00:00:00+05:30,24.65,25.04,23.92,24.75,1278200
2023-07-19 00:00:00+05:30,24.94,27.23,24.31,25.24,1230456
2023-07-20 00:00:00+05:30,25.28,26.06,24.9,25.72,870468
2023-07-21 00:00:00+05:30,25.67,26.16,25.04,25.82,215393
2023-07-24 00:00:00+05:30,26.06,26.06,25.09,25.38,672494
2023-07-25 00:00:00+05:30,25.82,25.92,24.75,24.94,866180
2023-07-26 00:00:00+05:30,24.94,25.43,24.31,24.85,3222662
2023-07-27 00:00:00+05:30,24.8,25.82,24.6,25.33,845691
2023-07-28 00:00:00+05:30,25.33,25.67,24.99,25.28,1366675
2023-07-31 00:00:00+05:30,25.87,25.87,22.85,25.09,835192
2023-08-01 00:00:00+05:30,24.6,26.55,23.97,25.87,939791
2023-08-02 00:00:00+05:30,23.92,26.06,23.92,25.09,918490
2023-08-03 00:00:00+05:30,25.19,25.67,24.65,25.38,744902
2023-08-04 00:00:00+05:30,26.21,26.84,25.04,26.26,1986895
2023-08-07 00:00:00+05:30,26.65,26.74,25.97,26.45,1209854
2023-08-08 00:00:00+05:30,26.21,26.45,25.28,26.11,1351574
2023-08-09 00:00:00+05:30,26.06,26.11,25.53,25.87,1293614
2023-08-10 00:00:00+05:30,25.77,26.94,23.53,26.06,2442593
2023-08-11 00:00:00+05:30,26.69,26.69,25.38,26.01,1373313
2023-08-14 00:00:00+05:30,25.53,25.97,25.53,25.72,736069
2023-08-16 00:00:00+05:30,25.62,26.84,25.62,26.6,1519563
2023-08-17 00:00:00+05:30,27.23,27.23,26.35,26.89,796934
2023-08-18 00:00:00+05:30,26.94,27.47,26.55,27.18,3968660
2023-08-21 00:00:00+05:30,27.57,27.72,25.58,25.97,4391359
2023-08-22 00:00:00+05:30,26.4,26.94,25.82,26.65,2004824
2023-08-23 00:00:00+05:30,26.94,27.08,26.06,26.65,401670
2023-08-24 00:00:00+05:30,26.74,26.84,23.97,26.26,1729275
2023-08-25 00:00:00+05:30,25.87,27.18,25.77,26.89,585464
2023-08-28 00:00:00+05:30,27.13,27.13,26.35,26.69,3004914
2023-08-29 00:00:00+05:30,26.84,26.84,26.06,26.6,1724714
2023-08-30 00:00:00+05:30,26.5,26.99,26.35,26.65,1749101
2023-08-31 00:00:00+05:30,26.55,26.84,26.16,26.6,409074
2023-09-01 00:00:00+05:30,26.6,28.69,21.3,21.3,15030377
2023-09-04 00:00:00+05:30,21.35,21.35,18.38,18.62,8994013
2023-09-05 00:00:00+05:30,19.45,20.47,18.96,20.42,6123348
2023-09-06 00:00:00+05:30,21.2,21.39,18.38,18.38,7231729
2023-09-07 00:00:00+05:30,18.48,19.06,17.5,17.75,2705607
2023-09-08 00:00:00+05:30,18.38,18.38,17.84,18.09,554738
2023-09-11 00:00:00+05:30,18.28,18.67,17.65,17.75,649594
2023-09-12 00:00:00+05:30,17.94,18.04,15.95,16.68,1380161
2023-09-13 00:00:00+05:30,16.97,17.12,15.85,16.58,746372
2023-09-14 00:00:00+05:30,16.63,16.73,16.29,16.43,465749
2023-09-15 00:00:00+05:30,17.26,17.26,16.39,16.53,165474
2023-09-18 00:00:00+05:30,16.87,16.87,15.95,16.48,140492
2023-09-20 00:00:00+05:30,16.43,16.43,15.95,16.09,170894
2023-09-21 00:00:00+05:30,16.19,16.92,16.19,16.39,211702
2023-09-22 00:00:00+05:30,16.53,16.68,15.95,16.43,188699
2023-09-25 00:00:00+05:30,16.53,16.63,15.95,15.95,119540
2023-09-26 00:00:00+05:30,16.05,16.05,15.61,15.71,128039
2023-09-27 00:00:00+05:30,15.56,15.95,15.17,15.46,174097
2023-09-28 00:00:00+05:30,15.51,16.14,14.98,15.9,270207
2023-09-29 00:00:00+05:30,15.9,15.9,15.27,15.51,92948
2023-10-03 00:00:00+05:30,15.46,15.61,15.17,15.32,87262
2023-10-04 00:00:00+05:30,15.17,15.37,14.98,15.02,197326
2023-10-05 00:00:00+05:30,15.17,15.32,14.88,15.07,53153
2023-10-06 00:00:00+05:30,15.22,15.27,14.93,15.17,226484
2023-10-09 00:00:00+05:30,15.17,15.17,14.49,14.59,211136
2023-10-10 00:00:00+05:30,14.59,14.98,14.39,14.64,73457
2023-10-11 00:00:00+05:30,14.73,14.83,14.39,14.54,131160
2023-10-12 00:00:00+05:30,14.54,14.68,14.05,14.1,225255
2023-10-13 00:00:00+05:30,14.1,14.39,13.71,14.1,200252
2023-10-16 00:00:00+05:30,13.86,14.39,13.66,14.34,308943
2023-10-17 00:00:00+05:30,14.34,14.34,13.96,14.0,85149
2023-10-18 00:00:00+05:30,14.15,14.15,13.66,13.76,56531
2023-10-19 00:00:00+05:30,13.96,14.2,13.08,13.81,551406
2023-10-20 00:00:00+05:30,13.76,14.0,13.18,13.66,202041
2023-10-23 00:00:00+05:30,13.66,14.2,13.08,13.47,517920
2023-10-25 00:00:00+05:30,13.47,13.47,12.79,13.27,132486
2023-10-26 00:00:00+05:30,13.27,13.42,12.64,12.98,84460
2023-10-27 00:00:00+05:30,12.98,13.13,12.64,12.89,93596
2023-10-30 00:00:00+05:30,12.98,13.03,12.64,12.84,67544
2023-10-31 00:00:00+05:30,12.84,12.89,12.5,12.64,58181
2023-11-01 00:00:00+05:30,12.84,12.84,12.45,12.69,26258
2023-11-02 00:00:00+05:30,12.84,12.84,12.5,12.59,21440
2023-11-03 00:00:00+05:30,12.59,13.03,12.25,12.69,137350
2023-11-06 00:00:00+05:30,12.79,13.18,12.64,12.93,133993
2023-11-07 00:00:00+05:30,12.93,13.18,12.84,13.13,61354
2023-11-08 00:00:00+05:30,13.23,13.32,12.84,12.98,70547
2023-11-09 00:00:00+05:30,13.23,13.23,12.69,13.08,86604
2023-11-10 00:00:00+05:30,13.08,13.37,12.93,13.32,77714
2023-11-12 00:00:00+05:30,13.57,13.96,13.52,13.86,125437
2023-11-13 00:00:00+05:30,13.96,14.39,13.71,14.0,201650
2023-11-15 00:00:00+05:30,14.39,14.68,13.86,14.68,479615
2023-11-16 00:00:00+05:30,15.41,15.41,15.37,15.41,306042
2023-11-17 00:00:00+05:30,16.14,16.14,14.78,15.27,707519
2023-11-20 00:00:00+05:30,14.98,14.98,14.98,14.98,22453
2023-11-21 00:00:00+05:30,14.68,14.68,14.68,14.68,19743
2023-11-22 00:00:00+05:30,14.39,14.39,14.39,14.39,9139
2023-11-23 00:00:00+05:30,14.1,14.1,14.1,14.1,6367
2023-11-24 00:00:00+05:30,13.86,13.86,13.86,13.86,5331
2023-11-28 00:00:00+05:30,13.61,13.61,13.61,13.61,9117
2023-11-29 00:00:00+05:30,13.37,13.37,13.37,13.37,9109
2023-11-30 00:00:00+05:30,13.13,13.13,13.13,13.13,31854
2023-12-01 00:00:00+05:30,12.89,12.89,12.89,12.89,20836
2023-12-04 00:00:00+05:30,12.64,12.64,12.64,12.64,41920
2023-12-05 00:00:00+05:30,12.4,12.4,12.4,12.4,46654
2023-12-06 00:00:00+05:30,12.16,12.16,12.16,12.16,14539
2023-12-07 00:00:00+05:30,11.91,12.4,11.91,12.4,323764
