date,open,high,low,close,volume
2023-01-04 00:00:00+05:30,7.53,7.89,6.76,6.86,591941
2023-01-05 00:00:00+05:30,7.24,7.24,6.62,6.99,240883
2023-01-06 00:00:00+05:30,7.15,7.15,6.73,6.79,113352
2023-01-09 00:00:00+05:30,6.85,6.94,6.66,6.75,93205
2023-01-10 00:00:00+05:30,6.64,6.83,6.56,6.61,192730
2023-01-11 00:00:00+05:30,6.57,6.81,6.57,6.71,97953
2023-01-12 00:00:00+05:30,6.88,6.88,6.55,6.58,67487
2023-01-13 00:00:00+05:30,6.59,6.64,6.27,6.36,165536
2023-01-16 00:00:00+05:30,6.49,7.28,6.44,6.85,422053
2023-01-17 00:00:00+05:30,7.1,7.1,6.79,6.88,201819
2023-01-18 00:00:00+05:30,6.87,7.19,6.66,6.73,266943
2023-01-19 00:00:00+05:30,6.81,6.93,6.64,6.84,134931
2023-01-20 00:00:00+05:30,6.85,7.08,6.85,6.9,191115
2023-01-23 00:00:00+05:30,6.9,6.99,6.77,6.82,71283
2023-01-24 00:00:00+05:30,6.73,6.9,6.5,6.63,151496
2023-01-25 00:00:00+05:30,6.64,6.71,6.43,6.47,172530
2023-01-27 00:00:00+05:30,6.66,6.67,6.27,6.62,132055
2023-01-30 00:00:00+05:30,6.85,6.85,6.27,6.37,185512
2023-01-31 00:00:00+05:30,6.38,6.62,6.21,6.56,169225
2023-02-01 00:00:00+05:30,6.66,6.7,6.36,6.51,226479
2023-02-02 00:00:00+05:30,6.51,6.51,6.29,6.34,197670
2023-02-03 00:00:00+05:30,6.48,6.54,6.28,6.31,151667
2023-02-06 00:00:00+05:30,6.7,6.7,6.29,6.36,133177
2023-02-07 00:00:00+05:30,6.47,6.47,6.27,6.34,85420
2023-02-08 00:00:00+05:30,6.38,6.54,6.36,6.43,119233
2023-02-09 00:00:00+05:30,6.4,6.4,6.29,6.34,93708
2023-02-10 00:00:00+05:30,6.36,7.56,6.33,6.65,1724944
2023-02-13 00:00:00+05:30,6.73,6.73,6.42,6.45,144096
2023-02-14 00:00:00+05:30,6.38,6.9,6.15,6.43,161205
2023-02-15 00:00:00+05:30,6.55,6.55,6.16,6.25,114592
2023-02-16 00:00:00+05:30,6.45,6.53,6.27,6.34,67936
2023-02-17 00:00:00+05:30,6.42,6.42,6.13,6.15,166648
2023-02-20 00:00:00+05:30,6.09,6.29,6.0,6.03,376616
2023-02-21 00:00:00+05:30,6.15,6.15,5.89,5.98,286940
2023-02-22 00:00:00+05:30,5.89,6.19,5.89,5.98,378776
2023-02-23 00:00:00+05:30,6.08,6.16,5.74,5.92,437345
2023-02-24 00:00:00+05:30,5.92,6.06,5.76,5.84,124056
2023-02-27 00:00:00+05:30,5.87,6.03,5.72,5.85,116538
2023-02-28 00:00:00+05:30,6.0,6.08,5.94,5.98,190345
2023-03-01 00:00:00+05:30,6.06,6.1,5.81,5.99,122484
2023-03-02 00:00:00+05:30,6.07,6.22,5.9,5.93,499132
2023-03-03 00:00:00+05:30,5.94,6.07,5.89,6.04,240840
2023-03-06 00:00:00+05:30,6.15,6.15,5.99,6.04,474280
2023-03-08 00:00:00+05:30,6.04,6.19,5.87,6.06,421016
2023-03-09 00:00:00+05:30,6.21,6.26,5.96,6.04,770706
2023-03-10 00:00:00+05:30,6.02,6.12,5.95,6.01,180389
2023-03-13 00:00:00+05:30,6.17,6.17,5.79,6.0,287079
2023-03-14 00:00:00+05:30,6.02,6.06,5.84,5.93,240348
2023-03-15 00:00:00+05:30,6.13,6.13,5.65,5.74,208792
2023-03-16 00:00:00+05:30,5.98,5.98,5.69,5.85,129969
2023-03-17 00:00:00+05:30,5.93,6.0,5.81,5.86,222116
2023-03-20 00:00:00+05:30,5.84,6.05,5.74,5.92,83698
2023-03-21 00:00:00+05:30,5.98,6.34,5.78,5.97,889778
2023-03-22 00:00:00+05:30,5.94,5.98,5.69,5.76,475007
2023-03-23 00:00:00+05:30,5.83,6.0,5.75,5.87,223003
2023-03-24 00:00:00+05:30,5.87,5.94,5.83,5.84,163814
2023-03-27 00:00:00+05:30,5.83,5.87,5.61,5.72,115234
2023-03-28 00:00:00+05:30,5.7,5.8,5.54,5.67,279187
2023-03-29 00:00:00+05:30,5.7,5.76,5.47,5.59,324474
2023-03-31 00:00:00+05:30,5.63,5.78,5.61,5.7,167418
2023-04-03 00:00:00+05:30,5.7,5.93,5.7,5.74,179277
2023-04-05 00:00:00+05:30,5.89,6.14,5.69,6.1,211882
2023-04-06 00:00:00+05:30,6.13,6.23,6.08,6.1,72951
2023-04-10 00:00:00+05:30,6.27,6.27,5.82,6.23,108625
2023-04-11 00:00:00+05:30,6.24,6.25,6.01,6.02,53810
2023-04-12 00:00:00+05:30,5.91,6.25,5.91,6.13,183320
2023-04-13 00:00:00+05:30,6.4,6.4,6.13,6.15,89174
2023-04-17 00:00:00+05:30,6.32,6.32,6.1,6.17,149100
2023-04-18 00:00:00+05:30,6.25,6.53,6.13,6.26,252026
2023-04-19 00:00:00+05:30,6.42,6.42,6.02,6.06,197745
2023-04-20 00:00:00+05:30,6.0,6.08,5.97,6.0,177449
2023-04-21 00:00:00+05:30,6.1,6.35,6.03,6.29,186496
2023-04-24 00:00:00+05:30,6.29,6.36,6.25,6.33,70000
2023-04-25 00:00:00+05:30,6.22,6.31,6.1,6.16,39566
2023-04-26 00:00:00+05:30,6.17,6.21,6.0,6.15,80415
2023-04-27 00:00:00+05:30,6.18,6.23,6.07,6.15,56184
2023-04-28 00:00:00+05:30,6.17,6.25,6.12,6.13,71240
2023-05-02 00:00:00+05:30,6.26,6.26,5.99,6.1,158179
2023-05-03 00:00:00+05:30,6.11,6.19,6.07,6.08,27087
2023-05-04 00:00:00+05:30,6.11,6.4,6.03,6.3,185608
2023-05-05 00:00:00+05:30,6.3,6.37,6.1,6.15,46046
2023-05-08 00:00:00+05:30,6.16,6.32,6.15,6.19,75454
2023-05-09 00:00:00+05:30,6.35,6.35,6.09,6.13,74866
2023-05-10 00:00:00+05:30,6.15,6.24,6.02,6.08,64600
2023-05-11 00:00:00+05:30,6.23,6.23,6.06,6.13,52826
2023-05-12 00:00:00+05:30,6.15,6.3,6.04,6.12,58141
2023-05-15 00:00:00+05:30,5.99,6.25,5.98,6.04,108989
2023-05-16 00:00:00+05:30,6.2,6.21,5.81,5.96,53960
2023-05-17 00:00:00+05:30,6.04,6.21,5.97,6.08,115394
2023-05-18 00:00:00+05:30,6.26,6.26,5.98,6.01,147988
2023-05-19 00:00:00+05:30,6.15,6.19,5.98,6.04,80587
2023-05-22 00:00:00+05:30,6.13,6.16,6.0,6.05,63284
2023-05-23 00:00:00+05:30,6.0,6.18,6.0,6.03,42881
2023-05-24 00:00:00+05:30,6.01,6.17,6.0,6.06,137102
2023-05-25 00:00:00+05:30,6.15,6.81,6.08,6.58,778768
2023-05-26 00:00:00+05:30,6.77,6.77,6.53,6.62,258506
2023-05-29 00:00:00+05:30,6.75,6.75,6.45,6.49,87954
2023-05-30 00:00:00+05:30,6.51,6.63,6.27,6.29,113769
2023-05-31 00:00:00+05:30,5.99,6.13,5.8,6.05,446488
2023-06-01 00:00:00+05:30,6.05,6.47,6.01,6.19,286170
2023-06-02 00:00:00+05:30,6.45,6.73,6.21,6.51,902514
2023-06-05 00:00:00+05:30,6.46,6.62,6.26,6.34,409969
2023-06-06 00:00:00+05:30,6.39,6.55,6.32,6.37,132878
2023-06-07 00:00:00+05:30,6.36,6.46,6.34,6.36,176048
2023-06-08 00:00:00+05:30,6.45,6.45,6.27,6.32,196815
2023-06-09 00:00:00+05:30,6.43,6.43,6.13,6.16,552087
2023-06-12 00:00:00+05:30,6.31,6.43,6.16,6.3,454540
2023-06-13 00:00:00+05:30,6.43,6.43,6.22,6.31,520936
2023-06-14 00:00:00+05:30,6.41,6.42,6.33,6.35,373526
2023-06-15 00:00:00+05:30,6.4,6.43,6.28,6.34,528336
2023-06-16 00:00:00+05:30,6.43,6.49,6.3,6.34,458850
2023-06-19 00:00:00+05:30,6.54,6.61,6.34,6.43,811961
2023-06-20 00:00:00+05:30,6.5,6.5,6.27,6.36,275637
2023-06-21 00:00:00+05:30,6.43,6.99,6.36,6.86,1662184
2023-06-22 00:00:00+05:30,6.86,7.18,6.73,6.97,1279408
2023-06-23 00:00:00+05:30,7.01,7.01,6.65,6.84,528058
2023-06-26 00:00:00+05:30,6.99,7.09,6.88,7.0,514509
2023-06-27 00:00:00+05:30,7.17,7.27,6.93,7.01,694995
2023-06-28 00:00:00+05:30,7.08,7.18,7.01,7.11,352470
2023-06-30 00:00:00+05:30,7.2,7.71,7.2,7.47,1508689
2023-07-03 00:00:00+05:30,7.55,7.84,7.43,7.74,932103
2023-07-04 00:00:00+05:30,7.8,8.19,7.67,7.97,1055635
2023-07-05 00:00:00+05:30,8.1,8.13,7.29,7.54,1202447
2023-07-06 00:00:00+05:30,7.69,7.82,7.56,7.61,352342
2023-07-07 00:00:00+05:30,7.66,7.81,7.53,7.63,233408
2023-07-10 00:00:00+05:30,7.75,7.75,7.39,7.43,460646
2023-07-11 00:00:00+05:30,7.43,7.59,7.41,7.43,320176
2023-07-12 00:00:00+05:30,7.57,7.59,7.39,7.41,266975
2023-07-13 00:00:00+05:30,7.36,7.72,7.36,7.4,374456
2023-07-14 00:00:00+05:30,7.52,7.52,7.07,7.21,444606
2023-07-17 00:00:00+05:30,7.18,7.43,7.18,7.27,248090
2023-07-18 00:00:00+05:30,7.28,7.39,7.2,7.31,543906
2023-07-19 00:00:00+05:30,7.37,7.71,7.22,7.44,773176
2023-07-20 00:00:00+05:30,7.48,7.61,7.46,7.54,305515
2023-07-21 00:00:00+05:30,7.6,7.64,7.3,7.39,275220
2023-07-24 00:00:00+05:30,7.83,7.83,7.43,7.61,289966
2023-07-25 00:00:00+05:30,7.72,7.95,7.39,7.8,666080
2023-07-26 00:00:00+05:30,7.99,7.99,7.65,7.89,266376
2023-07-27 00:00:00+05:30,7.98,8.14,7.8,7.93,365334
2023-07-28 00:00:00+05:30,7.95,8.09,7.86,7.98,408494
2023-07-31 00:00:00+05:30,8.27,8.3,8.14,8.21,669587
2023-08-01 00:00:00+05:30,8.4,9.7,8.32,9.2,4924091
2023-08-02 00:00:00+05:30,9.26,9.29,8.17,8.46,3016479
2023-08-03 00:00:00+05:30,8.56,8.86,8.37,8.66,1027297
2023-08-04 00:00:00+05:30,8.6,8.69,8.23,8.24,272547
2023-08-07 00:00:00+05:30,8.59,8.59,7.86,8.06,241364
2023-08-08 00:00:00+05:30,8.12,8.32,7.95,8.24,347262
2023-08-09 00:00:00+05:30,8.46,8.6,8.27,8.49,218672
2023-08-10 00:00:00+05:30,8.87,8.87,8.42,8.47,315417
2023-08-11 00:00:00+05:30,8.6,8.73,8.32,8.4,131167
2023-08-14 00:00:00+05:30,8.32,8.7,7.98,7.98,247545
2023-08-16 00:00:00+05:30,7.8,7.87,7.57,7.81,467265
2023-08-17 00:00:00+05:30,7.81,7.92,7.67,7.72,130247
2023-08-18 00:00:00+05:30,7.72,7.81,7.34,7.5,269274
2023-08-21 00:00:00+05:30,7.19,7.66,7.19,7.37,287539
2023-08-22 00:00:00+05:30,7.53,7.53,7.07,7.18,167600
2023-08-23 00:00:00+05:30,7.11,7.52,7.06,7.39,159633
2023-08-24 00:00:00+05:30,7.39,7.57,7.29,7.43,154009
2023-08-25 00:00:00+05:30,7.43,7.61,7.07,7.18,187030
2023-08-28 00:00:00+05:30,7.2,7.35,7.12,7.31,142780
2023-08-29 00:00:00+05:30,7.47,7.66,7.29,7.33,98520
2023-08-30 00:00:00+05:30,7.33,7.54,7.33,7.43,96638
2023-08-31 00:00:00+05:30,7.57,7.57,7.31,7.39,107962
2023-09-01 00:00:00+05:30,7.29,7.74,7.29,7.43,146470
2023-09-04 00:00:00+05:30,7.61,7.66,7.41,7.44,177962
2023-09-05 00:00:00+05:30,7.44,7.59,7.39,7.41,83356
2023-09-06 00:00:00+05:30,7.55,7.56,7.29,7.33,122302
2023-09-07 00:00:00+05:30,7.56,7.56,7.07,7.26,198740
2023-09-08 00:00:00+05:30,7.32,7.37,7.11,7.14,192195
2023-09-11 00:00:00+05:30,7.29,7.29,7.11,7.14,177866
2023-09-12 00:00:00+05:30,7.28,7.28,6.79,6.94,267371
2023-09-13 00:00:00+05:30,7.06,7.09,6.73,6.85,251897
2023-09-14 00:00:00+05:30,6.93,7.0,6.85,6.94,66075
2023-09-15 00:00:00+05:30,6.94,6.98,6.85,6.97,174048
2023-09-18 00:00:00+05:30,6.96,7.24,6.96,7.2,135519
2023-09-20 00:00:00+05:30,7.24,7.24,7.03,7.1,113416
2023-09-21 00:00:00+05:30,7.03,7.29,7.01,7.24,44795
2023-09-22 00:00:00+05:30,7.46,7.46,7.11,7.14,148330
2023-09-25 00:00:00+05:30,7.18,7.29,7.05,7.28,67583
2023-09-26 00:00:00+05:30,7.28,7.28,7.09,7.18,60194
2023-09-27 00:00:00+05:30,7.18,7.23,6.83,6.83,291485
2023-09-28 00:00:00+05:30,6.85,6.98,6.49,6.54,625412
2023-09-29 00:00:00+05:30,6.56,6.81,6.54,6.64,272172
2023-10-03 00:00:00+05:30,6.66,6.71,6.55,6.7,68086
2023-10-04 00:00:00+05:30,6.71,6.71,6.49,6.61,98028
2023-10-05 00:00:00+05:30,6.61,6.83,6.61,6.7,86607
2023-10-06 00:00:00+05:30,6.67,6.73,6.56,6.72,114015
2023-10-09 00:00:00+05:30,6.68,6.71,6.5,6.54,184218
2023-10-10 00:00:00+05:30,6.56,6.71,6.55,6.66,77143
2023-10-11 00:00:00+05:30,6.69,6.87,6.69,6.73,87484
2023-10-12 00:00:00+05:30,7.0,7.0,6.66,6.78,43566
2023-10-13 00:00:00+05:30,6.81,6.99,6.57,6.73,78619
2023-10-16 00:00:00+05:30,7.01,7.01,6.56,6.6,117896
2023-10-17 00:00:00+05:30,6.64,6.81,6.58,6.67,104476
2023-10-18 00:00:00+05:30,6.68,6.77,6.58,6.59,146673
2023-10-19 00:00:00+05:30,6.59,6.81,6.49,6.68,63413
2023-10-20 00:00:00+05:30,6.7,6.83,6.62,6.7,108016
2023-10-23 00:00:00+05:30,6.7,6.73,6.38,6.56,90703
2023-10-25 00:00:00+05:30,6.63,6.71,6.27,6.35,68749
2023-10-26 00:00:00+05:30,6.35,6.35,6.03,6.27,157634
2023-10-27 00:00:00+05:30,6.27,6.55,6.24,6.41,187586
2023-10-30 00:00:00+05:30,6.41,6.51,6.28,6.48,132750
2023-10-31 00:00:00+05:30,6.48,6.62,6.38,6.55,55863
2023-11-01 00:00:00+05:30,6.45,6.64,6.45,6.62,161152
2023-11-02 00:00:00+05:30,6.63,6.66,6.59,6.62,69850
2023-11-03 00:00:00+05:30,6.64,6.95,6.64,6.94,241439
2023-11-06 00:00:00+05:30,7.48,7.69,7.22,7.41,1049925
2023-11-07 00:00:00+05:30,7.39,8.41,7.35,8.1,1428188
2023-11-08 00:00:00+05:30,8.6,9.16,7.26,7.8,8833963
2023-11-09 00:00:00+05:30,7.94,8.14,7.59,7.67,810175
2023-11-10 00:00:00+05:30,7.84,7.87,7.01,7.24,677094
2023-11-12 00:00:00+05:30,7.53,7.55,7.01,7.16,506072
2023-11-13 00:00:00+05:30,7.27,7.74,7.22,7.46,845774
2023-11-15 00:00:00+05:30,7.57,7.67,7.44,7.5,598989
2023-11-16 00:00:00+05:30,7.65,7.65,7.43,7.56,274086
2023-11-17 00:00:00+05:30,7.6,7.83,7.54,7.58,456165
2023-11-20 00:00:00+05:30,7.74,7.74,7.43,7.45,167696
2023-11-21 00:00:00+05:30,7.45,7.59,7.29,7.46,511686
2023-11-22 00:00:00+05:30,7.3,7.53,7.29,7.33,152693
2023-11-23 00:00:00+05:30,7.45,7.48,7.3,7.35,97482
2023-11-24 00:00:00+05:30,7.5,7.5,7.02,7.14,483145
2023-11-28 00:00:00+05:30,7.28,7.31,7.17,7.26,164820
2023-11-29 00:00:00+05:30,7.26,7.37,7.2,7.22,204867
2023-11-30 00:00:00+05:30,7.26,7.29,7.11,7.12,166691
2023-12-01 00:00:00+05:30,7.12,7.67,7.12,7.43,424309
2023-12-04 00:00:00+05:30,7.6,7.67,7.39,7.44,430619
2023-12-05 00:00:00+05:30,7.64,7.8,7.44,7.61,706491
2023-12-06 00:00:00+05:30,7.71,7.74,7.41,7.44,458475
2023-12-07 00:00:00+05:30,7.64,7.93,7.44,7.67,591107
2023-12-08 00:00:00+05:30,7.78,7.91,7.48,7.54,266023
