date,open,high,low,close,volume
2007-11-02 00:00:00+05:30,47.1,47.1,43.35,45.05,27939
2007-11-05 00:00:00+05:30,43.95,45.8,43.95,45.25,5958
2007-11-06 00:00:00+05:30,44.5,46.6,43.2,43.6,5584
2007-11-07 00:00:00+05:30,43.95,48.4,43.15,47.55,25518
2007-11-08 00:00:00+05:30,47.0,48.3,45.25,47.0,19855
2007-11-09 00:00:00+05:30,47.1,47.1,44.65,46.2,579
2007-11-12 00:00:00+05:30,43.25,47.1,42.9,45.05,8777
2007-11-13 00:00:00+05:30,45.65,46.3,43.95,45.15,16502
2007-11-14 00:00:00+05:30,45.8,48.7,43.2,47.4,14952
2007-11-15 00:00:00+05:30,50.75,56.8,48.4,50.65,59609
2007-11-16 00:00:00+05:30,53.5,53.65,49.75,49.85,16610
2007-11-19 00:00:00+05:30,51.4,51.4,48.4,50.75,10626
2007-11-20 00:00:00+05:30,50.65,51.7,49.75,50.25,24166
2007-11-21 00:00:00+05:30,50.05,51.05,49.65,50.35,15974
2007-11-22 00:00:00+05:30,50.4,52.2,49.1,49.15,15761
2007-11-23 00:00:00+05:30,51.95,51.95,49.1,49.35,19520
2007-11-26 00:00:00+05:30,50.35,52.6,50.35,51.6,10100
2007-11-27 00:00:00+05:30,51.05,53.0,50.9,52.15,12162
2007-11-28 00:00:00+05:30,53.0,53.25,50.4,50.65,14492
2007-11-29 00:00:00+05:30,52.2,53.5,51.15,53.1,9472
2007-11-30 00:00:00+05:30,52.35,55.65,51.15,53.15,19260
2007-12-03 00:00:00+05:30,55.5,58.9,53.9,56.45,12788
2007-12-04 00:00:00+05:30,56.25,58.35,56.2,57.55,5584
2007-12-05 00:00:00+05:30,57.3,58.9,56.55,57.85,17473
2007-12-06 00:00:00+05:30,58.9,64.8,57.3,58.4,78420
2007-12-07 00:00:00+05:30,64.8,64.8,56.95,63.0,13416
2007-12-10 00:00:00+05:30,64.1,64.8,57.25,58.85,17037
2007-12-11 00:00:00+05:30,63.5,64.5,57.2,57.6,14837
2007-12-12 00:00:00+05:30,57.6,60.85,56.3,58.9,5339
2007-12-13 00:00:00+05:30,56.95,60.2,56.95,59.95,11910
2007-12-14 00:00:00+05:30,60.2,62.6,59.55,60.95,16906
2007-12-17 00:00:00+05:30,62.15,62.15,58.6,59.7,17151
2007-12-18 00:00:00+05:30,62.15,62.15,57.6,60.3,17395
2007-12-19 00:00:00+05:30,59.95,62.15,59.7,61.25,3222
2007-12-20 00:00:00+05:30,60.6,62.8,57.3,58.65,48324
2007-12-24 00:00:00+05:30,59.75,62.3,59.75,61.45,4132
2007-12-26 00:00:00+05:30,59.3,68.05,54.35,66.15,45696
2007-12-27 00:00:00+05:30,66.75,69.4,66.75,68.45,14072
2007-12-28 00:00:00+05:30,69.4,81.15,69.4,78.95,238464
2007-12-31 00:00:00+05:30,84.3,94.75,84.3,92.1,465302
2008-01-01 00:00:00+05:30,98.15,98.15,89.75,90.9,135204
2008-01-02 00:00:00+05:30,95.4,95.4,89.65,91.15,66921
2008-01-03 00:00:00+05:30,89.65,91.1,85.1,88.45,34740
2008-01-04 00:00:00+05:30,88.85,90.3,85.7,86.75,20902
2008-01-07 00:00:00+05:30,88.35,88.35,81.8,83.4,64454
2008-01-08 00:00:00+05:30,86.35,86.35,80.5,81.1,22851
2008-01-09 00:00:00+05:30,82.45,83.75,78.55,81.05,74562
2008-01-10 00:00:00+05:30,81.8,85.1,80.9,82.4,35473
2008-01-11 00:00:00+05:30,80.5,84.15,78.65,81.95,33571
2008-01-14 00:00:00+05:30,83.1,84.4,80.5,81.25,48133
2008-01-15 00:00:00+05:30,83.75,84.2,79.85,80.3,24249
2008-01-16 00:00:00+05:30,82.35,82.45,77.35,80.25,43335
2008-01-17 00:00:00+05:30,82.2,82.2,78.8,79.7,11015
2008-01-18 00:00:00+05:30,82.45,82.45,78.65,79.9,15341
2008-01-21 00:00:00+05:30,75.9,78.55,71.9,72.95,19351
