date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,11.2,11.95,10.4,10.6,544
2015-01-02 00:00:00+05:30,10.7,11.5,10.7,10.85,13
2015-01-05 00:00:00+05:30,11.5,11.7,10.75,11.4,1904
2015-01-06 00:00:00+05:30,10.5,10.5,10.5,10.5,200
2015-01-07 00:00:00+05:30,10.05,11.95,10.0,10.65,4040
2015-01-08 00:00:00+05:30,11.4,11.4,10.65,10.65,1805
2015-01-09 00:00:00+05:30,10.55,11.45,10.55,11.45,300
2015-01-12 00:00:00+05:30,10.5,11.0,10.1,10.95,2213
2015-01-13 00:00:00+05:30,10.9,11.2,10.9,11.2,300
2015-01-14 00:00:00+05:30,10.6,11.1,10.5,10.5,479
2015-01-15 00:00:00+05:30,10.55,10.75,10.25,10.5,42
2015-01-16 00:00:00+05:30,10.55,10.55,10.15,10.45,100
2015-01-19 00:00:00+05:30,10.25,10.6,10.15,10.5,2325
2015-01-20 00:00:00+05:30,10.15,11.3,10.15,11.25,4733
2015-01-21 00:00:00+05:30,10.5,11.3,10.5,10.65,639
2015-01-22 00:00:00+05:30,10.65,11.0,10.65,10.65,952
2015-01-23 00:00:00+05:30,10.55,10.55,10.1,10.15,7269
2015-01-27 00:00:00+05:30,11.0,11.25,10.65,11.25,7585
2015-01-28 00:00:00+05:30,11.1,11.35,10.6,11.3,2014
2015-01-29 00:00:00+05:30,10.9,11.25,10.3,11.25,2259
2015-02-02 00:00:00+05:30,10.4,10.4,10.4,10.4,200
2015-02-03 00:00:00+05:30,10.3,10.3,10.3,10.3,17
2015-02-05 00:00:00+05:30,10.25,10.25,10.25,10.25,600
2015-02-09 00:00:00+05:30,10.0,10.7,9.69,10.5,733
2015-02-10 00:00:00+05:30,9.6,9.6,9.6,9.6,290
2015-02-12 00:00:00+05:30,10.5,10.5,9.65,10.15,862
2015-02-13 00:00:00+05:30,9.5,10.25,9.5,10.25,101
2015-02-16 00:00:00+05:30,9.75,10.0,9.25,9.8,12400
2015-02-18 00:00:00+05:30,8.85,9.35,8.85,9.0,700
2015-02-19 00:00:00+05:30,9.15,9.19,9.15,9.19,57
2015-02-20 00:00:00+05:30,9.3,9.94,9.3,9.94,15917
2015-02-23 00:00:00+05:30,10.0,10.0,9.55,9.6,3655
2015-02-24 00:00:00+05:30,10.25,10.25,9.1,9.85,621
2015-02-25 00:00:00+05:30,9.15,9.3,9.15,9.3,415
2015-02-26 00:00:00+05:30,10.0,10.0,10.0,10.0,200
2015-02-27 00:00:00+05:30,10.0,10.0,9.25,9.25,2
2015-03-02 00:00:00+05:30,9.25,9.25,9.25,9.25,5
2015-03-03 00:00:00+05:30,9.35,9.9,9.19,9.25,1523
2015-03-04 00:00:00+05:30,9.8,9.8,9.19,9.19,333
2015-03-05 00:00:00+05:30,9.0,9.69,8.3,8.65,7560
2015-03-09 00:00:00+05:30,8.5,9.4,8.5,9.0,128
2015-03-10 00:00:00+05:30,9.0,9.0,8.8,8.8,105
2015-03-11 00:00:00+05:30,8.69,9.0,8.35,8.35,7688
2015-03-12 00:00:00+05:30,8.94,8.94,8.0,8.69,15083
2015-03-13 00:00:00+05:30,8.05,8.9,8.0,8.5,2283
2015-03-16 00:00:00+05:30,8.0,8.4,8.0,8.4,934
2015-03-17 00:00:00+05:30,8.3,8.3,7.6,7.6,17208
2015-03-18 00:00:00+05:30,8.0,8.0,7.25,7.25,2315
2015-03-19 00:00:00+05:30,7.6,7.6,6.9,7.0,4223
2015-03-20 00:00:00+05:30,6.8,7.35,6.65,6.7,14107
2015-03-23 00:00:00+05:30,7.0,7.0,7.0,7.0,1
2015-03-24 00:00:00+05:30,6.65,7.2,6.65,7.1,4061
2015-03-25 00:00:00+05:30,7.25,7.25,6.75,6.75,669
2015-03-26 00:00:00+05:30,6.9,6.95,6.5,6.5,255
2015-03-27 00:00:00+05:30,6.5,6.8,6.2,6.2,2335
2015-03-30 00:00:00+05:30,6.0,6.45,6.0,6.1,5223
2015-03-31 00:00:00+05:30,6.0,6.35,6.0,6.05,9660
2015-04-01 00:00:00+05:30,6.2,6.35,6.1,6.35,9639
2015-04-06 00:00:00+05:30,6.65,6.65,6.55,6.65,1023
2015-04-07 00:00:00+05:30,6.95,6.95,6.95,6.95,297
2015-04-08 00:00:00+05:30,7.25,7.25,6.7,7.25,3840
2015-04-09 00:00:00+05:30,7.6,7.6,7.6,7.6,1095
2015-04-10 00:00:00+05:30,7.3,7.95,7.3,7.95,3942
2015-04-13 00:00:00+05:30,8.25,8.3,8.19,8.3,4310
2015-04-15 00:00:00+05:30,8.69,8.69,8.35,8.69,4832
2015-04-16 00:00:00+05:30,9.1,9.1,8.44,9.1,9569
2015-04-17 00:00:00+05:30,9.44,9.55,8.75,9.4,5822
2015-04-20 00:00:00+05:30,9.75,9.75,9.75,9.75,35
2015-04-21 00:00:00+05:30,9.3,9.94,9.3,9.85,2727
2015-04-22 00:00:00+05:30,10.1,10.1,9.4,9.4,4358
2015-04-29 00:00:00+05:30,8.94,8.94,8.94,8.94,10
2015-05-04 00:00:00+05:30,8.55,8.55,8.55,8.55,1
2015-05-05 00:00:00+05:30,8.3,8.94,8.3,8.94,2
2015-05-08 00:00:00+05:30,8.94,9.35,8.55,8.69,4819
2015-05-11 00:00:00+05:30,8.35,9.1,8.35,9.1,1390
2015-05-12 00:00:00+05:30,8.75,9.5,8.75,9.5,171
2015-05-13 00:00:00+05:30,9.05,9.05,9.05,9.05,500
2015-05-14 00:00:00+05:30,8.6,8.6,8.6,8.6,236
