date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,427.0,438.0,427.0,431.45,40609
2015-02-02 10:15:00+05:30,431.4,451.95,431.0,451.95,118562
2015-02-02 11:15:00+05:30,451.95,451.95,451.95,451.95,2101
2015-02-02 12:15:00+05:30,451.95,451.95,451.95,451.95,1696
2015-02-02 13:15:00+05:30,451.95,451.95,451.95,451.95,1891
2015-02-02 14:15:00+05:30,451.95,451.95,451.95,451.95,3486
2015-02-02 15:15:00+05:30,451.95,451.95,451.95,451.95,395
2015-02-03 09:15:00+05:30,463.3,466.9,444.75,449.4,109546
2015-02-03 10:15:00+05:30,449.4,449.7,445.0,448.0,13066
2015-02-03 11:15:00+05:30,448.6,449.7,434.85,438.95,75246
2015-02-03 12:15:00+05:30,438.95,442.95,436.4,440.05,20250
2015-02-03 13:15:00+05:30,440.0,443.7,439.0,441.65,18280
2015-02-03 14:15:00+05:30,441.65,442.9,437.0,438.0,19223
2015-02-03 15:15:00+05:30,438.0,438.0,433.25,436.6,27739
2015-02-04 09:15:00+05:30,438.0,442.7,432.0,435.8,47236
2015-02-04 10:15:00+05:30,435.15,445.95,435.0,441.3,43526
2015-02-04 11:15:00+05:30,441.3,442.25,434.5,434.7,16095
2015-02-04 12:15:00+05:30,434.7,439.95,434.7,438.9,9713
2015-02-04 13:15:00+05:30,438.9,439.0,434.55,436.0,15101
2015-02-04 14:15:00+05:30,436.0,440.0,431.25,432.0,27673
2015-02-04 15:15:00+05:30,432.0,433.9,431.35,432.8,15349
2015-02-05 09:15:00+05:30,438.0,442.0,435.0,437.3,23844
2015-02-05 10:15:00+05:30,437.3,441.9,436.0,436.2,15423
2015-02-05 11:15:00+05:30,436.2,436.85,434.0,436.1,3420
2015-02-05 12:15:00+05:30,436.1,436.8,434.0,435.45,2887
2015-02-05 13:15:00+05:30,435.45,454.75,435.0,444.5,198274
2015-02-05 14:15:00+05:30,444.5,445.5,433.0,434.9,45658
2015-02-05 15:15:00+05:30,436.0,436.0,431.3,434.2,12556
2015-02-06 09:15:00+05:30,436.0,447.0,432.55,437.25,57046
2015-02-06 10:15:00+05:30,437.25,438.8,426.05,428.95,30518
2015-02-06 11:15:00+05:30,428.95,431.4,419.75,424.85,23806
2015-02-06 12:15:00+05:30,424.85,427.05,423.6,423.65,8929
2015-02-06 13:15:00+05:30,424.0,424.0,415.55,416.9,22559
2015-02-06 14:15:00+05:30,416.9,419.0,410.05,416.8,36773
2015-02-06 15:15:00+05:30,416.4,420.0,413.3,417.0,22462
2015-02-09 09:15:00+05:30,411.0,416.25,401.0,409.65,34441
2015-02-09 10:15:00+05:30,409.65,434.55,409.0,424.0,83654
2015-02-09 11:15:00+05:30,424.0,426.6,416.75,418.5,10767
2015-02-09 12:15:00+05:30,418.5,427.85,417.05,425.8,11952
2015-02-09 13:15:00+05:30,425.8,426.95,418.0,418.8,7741
2015-02-09 14:15:00+05:30,418.8,419.65,412.75,414.9,38303
2015-02-09 15:15:00+05:30,414.9,420.0,414.0,420.0,16460
2015-02-10 09:15:00+05:30,417.0,429.7,414.4,423.7,26793
2015-02-10 10:15:00+05:30,423.7,427.25,418.6,424.45,17171
