date,open,high,low,close,volume
2020-12-24 00:00:00+05:30,500.0,600.0,500.0,594.2,37066792
2020-12-28 00:00:00+05:30,604.3,624.0,538.3,559.15,12523905
2020-12-29 00:00:00+05:30,553.0,564.45,517.1,521.35,6256476
2020-12-30 00:00:00+05:30,520.0,538.0,507.15,514.75,5803600
2020-12-31 00:00:00+05:30,517.8,524.95,510.0,514.35,2382600
2021-01-01 00:00:00+05:30,516.0,519.45,501.25,502.7,2117248
2021-01-04 00:00:00+05:30,503.2,505.4,467.5,470.15,3119301
2021-01-05 00:00:00+05:30,460.0,489.9,450.1,475.85,4837879
2021-01-06 00:00:00+05:30,476.0,481.7,461.7,464.15,1166890
2021-01-07 00:00:00+05:30,461.1,468.05,455.1,455.85,713031
2021-01-08 00:00:00+05:30,457.0,467.9,453.7,456.8,955664
2021-01-11 00:00:00+05:30,465.0,465.0,451.0,453.5,789630
2021-01-12 00:00:00+05:30,451.0,451.0,435.0,436.7,1304843
2021-01-13 00:00:00+05:30,437.0,443.9,427.0,429.05,720330
2021-01-14 00:00:00+05:30,428.0,445.4,422.45,438.85,1253003
2021-01-15 00:00:00+05:30,438.0,459.9,438.0,449.05,1588383
2021-01-18 00:00:00+05:30,453.0,453.0,432.0,433.95,455523
2021-01-19 00:00:00+05:30,439.45,443.7,434.0,434.7,363002
2021-01-20 00:00:00+05:30,434.7,439.5,430.0,431.35,370929
2021-01-21 00:00:00+05:30,430.0,432.0,407.1,409.85,2927474
2021-01-22 00:00:00+05:30,410.0,427.9,394.0,396.55,1827611
2021-01-25 00:00:00+05:30,397.25,400.6,377.0,392.45,1026018
2021-01-27 00:00:00+05:30,392.0,395.8,384.05,386.5,562871
2021-01-28 00:00:00+05:30,380.0,391.45,379.65,384.0,463043
2021-01-29 00:00:00+05:30,388.0,389.75,372.5,374.95,382485
2021-02-01 00:00:00+05:30,372.0,382.3,370.6,376.2,639305
2021-02-02 00:00:00+05:30,382.0,408.95,378.65,405.15,1499601
2021-02-03 00:00:00+05:30,410.0,419.15,402.6,411.3,1023770
2021-02-04 00:00:00+05:30,415.2,423.95,411.4,418.5,685406
2021-02-05 00:00:00+05:30,424.0,426.9,409.6,410.85,658799
2021-02-08 00:00:00+05:30,417.8,421.9,409.0,410.3,803027
2021-02-09 00:00:00+05:30,413.0,413.7,395.0,397.15,734358
2021-02-10 00:00:00+05:30,398.95,399.0,386.25,389.3,680537
2021-02-11 00:00:00+05:30,389.5,394.0,386.2,387.2,445939
2021-02-12 00:00:00+05:30,390.0,396.9,387.9,391.1,698854
2021-02-15 00:00:00+05:30,392.0,395.45,386.85,392.1,302556
2021-02-16 00:00:00+05:30,391.75,393.55,381.6,384.3,464991
2021-02-17 00:00:00+05:30,382.5,387.9,380.2,384.95,372380
2021-02-18 00:00:00+05:30,386.0,410.0,381.85,405.8,1136869
2021-02-19 00:00:00+05:30,406.65,418.85,400.0,403.5,808501
2021-02-22 00:00:00+05:30,406.65,406.65,393.6,395.25,300877
2021-02-23 00:00:00+05:30,395.0,415.95,394.75,405.3,876903
2021-02-24 00:00:00+05:30,408.4,412.45,402.5,406.35,234201
2021-02-25 00:00:00+05:30,407.6,411.5,403.0,408.25,316326
2021-02-26 00:00:00+05:30,402.0,407.85,396.35,400.15,470941
2021-03-01 00:00:00+05:30,405.0,405.0,390.2,392.25,648802
2021-03-02 00:00:00+05:30,395.0,400.45,393.05,395.3,407258
2021-03-03 00:00:00+05:30,397.0,407.0,394.0,394.9,617417
2021-03-04 00:00:00+05:30,394.05,400.0,393.0,395.9,354768
2021-03-05 00:00:00+05:30,395.9,400.5,393.0,393.8,360583
2021-03-08 00:00:00+05:30,394.1,396.8,390.0,390.4,253632
2021-03-09 00:00:00+05:30,391.5,397.45,385.05,386.95,367294
2021-03-10 00:00:00+05:30,389.95,391.7,385.75,386.25,206693
2021-03-12 00:00:00+05:30,390.75,390.75,380.05,381.0,301892
2021-03-15 00:00:00+05:30,381.0,382.35,370.65,375.1,322593
2021-03-16 00:00:00+05:30,375.0,381.85,373.65,375.25,331543
2021-03-17 00:00:00+05:30,376.95,376.95,362.0,362.95,282740
2021-03-18 00:00:00+05:30,370.85,370.85,349.05,352.4,421042
2021-03-19 00:00:00+05:30,352.0,352.4,337.5,345.85,411857
2021-03-22 00:00:00+05:30,344.4,356.0,342.05,347.5,480365
2021-03-23 00:00:00+05:30,350.0,355.95,343.0,345.4,340605
2021-03-24 00:00:00+05:30,343.25,351.0,340.15,347.6,332809
2021-03-25 00:00:00+05:30,346.0,349.35,333.5,337.85,407440
2021-03-26 00:00:00+05:30,340.65,343.0,330.0,331.4,331172
2021-03-30 00:00:00+05:30,334.9,350.75,328.4,340.3,503035
2021-03-31 00:00:00+05:30,341.65,344.2,333.1,336.6,393087
2021-04-01 00:00:00+05:30,340.5,346.5,337.7,345.4,286146
2021-04-05 00:00:00+05:30,343.5,346.95,338.3,341.05,317699
2021-04-06 00:00:00+05:30,341.15,370.85,339.0,367.65,769982
2021-04-07 00:00:00+05:30,365.5,374.45,360.0,365.15,535516
2021-04-08 00:00:00+05:30,368.95,371.0,363.45,366.9,297739
2021-04-09 00:00:00+05:30,365.95,367.5,358.0,359.8,265244
2021-04-12 00:00:00+05:30,341.0,352.25,338.05,347.05,415229
2021-04-13 00:00:00+05:30,342.3,350.6,340.8,346.7,167038
2021-04-15 00:00:00+05:30,344.0,348.0,341.0,344.05,208589
2021-04-16 00:00:00+05:30,350.0,365.0,347.0,360.15,302171
2021-04-19 00:00:00+05:30,353.0,353.0,344.0,351.15,254494
2021-04-20 00:00:00+05:30,352.0,366.0,352.0,361.05,301245
2021-04-22 00:00:00+05:30,355.0,366.0,354.6,356.75,168895
2021-04-23 00:00:00+05:30,356.0,369.9,354.65,366.75,316064
2021-04-26 00:00:00+05:30,366.75,370.8,362.0,363.6,124280
2021-04-27 00:00:00+05:30,365.0,366.7,362.5,365.3,102254
2021-04-28 00:00:00+05:30,365.3,369.25,361.6,362.25,116159
2021-04-29 00:00:00+05:30,364.9,365.9,355.8,358.65,218954
2021-04-30 00:00:00+05:30,356.95,362.0,354.05,355.55,141503
2021-05-03 00:00:00+05:30,354.85,360.0,351.0,354.95,142995
2021-05-04 00:00:00+05:30,355.2,361.0,354.0,355.6,209154
2021-05-05 00:00:00+05:30,355.0,359.5,353.95,356.1,108155
2021-05-06 00:00:00+05:30,356.1,394.65,355.1,387.95,1625892
2021-05-07 00:00:00+05:30,391.8,406.7,386.0,391.95,884009
2021-05-10 00:00:00+05:30,395.0,404.7,381.55,397.35,557256
2021-05-11 00:00:00+05:30,393.0,396.55,390.0,390.5,171602
2021-05-12 00:00:00+05:30,390.5,404.3,390.5,396.2,429704
2021-05-14 00:00:00+05:30,399.0,403.0,387.2,390.4,183249
2021-05-17 00:00:00+05:30,390.0,395.0,388.0,393.05,130639
2021-05-18 00:00:00+05:30,395.0,421.0,393.05,410.5,1681591
2021-05-19 00:00:00+05:30,410.9,414.5,400.9,403.55,372801
2021-05-20 00:00:00+05:30,405.8,408.05,393.05,394.95,322052
2021-05-21 00:00:00+05:30,398.95,404.95,397.8,398.6,254351
2021-05-24 00:00:00+05:30,401.0,411.7,398.35,402.55,389629
2021-05-25 00:00:00+05:30,403.05,422.85,402.6,411.3,1131053
2021-05-26 00:00:00+05:30,411.0,435.5,411.0,429.85,1956706
2021-05-27 00:00:00+05:30,435.0,435.0,414.4,418.95,528000
2021-05-28 00:00:00+05:30,422.0,425.0,412.25,416.95,314456
2021-05-31 00:00:00+05:30,413.05,435.0,413.05,419.65,532345
2021-06-01 00:00:00+05:30,420.0,426.5,410.1,412.05,328624
2021-06-02 00:00:00+05:30,413.8,422.8,411.0,414.1,292871
2021-06-03 00:00:00+05:30,416.95,424.45,416.85,419.55,352153
2021-06-04 00:00:00+05:30,420.0,427.85,420.0,422.6,429420
2021-06-07 00:00:00+05:30,427.0,443.5,427.0,431.3,1225601
2021-06-08 00:00:00+05:30,432.0,451.7,432.0,440.55,2139712
2021-06-09 00:00:00+05:30,442.0,446.1,418.2,421.35,818089
2021-06-10 00:00:00+05:30,425.9,426.75,419.25,420.65,373512
2021-06-11 00:00:00+05:30,423.5,427.75,417.05,419.05,301567
2021-06-14 00:00:00+05:30,419.1,421.3,408.0,418.8,265726
2021-06-15 00:00:00+05:30,420.5,424.7,418.0,422.4,207726
2021-06-16 00:00:00+05:30,422.5,422.5,414.0,414.9,190779
2021-06-17 00:00:00+05:30,414.65,417.1,405.3,409.15,227220
2021-06-18 00:00:00+05:30,410.0,412.9,395.1,400.4,230733
2021-06-21 00:00:00+05:30,400.0,409.15,396.3,404.9,218647
2021-06-22 00:00:00+05:30,406.2,412.9,405.55,407.75,178467
2021-06-23 00:00:00+05:30,409.5,411.0,403.8,405.9,158398
2021-06-24 00:00:00+05:30,406.0,408.4,400.1,401.6,112332
2021-06-25 00:00:00+05:30,402.0,406.5,400.55,401.2,116417
2021-06-28 00:00:00+05:30,402.05,406.05,397.0,399.45,94525
2021-06-29 00:00:00+05:30,400.0,411.0,398.55,403.35,258807
2021-06-30 00:00:00+05:30,407.5,408.75,400.4,401.9,150784
2021-07-01 00:00:00+05:30,402.15,404.5,398.5,399.75,120157
2021-07-02 00:00:00+05:30,402.4,404.9,400.55,401.0,113426
2021-07-05 00:00:00+05:30,404.65,421.0,402.4,417.25,383688
2021-07-06 00:00:00+05:30,419.0,429.4,403.0,405.4,989338
2021-07-07 00:00:00+05:30,404.5,416.35,403.0,414.65,300597
2021-07-08 00:00:00+05:30,416.0,425.5,409.55,413.9,474915
2021-07-09 00:00:00+05:30,415.0,419.5,412.0,414.1,143347
2021-07-12 00:00:00+05:30,418.0,424.95,416.0,417.85,262176
2021-07-13 00:00:00+05:30,421.5,422.45,416.6,417.3,143340
2021-07-14 00:00:00+05:30,418.0,424.2,417.55,419.85,250402
2021-07-15 00:00:00+05:30,422.0,438.0,419.5,431.45,1225170
2021-07-16 00:00:00+05:30,434.0,447.4,430.0,438.8,1252216
2021-07-19 00:00:00+05:30,435.0,457.9,430.1,452.8,1643359
2021-07-20 00:00:00+05:30,454.8,457.2,438.0,444.35,610979
2021-07-22 00:00:00+05:30,448.5,463.0,446.45,457.2,1042518
2021-07-23 00:00:00+05:30,459.75,464.1,453.0,455.45,616955
2021-07-26 00:00:00+05:30,457.0,460.5,446.0,449.85,339228
2021-07-27 00:00:00+05:30,452.0,458.0,440.5,445.75,351513
2021-07-28 00:00:00+05:30,448.3,451.0,433.0,439.7,213451
2021-07-29 00:00:00+05:30,443.1,443.45,427.5,428.35,260585
2021-07-30 00:00:00+05:30,428.0,434.5,427.1,428.9,138025
2021-08-02 00:00:00+05:30,432.35,438.0,425.15,427.3,219718
2021-08-03 00:00:00+05:30,428.8,432.3,423.75,424.8,170765
2021-08-04 00:00:00+05:30,428.45,436.95,426.3,433.05,235376
2021-08-05 00:00:00+05:30,433.0,433.0,421.0,429.3,190439
2021-08-06 00:00:00+05:30,430.9,430.9,423.55,425.0,139998
2021-08-09 00:00:00+05:30,425.0,427.4,417.0,417.8,183480
2021-08-10 00:00:00+05:30,419.4,419.4,402.0,407.65,314873
2021-08-11 00:00:00+05:30,404.15,406.75,381.8,399.7,286606
2021-08-12 00:00:00+05:30,405.0,409.4,399.7,405.6,148960
2021-08-13 00:00:00+05:30,409.0,411.65,401.0,405.4,138700
2021-08-16 00:00:00+05:30,404.5,404.95,394.4,398.9,115804
2021-08-17 00:00:00+05:30,404.0,404.0,391.5,396.55,93878
2021-08-18 00:00:00+05:30,396.5,397.9,391.35,394.55,82715
2021-08-20 00:00:00+05:30,395.0,409.5,385.7,404.3,254655
2021-08-23 00:00:00+05:30,411.9,411.9,386.0,391.45,194260
2021-08-24 00:00:00+05:30,390.65,399.9,387.3,398.3,120495
2021-08-25 00:00:00+05:30,399.95,403.5,395.35,400.25,74989
2021-08-26 00:00:00+05:30,403.8,403.8,393.0,394.4,135009
2021-08-27 00:00:00+05:30,396.8,398.0,392.1,394.9,88440
2021-08-30 00:00:00+05:30,397.0,400.5,395.2,396.95,70145
2021-08-31 00:00:00+05:30,396.95,399.8,391.3,395.5,108677
2021-09-01 00:00:00+05:30,400.0,400.0,388.0,388.65,188444
2021-09-02 00:00:00+05:30,390.0,393.7,388.85,389.45,113205
2021-09-03 00:00:00+05:30,390.05,394.0,388.0,388.5,101509
2021-09-06 00:00:00+05:30,390.0,393.5,389.1,390.2,95321
2021-09-07 00:00:00+05:30,392.85,394.3,390.0,391.25,94789
2021-09-08 00:00:00+05:30,393.3,393.3,390.0,390.85,65110
2021-09-09 00:00:00+05:30,391.45,392.4,388.5,389.85,100562
2021-09-13 00:00:00+05:30,390.0,415.35,389.85,412.7,791208
2021-09-14 00:00:00+05:30,425.0,427.95,418.25,422.9,638812
2021-09-15 00:00:00+05:30,424.0,424.0,412.0,413.55,202673
2021-09-16 00:00:00+05:30,416.9,417.0,405.55,406.4,118273
2021-09-17 00:00:00+05:30,407.0,422.0,400.45,407.4,561681
2021-09-20 00:00:00+05:30,409.65,422.0,406.0,410.45,228735
2021-09-21 00:00:00+05:30,410.45,412.95,395.0,404.75,124576
2021-09-22 00:00:00+05:30,404.5,411.0,393.05,398.3,126291
