date,open,high,low,close,volume
2005-03-21 00:00:00+05:30,25.25,25.3,22.65,23.5,349974
2005-03-22 00:00:00+05:30,24.0,24.0,21.35,21.55,107193
2005-03-23 00:00:00+05:30,21.55,23.15,21.4,21.7,58521
2005-03-24 00:00:00+05:30,20.0,23.5,19.7,20.4,55840
2005-03-28 00:00:00+05:30,19.45,20.9,19.45,20.25,28586
2005-03-29 00:00:00+05:30,20.65,20.65,19.45,19.75,33430
2005-03-30 00:00:00+05:30,18.15,20.95,18.15,20.3,45488
2005-03-31 00:00:00+05:30,19.9,22.35,19.2,21.6,18921
2005-04-01 00:00:00+05:30,20.65,22.45,20.65,20.75,11486
2005-04-04 00:00:00+05:30,20.05,20.35,20.0,20.35,165
2005-04-05 00:00:00+05:30,22.3,22.3,20.0,20.35,4575
2005-04-06 00:00:00+05:30,20.35,20.35,20.35,20.35,750
2005-04-07 00:00:00+05:30,19.65,19.95,19.4,19.95,2332
2005-04-08 00:00:00+05:30,19.05,21.0,19.05,20.65,7578
2005-04-11 00:00:00+05:30,19.65,20.35,19.55,19.7,1056
2005-04-12 00:00:00+05:30,21.3,21.7,21.2,21.7,9742
2005-04-13 00:00:00+05:30,23.9,23.9,23.35,23.9,81687
2005-04-15 00:00:00+05:30,24.65,28.45,23.35,27.6,1395412
2005-04-18 00:00:00+05:30,28.0,31.35,26.25,30.85,3868930
2005-04-19 00:00:00+05:30,31.0,32.6,27.45,28.15,1778440
2005-04-20 00:00:00+05:30,28.35,28.9,26.2,26.75,305446
2005-04-21 00:00:00+05:30,26.6,27.55,26.1,26.55,403972
2005-04-22 00:00:00+05:30,26.85,26.85,25.35,26.25,257566
2005-04-25 00:00:00+05:30,25.8,26.6,24.75,25.3,229078
2005-04-26 00:00:00+05:30,25.8,25.8,24.35,24.55,204580
2005-04-27 00:00:00+05:30,24.35,24.65,23.35,23.9,98138
2005-04-28 00:00:00+05:30,24.0,24.85,24.0,24.25,71301
2005-04-29 00:00:00+05:30,24.0,24.65,23.35,23.6,182176
2005-05-02 00:00:00+05:30,24.0,24.0,23.45,23.55,153255
2005-05-03 00:00:00+05:30,24.55,25.9,24.15,24.9,1023308
2005-05-04 00:00:00+05:30,25.15,26.25,24.85,25.1,983164
2005-05-05 00:00:00+05:30,25.5,26.05,24.65,24.95,298748
2005-05-06 00:00:00+05:30,25.05,25.55,24.65,25.2,236128
2005-05-09 00:00:00+05:30,25.0,26.65,24.95,26.55,263421
2005-05-10 00:00:00+05:30,26.6,26.85,25.4,25.75,255183
2005-05-11 00:00:00+05:30,26.0,26.0,23.75,24.0,226974
2005-05-12 00:00:00+05:30,25.35,25.35,24.1,24.55,268760
2005-05-13 00:00:00+05:30,25.35,25.5,23.65,23.95,333888
2005-05-16 00:00:00+05:30,24.55,25.5,24.35,24.75,338804
2005-05-17 00:00:00+05:30,25.25,25.25,23.65,24.05,360424
2005-05-18 00:00:00+05:30,24.3,24.55,23.45,23.75,253146
2005-05-19 00:00:00+05:30,24.75,24.85,23.65,23.9,296602
2005-05-20 00:00:00+05:30,24.35,24.5,23.55,23.7,258480
2005-05-23 00:00:00+05:30,24.45,24.45,23.75,23.95,266409
2005-05-24 00:00:00+05:30,24.25,24.25,23.35,23.55,185938
2005-05-25 00:00:00+05:30,23.0,23.95,23.0,23.45,59698
2005-05-26 00:00:00+05:30,23.8,23.95,23.35,23.6,773344
2005-05-27 00:00:00+05:30,23.85,25.35,23.35,23.5,1279098
2005-05-30 00:00:00+05:30,23.95,23.95,23.0,23.15,231752
2005-05-31 00:00:00+05:30,23.5,25.0,23.35,23.7,136040
2005-06-01 00:00:00+05:30,24.1,24.45,23.35,23.65,67060
2005-06-02 00:00:00+05:30,24.25,24.25,23.45,23.5,30980
2005-06-03 00:00:00+05:30,23.85,25.0,23.35,24.55,131580
2005-06-06 00:00:00+05:30,25.45,25.45,24.75,25.15,196076
2005-06-07 00:00:00+05:30,25.35,25.85,25.25,25.55,226868
2005-06-08 00:00:00+05:30,25.95,26.35,24.65,25.75,279172
2005-06-09 00:00:00+05:30,25.85,25.85,25.05,25.4,208814
2005-06-10 00:00:00+05:30,25.65,25.75,24.95,25.05,224262
2005-06-13 00:00:00+05:30,25.35,25.5,25.0,25.25,183826
2005-06-14 00:00:00+05:30,25.65,25.65,25.15,25.35,195862
2005-06-15 00:00:00+05:30,25.85,25.95,24.8,25.0,220314
2005-06-16 00:00:00+05:30,25.3,25.3,24.65,24.75,126153
2005-06-17 00:00:00+05:30,24.5,25.0,24.05,24.7,149043
2005-06-20 00:00:00+05:30,24.35,25.15,24.15,24.4,144393
2005-06-21 00:00:00+05:30,24.15,25.4,24.1,25.25,112010
2005-06-22 00:00:00+05:30,25.65,26.8,25.35,26.0,288794
2005-06-23 00:00:00+05:30,26.0,27.0,26.0,26.55,262656
2005-06-24 00:00:00+05:30,26.0,27.15,26.0,26.8,128656
2005-06-27 00:00:00+05:30,26.75,27.65,26.55,26.65,94216
2005-06-28 00:00:00+05:30,26.35,27.45,26.0,26.65,1155074
2005-06-29 00:00:00+05:30,26.85,27.5,26.5,27.35,156044
2005-06-30 00:00:00+05:30,27.15,27.85,27.15,27.65,323296
2005-07-01 00:00:00+05:30,27.75,28.75,27.4,28.6,712527
2005-07-04 00:00:00+05:30,28.65,29.35,28.0,28.35,227319
2005-07-05 00:00:00+05:30,28.0,28.6,27.65,27.75,181584
2005-07-06 00:00:00+05:30,28.0,28.65,27.85,28.15,186009
2005-07-07 00:00:00+05:30,27.8,28.45,27.65,28.05,159010
2005-07-08 00:00:00+05:30,28.05,28.45,27.75,27.85,123834
2005-07-11 00:00:00+05:30,28.15,28.15,27.55,27.7,75116
2005-07-12 00:00:00+05:30,28.35,28.35,27.35,27.75,130842
2005-07-13 00:00:00+05:30,27.65,28.1,27.35,27.65,130632
2005-07-14 00:00:00+05:30,27.65,27.9,27.15,27.2,140578
2005-07-15 00:00:00+05:30,27.35,27.35,26.75,26.8,142008
2005-07-18 00:00:00+05:30,26.65,27.5,26.5,27.35,131524
