date,open,high,low,close,volume
2003-01-27 00:00:00+05:30,11.6,11.6,10.4,10.4,2269
2003-01-28 00:00:00+05:30,10.25,10.45,10.2,10.4,1648
2003-01-29 00:00:00+05:30,11.1,11.75,11.1,11.75,1506
2003-01-30 00:00:00+05:30,11.1,11.75,11.1,11.75,0
2003-01-31 00:00:00+05:30,11.65,11.75,11.65,11.75,200
2003-02-03 00:00:00+05:30,11.65,11.75,11.65,11.75,0
2003-02-04 00:00:00+05:30,11.2,11.2,11.2,11.2,500
2003-02-05 00:00:00+05:30,9.55,10.7,9.5,10.65,2200
2003-02-06 00:00:00+05:30,10.3,11.9,9.95,9.95,4604
2003-02-07 00:00:00+05:30,9.75,9.85,9.75,9.75,1878
2003-02-10 00:00:00+05:30,9.65,9.65,9.15,9.15,7598
2003-02-11 00:00:00+05:30,10.7,10.7,9.6,9.6,564
2003-02-12 00:00:00+05:30,9.0,9.35,9.0,9.35,300
2003-02-14 00:00:00+05:30,10.8,10.8,9.85,9.85,400
2003-02-17 00:00:00+05:30,9.55,9.55,9.55,9.55,800
2003-02-18 00:00:00+05:30,9.9,9.9,9.8,9.9,600
2003-02-19 00:00:00+05:30,10.0,10.0,10.0,10.0,200
2003-02-20 00:00:00+05:30,10.0,10.0,9.5,9.5,104
2003-02-21 00:00:00+05:30,9.75,10.0,9.2,9.7,620
2003-02-24 00:00:00+05:30,9.15,10.0,9.0,9.0,7748
2003-02-25 00:00:00+05:30,9.5,9.5,8.75,9.2,602
2003-02-26 00:00:00+05:30,9.0,9.95,9.0,9.1,1875
2003-02-27 00:00:00+05:30,8.9,9.5,8.9,9.5,110
2003-02-28 00:00:00+05:30,11.3,11.4,9.1,9.15,1150
2003-03-03 00:00:00+05:30,8.75,9.75,8.75,9.05,768
2003-03-04 00:00:00+05:30,8.95,10.0,8.95,9.7,2074
2003-03-05 00:00:00+05:30,8.55,9.25,8.5,9.25,2700
2003-03-06 00:00:00+05:30,8.8,8.95,8.65,8.85,1000
2003-03-07 00:00:00+05:30,8.2,8.3,8.0,8.1,3130
2003-03-10 00:00:00+05:30,8.8,8.8,7.8,8.0,1621
2003-03-11 00:00:00+05:30,6.75,6.75,6.75,6.75,100
2003-03-12 00:00:00+05:30,7.7,8.05,7.25,8.05,700
2003-03-13 00:00:00+05:30,6.75,8.0,6.75,7.5,827
2003-03-17 00:00:00+05:30,7.75,7.75,7.0,7.4,6100
2003-03-19 00:00:00+05:30,7.35,7.6,7.35,7.6,200
2003-03-20 00:00:00+05:30,7.5,7.95,7.4,7.9,500
2003-03-21 00:00:00+05:30,7.5,7.95,7.4,7.9,0
2003-03-24 00:00:00+05:30,7.35,7.35,7.3,7.35,600
2003-03-25 00:00:00+05:30,7.35,8.0,7.3,7.55,836
2003-03-26 00:00:00+05:30,7.5,7.75,7.5,7.75,317
2003-03-27 00:00:00+05:30,7.7,7.7,7.55,7.55,200
2003-03-28 00:00:00+05:30,7.7,7.7,7.55,7.55,0
2003-03-31 00:00:00+05:30,7.2,8.2,7.2,7.25,750
2003-04-01 00:00:00+05:30,7.5,7.5,7.5,7.5,100
2003-04-02 00:00:00+05:30,7.65,7.65,7.65,7.65,234
2003-04-03 00:00:00+05:30,7.65,7.65,7.65,7.65,0
2003-04-04 00:00:00+05:30,7.95,7.95,7.95,7.95,96
2003-04-07 00:00:00+05:30,9.25,9.25,8.35,8.35,120
2003-04-08 00:00:00+05:30,9.0,9.0,9.0,9.0,100
2003-04-09 00:00:00+05:30,8.55,8.55,8.5,8.5,600
2003-04-10 00:00:00+05:30,8.55,8.55,8.5,8.5,0
2003-04-11 00:00:00+05:30,8.55,8.55,8.5,8.5,0
2003-04-15 00:00:00+05:30,8.0,8.0,7.75,7.75,500
2003-04-16 00:00:00+05:30,8.0,8.6,8.0,8.6,524
2003-04-17 00:00:00+05:30,7.75,8.5,7.35,7.9,4571
2003-04-21 00:00:00+05:30,8.45,8.5,8.45,8.5,1100
2003-04-22 00:00:00+05:30,8.2,8.2,8.0,8.0,204
2003-04-23 00:00:00+05:30,8.5,8.5,7.85,7.85,224
2003-04-24 00:00:00+05:30,8.05,8.5,8.0,8.4,1001
2003-04-25 00:00:00+05:30,8.45,9.0,8.4,8.95,4088
2003-04-28 00:00:00+05:30,8.75,8.75,8.75,8.75,125
2003-04-29 00:00:00+05:30,8.1,9.25,8.0,9.15,1793
2003-04-30 00:00:00+05:30,8.1,9.25,8.0,9.15,0
2003-05-02 00:00:00+05:30,10.05,10.05,9.05,9.05,744
2003-05-05 00:00:00+05:30,8.6,8.6,8.6,8.6,700
2003-05-06 00:00:00+05:30,8.6,8.6,8.6,8.6,0
2003-05-07 00:00:00+05:30,9.75,9.75,9.75,9.75,150
2003-05-08 00:00:00+05:30,9.25,9.25,8.9,8.9,202
2003-05-09 00:00:00+05:30,10.0,10.0,8.9,9.05,701
2003-05-12 00:00:00+05:30,9.95,9.95,9.15,9.15,226
2003-05-13 00:00:00+05:30,9.0,9.2,9.0,9.0,900
2003-05-14 00:00:00+05:30,9.1,9.15,8.9,8.9,1100
2003-05-15 00:00:00+05:30,9.8,10.7,9.8,10.65,4509
2003-05-16 00:00:00+05:30,10.7,12.0,10.25,11.05,2077
2003-05-19 00:00:00+05:30,10.95,11.8,10.35,10.8,1150
2003-05-20 00:00:00+05:30,12.85,12.85,10.1,11.0,1260
2003-05-21 00:00:00+05:30,10.3,11.5,10.3,11.05,5341
2003-05-22 00:00:00+05:30,10.8,12.2,10.8,12.0,2929
2003-05-23 00:00:00+05:30,12.0,12.8,11.0,11.1,3950
2003-05-26 00:00:00+05:30,11.75,11.75,10.9,11.55,3843
2003-05-27 00:00:00+05:30,11.05,11.4,10.9,11.4,4325
2003-05-28 00:00:00+05:30,11.15,11.5,11.15,11.5,879
2003-05-29 00:00:00+05:30,10.9,10.9,10.8,10.8,1715
2003-05-30 00:00:00+05:30,9.3,11.55,9.3,11.4,1025
2003-06-02 00:00:00+05:30,9.35,11.35,9.35,11.0,1301
2003-06-03 00:00:00+05:30,10.0,11.45,10.0,11.25,201
2003-06-04 00:00:00+05:30,10.0,11.45,10.0,11.25,0
2003-06-05 00:00:00+05:30,11.2,11.25,11.0,11.15,1578
2003-06-06 00:00:00+05:30,11.5,12.4,11.0,12.05,3742
2003-06-09 00:00:00+05:30,12.25,13.3,12.25,13.1,8876
2003-06-10 00:00:00+05:30,13.45,14.0,13.0,13.15,8100
2003-06-11 00:00:00+05:30,13.65,14.1,13.3,13.5,10101
2003-06-12 00:00:00+05:30,13.9,14.5,13.5,14.1,4680
2003-06-13 00:00:00+05:30,15.2,15.2,14.35,14.4,1675
2003-06-16 00:00:00+05:30,13.4,15.55,13.4,15.2,4360
2003-06-17 00:00:00+05:30,15.2,15.6,15.1,15.1,3245
2003-06-18 00:00:00+05:30,15.4,15.4,14.75,14.85,3434
2003-06-19 00:00:00+05:30,14.5,15.2,14.3,14.4,3700
2003-06-20 00:00:00+05:30,14.05,14.25,13.7,14.25,3428
2003-06-23 00:00:00+05:30,13.85,15.3,13.85,14.35,3761
2003-06-24 00:00:00+05:30,12.15,15.25,12.15,14.6,3840
2003-06-25 00:00:00+05:30,14.15,15.0,14.1,15.0,850
2003-06-26 00:00:00+05:30,14.5,14.7,14.45,14.65,723
2003-06-27 00:00:00+05:30,15.8,15.8,14.2,14.3,1902
2003-06-30 00:00:00+05:30,14.4,16.45,14.4,14.65,3504
2003-07-01 00:00:00+05:30,14.7,14.8,14.2,14.3,2810
