date,open,high,low,close,volume
2016-06-15 00:00:00+05:30,22.4,23.0,21.3,21.9,264920
2016-06-16 00:00:00+05:30,22.25,22.8,21.25,21.6,94080
2016-06-17 00:00:00+05:30,21.75,21.85,21.6,21.8,208160
2016-06-20 00:00:00+05:30,21.95,22.3,21.75,22.3,245920
2016-06-21 00:00:00+05:30,22.3,22.3,22.2,22.3,415520
2016-06-22 00:00:00+05:30,22.3,23.15,22.3,23.15,435280
2016-06-23 00:00:00+05:30,23.2,23.3,23.2,23.3,412640
2016-06-24 00:00:00+05:30,23.3,23.3,22.85,23.0,340240
2016-06-27 00:00:00+05:30,23.0,23.2,22.95,23.2,433160
2016-06-28 00:00:00+05:30,23.2,23.45,23.2,23.45,267960
2016-06-29 00:00:00+05:30,23.45,23.65,23.45,23.65,400080
2016-06-30 00:00:00+05:30,23.65,24.0,23.65,24.0,547520
2016-07-01 00:00:00+05:30,24.05,24.2,23.85,24.2,483040
2016-07-04 00:00:00+05:30,24.3,24.75,24.2,24.75,371960
2016-07-05 00:00:00+05:30,24.75,24.85,24.4,24.4,400560
2016-07-07 00:00:00+05:30,24.25,24.55,24.2,24.5,500520
2016-07-08 00:00:00+05:30,24.45,24.55,24.35,24.5,359400
2016-07-11 00:00:00+05:30,25.7,25.7,24.7,24.95,348040
2016-07-12 00:00:00+05:30,24.95,25.0,24.7,24.7,373160
2016-07-13 00:00:00+05:30,24.6,24.65,24.55,24.55,151960
2016-07-14 00:00:00+05:30,24.6,24.65,24.5,24.5,355240
2016-07-15 00:00:00+05:30,25.5,25.5,24.5,24.5,95200
2016-07-18 00:00:00+05:30,24.5,24.6,24.3,24.5,84840
2016-07-19 00:00:00+05:30,25.0,25.0,24.05,24.1,141640
2016-07-20 00:00:00+05:30,24.1,24.15,23.75,23.85,170920
2016-07-21 00:00:00+05:30,23.85,24.0,23.8,23.9,361520
2016-07-22 00:00:00+05:30,23.9,23.95,23.85,23.95,272400
2016-07-25 00:00:00+05:30,23.9,24.0,23.9,24.0,301400
2016-07-26 00:00:00+05:30,24.05,24.2,24.05,24.2,313440
2016-07-27 00:00:00+05:30,24.05,24.15,24.05,24.15,332160
2016-07-28 00:00:00+05:30,24.15,24.4,24.15,24.4,368440
2016-07-29 00:00:00+05:30,24.3,24.4,23.2,23.2,295720
2016-08-01 00:00:00+05:30,23.2,24.0,22.05,23.95,315280
2016-08-02 00:00:00+05:30,24.5,24.95,24.4,24.75,431320
2016-08-03 00:00:00+05:30,24.85,24.85,24.6,24.65,294240
2016-08-04 00:00:00+05:30,24.85,25.0,24.8,24.9,531840
2016-08-05 00:00:00+05:30,24.95,24.95,24.75,24.85,355760
2016-08-08 00:00:00+05:30,25.0,25.0,24.5,24.55,358920
2016-08-09 00:00:00+05:30,24.5,24.6,23.6,24.25,312640
2016-08-10 00:00:00+05:30,24.25,24.3,24.1,24.1,256080
2016-08-11 00:00:00+05:30,24.1,24.2,24.1,24.2,138480
2016-08-12 00:00:00+05:30,24.25,24.45,24.25,24.35,318240
2016-08-16 00:00:00+05:30,24.5,24.6,24.4,24.4,149160
2016-08-17 00:00:00+05:30,24.3,24.4,24.3,24.4,230800
2016-08-18 00:00:00+05:30,24.5,24.7,24.5,24.65,307280
2016-08-19 00:00:00+05:30,24.5,24.65,24.45,24.55,265320
2016-08-22 00:00:00+05:30,24.35,24.4,24.3,24.4,255000
2016-08-23 00:00:00+05:30,24.2,24.25,24.15,24.2,222120
2016-08-24 00:00:00+05:30,24.25,24.4,24.2,24.35,260000
2016-08-25 00:00:00+05:30,24.15,24.25,24.05,24.25,300320
2016-08-26 00:00:00+05:30,24.1,24.2,24.05,24.2,309000
2016-08-29 00:00:00+05:30,24.05,24.1,24.0,24.1,324800
2016-08-30 00:00:00+05:30,24.15,24.2,24.15,24.2,202880
2016-08-31 00:00:00+05:30,24.2,24.25,24.2,24.25,210280
