date,open,high,low,close,volume
2025-08-19 00:00:00+05:30,510.0,564.0,508.1,546.0,11549622
2025-08-20 00:00:00+05:30,544.85,625.0,531.35,572.05,11250877
2025-08-21 00:00:00+05:30,569.3,594.8,542.7,564.3,2218116
2025-08-22 00:00:00+05:30,565.9,577.7,541.0,546.35,680823
2025-08-25 00:00:00+05:30,549.7,564.55,532.8,550.65,863292
2025-08-26 00:00:00+05:30,555.3,555.3,534.3,541.9,406380
2025-08-28 00:00:00+05:30,535.1,542.3,517.55,522.6,382663
2025-08-29 00:00:00+05:30,523.95,544.1,515.2,534.8,539638
2025-09-01 00:00:00+05:30,534.8,555.0,530.0,549.95,345412
2025-09-02 00:00:00+05:30,549.0,565.0,541.1,551.9,253743
2025-09-03 00:00:00+05:30,557.5,559.0,546.0,556.1,163919
2025-09-04 00:00:00+05:30,560.0,585.4,557.0,568.45,1004545
2025-09-05 00:00:00+05:30,590.95,629.6,560.1,604.25,2944455
2025-09-08 00:00:00+05:30,605.0,609.0,585.15,590.6,320672
2025-09-09 00:00:00+05:30,590.0,707.8,587.05,663.95,10168346
2025-09-10 00:00:00+05:30,668.9,686.6,638.65,658.3,2019902
2025-09-11 00:00:00+05:30,652.7,662.8,632.0,638.65,616518
2025-09-12 00:00:00+05:30,640.0,663.0,635.1,642.1,803952
2025-09-15 00:00:00+05:30,635.1,649.8,630.0,638.55,546503
2025-09-16 00:00:00+05:30,645.0,651.65,611.1,622.3,478917
2025-09-17 00:00:00+05:30,623.0,623.0,590.0,595.2,909903
2025-09-18 00:00:00+05:30,598.15,612.4,593.2,602.65,527299
2025-09-19 00:00:00+05:30,614.0,638.15,602.45,609.1,689857
2025-09-22 00:00:00+05:30,609.1,622.0,597.6,600.9,183375
2025-09-23 00:00:00+05:30,607.0,607.0,589.25,594.5,147821
2025-09-24 00:00:00+05:30,600.0,600.05,585.0,589.15,121964
2025-09-25 00:00:00+05:30,591.45,592.95,572.0,577.1,147817
2025-09-26 00:00:00+05:30,574.65,581.1,557.0,567.45,225698
2025-09-29 00:00:00+05:30,564.45,582.0,561.7,572.5,197687
2025-09-30 00:00:00+05:30,572.5,605.0,572.5,599.65,726879
2025-10-01 00:00:00+05:30,599.65,603.05,584.0,599.45,223160
2025-10-03 00:00:00+05:30,599.45,616.95,595.9,611.85,298496
2025-10-06 00:00:00+05:30,617.95,639.85,611.2,619.65,338587
2025-10-07 00:00:00+05:30,619.8,623.25,610.95,620.85,90255
2025-10-08 00:00:00+05:30,622.9,728.8,622.4,702.8,12242223
2025-10-09 00:00:00+05:30,702.8,793.0,680.75,761.25,15419617
2025-10-10 00:00:00+05:30,758.0,758.0,680.0,702.05,7586199
2025-10-13 00:00:00+05:30,706.95,725.0,686.15,695.75,4317735
2025-10-14 00:00:00+05:30,699.7,754.0,699.2,734.45,4273566
2025-10-15 00:00:00+05:30,725.0,738.2,707.25,727.45,1333981
2025-10-16 00:00:00+05:30,733.8,750.0,726.0,738.0,1079646
2025-10-17 00:00:00+05:30,740.0,770.25,708.0,714.55,931998
2025-10-20 00:00:00+05:30,716.45,733.7,706.45,713.55,538779
2025-10-21 00:00:00+05:30,718.5,725.0,691.65,713.7,139624
2025-10-23 00:00:00+05:30,715.0,722.95,695.7,712.6,661189
2025-10-24 00:00:00+05:30,714.0,750.0,705.35,743.8,1604774
2025-10-27 00:00:00+05:30,743.0,753.85,733.6,738.25,812203
2025-10-28 00:00:00+05:30,738.3,739.45,676.5,690.15,1535375
2025-10-29 00:00:00+05:30,698.8,717.7,698.8,705.25,641555
2025-10-30 00:00:00+05:30,708.65,710.0,690.5,694.95,327899
2025-10-31 00:00:00+05:30,698.2,716.75,693.35,708.0,477972
2025-11-03 00:00:00+05:30,707.95,719.3,701.05,711.05,569298
2025-11-04 00:00:00+05:30,714.5,719.4,706.0,711.95,456366
2025-11-06 00:00:00+05:30,711.95,713.0,635.0,651.8,1983643
2025-11-07 00:00:00+05:30,651.8,653.0,599.05,606.25,1021530
2025-11-10 00:00:00+05:30,609.8,612.05,588.2,595.8,575624
2025-11-11 00:00:00+05:30,596.0,612.45,591.1,603.25,482127
2025-11-12 00:00:00+05:30,600.0,612.0,588.95,591.6,325717
2025-11-13 00:00:00+05:30,596.75,598.5,557.45,573.2,404094
2025-11-14 00:00:00+05:30,573.0,580.05,567.15,574.75,197747
2025-11-17 00:00:00+05:30,580.5,580.8,555.9,569.4,206660
2025-11-18 00:00:00+05:30,569.4,573.85,563.0,567.4,169228
