date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,87.93,88.81,87.93,88.03,4615
2015-02-02 10:15:00+05:30,88.03,88.37,87.93,87.93,4436
2015-02-02 11:15:00+05:30,87.93,88.52,87.93,88.13,6228
2015-02-02 12:15:00+05:30,88.13,88.32,87.93,88.28,2139
2015-02-02 13:15:00+05:30,88.28,91.84,87.59,90.67,12928
2015-02-02 14:15:00+05:30,90.67,92.82,90.38,91.35,14316
2015-02-02 15:15:00+05:30,91.35,91.84,91.3,91.55,5273
2015-02-03 09:15:00+05:30,88.91,93.06,88.91,91.6,7052
2015-02-03 10:15:00+05:30,91.6,91.65,90.47,91.6,1253
2015-02-03 11:15:00+05:30,91.6,91.6,89.4,91.3,3826
2015-02-03 12:15:00+05:30,91.3,91.3,89.4,90.57,429
2015-02-03 13:15:00+05:30,90.57,91.35,89.74,91.26,3824
2015-02-03 14:15:00+05:30,91.26,92.09,89.94,92.09,2272
2015-02-03 15:15:00+05:30,92.09,92.09,90.87,91.74,1121
2015-02-04 09:15:00+05:30,91.74,92.82,90.67,91.74,521
2015-02-04 10:15:00+05:30,91.74,91.74,90.87,91.11,433
2015-02-04 11:15:00+05:30,91.11,98.68,91.11,97.51,51411
2015-02-04 12:15:00+05:30,96.73,102.39,96.73,97.31,93061
2015-02-04 13:15:00+05:30,98.68,100.0,96.83,99.07,24274
2015-02-04 14:15:00+05:30,99.07,100.68,98.19,98.93,51470
2015-02-04 15:15:00+05:30,98.93,99.46,97.7,99.46,15995
2015-02-05 09:15:00+05:30,100.34,100.64,94.38,96.29,43303
2015-02-05 10:15:00+05:30,96.29,97.95,95.6,96.29,8254
2015-02-05 11:15:00+05:30,96.29,98.0,96.14,97.56,6854
2015-02-05 12:15:00+05:30,97.56,97.56,95.65,95.95,2698
2015-02-05 13:15:00+05:30,95.95,96.04,94.82,95.26,5454
2015-02-05 14:15:00+05:30,95.26,98.49,93.8,94.38,19358
2015-02-05 15:15:00+05:30,94.38,95.51,93.16,93.85,4483
2015-02-06 09:15:00+05:30,93.85,95.16,91.16,91.16,5993
2015-02-06 10:15:00+05:30,91.16,91.55,88.32,89.4,16236
2015-02-06 11:15:00+05:30,89.89,93.8,88.86,93.8,24900
2015-02-06 12:15:00+05:30,93.8,100.68,93.8,100.15,62232
2015-02-06 13:15:00+05:30,100.15,100.15,96.97,97.7,43366
2015-02-06 14:15:00+05:30,98.19,99.66,95.75,95.75,20669
2015-02-06 15:15:00+05:30,95.31,98.29,94.33,98.1,13997
2015-02-09 09:15:00+05:30,94.77,94.77,89.16,92.58,30780
