date,open,high,low,close,volume
2025-10-17 09:15:00+05:30,106.0,111.0,106.0,108.7,17559305
2025-10-17 10:15:00+05:30,108.7,110.02,107.65,108.7,9734397
2025-10-17 11:15:00+05:30,108.7,109.56,108.51,109.2,3903873
2025-10-17 12:15:00+05:30,109.25,112.1,109.12,111.27,6849110
2025-10-17 13:15:00+05:30,111.14,112.5,109.52,110.6,4526382
2025-10-17 14:15:00+05:30,110.55,112.8,110.2,110.9,11065745
2025-10-17 15:15:00+05:30,110.95,112.3,110.9,112.0,3868113
2025-10-20 09:15:00+05:30,112.02,112.7,106.61,108.2,2112353
2025-10-20 10:15:00+05:30,108.2,109.25,108.2,109.07,991812
2025-10-20 11:15:00+05:30,109.08,110.56,109.0,110.02,886392
2025-10-20 12:15:00+05:30,110.05,110.62,109.67,110.0,775871
2025-10-20 13:15:00+05:30,110.0,110.15,109.9,110.0,513420
2025-10-20 14:15:00+05:30,110.0,110.24,109.46,110.0,587425
2025-10-20 15:15:00+05:30,110.0,111.5,109.99,110.22,409870
2025-10-21 13:45:00+05:30,110.1,110.1,108.0,108.4,663640
2025-10-23 09:15:00+05:30,108.0,109.16,107.1,108.39,707378
2025-10-23 10:15:00+05:30,108.39,111.2,108.39,110.03,1280964
2025-10-23 11:15:00+05:30,110.03,110.99,109.46,110.92,886080
2025-10-23 12:15:00+05:30,110.9,113.79,110.9,112.1,1964936
2025-10-23 13:15:00+05:30,112.05,112.16,111.4,111.8,538005
2025-10-23 14:15:00+05:30,111.84,113.45,111.46,113.3,1210553
2025-10-23 15:15:00+05:30,113.3,113.8,112.8,113.49,692391
2025-10-24 09:15:00+05:30,113.0,115.5,111.37,115.03,1122914
2025-10-24 10:15:00+05:30,115.07,116.62,114.95,115.8,1118795
2025-10-24 11:15:00+05:30,115.75,115.99,115.17,115.53,326906
2025-10-24 12:15:00+05:30,115.53,122.55,115.51,122.32,3211378
2025-10-24 13:15:00+05:30,122.24,125.99,121.8,123.62,5194463
2025-10-24 14:15:00+05:30,123.55,123.72,121.5,122.1,3911483
2025-10-24 15:15:00+05:30,122.1,122.1,119.57,120.3,1018395
2025-10-27 09:15:00+05:30,121.7,123.8,119.05,122.25,1256773
2025-10-27 10:15:00+05:30,122.25,123.65,120.87,121.2,1205345
2025-10-27 11:15:00+05:30,121.14,121.25,120.29,120.49,366480
2025-10-27 12:15:00+05:30,120.57,122.31,120.48,122.2,334410
2025-10-27 13:15:00+05:30,122.2,122.92,121.51,121.8,362434
2025-10-27 14:15:00+05:30,121.85,122.8,120.96,121.6,625747
2025-10-27 15:15:00+05:30,121.65,121.67,121.0,121.1,382802
2025-10-28 09:15:00+05:30,120.95,121.2,116.5,118.62,1465543
2025-10-28 10:15:00+05:30,118.59,120.36,118.59,119.1,533932
2025-10-28 11:15:00+05:30,119.09,124.0,119.01,121.29,1206015
2025-10-28 12:15:00+05:30,121.29,123.12,121.26,122.61,502804
2025-10-28 13:15:00+05:30,122.61,122.82,121.4,121.56,301102
2025-10-28 14:15:00+05:30,121.56,121.84,119.71,120.36,431685
2025-10-28 15:15:00+05:30,120.26,120.93,119.69,120.5,298147
2025-10-29 09:15:00+05:30,120.0,120.73,118.1,119.02,985663
2025-10-29 10:15:00+05:30,119.02,119.09,118.26,118.68,290236
2025-10-29 11:15:00+05:30,118.6,119.57,118.01,118.24,485807
2025-10-29 12:15:00+05:30,118.18,118.34,118.02,118.1,54517
2025-10-29 13:15:00+05:30,118.1,118.31,117.57,118.04,194699
2025-10-29 14:15:00+05:30,118.04,118.76,117.26,117.65,391627
2025-10-29 15:15:00+05:30,117.65,117.65,115.3,116.7,288488
2025-10-30 09:15:00+05:30,117.0,118.84,117.0,118.0,865421
2025-10-30 10:15:00+05:30,118.0,118.09,117.59,117.85,122536
2025-10-30 11:15:00+05:30,117.85,118.12,117.5,117.6,80631
2025-10-30 12:15:00+05:30,117.6,118.2,117.07,118.18,146525
2025-10-30 13:15:00+05:30,118.18,119.68,118.0,119.25,353625
2025-10-30 14:15:00+05:30,119.27,119.74,117.96,118.05,510498
2025-10-30 15:15:00+05:30,118.05,118.05,117.83,117.9,194466
2025-10-31 09:15:00+05:30,118.0,119.59,117.9,119.12,197219
2025-10-31 10:15:00+05:30,119.12,119.4,118.48,118.52,143863
2025-10-31 11:15:00+05:30,118.5,119.25,118.41,118.73,124625
2025-10-31 12:15:00+05:30,118.75,118.8,118.49,118.74,56108
2025-10-31 13:15:00+05:30,118.74,118.99,118.32,118.42,66608
2025-10-31 14:15:00+05:30,118.55,118.66,116.39,116.39,218201
2025-10-31 15:15:00+05:30,116.39,116.4,115.41,116.4,171757
2025-11-03 09:15:00+05:30,116.36,117.0,114.56,116.9,249295
2025-11-03 10:15:00+05:30,116.98,117.85,116.5,116.55,112817
2025-11-03 11:15:00+05:30,116.55,117.04,116.05,116.56,117238
2025-11-03 12:15:00+05:30,116.56,118.72,116.42,117.69,326178
2025-11-03 13:15:00+05:30,117.68,118.5,117.5,118.12,100080
2025-11-03 14:15:00+05:30,118.12,118.48,117.28,117.96,244606
2025-11-03 15:15:00+05:30,117.85,118.26,117.5,118.26,152720
2025-11-04 09:15:00+05:30,119.0,123.65,118.97,120.27,789714
2025-11-04 10:15:00+05:30,120.22,121.68,120.03,120.23,240821
2025-11-04 11:15:00+05:30,120.23,120.24,119.9,120.07,110007
2025-11-04 12:15:00+05:30,120.07,120.2,119.69,119.96,297365
2025-11-04 13:15:00+05:30,119.79,119.84,118.31,118.8,343465
2025-11-04 14:15:00+05:30,118.8,119.39,117.52,118.59,313355
2025-11-04 15:15:00+05:30,118.59,119.1,118.01,118.55,169874
2025-11-06 09:15:00+05:30,120.15,121.24,118.2,120.0,458501
2025-11-06 10:15:00+05:30,119.95,120.1,119.64,119.7,134277
2025-11-06 11:15:00+05:30,119.7,121.55,119.64,121.0,334131
2025-11-06 12:15:00+05:30,121.0,121.2,120.42,120.52,171617
2025-11-06 13:15:00+05:30,120.52,121.28,120.51,121.0,154306
2025-11-06 14:15:00+05:30,121.0,122.0,121.0,121.66,297653
2025-11-06 15:15:00+05:30,121.66,121.71,121.0,121.0,135034
2025-11-07 09:15:00+05:30,119.87,124.75,119.87,123.7,818483
2025-11-07 10:15:00+05:30,123.5,123.6,122.55,123.07,156117
2025-11-07 11:15:00+05:30,123.01,123.19,122.55,122.8,104200
2025-11-07 12:15:00+05:30,122.8,123.51,122.1,122.15,79723
2025-11-07 13:15:00+05:30,122.15,125.79,122.0,123.91,470872
2025-11-07 14:15:00+05:30,123.91,124.16,122.41,123.02,230882
2025-11-07 15:15:00+05:30,122.98,123.43,122.11,122.5,85424
2025-11-10 09:15:00+05:30,122.8,128.2,121.77,122.2,1001543
2025-11-10 10:15:00+05:30,122.13,122.31,120.68,121.72,171594
2025-11-10 11:15:00+05:30,121.8,121.83,121.0,121.45,71623
2025-11-10 12:15:00+05:30,121.45,121.59,121.25,121.29,26569
2025-11-10 13:15:00+05:30,121.29,121.81,121.29,121.5,46538
2025-11-10 14:15:00+05:30,121.5,121.78,120.13,121.01,212474
2025-11-10 15:15:00+05:30,121.0,121.25,120.92,121.01,184226
2025-11-11 09:15:00+05:30,121.0,122.13,120.7,121.17,264853
2025-11-11 10:15:00+05:30,121.24,121.68,121.08,121.26,35753
2025-11-11 11:15:00+05:30,121.26,121.33,121.0,121.0,77103
2025-11-11 12:15:00+05:30,121.0,121.25,120.85,121.22,57136
2025-11-11 13:15:00+05:30,121.22,121.26,121.0,121.02,16257
2025-11-11 14:15:00+05:30,121.02,122.09,121.01,121.12,126550
2025-11-11 15:15:00+05:30,121.12,121.29,120.53,121.15,113195
2025-11-12 09:15:00+05:30,121.04,123.4,120.75,121.2,245596
2025-11-12 10:15:00+05:30,121.2,121.42,121.0,121.05,50698
2025-11-12 11:15:00+05:30,121.05,122.24,121.0,121.16,228557
2025-11-12 12:15:00+05:30,121.16,122.22,121.16,121.93,81819
2025-11-12 13:15:00+05:30,121.78,122.01,121.24,121.55,86617
2025-11-12 14:15:00+05:30,121.55,122.06,121.02,121.28,340325
2025-11-12 15:15:00+05:30,121.24,122.0,121.16,121.7,45343
2025-11-13 09:15:00+05:30,121.0,122.9,120.0,121.0,174476
2025-11-13 10:15:00+05:30,121.0,121.49,120.92,121.0,69747
2025-11-13 11:15:00+05:30,121.0,121.21,121.0,121.0,71313
2025-11-13 12:15:00+05:30,121.0,121.49,120.91,121.48,39945
2025-11-13 13:15:00+05:30,121.48,121.66,121.0,121.06,42487
2025-11-13 14:15:00+05:30,121.11,121.43,121.0,121.0,96903
2025-11-13 15:15:00+05:30,121.0,121.43,121.0,121.0,85515
2025-11-14 09:15:00+05:30,119.5,120.35,118.59,119.19,219070
2025-11-14 10:15:00+05:30,119.19,119.22,115.53,117.86,501042
2025-11-14 11:15:00+05:30,117.87,120.01,116.15,120.01,346685
2025-11-14 12:15:00+05:30,120.08,120.08,118.08,119.62,249826
2025-11-14 13:15:00+05:30,119.62,121.23,118.5,120.7,274591
2025-11-14 14:15:00+05:30,120.7,120.8,119.7,120.14,152717
2025-11-14 15:15:00+05:30,120.01,121.9,120.0,121.3,75111
2025-11-17 09:15:00+05:30,120.39,121.77,120.05,120.05,135490
2025-11-17 10:15:00+05:30,120.05,120.48,119.52,120.3,77751
2025-11-17 11:15:00+05:30,120.39,120.59,120.0,120.26,101917
