date,open,high,low,close,volume
2014-03-14 00:00:00+05:30,149.28,154.38,142.81,148.98,54416
2014-03-18 00:00:00+05:30,149.77,150.74,145.07,147.16,105366
2014-03-19 00:00:00+05:30,147.23,147.23,143.35,144.75,86420
2014-03-20 00:00:00+05:30,144.3,144.8,142.86,144.0,95148
2014-03-21 00:00:00+05:30,143.3,144.8,142.21,142.88,155082
2014-03-24 00:00:00+05:30,145.47,145.47,143.11,143.78,240480
2014-03-25 00:00:00+05:30,143.55,145.77,141.81,142.93,94544
2014-03-26 00:00:00+05:30,144.3,145.77,143.33,145.12,80674
2014-03-27 00:00:00+05:30,145.29,148.4,144.45,148.13,109406
2014-03-28 00:00:00+05:30,150.52,156.24,150.52,155.35,417330
2014-03-31 00:00:00+05:30,155.89,157.73,153.93,154.72,183028
2014-04-01 00:00:00+05:30,155.35,155.35,151.76,152.29,396906
2014-04-02 00:00:00+05:30,152.26,155.49,151.76,153.28,338334
2014-04-03 00:00:00+05:30,152.78,154.75,150.82,151.71,509456
2014-04-04 00:00:00+05:30,151.86,154.23,151.61,153.45,106638
2014-04-07 00:00:00+05:30,152.34,154.15,151.02,151.29,198874
2014-04-09 00:00:00+05:30,151.29,153.75,150.77,151.29,489402
2014-04-10 00:00:00+05:30,151.76,152.46,151.22,151.36,200912
2014-04-11 00:00:00+05:30,151.76,154.2,151.27,151.71,218678
2014-04-15 00:00:00+05:30,152.93,152.93,150.34,150.59,127222
2014-04-16 00:00:00+05:30,151.02,151.51,149.28,149.45,138910
2014-04-17 00:00:00+05:30,149.28,151.27,149.28,149.97,52940
2014-04-21 00:00:00+05:30,150.27,151.76,149.28,149.37,217478
2014-04-22 00:00:00+05:30,149.7,150.77,149.35,150.42,97236
2014-04-23 00:00:00+05:30,151.51,151.51,149.9,150.39,108262
2014-04-25 00:00:00+05:30,149.77,150.27,147.78,148.01,135320
2014-04-28 00:00:00+05:30,147.86,148.73,147.28,148.01,102328
2014-04-29 00:00:00+05:30,152.63,152.63,145.82,146.39,199568
2014-04-30 00:00:00+05:30,146.76,151.51,145.79,147.33,206906
2014-05-02 00:00:00+05:30,148.28,148.78,146.09,147.43,100140
2014-05-05 00:00:00+05:30,147.43,147.78,145.05,145.79,113290
2014-05-06 00:00:00+05:30,146.29,146.54,144.8,145.27,100830
2014-05-07 00:00:00+05:30,144.92,145.74,144.0,144.45,302640
2014-05-08 00:00:00+05:30,144.47,145.47,142.33,142.76,231716
2014-05-09 00:00:00+05:30,142.46,144.8,142.31,142.68,250632
2014-05-12 00:00:00+05:30,143.8,145.05,143.3,144.3,145264
2014-05-13 00:00:00+05:30,147.04,148.48,144.32,145.79,357168
2014-05-14 00:00:00+05:30,145.79,145.79,142.36,143.33,289798
2014-05-15 00:00:00+05:30,144.7,144.7,142.63,143.11,258322
2014-05-16 00:00:00+05:30,144.32,144.87,140.87,141.69,306448
