date,open,high,low,close,volume
2023-11-06 09:15:00+05:30,600.0,837.4,600.0,795.4,9212397
2023-11-06 10:15:00+05:30,795.35,815.75,786.0,805.0,3440920
2023-11-06 11:15:00+05:30,805.05,806.5,787.0,791.2,782739
2023-11-06 12:15:00+05:30,791.6,804.0,791.0,795.2,646437
2023-11-06 13:15:00+05:30,795.2,798.8,792.15,794.75,453099
2023-11-06 14:15:00+05:30,795.0,800.0,792.0,792.0,1594296
2023-11-06 15:15:00+05:30,792.0,794.95,790.0,792.0,1217802
2023-11-07 09:15:00+05:30,791.3,791.3,772.0,774.5,814085
2023-11-07 10:15:00+05:30,774.25,788.5,773.25,785.15,479816
2023-11-07 11:15:00+05:30,785.2,792.0,782.2,790.7,501994
2023-11-07 12:15:00+05:30,790.7,810.0,790.0,807.7,972581
2023-11-07 13:15:00+05:30,807.05,815.6,800.05,802.95,689711
2023-11-07 14:15:00+05:30,802.95,804.25,787.1,798.8,404974
2023-11-07 15:15:00+05:30,798.7,803.0,797.55,798.0,271326
2023-11-08 09:15:00+05:30,803.85,812.7,800.0,810.05,288568
2023-11-08 10:15:00+05:30,810.05,810.25,802.25,802.6,137601
2023-11-08 11:15:00+05:30,802.6,804.75,801.15,801.5,39244
2023-11-08 12:15:00+05:30,801.5,803.95,800.0,802.1,48049
2023-11-08 13:15:00+05:30,802.1,809.45,800.0,805.2,109116
2023-11-08 14:15:00+05:30,805.2,806.35,792.1,800.0,219543
2023-11-08 15:15:00+05:30,800.0,801.0,799.4,800.0,77158
2023-11-09 09:15:00+05:30,803.0,804.6,792.25,796.65,142406
2023-11-09 10:15:00+05:30,796.65,803.1,795.0,795.4,80180
2023-11-09 11:15:00+05:30,795.4,795.4,788.3,793.05,61261
2023-11-09 12:15:00+05:30,793.05,793.5,787.4,791.2,52262
2023-11-09 13:15:00+05:30,791.2,791.45,787.5,787.95,64533
2023-11-09 14:15:00+05:30,787.5,788.0,778.0,785.05,158702
2023-11-09 15:15:00+05:30,785.7,785.75,785.0,785.25,60073
2023-11-10 09:15:00+05:30,785.0,798.7,781.1,788.15,202844
2023-11-10 10:15:00+05:30,788.15,789.4,782.05,784.45,93016
2023-11-10 11:15:00+05:30,784.1,787.95,782.75,787.75,78673
2023-11-10 12:15:00+05:30,787.8,787.95,784.55,786.25,33614
2023-11-10 13:15:00+05:30,786.25,789.8,786.0,789.0,73840
2023-11-10 14:15:00+05:30,789.05,792.0,785.75,790.1,325654
2023-11-10 15:15:00+05:30,790.1,790.5,785.0,786.0,145097
2023-11-12 18:15:00+05:30,791.0,796.0,790.8,793.2,146373
2023-11-13 09:15:00+05:30,794.95,795.95,787.55,792.9,58068
2023-11-13 10:15:00+05:30,792.9,793.05,788.15,788.8,36110
2023-11-13 11:15:00+05:30,788.8,789.85,788.05,788.1,17994
2023-11-13 12:15:00+05:30,788.1,788.75,782.2,784.9,86115
