date,open,high,low,close,volume
2018-04-04 00:00:00+05:30,65.35,66.85,61.8,62.5,657062
2018-04-05 00:00:00+05:30,64.0,64.75,61.2,62.1,266945
2018-04-06 00:00:00+05:30,62.7,64.4,62.2,62.95,258764
2018-04-09 00:00:00+05:30,63.2,63.8,62.05,62.25,151588
2018-04-10 00:00:00+05:30,62.7,63.45,61.0,61.65,217406
2018-04-11 00:00:00+05:30,62.25,62.95,61.0,61.5,119636
2018-04-12 00:00:00+05:30,61.95,63.0,60.6,62.0,160427
2018-04-13 00:00:00+05:30,62.75,63.2,61.1,61.75,255432
2018-04-16 00:00:00+05:30,61.8,62.2,59.85,60.2,241424
2018-04-17 00:00:00+05:30,61.0,62.6,60.55,61.7,335769
2018-04-18 00:00:00+05:30,61.5,63.0,61.5,61.85,158843
2018-04-19 00:00:00+05:30,62.15,62.7,60.8,61.1,138138
2018-04-20 00:00:00+05:30,61.65,61.7,60.65,61.3,132802
2018-04-23 00:00:00+05:30,60.3,61.85,60.05,60.35,184460
2018-04-24 00:00:00+05:30,60.85,61.0,58.2,58.7,354548
2018-04-25 00:00:00+05:30,58.95,60.0,58.2,58.5,145196
2018-04-26 00:00:00+05:30,58.9,59.85,58.0,58.5,141584
2018-04-27 00:00:00+05:30,57.4,59.5,57.4,58.85,138204
2018-04-30 00:00:00+05:30,57.2,63.15,57.2,59.8,470293
2018-05-02 00:00:00+05:30,60.4,60.4,57.5,58.4,216751
2018-05-03 00:00:00+05:30,58.1,58.7,57.0,57.45,410497
2018-05-04 00:00:00+05:30,57.2,57.7,56.25,57.15,158730
2018-05-07 00:00:00+05:30,55.8,59.6,55.75,56.7,177259
2018-05-08 00:00:00+05:30,57.0,57.1,54.1,54.95,416645
2018-05-09 00:00:00+05:30,55.4,57.7,55.0,57.35,228569
2018-05-10 00:00:00+05:30,57.1,57.1,53.95,54.45,399849
2018-05-11 00:00:00+05:30,54.75,54.85,53.3,53.9,228308
2018-05-14 00:00:00+05:30,54.0,54.8,52.5,52.95,176044
2018-05-15 00:00:00+05:30,52.85,55.35,52.75,53.5,188150
2018-05-16 00:00:00+05:30,52.55,54.1,51.7,53.55,219842
2018-05-17 00:00:00+05:30,53.25,53.75,51.7,53.2,166249
2018-05-18 00:00:00+05:30,52.75,53.1,51.7,52.05,146490
2018-05-21 00:00:00+05:30,52.05,55.1,50.85,51.35,372362
2018-05-22 00:00:00+05:30,52.4,53.2,51.5,52.65,119736
2018-05-23 00:00:00+05:30,51.7,53.0,51.5,52.05,145736
2018-05-24 00:00:00+05:30,52.2,52.85,51.8,52.5,149020
2018-05-25 00:00:00+05:30,52.0,53.3,51.85,53.0,144507
2018-05-28 00:00:00+05:30,54.0,55.3,53.0,54.45,253109
2018-05-29 00:00:00+05:30,55.35,55.6,53.65,54.3,180678
2018-05-30 00:00:00+05:30,54.0,54.8,53.2,53.4,76220
2018-05-31 00:00:00+05:30,53.05,55.45,52.1,54.55,354670
2018-06-01 00:00:00+05:30,54.4,55.1,52.5,54.6,559131
2018-06-04 00:00:00+05:30,54.15,54.9,53.5,54.2,391198
2018-06-05 00:00:00+05:30,53.75,55.65,52.3,54.95,598481
2018-06-06 00:00:00+05:30,54.9,57.4,54.75,56.55,221823
2018-06-07 00:00:00+05:30,56.9,59.25,56.5,57.0,266425
2018-06-08 00:00:00+05:30,56.7,56.7,55.0,55.75,174013
2018-06-11 00:00:00+05:30,55.75,56.8,55.5,55.75,120058
2018-06-12 00:00:00+05:30,55.6,56.6,55.4,56.15,85994
2018-06-13 00:00:00+05:30,56.95,56.95,55.6,55.8,159371
2018-06-14 00:00:00+05:30,56.2,57.0,55.55,56.5,164371
2018-06-15 00:00:00+05:30,56.75,56.75,55.85,56.5,114321
2018-06-18 00:00:00+05:30,56.5,56.7,55.0,55.4,102668
2018-06-19 00:00:00+05:30,54.75,55.7,53.65,54.3,287972
2018-06-20 00:00:00+05:30,54.75,56.7,53.9,56.15,160987
2018-06-21 00:00:00+05:30,56.8,57.6,55.7,57.0,158189
2018-06-22 00:00:00+05:30,57.4,60.9,56.9,58.95,705512
2018-06-25 00:00:00+05:30,59.9,60.9,58.5,58.95,340444
2018-06-26 00:00:00+05:30,59.05,59.2,57.9,58.85,167019
2018-06-27 00:00:00+05:30,59.0,59.0,54.55,55.8,290079
2018-06-28 00:00:00+05:30,56.25,56.25,54.5,55.2,141317
2018-06-29 00:00:00+05:30,55.2,56.2,55.15,55.65,73922
2018-07-02 00:00:00+05:30,55.5,55.5,54.5,54.95,92529
2018-07-03 00:00:00+05:30,55.0,55.55,54.45,55.05,654673
2018-07-04 00:00:00+05:30,55.15,55.15,53.75,54.25,338966
2018-07-05 00:00:00+05:30,54.2,54.2,52.65,53.15,248511
2018-07-06 00:00:00+05:30,53.05,53.4,51.75,53.0,217429
2018-07-09 00:00:00+05:30,53.2,57.05,52.75,56.4,351554
2018-07-10 00:00:00+05:30,56.85,56.85,55.85,56.1,91710
2018-07-11 00:00:00+05:30,55.85,57.0,55.5,56.15,81485
2018-07-12 00:00:00+05:30,56.25,57.8,55.75,56.0,195474
2018-07-13 00:00:00+05:30,56.1,56.35,55.2,55.65,112354
2018-07-16 00:00:00+05:30,56.0,56.05,53.65,54.15,104271
2018-07-17 00:00:00+05:30,54.0,55.35,53.3,54.0,242389
2018-07-18 00:00:00+05:30,58.8,58.8,53.3,53.6,147720
