date,open,high,low,close,volume
2018-04-04 09:15:00+05:30,65.35,66.85,63.35,65.4,347439
2018-04-04 10:15:00+05:30,65.4,65.45,64.65,64.95,46012
2018-04-04 11:15:00+05:30,64.95,64.95,63.1,63.4,61004
2018-04-04 12:15:00+05:30,63.4,63.9,62.8,63.1,31831
2018-04-04 13:15:00+05:30,63.1,63.1,62.2,62.5,21535
2018-04-04 14:15:00+05:30,62.45,63.0,61.8,62.0,67148
2018-04-04 15:15:00+05:30,62.0,62.65,61.8,62.5,69493
2018-04-05 09:15:00+05:30,64.0,64.75,63.1,63.9,75235
2018-04-05 10:15:00+05:30,63.9,63.9,63.15,63.4,10192
2018-04-05 11:15:00+05:30,63.4,63.4,63.05,63.35,4832
2018-04-05 12:15:00+05:30,63.35,63.4,62.45,62.45,19547
2018-04-05 13:15:00+05:30,62.45,62.5,61.65,61.9,21680
2018-04-05 14:15:00+05:30,61.9,62.3,61.2,61.95,77821
2018-04-05 15:15:00+05:30,61.8,62.55,61.8,62.5,56628
2018-04-06 09:15:00+05:30,62.7,63.6,62.2,62.55,36788
2018-04-06 10:15:00+05:30,62.55,63.5,62.5,63.1,40326
2018-04-06 11:15:00+05:30,63.1,63.1,62.85,63.1,8477
2018-04-06 12:15:00+05:30,63.1,64.4,63.1,63.7,85480
2018-04-06 13:15:00+05:30,63.55,63.95,62.85,63.45,37405
2018-04-06 14:15:00+05:30,63.45,63.85,62.85,63.0,34259
2018-04-06 15:15:00+05:30,62.9,63.25,62.75,62.75,15379
2018-04-09 09:15:00+05:30,63.4,63.8,62.5,63.2,24088
2018-04-09 10:15:00+05:30,63.2,63.6,63.0,63.0,21541
2018-04-09 11:15:00+05:30,63.0,63.25,62.7,63.25,11196
2018-04-09 12:15:00+05:30,63.25,63.4,62.4,62.4,32124
2018-04-09 13:15:00+05:30,62.4,62.4,62.1,62.35,24052
2018-04-09 14:15:00+05:30,62.35,62.75,62.1,62.3,16855
2018-04-09 15:15:00+05:30,62.35,62.4,62.05,62.05,19750
2018-04-10 09:15:00+05:30,62.7,63.45,61.85,62.45,78267
2018-04-10 10:15:00+05:30,62.45,62.7,61.0,61.45,63812
2018-04-10 11:15:00+05:30,61.45,61.9,61.1,61.7,15276
