date,open,high,low,close,volume
2019-06-13 00:00:00+05:30,41.4,41.4,38.65,39.4,101635
2019-06-14 00:00:00+05:30,40.0,40.0,38.75,38.9,68377
2019-06-17 00:00:00+05:30,38.5,39.65,37.85,38.0,62689
2019-06-18 00:00:00+05:30,38.8,38.8,37.35,37.75,103909
2019-06-19 00:00:00+05:30,37.55,39.4,36.55,36.8,100566
2019-06-20 00:00:00+05:30,36.4,37.7,35.75,37.15,113010
2019-06-21 00:00:00+05:30,37.35,37.5,36.4,36.9,22557
2019-06-24 00:00:00+05:30,37.2,37.25,36.4,36.55,68986
2019-06-25 00:00:00+05:30,36.15,36.45,33.3,35.0,213650
2019-06-26 00:00:00+05:30,35.0,36.25,34.8,35.3,60938
2019-06-27 00:00:00+05:30,35.7,36.95,35.55,36.3,119669
2019-06-28 00:00:00+05:30,37.3,37.3,35.5,36.05,69536
2019-07-01 00:00:00+05:30,36.65,36.65,35.0,35.4,62513
2019-07-02 00:00:00+05:30,35.1,35.7,33.1,33.7,131591
2019-07-03 00:00:00+05:30,33.7,34.4,32.8,32.95,189484
2019-07-04 00:00:00+05:30,33.25,33.25,32.6,32.9,109762
2019-07-05 00:00:00+05:30,32.55,35.8,32.55,34.75,222643
2019-07-08 00:00:00+05:30,35.4,35.4,32.8,33.3,125321
2019-07-09 00:00:00+05:30,33.05,34.9,33.05,34.45,72339
2019-07-10 00:00:00+05:30,35.0,35.45,34.35,35.15,89806
2019-07-11 00:00:00+05:30,33.6,35.95,33.6,34.75,41502
2019-07-12 00:00:00+05:30,34.3,35.4,34.0,34.35,46482
2019-07-15 00:00:00+05:30,35.0,35.4,32.75,33.15,75963
2019-07-16 00:00:00+05:30,32.9,34.0,32.4,32.85,72478
2019-07-17 00:00:00+05:30,33.5,33.5,32.15,32.25,56625
2019-07-18 00:00:00+05:30,32.05,32.4,31.5,31.7,73061
2019-07-19 00:00:00+05:30,33.0,33.0,30.5,31.15,102365
2019-07-22 00:00:00+05:30,30.5,31.5,29.65,29.85,101735
2019-07-23 00:00:00+05:30,30.25,30.55,29.35,30.0,63832
2019-07-24 00:00:00+05:30,30.2,30.2,28.95,29.95,250882
2019-07-25 00:00:00+05:30,29.95,30.3,29.45,29.9,86109
2019-07-26 00:00:00+05:30,29.6,30.3,29.5,29.85,62564
2019-07-29 00:00:00+05:30,29.0,29.95,25.7,28.6,364264
2019-07-30 00:00:00+05:30,28.0,28.8,26.0,26.55,134663
2019-07-31 00:00:00+05:30,26.0,27.45,25.25,27.0,151176
2019-08-01 00:00:00+05:30,26.1,26.95,25.55,26.0,110879
2019-08-02 00:00:00+05:30,25.75,26.15,25.45,25.95,77619
2019-08-05 00:00:00+05:30,27.2,27.2,24.95,25.35,110483
2019-08-06 00:00:00+05:30,25.4,26.0,25.15,25.65,118859
2019-08-07 00:00:00+05:30,26.4,26.4,25.4,25.5,69214
2019-08-08 00:00:00+05:30,25.3,27.4,25.25,26.6,132108
2019-08-09 00:00:00+05:30,27.4,29.0,27.4,28.45,199194
2019-08-13 00:00:00+05:30,29.65,29.65,26.1,26.8,103316
2019-08-14 00:00:00+05:30,26.55,27.65,26.2,26.35,50869
2019-08-16 00:00:00+05:30,26.5,26.55,25.7,25.8,148416
