date,open,high,low,close,volume
2003-01-27 00:00:00+05:30,26.77,26.77,26.77,26.77,2999
2003-01-28 00:00:00+05:30,26.91,26.97,26.77,26.94,14029
2003-01-29 00:00:00+05:30,27.16,27.16,26.77,26.77,2229
2003-01-30 00:00:00+05:30,26.77,26.97,26.77,26.77,55099
2003-01-31 00:00:00+05:30,26.92,26.92,26.27,26.27,999
2003-02-03 00:00:00+05:30,26.28,26.57,26.27,26.52,1899
2003-02-04 00:00:00+05:30,26.27,26.58,26.27,26.57,999
2003-02-05 00:00:00+05:30,26.86,27.27,26.86,27.07,2749
2003-02-06 00:00:00+05:30,26.6,26.6,26.47,26.55,1099
2003-02-07 00:00:00+05:30,26.48,26.49,26.27,26.48,2949
2003-02-10 00:00:00+05:30,26.57,26.77,26.27,26.29,5679
2003-02-11 00:00:00+05:30,27.17,27.33,27.17,27.33,499
2003-02-12 00:00:00+05:30,27.3,27.3,27.07,27.07,10599
2003-02-14 00:00:00+05:30,26.29,26.42,26.27,26.27,849
2003-02-17 00:00:00+05:30,26.37,26.77,26.27,26.77,4499
2003-02-18 00:00:00+05:30,26.77,27.23,26.4,26.7,6869
2003-02-19 00:00:00+05:30,26.49,26.77,26.47,26.77,2299
2003-02-20 00:00:00+05:30,26.32,26.77,26.32,26.57,5679
2003-02-21 00:00:00+05:30,26.76,26.76,26.76,26.76,249
2003-02-24 00:00:00+05:30,26.57,26.57,26.27,26.34,999
2003-02-25 00:00:00+05:30,26.27,26.97,25.78,25.98,8019
2003-02-26 00:00:00+05:30,26.28,26.28,26.28,26.28,199
2003-02-27 00:00:00+05:30,26.27,26.57,26.27,26.52,5109
2003-02-28 00:00:00+05:30,26.27,26.27,26.27,26.27,249
2003-03-03 00:00:00+05:30,26.27,26.57,26.27,26.27,2559
2003-03-04 00:00:00+05:30,26.28,26.28,25.98,25.98,2949
2003-03-05 00:00:00+05:30,25.81,25.83,25.81,25.83,29
2003-03-06 00:00:00+05:30,26.27,26.27,25.95,25.95,9349
2003-03-07 00:00:00+05:30,25.78,26.17,25.78,25.93,2199
2003-03-10 00:00:00+05:30,25.56,26.06,25.29,25.48,15469
2003-03-11 00:00:00+05:30,25.78,25.78,25.78,25.78,2049
2003-03-12 00:00:00+05:30,25.78,25.79,25.78,25.78,5019
2003-03-13 00:00:00+05:30,25.78,26.08,25.78,26.08,1009
2003-03-17 00:00:00+05:30,26.08,26.08,25.18,25.78,10529
2003-03-19 00:00:00+05:30,25.78,25.79,25.78,25.79,1399
2003-03-20 00:00:00+05:30,25.78,25.78,25.42,25.78,41169
2003-03-21 00:00:00+05:30,26.27,26.27,25.22,25.75,5149
2003-03-24 00:00:00+05:30,25.28,25.48,25.18,25.31,61349
2003-03-25 00:00:00+05:30,25.58,25.58,25.57,25.58,9999
2003-03-26 00:00:00+05:30,25.28,25.28,24.89,25.18,18819
2003-03-27 00:00:00+05:30,25.28,25.28,24.98,25.1,6099
2003-03-28 00:00:00+05:30,25.28,25.47,25.03,25.13,3869
2003-03-31 00:00:00+05:30,23.79,25.43,23.79,25.14,8199
2003-04-01 00:00:00+05:30,24.79,24.94,24.49,24.69,8519
2003-04-02 00:00:00+05:30,24.85,25.28,24.85,25.03,119
2003-04-03 00:00:00+05:30,24.98,25.09,24.98,25.09,1129
2003-04-04 00:00:00+05:30,26.07,26.08,25.08,25.08,7359
2003-04-07 00:00:00+05:30,25.11,25.58,25.11,25.58,219
2003-04-08 00:00:00+05:30,25.38,26.76,25.31,25.78,3099
2003-04-09 00:00:00+05:30,25.63,25.68,25.63,25.68,1099
2003-04-10 00:00:00+05:30,25.63,25.68,25.63,25.68,0
2003-04-11 00:00:00+05:30,24.79,24.98,24.69,24.98,2999
2003-04-15 00:00:00+05:30,24.99,25.21,24.79,25.21,40699
2003-04-16 00:00:00+05:30,24.3,24.79,23.7,24.44,6289
