date,open,high,low,close,volume
2003-01-27 00:00:00+05:30,7.9,7.9,7.53,7.66,2503006
2003-01-28 00:00:00+05:30,7.7,7.88,7.54,7.83,1580981
2003-01-29 00:00:00+05:30,7.95,7.98,7.71,7.75,1155443
2003-01-30 00:00:00+05:30,7.83,7.89,7.52,7.62,1542497
2003-01-31 00:00:00+05:30,7.68,7.68,7.5,7.57,958103
2003-02-03 00:00:00+05:30,7.58,7.82,7.58,7.75,898313
2003-02-04 00:00:00+05:30,7.81,7.83,7.58,7.64,603347
2003-02-05 00:00:00+05:30,7.63,7.65,7.53,7.55,495551
2003-02-06 00:00:00+05:30,7.58,7.62,7.48,7.52,673835
2003-02-07 00:00:00+05:30,7.6,7.6,7.38,7.48,885671
2003-02-10 00:00:00+05:30,7.49,7.49,7.33,7.37,518399
2003-02-11 00:00:00+05:30,7.43,7.44,7.34,7.4,377675
2003-02-12 00:00:00+05:30,7.41,7.41,7.32,7.34,331067
2003-02-14 00:00:00+05:30,7.33,7.38,7.21,7.25,632585
2003-02-17 00:00:00+05:30,7.34,7.45,7.33,7.38,513329
2003-02-18 00:00:00+05:30,7.48,7.83,7.39,7.43,1667687
2003-02-19 00:00:00+05:30,7.82,7.82,7.36,7.4,534887
2003-02-20 00:00:00+05:30,7.43,7.47,7.34,7.39,461543
2003-02-21 00:00:00+05:30,7.38,7.45,7.35,7.38,255461
2003-02-24 00:00:00+05:30,7.44,7.46,7.33,7.35,419195
2003-02-25 00:00:00+05:30,7.33,7.37,7.04,7.11,1185401
2003-02-26 00:00:00+05:30,7.17,7.23,7.15,7.17,323723
2003-02-27 00:00:00+05:30,7.22,7.3,7.18,7.22,476075
2003-02-28 00:00:00+05:30,7.43,7.44,7.25,7.31,1019219
2003-03-03 00:00:00+05:30,7.29,7.39,7.23,7.31,793481
2003-03-04 00:00:00+05:30,7.23,7.35,7.22,7.33,514937
2003-03-05 00:00:00+05:30,7.29,7.4,7.13,7.31,639443
