date,open,high,low,close,volume
2016-07-04 09:15:00+05:30,37.95,37.95,37.25,37.25,2240
2016-07-04 10:15:00+05:30,37.25,37.25,36.5,36.5,2
2016-07-04 11:15:00+05:30,36.5,37.15,36.5,37.15,216
2016-07-04 12:15:00+05:30,37.15,37.15,37.15,37.15,0
2016-07-04 13:15:00+05:30,37.15,37.15,36.0,36.0,800
2016-07-04 14:15:00+05:30,36.0,36.95,34.0,36.5,420
2016-07-04 15:15:00+05:30,36.5,36.5,36.5,36.5,0
2016-07-05 09:15:00+05:30,37.2,37.2,35.0,37.15,208
2016-07-05 10:15:00+05:30,37.15,37.15,36.0,36.0,398
2016-07-05 11:15:00+05:30,36.0,37.1,36.0,37.1,1388
2016-07-05 12:15:00+05:30,37.1,37.1,36.98,36.98,106
2016-07-05 13:15:00+05:30,36.98,36.98,36.98,36.98,8
2016-07-05 14:15:00+05:30,36.98,36.98,36.98,36.98,0
2016-07-05 15:15:00+05:30,36.98,36.98,36.98,36.98,0
2016-07-07 11:15:00+05:30,36.98,36.98,36.98,36.98,68
2016-07-07 12:15:00+05:30,36.98,36.98,36.98,36.98,0
2016-07-07 13:15:00+05:30,36.98,36.98,36.98,36.98,0
2016-07-07 14:15:00+05:30,36.98,36.98,36.9,36.9,100
2016-07-07 15:15:00+05:30,36.9,36.9,36.9,36.9,300
2016-07-08 10:15:00+05:30,36.9,36.9,36.9,36.9,140
2016-07-08 11:15:00+05:30,36.9,36.9,36.9,36.9,0
2016-07-08 12:15:00+05:30,36.9,37.0,36.9,37.0,1708
2016-07-08 13:15:00+05:30,37.0,37.25,37.0,37.25,200
2016-07-08 14:15:00+05:30,37.25,37.93,37.25,37.3,4000
2016-07-08 15:15:00+05:30,37.3,37.93,37.3,37.93,434
2016-07-11 09:15:00+05:30,38.75,40.0,38.75,39.5,528
2016-07-11 10:15:00+05:30,39.5,39.75,38.08,38.08,4842
2016-07-11 11:15:00+05:30,38.08,39.95,38.08,38.65,6024
2016-07-11 12:15:00+05:30,38.65,38.65,38.65,38.65,0
2016-07-11 13:15:00+05:30,38.65,39.73,38.65,39.68,1200
