date,open,high,low,close,volume
2004-04-01 00:00:00+05:30,17.46,17.98,16.64,16.99,56161
2004-04-02 00:00:00+05:30,17.78,17.78,16.35,16.68,92807
2004-04-05 00:00:00+05:30,17.2,17.96,16.94,17.17,76483
2004-04-06 00:00:00+05:30,17.49,17.49,16.39,17.08,28424
2004-04-07 00:00:00+05:30,17.23,17.52,16.94,17.23,19093
2004-04-08 00:00:00+05:30,16.99,18.07,16.97,17.84,55418
2004-04-12 00:00:00+05:30,18.57,18.63,17.67,17.81,43798
2004-04-13 00:00:00+05:30,17.69,17.81,16.15,17.58,31438
2004-04-15 00:00:00+05:30,17.76,18.11,17.52,17.9,46365
2004-04-16 00:00:00+05:30,18.11,19.18,18.11,18.84,98221
2004-04-19 00:00:00+05:30,19.3,20.09,18.42,18.54,81444
2004-04-20 00:00:00+05:30,18.69,18.98,17.69,18.16,35864
2004-04-21 00:00:00+05:30,17.87,18.54,17.81,18.34,34703
2004-04-22 00:00:00+05:30,18.22,18.66,18.05,18.57,51894
2004-04-23 00:00:00+05:30,19.74,19.74,18.4,18.45,59303
2004-04-27 00:00:00+05:30,18.13,18.63,17.05,17.29,60503
2004-04-28 00:00:00+05:30,16.82,17.43,16.68,17.14,44890
2004-04-29 00:00:00+05:30,18.42,18.42,17.17,17.49,27952
2004-04-30 00:00:00+05:30,17.23,17.76,17.2,17.38,26446
2004-05-03 00:00:00+05:30,17.49,17.52,16.35,16.7,45035
2004-05-04 00:00:00+05:30,16.94,17.67,16.94,17.52,26579
2004-05-05 00:00:00+05:30,17.14,18.11,17.12,17.76,30960
2004-05-06 00:00:00+05:30,18.11,18.4,17.81,18.16,45670
2004-05-07 00:00:00+05:30,19.27,19.27,17.93,18.13,50394
2004-05-10 00:00:00+05:30,17.63,18.11,17.55,18.05,24865
2004-05-11 00:00:00+05:30,17.78,17.81,17.08,17.12,39702
2004-05-12 00:00:00+05:30,17.52,17.67,16.7,17.12,34507
2004-05-13 00:00:00+05:30,17.08,17.81,14.66,17.46,33530
2004-05-14 00:00:00+05:30,17.87,20.26,15.18,15.68,67638
2004-05-17 00:00:00+05:30,15.24,15.24,13.76,14.42,20085
2004-05-18 00:00:00+05:30,14.89,16.3,14.89,15.74,23300
2004-05-19 00:00:00+05:30,16.64,16.64,14.66,15.91,26585
2004-05-20 00:00:00+05:30,16.06,16.26,15.51,15.65,30864
2004-05-21 00:00:00+05:30,15.48,15.59,14.89,15.27,26978
2004-06-23 00:00:00+05:30,14.16,14.16,13.72,13.78,6339
2004-06-24 00:00:00+05:30,13.76,14.02,13.61,13.72,11727
2004-06-25 00:00:00+05:30,14.02,14.4,13.78,14.13,6567
2004-06-28 00:00:00+05:30,14.49,14.49,13.9,14.28,6395
2004-06-29 00:00:00+05:30,14.28,14.6,14.25,14.57,7482
2004-06-30 00:00:00+05:30,14.6,14.71,14.36,14.36,4785
2004-07-01 00:00:00+05:30,14.02,14.02,13.72,13.81,10787
2004-07-02 00:00:00+05:30,13.87,14.28,13.72,13.96,13209
2004-07-05 00:00:00+05:30,12.26,13.72,11.8,12.99,31189
2004-07-06 00:00:00+05:30,13.32,13.49,13.11,13.26,11849
2004-07-07 00:00:00+05:30,14.31,14.4,13.43,13.46,8576
2004-07-08 00:00:00+05:30,13.55,13.72,12.55,12.9,9948
2004-07-09 00:00:00+05:30,12.55,12.85,12.26,12.64,59746
2004-07-12 00:00:00+05:30,12.5,12.7,12.47,12.55,8690
2004-07-13 00:00:00+05:30,12.55,12.99,12.47,12.94,13801
2004-07-14 00:00:00+05:30,13.14,13.14,12.85,13.05,3989
2004-07-15 00:00:00+05:30,12.99,12.99,12.76,12.82,2330
2004-07-16 00:00:00+05:30,12.97,13.43,12.85,13.26,10898
2004-07-19 00:00:00+05:30,14.45,14.45,13.28,13.46,14935
2004-07-20 00:00:00+05:30,13.34,13.55,13.14,13.32,5905
2004-07-21 00:00:00+05:30,13.14,13.55,12.85,13.32,6120
2004-07-22 00:00:00+05:30,13.37,13.96,13.37,13.63,15145
2004-07-23 00:00:00+05:30,13.37,13.67,13.34,13.58,3535
2004-07-26 00:00:00+05:30,12.09,13.17,12.09,12.97,19129
2004-07-27 00:00:00+05:30,13.03,13.14,12.55,12.55,43882
2004-07-28 00:00:00+05:30,11.73,12.76,11.73,12.55,23984
2004-07-29 00:00:00+05:30,12.82,13.14,12.12,12.15,22599
2004-07-30 00:00:00+05:30,12.17,12.76,12.15,12.26,17585
2004-08-02 00:00:00+05:30,12.32,12.32,10.92,11.3,66594
2004-08-03 00:00:00+05:30,11.3,11.3,10.92,11.13,56300
2004-08-04 00:00:00+05:30,11.09,11.24,11.09,11.13,18768
2004-08-05 00:00:00+05:30,11.48,11.48,10.8,11.07,21092
2004-08-06 00:00:00+05:30,11.13,11.68,11.13,11.48,30457
2004-08-09 00:00:00+05:30,11.18,11.39,10.92,11.22,19738
2004-08-10 00:00:00+05:30,11.18,11.39,11.15,11.15,15457
2004-08-11 00:00:00+05:30,11.8,11.8,10.95,11.04,22364
2004-08-12 00:00:00+05:30,11.65,11.68,10.89,10.92,16279
2004-08-13 00:00:00+05:30,11.22,11.22,10.66,10.72,16654
2004-08-16 00:00:00+05:30,11.22,11.22,10.66,10.72,16654
2004-08-17 00:00:00+05:30,10.51,10.66,10.51,10.51,22210
2004-08-18 00:00:00+05:30,10.36,10.57,10.34,10.45,12335
2004-08-19 00:00:00+05:30,10.45,10.54,10.22,10.43,17956
2004-08-20 00:00:00+05:30,10.22,10.22,9.93,10.1,29101
2004-08-23 00:00:00+05:30,9.99,9.99,9.63,9.72,25786
2004-08-24 00:00:00+05:30,9.61,9.9,9.49,9.78,20197
2004-08-25 00:00:00+05:30,9.63,9.93,9.46,9.61,23608
2004-08-26 00:00:00+05:30,9.81,10.07,9.78,9.81,35329
2004-08-27 00:00:00+05:30,9.7,10.05,9.7,9.87,24417
2004-08-30 00:00:00+05:30,9.93,10.78,9.93,10.49,52410
2004-08-31 00:00:00+05:30,10.87,10.92,10.25,10.87,37886
2004-09-01 00:00:00+05:30,10.57,11.04,10.57,10.83,14598
2004-09-02 00:00:00+05:30,10.95,11.3,10.72,11.15,31977
2004-09-03 00:00:00+05:30,11.09,11.39,10.98,11.18,21274
2004-09-06 00:00:00+05:30,11.0,11.91,11.0,11.42,36672
2004-09-07 00:00:00+05:30,11.44,12.21,11.39,11.48,31758
2004-09-08 00:00:00+05:30,10.63,12.06,10.63,11.71,45357
2004-09-09 00:00:00+05:30,11.44,11.65,11.15,11.56,35112
2004-09-10 00:00:00+05:30,11.56,11.59,11.04,11.51,26124
2004-09-13 00:00:00+05:30,11.62,11.73,11.39,11.53,30520
2004-09-14 00:00:00+05:30,11.09,11.39,10.98,11.3,13728
2004-09-15 00:00:00+05:30,11.39,11.56,11.39,11.39,19734
2004-09-16 00:00:00+05:30,11.27,11.62,11.27,11.56,11207
2004-09-17 00:00:00+05:30,11.27,11.82,11.09,11.68,28103
2004-09-20 00:00:00+05:30,11.39,11.8,11.39,11.68,33823
2004-09-21 00:00:00+05:30,12.09,12.09,11.48,11.53,22833
2004-09-22 00:00:00+05:30,11.33,11.88,11.33,11.8,16978
2004-09-23 00:00:00+05:30,11.68,12.15,11.68,11.77,22530
2004-09-24 00:00:00+05:30,11.73,11.73,11.68,11.71,16952
2004-09-27 00:00:00+05:30,11.91,11.91,11.62,11.73,7239
2004-09-28 00:00:00+05:30,11.91,11.97,11.56,11.71,23972
2004-09-29 00:00:00+05:30,12.26,12.26,11.44,11.86,57160
2004-09-30 00:00:00+05:30,12.85,12.85,11.48,11.88,14814
2004-10-01 00:00:00+05:30,11.97,12.09,11.71,11.77,29881
2004-10-04 00:00:00+05:30,12.21,12.55,11.56,11.86,64901
2004-10-05 00:00:00+05:30,12.15,12.15,11.68,11.97,48654
2004-10-06 00:00:00+05:30,12.17,12.29,11.91,12.0,43196
2004-10-07 00:00:00+05:30,12.26,12.26,12.0,12.12,26201
2004-10-08 00:00:00+05:30,12.24,12.24,11.97,12.15,24198
2004-10-11 00:00:00+05:30,12.21,12.26,11.97,12.17,41717
2004-10-12 00:00:00+05:30,11.77,12.26,11.68,12.03,19446
2004-10-14 00:00:00+05:30,11.77,12.09,11.73,12.03,10826
2004-10-15 00:00:00+05:30,12.03,12.09,11.8,11.97,11293
2004-10-18 00:00:00+05:30,11.97,11.97,11.48,11.68,12238
2004-10-19 00:00:00+05:30,11.56,11.68,11.39,11.56,11042
2004-10-20 00:00:00+05:30,11.68,11.77,11.27,11.36,26723
2004-10-21 00:00:00+05:30,11.24,11.68,11.18,11.65,17441
2004-10-25 00:00:00+05:30,11.68,11.68,11.44,11.56,31720
2004-10-26 00:00:00+05:30,11.65,11.8,11.39,11.68,25985
2004-10-27 00:00:00+05:30,11.86,11.91,11.48,11.77,7152
2004-10-28 00:00:00+05:30,12.03,12.21,11.53,11.77,13244
2004-10-29 00:00:00+05:30,12.15,12.15,11.68,11.95,25698
2004-11-01 00:00:00+05:30,12.12,12.61,11.86,12.0,49997
2004-11-02 00:00:00+05:30,11.97,12.12,11.8,12.0,55453
2004-11-03 00:00:00+05:30,11.82,12.38,11.82,11.97,16203
2004-11-04 00:00:00+05:30,11.73,12.12,11.71,11.97,40370
2004-11-05 00:00:00+05:30,11.88,11.95,11.82,11.82,11924
2004-11-08 00:00:00+05:30,12.5,12.5,11.22,11.71,25359
2004-11-09 00:00:00+05:30,11.68,11.86,11.68,11.77,45959
2004-11-10 00:00:00+05:30,11.71,12.03,11.68,11.71,24622
2004-11-11 00:00:00+05:30,12.15,12.15,11.68,11.71,12431
2004-11-12 00:00:00+05:30,12.59,12.61,11.97,12.12,18167
2004-11-16 00:00:00+05:30,11.73,12.06,11.73,11.91,21801
2004-11-17 00:00:00+05:30,11.82,12.15,11.68,12.06,73386
2004-11-18 00:00:00+05:30,12.15,14.49,12.15,14.49,398514
2004-11-19 00:00:00+05:30,15.71,16.0,14.07,14.34,439653
2004-11-22 00:00:00+05:30,12.9,14.6,12.9,13.93,71563
2004-11-23 00:00:00+05:30,14.45,16.21,14.07,15.15,314696
2004-11-24 00:00:00+05:30,15.42,15.91,14.78,14.89,107341
2004-11-25 00:00:00+05:30,14.6,15.07,14.02,14.45,60054
2004-11-29 00:00:00+05:30,14.6,15.04,14.45,14.63,69205
2004-11-30 00:00:00+05:30,14.89,14.89,14.07,14.25,41297
2004-12-01 00:00:00+05:30,14.02,14.6,13.43,14.28,98950
2004-12-02 00:00:00+05:30,14.45,15.18,14.31,14.8,136891
2004-12-03 00:00:00+05:30,15.13,15.13,14.07,14.19,61658
2004-12-06 00:00:00+05:30,15.15,17.05,15.07,15.59,272171
2004-12-07 00:00:00+05:30,16.0,16.24,15.13,15.22,133879
2004-12-08 00:00:00+05:30,15.24,15.77,14.98,15.13,109269
2004-12-09 00:00:00+05:30,15.77,15.77,14.69,15.22,44839
2004-12-10 00:00:00+05:30,14.95,15.42,14.66,14.86,48753
2004-12-13 00:00:00+05:30,13.55,15.3,13.55,14.63,22089
2004-12-14 00:00:00+05:30,14.83,15.18,14.49,14.63,33556
2004-12-15 00:00:00+05:30,15.09,15.57,14.6,14.69,70100
2004-12-16 00:00:00+05:30,14.51,15.48,14.22,15.39,220462
2004-12-17 00:00:00+05:30,15.71,18.4,15.71,18.05,1548755
2004-12-20 00:00:00+05:30,18.28,19.44,17.52,18.51,1403854
2004-12-21 00:00:00+05:30,18.69,18.95,17.96,18.05,500155
2004-12-22 00:00:00+05:30,17.81,18.54,17.4,17.61,263204
2004-12-23 00:00:00+05:30,17.78,20.12,17.67,19.36,1165734
2004-12-24 00:00:00+05:30,19.8,20.44,18.86,19.07,642787
2004-12-27 00:00:00+05:30,19.27,19.8,17.55,19.04,244864
2004-12-28 00:00:00+05:30,19.22,20.21,18.78,19.13,181520
2004-12-29 00:00:00+05:30,18.69,19.18,18.11,18.16,145130
2004-12-30 00:00:00+05:30,18.69,20.32,18.69,19.68,769366
2004-12-31 00:00:00+05:30,19.95,20.96,19.57,20.24,837744
2005-01-03 00:00:00+05:30,20.73,21.72,20.52,20.67,427201
2005-01-04 00:00:00+05:30,20.67,20.94,20.15,20.26,182834
2005-01-05 00:00:00+05:30,20.67,21.32,17.23,18.57,458360
2005-01-06 00:00:00+05:30,18.69,19.44,17.38,18.19,267749
2005-01-07 00:00:00+05:30,18.57,19.83,16.94,19.48,204685
2005-01-10 00:00:00+05:30,19.97,20.38,18.98,19.42,251858
2005-01-11 00:00:00+05:30,19.97,20.09,18.16,18.42,128633
2005-01-12 00:00:00+05:30,19.27,19.68,17.32,17.63,107000
2005-01-13 00:00:00+05:30,17.98,20.38,17.98,19.77,451737
2005-01-14 00:00:00+05:30,19.83,20.24,18.49,18.89,518408
2005-01-17 00:00:00+05:30,22.2,22.2,19.22,19.8,381819
2005-01-18 00:00:00+05:30,19.92,20.09,19.15,19.27,179260
2005-01-19 00:00:00+05:30,19.66,19.66,18.63,18.93,90212
2005-01-20 00:00:00+05:30,19.04,19.04,18.16,18.51,56829
