date,open,high,low,close,volume
2021-11-25 09:15:00+05:30,68.95,69.7,64.35,68.25,56617
2021-11-25 10:15:00+05:30,68.25,72.9,67.15,71.75,85192
2021-11-25 11:15:00+05:30,72.0,79.2,72.0,79.2,206271
2021-11-25 12:15:00+05:30,79.2,79.2,79.2,79.2,6965
2021-11-25 13:15:00+05:30,79.2,79.2,79.2,79.2,4451
2021-11-25 14:15:00+05:30,79.2,79.2,79.2,79.2,5452
2021-11-25 15:15:00+05:30,79.2,79.2,79.2,79.2,42
2021-11-26 09:15:00+05:30,78.8,84.35,71.55,81.2,190278
2021-11-26 10:15:00+05:30,81.8,82.8,78.0,81.3,61878
2021-11-26 11:15:00+05:30,81.3,81.7,80.1,80.9,16236
2021-11-26 12:15:00+05:30,80.9,82.4,80.1,80.65,16491
2021-11-26 13:15:00+05:30,81.2,81.2,79.6,80.35,9207
2021-11-26 14:15:00+05:30,80.5,80.95,78.0,78.05,17306
2021-11-26 15:15:00+05:30,78.0,78.7,75.35,76.9,18823
2021-11-29 09:15:00+05:30,75.6,78.95,72.4,74.25,30773
2021-11-29 10:15:00+05:30,74.25,75.1,73.75,74.6,6601
2021-11-29 11:15:00+05:30,74.6,75.5,74.05,74.8,5761
2021-11-29 12:15:00+05:30,74.8,75.3,74.8,75.0,723
2021-11-29 13:15:00+05:30,75.0,75.5,73.0,75.5,8791
2021-11-29 14:15:00+05:30,75.5,75.5,73.1,74.7,2510
2021-11-29 15:15:00+05:30,74.7,75.9,73.5,73.5,8033
2021-11-30 09:15:00+05:30,75.8,77.5,74.1,76.3,18258
2021-11-30 10:15:00+05:30,76.3,76.35,75.1,75.15,13036
2021-11-30 11:15:00+05:30,75.15,75.5,67.15,69.5,25147
2021-11-30 12:15:00+05:30,69.5,69.5,67.55,68.3,16186
2021-11-30 13:15:00+05:30,68.0,69.5,68.0,68.65,19171
2021-11-30 14:15:00+05:30,68.65,69.05,67.5,68.35,56187
2021-11-30 15:15:00+05:30,68.0,69.05,67.5,67.95,19963
2021-12-01 09:15:00+05:30,69.5,70.3,66.55,69.2,62134
2021-12-01 10:15:00+05:30,69.2,69.2,67.65,68.15,16658
2021-12-01 11:15:00+05:30,68.15,68.4,67.65,68.05,9526
2021-12-01 12:15:00+05:30,68.05,68.3,67.5,67.5,5297
2021-12-01 13:15:00+05:30,67.5,69.95,67.4,69.0,200791
2021-12-01 14:15:00+05:30,69.0,69.75,67.9,68.1,12798
2021-12-01 15:15:00+05:30,68.1,69.2,67.25,68.05,10105
2021-12-02 09:15:00+05:30,67.45,74.4,67.45,73.1,73060
2021-12-02 10:15:00+05:30,73.05,74.5,72.4,73.95,25425
2021-12-02 11:15:00+05:30,73.95,74.25,71.85,72.4,10064
2021-12-02 12:15:00+05:30,72.4,72.4,71.15,72.1,10572
2021-12-02 13:15:00+05:30,72.1,74.85,72.05,74.85,29200
2021-12-02 14:15:00+05:30,74.85,75.2,74.6,74.9,70679
2021-12-02 15:15:00+05:30,74.9,75.2,74.5,75.2,10989
2021-12-03 09:15:00+05:30,74.5,74.75,68.35,71.0,89216
2021-12-03 10:15:00+05:30,71.0,71.95,69.55,69.85,18956
2021-12-03 11:15:00+05:30,69.85,69.95,69.1,69.25,7656
2021-12-03 12:15:00+05:30,69.25,69.3,68.15,69.1,9790
2021-12-03 13:15:00+05:30,69.1,69.8,68.4,69.0,8563
