date,open,high,low,close,volume
2023-09-18 00:00:00+05:30,2.2,2.35,2.2,2.35,16010
2023-09-20 00:00:00+05:30,2.45,2.45,2.45,2.45,3430
2023-09-21 00:00:00+05:30,2.55,2.55,2.55,2.55,3890
2023-09-22 00:00:00+05:30,2.7,2.7,2.7,2.7,3590
2023-09-25 00:00:00+05:30,2.8,2.8,2.8,2.8,1710
2023-09-26 00:00:00+05:30,2.95,2.95,2.95,2.95,1220
2023-09-27 00:00:00+05:30,3.1,3.1,3.1,3.1,570
2023-09-28 00:00:00+05:30,3.25,3.25,3.25,3.25,3060
2023-09-29 00:00:00+05:30,3.4,3.4,3.4,3.4,2500
2023-10-03 00:00:00+05:30,3.6,3.6,3.6,3.6,470
2023-10-04 00:00:00+05:30,3.95,3.95,3.95,3.95,860
2023-10-05 00:00:00+05:30,4.35,4.35,4.35,4.35,470
2023-10-06 00:00:00+05:30,4.55,4.55,4.55,4.55,850
2023-10-09 00:00:00+05:30,4.8,4.8,4.8,4.8,970
2023-10-10 00:00:00+05:30,5.0,5.0,5.0,5.0,3460
2023-10-11 00:00:00+05:30,5.25,5.25,5.25,5.25,110
2023-10-12 00:00:00+05:30,5.5,5.5,5.5,5.5,150
2023-10-13 00:00:00+05:30,5.8,5.8,5.8,5.8,1150
2023-10-16 00:00:00+05:30,5.9,5.9,5.9,5.9,1800
2023-10-17 00:00:00+05:30,6.0,6.0,6.0,6.0,450
2023-10-18 00:00:00+05:30,6.15,6.15,6.15,6.15,520
2023-10-19 00:00:00+05:30,6.25,6.25,6.25,6.25,390
2023-10-20 00:00:00+05:30,6.4,6.4,6.4,6.4,120
2023-10-23 00:00:00+05:30,6.5,6.5,6.5,6.5,2830
2023-10-25 00:00:00+05:30,6.65,6.65,6.65,6.65,2620
2023-10-26 00:00:00+05:30,6.8,6.8,6.8,6.8,80
2023-10-27 00:00:00+05:30,6.9,6.9,6.9,6.9,1250
2023-10-30 00:00:00+05:30,7.05,7.05,7.05,7.05,1700
2023-10-31 00:00:00+05:30,7.2,7.2,7.2,7.2,2560
2023-11-01 00:00:00+05:30,7.3,7.3,7.3,7.3,1090
2023-11-02 00:00:00+05:30,7.45,7.45,7.45,7.45,530
2023-11-03 00:00:00+05:30,7.6,7.6,7.6,7.6,830
2023-11-06 00:00:00+05:30,7.75,7.75,7.75,7.75,1060
2023-11-07 00:00:00+05:30,7.9,7.9,7.9,7.9,770
2023-11-08 00:00:00+05:30,8.1,8.1,8.1,8.1,350
2023-11-09 00:00:00+05:30,8.25,8.25,8.25,8.25,500
2023-11-10 00:00:00+05:30,8.4,8.4,8.4,8.4,100
2023-11-12 00:00:00+05:30,8.55,8.55,8.55,8.55,310
2023-11-13 00:00:00+05:30,8.75,8.75,8.75,8.75,370
2023-11-15 00:00:00+05:30,8.9,8.9,8.9,8.9,470
2023-11-16 00:00:00+05:30,9.1,9.1,9.1,9.1,640
2023-11-17 00:00:00+05:30,9.25,9.25,9.25,9.25,2110
2023-11-20 00:00:00+05:30,9.4,9.45,9.4,9.45,1050
2023-11-21 00:00:00+05:30,9.6,9.6,9.6,9.6,890
2023-11-22 00:00:00+05:30,9.8,9.8,9.8,9.8,16470
2023-11-23 00:00:00+05:30,10.0,10.0,10.0,10.0,790
2023-11-24 00:00:00+05:30,10.2,10.2,10.2,10.2,1420
2023-11-28 00:00:00+05:30,10.4,10.4,10.4,10.4,430
2023-11-29 00:00:00+05:30,10.6,10.6,10.6,10.6,1330
2023-11-30 00:00:00+05:30,10.8,10.8,10.8,10.8,530
2023-12-01 00:00:00+05:30,11.05,11.05,11.05,11.05,430
2023-12-04 00:00:00+05:30,11.25,11.25,11.1,11.25,4200
2023-12-05 00:00:00+05:30,11.5,11.5,11.5,11.5,1230
2023-12-06 00:00:00+05:30,11.7,11.7,11.7,11.7,5780
2023-12-07 00:00:00+05:30,11.95,11.95,11.95,11.95,1010
2023-12-08 00:00:00+05:30,12.2,12.2,12.2,12.2,1780
2023-12-11 00:00:00+05:30,12.4,12.4,12.4,12.4,1710
2023-12-12 00:00:00+05:30,12.65,12.65,12.65,12.65,3020
2023-12-13 00:00:00+05:30,12.8,12.9,12.8,12.9,1120
2023-12-14 00:00:00+05:30,13.15,13.15,13.15,13.15,830
2023-12-15 00:00:00+05:30,13.4,13.4,13.4,13.4,2360
2023-12-18 00:00:00+05:30,13.7,13.7,13.7,13.7,690
2023-12-19 00:00:00+05:30,13.95,13.95,13.95,13.95,890
2023-12-20 00:00:00+05:30,14.25,14.25,14.25,14.25,14210
2023-12-21 00:00:00+05:30,14.5,14.5,14.5,14.5,3440
2023-12-22 00:00:00+05:30,14.8,14.8,14.8,14.8,2920
2023-12-26 00:00:00+05:30,15.1,15.1,15.1,15.1,2160
2023-12-27 00:00:00+05:30,15.4,15.4,15.4,15.4,1380
2023-12-28 00:00:00+05:30,15.7,15.7,15.7,15.7,2480
2023-12-29 00:00:00+05:30,16.0,16.0,16.0,16.0,550
2024-01-01 00:00:00+05:30,16.35,16.35,16.35,16.35,4380
2024-01-02 00:00:00+05:30,16.65,16.65,16.65,16.65,2360
2024-01-03 00:00:00+05:30,16.9,17.0,16.9,17.0,1050
2024-01-04 00:00:00+05:30,17.3,17.3,17.3,17.3,2980
2024-01-05 00:00:00+05:30,17.65,17.65,17.65,17.65,260
2024-01-08 00:00:00+05:30,18.0,18.0,18.0,18.0,900
2024-01-09 00:00:00+05:30,18.4,18.4,18.4,18.4,1010
2024-01-10 00:00:00+05:30,18.7,18.75,18.7,18.75,1150
2024-01-11 00:00:00+05:30,19.1,19.1,19.1,19.1,2590
2024-01-12 00:00:00+05:30,19.5,19.5,19.5,19.5,3840
2024-01-15 00:00:00+05:30,19.9,19.9,19.9,19.9,550
2024-01-16 00:00:00+05:30,20.3,20.3,20.3,20.3,1820
2024-01-17 00:00:00+05:30,20.7,20.7,20.7,20.7,2000
2024-01-18 00:00:00+05:30,21.1,21.1,21.1,21.1,10690
2024-01-19 00:00:00+05:30,21.5,21.5,21.5,21.5,1320
2024-01-20 00:00:00+05:30,21.95,21.95,21.95,21.95,1440
2024-01-23 00:00:00+05:30,22.4,22.4,22.4,22.4,27430
2024-01-24 00:00:00+05:30,22.8,22.8,22.8,22.8,4470
2024-01-25 00:00:00+05:30,23.3,23.3,23.3,23.3,1830
2024-01-29 00:00:00+05:30,23.75,23.75,23.75,23.75,4300
2024-01-30 00:00:00+05:30,24.2,24.2,24.2,24.2,1620
2024-01-31 00:00:00+05:30,24.7,24.7,24.7,24.7,750
2024-02-01 00:00:00+05:30,25.2,25.2,25.2,25.2,2260
2024-02-02 00:00:00+05:30,25.7,25.7,25.7,25.7,3390
2024-02-05 00:00:00+05:30,26.2,26.2,26.2,26.2,1840
2024-02-06 00:00:00+05:30,26.7,26.7,26.7,26.7,1200
2024-02-07 00:00:00+05:30,27.25,27.25,27.25,27.25,4090
2024-02-08 00:00:00+05:30,27.8,27.8,27.8,27.8,14680
2024-02-09 00:00:00+05:30,28.35,28.35,28.35,28.35,16550
2024-02-12 00:00:00+05:30,28.9,28.9,28.9,28.9,2920
2024-02-13 00:00:00+05:30,29.5,29.5,29.5,29.5,33410
2024-02-14 00:00:00+05:30,30.05,30.05,30.05,30.05,2230
2024-02-15 00:00:00+05:30,30.65,30.65,30.65,30.65,3920
2024-02-16 00:00:00+05:30,31.25,31.25,31.25,31.25,1070
2024-02-19 00:00:00+05:30,31.9,31.9,31.9,31.9,2960
2024-02-20 00:00:00+05:30,32.55,32.55,32.55,32.55,5880
2024-02-21 00:00:00+05:30,33.2,33.2,33.2,33.2,6510
2024-02-22 00:00:00+05:30,33.85,33.85,33.85,33.85,1390
2024-02-23 00:00:00+05:30,34.5,34.5,34.5,34.5,1640
2024-02-26 00:00:00+05:30,35.2,35.2,35.2,35.2,3120
2024-02-27 00:00:00+05:30,35.9,35.9,35.9,35.9,5420
2024-02-28 00:00:00+05:30,36.6,36.6,36.6,36.6,6540
2024-02-29 00:00:00+05:30,37.35,37.35,37.35,37.35,3210
2024-03-01 00:00:00+05:30,38.1,38.1,38.1,38.1,3510
2024-03-04 00:00:00+05:30,38.85,38.85,38.85,38.85,5720
2024-03-05 00:00:00+05:30,39.6,39.6,39.6,39.6,9150
2024-03-06 00:00:00+05:30,40.4,40.4,40.4,40.4,20950
2024-03-07 00:00:00+05:30,41.2,41.2,41.2,41.2,910
2024-03-11 00:00:00+05:30,42.05,42.05,42.05,42.05,6560
2024-03-12 00:00:00+05:30,42.9,42.9,42.9,42.9,4410
