date,open,high,low,close,volume
2024-01-10 00:00:00+05:30,102.0,108.7,98.4,98.4,361064
2024-01-11 00:00:00+05:30,93.5,93.5,93.5,93.5,24499
2024-01-12 00:00:00+05:30,88.85,88.85,88.85,88.85,9307
2024-01-15 00:00:00+05:30,84.4,84.4,84.4,84.4,11938
2024-01-16 00:00:00+05:30,80.2,80.2,80.2,80.2,7594
2024-01-17 00:00:00+05:30,76.2,76.2,76.2,76.2,6811
2024-01-18 00:00:00+05:30,72.4,72.4,72.4,72.4,6386
2024-01-19 00:00:00+05:30,68.8,68.8,68.8,68.8,28007
2024-01-20 00:00:00+05:30,67.0,72.2,65.4,72.1,771444
2024-01-23 00:00:00+05:30,68.5,71.7,68.5,68.5,658978
2024-01-24 00:00:00+05:30,62.5,67.0,56.05,62.5,3514358
2024-01-25 00:00:00+05:30,63.7,64.8,61.2,62.15,965504
2024-01-29 00:00:00+05:30,63.0,63.65,60.3,61.75,578291
2024-01-30 00:00:00+05:30,62.4,62.4,58.7,58.7,244901
2024-01-31 00:00:00+05:30,58.0,61.6,55.8,61.6,637288
2024-02-01 00:00:00+05:30,64.65,64.65,62.8,62.9,292035
2024-02-02 00:00:00+05:30,64.4,66.0,62.35,64.7,386052
2024-02-05 00:00:00+05:30,66.4,66.4,62.0,62.4,246708
2024-02-06 00:00:00+05:30,62.2,62.7,59.3,59.5,242627
2024-02-07 00:00:00+05:30,59.55,62.45,58.15,62.0,239280
2024-02-08 00:00:00+05:30,63.0,63.4,59.3,59.75,199293
2024-02-09 00:00:00+05:30,60.5,60.5,56.8,56.95,363387
2024-02-12 00:00:00+05:30,56.8,56.8,54.1,54.1,136319
2024-02-13 00:00:00+05:30,52.55,53.8,51.4,52.35,151520
2024-02-14 00:00:00+05:30,49.8,54.75,49.8,53.25,198047
2024-02-15 00:00:00+05:30,51.8,54.6,51.8,53.85,168002
2024-02-16 00:00:00+05:30,53.55,56.5,53.55,56.5,263806
2024-02-19 00:00:00+05:30,57.8,58.5,55.0,55.4,163003
2024-02-20 00:00:00+05:30,55.5,56.95,53.25,53.9,120007
2024-02-21 00:00:00+05:30,54.7,54.85,51.2,51.35,228787
2024-02-22 00:00:00+05:30,51.0,51.8,50.3,50.65,128437
2024-02-23 00:00:00+05:30,50.95,51.4,48.35,49.05,162733
2024-02-26 00:00:00+05:30,49.65,50.45,48.65,50.1,108568
2024-02-27 00:00:00+05:30,50.25,51.5,49.0,49.6,139194
2024-02-28 00:00:00+05:30,49.0,50.5,48.65,49.2,97494
2024-02-29 00:00:00+05:30,49.2,49.6,48.4,48.55,58504
2024-03-01 00:00:00+05:30,49.0,49.5,46.15,46.75,351151
2024-03-02 00:00:00+05:30,47.8,47.8,45.3,46.25,16998
2024-03-04 00:00:00+05:30,46.65,46.65,43.95,43.95,282254
2024-03-05 00:00:00+05:30,43.8,43.8,41.75,41.75,258946
2024-03-06 00:00:00+05:30,40.95,41.7,39.7,40.45,212118
2024-03-07 00:00:00+05:30,40.1,42.45,40.1,42.45,309897
2024-03-11 00:00:00+05:30,42.45,42.5,40.35,40.35,80574
2024-03-12 00:00:00+05:30,39.05,40.3,38.35,38.35,118309
2024-03-13 00:00:00+05:30,38.3,38.3,36.45,36.45,221158
2024-03-14 00:00:00+05:30,34.7,37.95,34.7,37.0,120101
2024-03-15 00:00:00+05:30,36.5,38.85,36.15,38.35,102544
2024-03-18 00:00:00+05:30,38.0,39.4,37.05,37.6,90163
2024-03-19 00:00:00+05:30,38.25,39.0,35.8,36.25,95776
2024-03-20 00:00:00+05:30,36.65,36.65,34.75,34.95,163935
2024-03-21 00:00:00+05:30,35.9,36.6,34.75,35.1,119789
2024-03-22 00:00:00+05:30,35.1,36.85,34.9,36.4,636080
2024-03-26 00:00:00+05:30,35.7,38.2,35.7,38.05,670076
2024-03-27 00:00:00+05:30,38.85,39.95,37.5,39.95,169162
2024-03-28 00:00:00+05:30,40.8,41.75,38.55,38.8,245560
2024-04-01 00:00:00+05:30,38.8,40.7,38.8,40.7,60556
2024-04-02 00:00:00+05:30,40.7,41.35,39.65,40.4,74293
2024-04-03 00:00:00+05:30,39.6,39.6,39.6,39.6,17012
2024-04-04 00:00:00+05:30,38.8,38.8,38.8,38.8,20955
2024-04-05 00:00:00+05:30,38.05,38.05,38.05,38.05,18371
2024-04-08 00:00:00+05:30,37.55,38.8,37.5,37.5,107455
2024-04-09 00:00:00+05:30,37.5,37.5,37.0,37.0,39106
2024-04-10 00:00:00+05:30,37.0,37.65,37.0,37.65,24248
2024-04-12 00:00:00+05:30,37.5,37.95,37.0,37.0,27488
2024-04-15 00:00:00+05:30,37.05,37.1,37.0,37.0,10833
2024-04-16 00:00:00+05:30,37.0,37.1,36.9,37.1,49768
2024-04-18 00:00:00+05:30,37.2,37.8,37.2,37.7,20740
2024-04-19 00:00:00+05:30,38.1,38.45,38.1,38.45,20489
2024-04-22 00:00:00+05:30,39.2,39.2,39.2,39.2,24081
2024-04-23 00:00:00+05:30,39.95,39.95,39.95,39.95,6122
2024-04-24 00:00:00+05:30,40.7,40.7,40.7,40.7,9593
2024-04-25 00:00:00+05:30,41.5,41.5,41.5,41.5,9844
2024-04-26 00:00:00+05:30,42.3,42.3,42.25,42.3,28212
2024-04-29 00:00:00+05:30,42.05,42.05,41.55,41.65,29899
2024-04-30 00:00:00+05:30,41.45,41.45,40.85,40.85,21463
2024-05-02 00:00:00+05:30,40.65,40.7,40.1,40.6,8201
2024-05-03 00:00:00+05:30,40.6,40.6,39.8,39.9,38761
2024-05-06 00:00:00+05:30,39.1,39.9,39.1,39.75,21983
2024-05-07 00:00:00+05:30,39.6,39.6,38.95,39.0,29929
2024-05-08 00:00:00+05:30,39.5,39.5,39.25,39.3,18743
2024-05-09 00:00:00+05:30,40.05,40.05,39.45,39.45,9891
2024-05-10 00:00:00+05:30,39.4,39.4,38.7,39.35,12246
2024-05-13 00:00:00+05:30,40.95,41.0,37.4,39.95,83218
2024-05-14 00:00:00+05:30,39.05,40.5,38.65,39.6,49043
2024-05-15 00:00:00+05:30,40.4,40.4,39.0,39.15,33400
