date,open,high,low,close,volume
2004-01-15 00:00:00+05:30,551.0,551.0,550.0,550.0,51
2004-01-16 00:00:00+05:30,542.0,569.0,530.2,530.2,229
2004-01-19 00:00:00+05:30,531.0,544.8,525.1,525.1,246
2004-01-20 00:00:00+05:30,521.0,579.2,481.0,535.4,649
2004-01-21 00:00:00+05:30,555.55,564.0,495.1,499.35,654
2004-01-22 00:00:00+05:30,490.0,492.7,466.25,466.25,114
2004-01-23 00:00:00+05:30,460.55,494.0,460.0,491.25,148
2004-01-27 00:00:00+05:30,489.0,499.0,488.75,491.2,185
2004-01-28 00:00:00+05:30,485.0,518.0,480.0,480.0,579
2004-01-29 00:00:00+05:30,476.0,509.3,472.5,490.35,1097
2004-01-30 00:00:00+05:30,485.0,529.0,475.0,481.15,182
2004-02-03 00:00:00+05:30,484.9,484.9,448.0,452.75,435
2004-02-04 00:00:00+05:30,475.0,481.0,462.0,470.0,166
2004-02-05 00:00:00+05:30,550.0,550.0,470.5,479.0,1505
2004-02-06 00:00:00+05:30,508.95,509.0,478.0,480.6,644
2004-02-09 00:00:00+05:30,500.0,500.0,485.3,490.0,331
2004-02-10 00:00:00+05:30,490.0,495.0,477.0,480.9,466
2004-02-11 00:00:00+05:30,487.9,489.0,470.0,470.75,717
2004-02-12 00:00:00+05:30,510.0,510.0,465.5,474.45,1233
2004-02-13 00:00:00+05:30,494.85,498.0,480.4,490.6,1315
2004-02-16 00:00:00+05:30,509.0,529.8,496.0,504.1,2358
2004-02-17 00:00:00+05:30,500.1,521.95,482.05,487.85,1490
2004-02-18 00:00:00+05:30,455.0,517.5,455.0,516.05,2820
2004-02-19 00:00:00+05:30,520.0,540.0,511.1,520.7,4492
2004-02-20 00:00:00+05:30,525.0,534.95,513.25,524.95,1081
2004-02-23 00:00:00+05:30,602.0,602.0,507.65,521.95,3121
2004-02-24 00:00:00+05:30,525.0,536.35,510.0,532.9,3679
2004-02-25 00:00:00+05:30,485.0,486.0,432.0,455.25,21838
2004-02-26 00:00:00+05:30,494.9,494.9,462.0,468.7,13673
2004-02-27 00:00:00+05:30,470.0,479.4,462.0,473.15,5122
2004-03-01 00:00:00+05:30,488.8,500.0,480.0,491.85,5963
2004-03-03 00:00:00+05:30,528.8,545.5,476.1,480.95,2324
2004-03-04 00:00:00+05:30,490.0,508.0,484.0,489.55,6793
2004-03-05 00:00:00+05:30,492.8,587.5,492.8,587.5,39735
2004-03-08 00:00:00+05:30,605.0,648.0,583.0,606.05,67531
2004-03-09 00:00:00+05:30,598.7,644.9,560.0,596.55,101023
2004-03-10 00:00:00+05:30,597.8,619.0,580.0,594.0,48912
2004-03-11 00:00:00+05:30,597.0,612.9,566.0,575.15,29540
2004-03-12 00:00:00+05:30,573.0,573.8,550.0,563.05,18391
2004-03-15 00:00:00+05:30,565.0,585.0,532.05,545.1,13651
2004-03-16 00:00:00+05:30,547.0,568.8,511.25,521.7,17397
