date,open,high,low,close,volume
2006-08-03 00:00:00+05:30,40.56,40.56,37.79,39.04,283300
2006-08-04 00:00:00+05:30,39.25,39.25,37.07,37.47,15238
2006-08-07 00:00:00+05:30,37.5,37.5,36.05,37.07,9916
2006-08-08 00:00:00+05:30,36.25,37.48,36.25,36.82,38950
2006-08-09 00:00:00+05:30,36.78,37.65,36.49,37.58,10084
2006-08-10 00:00:00+05:30,38.51,38.51,36.94,37.07,1150
2006-08-11 00:00:00+05:30,38.81,38.96,37.14,37.84,23416
2006-08-14 00:00:00+05:30,38.23,38.23,36.94,37.15,4642
2006-08-16 00:00:00+05:30,37.21,38.94,37.21,38.41,105478
2006-08-17 00:00:00+05:30,39.25,39.25,36.49,38.53,28288
2006-08-18 00:00:00+05:30,37.76,39.0,37.76,38.44,5296
2006-08-21 00:00:00+05:30,37.65,38.96,37.65,38.81,718
2006-08-22 00:00:00+05:30,38.23,38.23,37.63,37.94,1318
2006-08-23 00:00:00+05:30,35.47,38.59,35.47,37.79,154108
2006-08-24 00:00:00+05:30,36.78,38.07,36.78,37.07,5734
2006-08-25 00:00:00+05:30,37.21,37.79,35.69,36.84,9370
2006-08-28 00:00:00+05:30,37.36,38.49,36.7,37.52,8572
2006-08-29 00:00:00+05:30,38.08,38.08,36.41,36.94,2860
2006-08-30 00:00:00+05:30,37.19,39.83,37.19,38.55,36298
2006-08-31 00:00:00+05:30,36.63,38.67,36.5,38.53,16198
2006-09-01 00:00:00+05:30,37.36,39.72,37.15,39.43,122482
2006-09-04 00:00:00+05:30,39.83,39.83,38.23,38.81,1612
2006-09-05 00:00:00+05:30,38.67,39.81,38.53,38.8,772
2006-09-06 00:00:00+05:30,38.08,38.48,37.79,37.95,2398
2006-09-07 00:00:00+05:30,36.88,37.5,36.88,37.1,2158
2006-09-08 00:00:00+05:30,39.17,39.17,36.63,37.54,13108
2006-09-11 00:00:00+05:30,36.78,36.78,35.66,35.91,5116
2006-09-12 00:00:00+05:30,35.9,36.49,35.61,35.76,4978
2006-09-13 00:00:00+05:30,35.76,36.99,35.76,36.07,5422
2006-09-14 00:00:00+05:30,35.61,37.35,35.49,36.05,9490
2006-09-15 00:00:00+05:30,35.47,39.25,34.6,38.01,61774
2006-09-18 00:00:00+05:30,37.07,39.25,37.07,38.05,239254
2006-09-19 00:00:00+05:30,38.06,38.23,35.61,35.99,14632
2006-09-20 00:00:00+05:30,35.9,37.59,35.9,36.67,5410
2006-09-21 00:00:00+05:30,39.22,39.22,35.9,36.95,10714
