date,open,high,low,close,volume
2025-10-01 00:00:00+05:30,183.85,197.7,183.85,190.66,10651072
2025-10-03 00:00:00+05:30,189.99,196.9,188.05,194.25,2150705
2025-10-06 00:00:00+05:30,195.0,199.0,184.31,186.01,1464721
2025-10-07 00:00:00+05:30,186.24,186.82,179.32,183.96,785050
2025-10-08 00:00:00+05:30,182.39,195.4,182.39,188.86,1057637
2025-10-09 00:00:00+05:30,188.28,195.75,186.38,191.7,954381
2025-10-10 00:00:00+05:30,192.67,199.7,190.8,193.75,2103239
2025-10-13 00:00:00+05:30,192.98,199.5,189.0,197.96,1029382
2025-10-14 00:00:00+05:30,199.5,202.0,196.3,200.39,1049408
2025-10-15 00:00:00+05:30,205.0,205.0,196.56,198.31,1065101
2025-10-16 00:00:00+05:30,200.0,201.64,197.52,200.17,386268
2025-10-17 00:00:00+05:30,200.17,203.5,199.5,200.0,440501
2025-10-20 00:00:00+05:30,201.0,202.95,198.0,200.23,334274
2025-10-21 00:00:00+05:30,202.0,204.5,201.16,203.44,302287
2025-10-23 00:00:00+05:30,227.0,244.12,215.74,232.07,27492547
2025-10-24 00:00:00+05:30,239.01,278.0,237.65,268.57,78020660
2025-10-27 00:00:00+05:30,275.0,280.0,255.3,272.03,30168256
2025-10-28 00:00:00+05:30,280.49,282.77,247.83,251.97,22455802
2025-10-29 00:00:00+05:30,254.0,272.31,253.52,268.75,23217328
2025-10-30 00:00:00+05:30,264.0,266.96,258.5,264.73,4158754
2025-10-31 00:00:00+05:30,264.0,264.0,256.0,258.62,2246207
2025-11-03 00:00:00+05:30,257.4,302.0,250.3,295.6,22719839
2025-11-04 00:00:00+05:30,291.0,305.0,282.2,301.45,21651145
2025-11-06 00:00:00+05:30,299.2,332.0,293.0,326.35,41098507
2025-11-07 00:00:00+05:30,321.6,344.0,316.85,327.95,37005645
2025-11-10 00:00:00+05:30,325.0,338.0,318.05,330.05,19427277
2025-11-11 00:00:00+05:30,331.65,334.0,306.45,317.9,9941992
2025-11-12 00:00:00+05:30,317.75,324.45,308.1,310.55,6913865
2025-11-13 00:00:00+05:30,314.6,320.8,312.65,317.25,3621071
2025-11-14 00:00:00+05:30,317.2,329.2,312.4,327.55,4716828
2025-11-17 00:00:00+05:30,335.85,335.85,322.3,328.6,2970862
2025-11-18 00:00:00+05:30,330.0,331.5,323.65,329.35,1961098
