date,open,high,low,close,volume
2000-01-04 00:00:00+05:30,4.3,4.3,3.95,4.1,1219571
2000-01-05 00:00:00+05:30,4.0,4.0,3.75,3.8,750810
2000-01-06 00:00:00+05:30,3.8,3.95,3.8,3.9,577308
2000-01-07 00:00:00+05:30,3.8,3.9,3.7,3.8,397024
2000-01-10 00:00:00+05:30,3.8,3.8,3.65,3.7,423991
2000-01-11 00:00:00+05:30,3.65,3.8,3.5,3.5,1077852
2000-01-12 00:00:00+05:30,3.65,3.7,3.45,3.5,464087
2000-01-13 00:00:00+05:30,3.5,3.8,3.5,3.6,544162
2000-01-13 00:00:00+05:30,3.5,3.8,3.5,3.6,544162
2000-01-14 00:00:00+05:30,3.6,3.6,3.5,3.55,256588
2000-01-17 00:00:00+05:30,3.75,3.75,3.45,3.5,563746
2000-01-18 00:00:00+05:30,3.6,3.8,3.5,3.8,1039942
2000-01-19 00:00:00+05:30,4.1,4.1,3.95,4.1,1583947
2000-01-20 00:00:00+05:30,4.4,4.4,4.4,4.4,1111194
2000-01-21 00:00:00+05:30,4.6,4.75,4.45,4.7,3985650
2000-01-24 00:00:00+05:30,4.95,5.1,4.75,5.1,4018101
2000-01-25 00:00:00+05:30,5.1,5.45,5.05,5.45,3119171
2000-01-27 00:00:00+05:30,5.9,5.9,5.9,5.9,249533
2000-01-28 00:00:00+05:30,6.4,6.4,6.4,6.4,119098
2000-01-31 00:00:00+05:30,6.9,6.9,6.9,6.9,549713
2000-02-01 00:00:00+05:30,7.45,7.45,6.35,6.45,7537909
2000-02-02 00:00:00+05:30,6.95,7.0,6.7,7.0,2086586
2000-02-03 00:00:00+05:30,7.2,7.5,6.7,7.45,5913342
2000-02-04 00:00:00+05:30,7.95,8.0,7.5,7.6,3516941
2000-02-07 00:00:00+05:30,7.65,7.65,7.0,7.0,2454130
2000-02-08 00:00:00+05:30,6.5,6.85,6.4,6.55,3080947
2000-02-09 00:00:00+05:30,6.7,6.95,6.05,6.65,3128518
2000-02-10 00:00:00+05:30,6.55,6.6,6.25,6.5,997096
2000-02-11 00:00:00+05:30,6.5,6.55,6.4,6.5,645405
2000-02-14 00:00:00+05:30,6.5,6.55,6.2,6.5,1825992
2000-02-15 00:00:00+05:30,6.35,6.6,6.1,6.25,1219741
2000-02-16 00:00:00+05:30,6.2,6.4,5.8,6.05,868835
2000-02-17 00:00:00+05:30,6.2,6.4,6.05,6.1,746674
2000-02-18 00:00:00+05:30,6.25,6.4,5.75,5.9,575724
2000-02-21 00:00:00+05:30,6.0,6.0,5.4,5.4,612246
2000-02-22 00:00:00+05:30,5.25,5.35,5.0,5.0,1331129
2000-02-23 00:00:00+05:30,5.05,5.4,5.0,5.2,1091820
2000-02-24 00:00:00+05:30,5.4,5.55,5.2,5.25,645719
2000-02-25 00:00:00+05:30,4.95,5.25,4.95,5.1,362478
2000-02-28 00:00:00+05:30,5.2,5.25,4.75,4.95,550943
2000-02-29 00:00:00+05:30,5.2,5.3,4.6,4.6,1500207
2000-03-01 00:00:00+05:30,4.65,5.0,4.6,5.0,457031
2000-03-02 00:00:00+05:30,5.2,5.4,5.1,5.25,945166
2000-03-03 00:00:00+05:30,5.2,5.75,4.85,5.6,1684365
2000-03-06 00:00:00+05:30,5.8,5.8,5.2,5.2,739709
2000-03-07 00:00:00+05:30,5.05,5.3,4.8,4.9,850102
2000-03-08 00:00:00+05:30,4.75,5.0,4.6,4.7,596145
2000-03-09 00:00:00+05:30,4.75,4.75,4.3,4.3,245815
2000-03-10 00:00:00+05:30,4.0,4.3,3.95,3.95,575684
2000-03-13 00:00:00+05:30,3.9,4.0,3.65,3.65,348445
