date,open,high,low,close,volume
2006-10-19 00:00:00+05:30,84.6,84.6,59.8,60.8,5116614
2006-10-20 00:00:00+05:30,61.0,66.95,61.0,62.55,3984312
2006-10-23 00:00:00+05:30,61.7,63.2,58.9,59.5,437940
2006-10-26 00:00:00+05:30,60.5,61.25,58.1,58.6,558544
2006-10-27 00:00:00+05:30,58.55,59.35,53.9,54.3,451880
2006-10-30 00:00:00+05:30,54.3,55.55,51.0,51.3,455566
2006-10-31 00:00:00+05:30,52.3,52.3,49.0,49.25,412518
2006-11-01 00:00:00+05:30,50.2,53.95,48.75,52.1,1041602
2006-11-02 00:00:00+05:30,52.9,53.95,50.75,51.3,370832
2006-11-03 00:00:00+05:30,51.5,51.5,49.65,49.95,175002
2006-11-06 00:00:00+05:30,48.65,51.1,48.65,49.7,119886
2006-11-07 00:00:00+05:30,50.5,52.2,48.65,49.05,478996
2006-11-08 00:00:00+05:30,50.8,50.8,48.05,48.25,127228
2006-11-09 00:00:00+05:30,48.9,49.1,47.75,48.1,122594
2006-11-10 00:00:00+05:30,48.4,48.4,46.5,46.8,110878
2006-11-13 00:00:00+05:30,47.0,47.0,45.0,45.3,110158
2006-11-14 00:00:00+05:30,45.5,45.9,44.0,44.2,128446
2006-11-15 00:00:00+05:30,44.2,46.25,44.1,44.7,240096
2006-11-16 00:00:00+05:30,45.95,46.85,45.0,45.3,219856
2006-11-17 00:00:00+05:30,45.5,48.25,45.1,47.1,340458
2006-11-20 00:00:00+05:30,45.1,52.85,45.1,49.45,1765888
2006-11-21 00:00:00+05:30,50.05,52.2,49.25,50.1,590932
2006-11-22 00:00:00+05:30,50.85,54.95,50.25,52.7,1991522
2006-11-23 00:00:00+05:30,53.0,53.7,51.05,51.6,388346
2006-11-24 00:00:00+05:30,52.5,54.0,51.0,52.55,338446
2006-11-27 00:00:00+05:30,53.0,59.25,52.25,58.2,2527268
2006-11-28 00:00:00+05:30,57.0,60.6,56.55,59.7,1243600
2006-11-29 00:00:00+05:30,60.5,64.45,60.4,61.6,1095734
2006-11-30 00:00:00+05:30,61.75,62.5,59.05,60.0,326488
2006-12-01 00:00:00+05:30,60.1,63.4,59.55,62.5,606234
2006-12-04 00:00:00+05:30,62.4,67.7,61.1,64.7,1009690
2006-12-05 00:00:00+05:30,64.0,67.85,62.65,64.2,1094774
2006-12-06 00:00:00+05:30,64.85,66.0,62.75,63.3,487728
2006-12-07 00:00:00+05:30,63.85,68.5,63.5,65.7,2218020
2006-12-08 00:00:00+05:30,66.1,66.1,62.0,62.6,509968
2006-12-11 00:00:00+05:30,62.5,62.5,56.0,57.6,301002
2006-12-12 00:00:00+05:30,58.3,59.45,50.0,52.7,371458
2006-12-13 00:00:00+05:30,53.0,54.75,50.0,54.0,325294
2006-12-14 00:00:00+05:30,54.75,57.0,54.3,56.2,226082
2006-12-15 00:00:00+05:30,56.5,58.5,55.55,55.9,296176
2006-12-18 00:00:00+05:30,56.5,56.9,54.55,55.5,118894
2006-12-19 00:00:00+05:30,55.5,59.25,54.0,54.95,363188
2006-12-20 00:00:00+05:30,56.9,57.2,55.0,56.0,208124
2006-12-21 00:00:00+05:30,56.0,56.0,54.5,54.9,91062
2006-12-22 00:00:00+05:30,54.5,55.75,53.35,53.7,122162
2006-12-26 00:00:00+05:30,51.1,55.0,51.1,54.3,39490
2006-12-27 00:00:00+05:30,54.95,57.65,54.5,56.8,129932
2006-12-28 00:00:00+05:30,55.0,58.1,55.0,56.4,81344
2006-12-29 00:00:00+05:30,56.05,57.95,55.25,56.2,85158
2007-01-02 00:00:00+05:30,53.55,60.5,53.55,59.3,243526
2007-01-03 00:00:00+05:30,59.9,62.5,59.5,59.7,163344
2007-01-04 00:00:00+05:30,62.25,62.5,59.55,59.95,143568
2007-01-05 00:00:00+05:30,59.3,65.2,59.3,62.9,436500
2007-01-08 00:00:00+05:30,61.5,63.2,60.5,61.55,121796
2007-01-09 00:00:00+05:30,62.05,64.1,61.0,61.3,249026
2007-01-10 00:00:00+05:30,61.25,63.9,60.8,62.45,163760
2007-01-11 00:00:00+05:30,63.0,66.4,63.0,65.6,495400
2007-01-12 00:00:00+05:30,66.35,67.7,62.8,63.3,227856
2007-01-15 00:00:00+05:30,64.05,65.25,63.55,64.7,155792
2007-01-16 00:00:00+05:30,66.0,66.0,64.0,64.2,73280
