date,open,high,low,close,volume
2003-01-27 00:00:00+05:30,5.95,6.1,5.85,6.05,408230
2003-01-28 00:00:00+05:30,6.0,6.05,5.95,6.05,245555
2003-01-29 00:00:00+05:30,6.0,6.1,6.0,6.05,261325
2003-01-30 00:00:00+05:30,5.9,6.1,5.9,6.05,114955
2003-01-31 00:00:00+05:30,6.1,6.1,6.0,6.05,401965
2003-02-03 00:00:00+05:30,6.0,6.05,5.95,6.05,99460
2003-02-04 00:00:00+05:30,6.05,6.1,6.0,6.05,134060
2003-02-05 00:00:00+05:30,6.0,6.05,6.0,6.05,98205
2003-02-06 00:00:00+05:30,6.05,6.05,6.05,6.05,182565
2003-02-07 00:00:00+05:30,6.05,6.25,6.05,6.15,120045
2003-02-10 00:00:00+05:30,6.1,6.2,6.05,6.15,211055
2003-02-11 00:00:00+05:30,6.1,6.3,6.1,6.25,235210
2003-02-12 00:00:00+05:30,6.3,6.3,6.1,6.15,244655
2003-02-14 00:00:00+05:30,6.15,6.25,6.15,6.25,159070
2003-02-17 00:00:00+05:30,6.15,6.4,6.15,6.35,204565
2003-02-18 00:00:00+05:30,6.05,6.5,6.05,6.4,142745
2003-02-19 00:00:00+05:30,6.35,6.4,6.3,6.35,104275
2003-02-20 00:00:00+05:30,6.4,6.5,6.3,6.45,127385
2003-02-21 00:00:00+05:30,6.4,6.45,6.35,6.45,170225
2003-02-24 00:00:00+05:30,6.4,6.45,6.4,6.45,215910
2003-02-25 00:00:00+05:30,6.55,6.65,6.4,6.45,139485
2003-02-26 00:00:00+05:30,6.4,6.5,6.4,6.45,186140
2003-02-27 00:00:00+05:30,6.45,6.45,6.4,6.45,100095
2003-02-28 00:00:00+05:30,6.4,6.5,6.4,6.45,191290
2003-03-03 00:00:00+05:30,6.55,6.55,6.4,6.45,90965
2003-03-04 00:00:00+05:30,6.45,6.5,6.45,6.5,142505
2003-03-05 00:00:00+05:30,6.45,6.45,6.45,6.45,114115
2003-03-06 00:00:00+05:30,6.45,6.55,6.45,6.55,209435
2003-03-07 00:00:00+05:30,6.45,6.5,6.45,6.45,119835
2003-03-10 00:00:00+05:30,6.45,6.5,6.45,6.45,163120
2003-03-11 00:00:00+05:30,6.4,6.45,6.4,6.45,155475
2003-03-12 00:00:00+05:30,6.45,6.5,6.45,6.45,107275
2003-03-13 00:00:00+05:30,6.45,6.5,6.45,6.45,259475
2003-03-17 00:00:00+05:30,6.45,6.6,6.45,6.55,201880
2003-03-19 00:00:00+05:30,6.35,6.6,6.35,6.55,117430
2003-03-20 00:00:00+05:30,6.5,6.6,6.5,6.55,90905
2003-03-21 00:00:00+05:30,6.55,6.6,6.55,6.55,72695
2003-03-24 00:00:00+05:30,6.45,6.65,6.45,6.65,238630
2003-03-25 00:00:00+05:30,6.4,6.65,6.4,6.65,181705
2003-03-26 00:00:00+05:30,6.6,6.7,6.6,6.65,299325
2003-03-27 00:00:00+05:30,6.65,6.7,6.65,6.65,68815
2003-03-28 00:00:00+05:30,6.65,6.7,6.65,6.65,77395
2003-03-31 00:00:00+05:30,6.65,6.7,6.65,6.65,106535
2003-04-01 00:00:00+05:30,6.65,6.75,6.65,6.75,43555
2003-04-02 00:00:00+05:30,6.7,6.8,6.7,6.75,47090
2003-04-03 00:00:00+05:30,6.8,6.8,6.7,6.75,29355
2003-04-04 00:00:00+05:30,6.85,6.85,6.75,6.8,46510
2003-04-07 00:00:00+05:30,6.75,6.8,6.65,6.8,68315
2003-04-08 00:00:00+05:30,6.7,6.85,6.7,6.85,492880
2003-04-09 00:00:00+05:30,6.95,6.95,6.8,6.85,139645
2003-04-10 00:00:00+05:30,6.85,6.9,6.85,6.85,101895
2003-04-11 00:00:00+05:30,6.85,6.9,6.85,6.9,62215
2003-04-15 00:00:00+05:30,6.8,7.1,6.8,7.05,186145
2003-04-16 00:00:00+05:30,7.05,7.15,7.05,7.15,440010
2003-04-17 00:00:00+05:30,7.1,7.2,7.1,7.15,236245
2003-04-21 00:00:00+05:30,7.2,7.3,7.1,7.3,172505
2003-04-22 00:00:00+05:30,7.25,7.3,7.25,7.25,116120
2003-04-23 00:00:00+05:30,7.25,7.4,7.2,7.3,165100
2003-04-24 00:00:00+05:30,7.3,7.35,7.25,7.25,105095
2003-04-25 00:00:00+05:30,7.25,7.35,7.25,7.35,245095
2003-04-28 00:00:00+05:30,7.3,7.35,7.25,7.25,129970
2003-04-29 00:00:00+05:30,7.25,7.4,7.2,7.35,278725
2003-04-30 00:00:00+05:30,7.35,7.4,7.35,7.35,197965
2003-05-02 00:00:00+05:30,7.35,7.5,7.35,7.45,232930
2003-05-05 00:00:00+05:30,7.45,7.45,7.4,7.45,169470
2003-05-06 00:00:00+05:30,6.15,7.5,6.15,7.45,229925
2003-05-07 00:00:00+05:30,7.4,7.5,7.4,7.45,124555
2003-05-08 00:00:00+05:30,7.45,7.5,7.35,7.45,217720
2003-05-09 00:00:00+05:30,7.35,7.5,7.35,7.45,161215
2003-05-12 00:00:00+05:30,7.45,7.6,7.45,7.55,221415
2003-05-13 00:00:00+05:30,7.6,7.6,7.55,7.55,127945
2003-05-14 00:00:00+05:30,7.5,7.95,7.5,7.55,213475
2003-05-15 00:00:00+05:30,7.6,7.65,7.55,7.55,162905
2003-05-16 00:00:00+05:30,7.55,7.6,7.55,7.55,110505
2003-05-19 00:00:00+05:30,7.25,7.7,7.25,7.65,206140
2003-05-20 00:00:00+05:30,7.6,7.7,7.6,7.65,101905
2003-05-21 00:00:00+05:30,7.7,7.7,7.65,7.7,126805
2003-05-22 00:00:00+05:30,7.65,7.75,7.65,7.75,299155
2003-05-23 00:00:00+05:30,7.75,7.8,7.7,7.75,194940
2003-05-26 00:00:00+05:30,7.75,8.0,7.75,7.95,474440
2003-05-27 00:00:00+05:30,8.0,8.1,7.9,7.95,209530
2003-05-28 00:00:00+05:30,7.95,8.1,7.95,8.05,257855
2003-05-29 00:00:00+05:30,8.15,8.15,8.05,8.1,188550
2003-05-30 00:00:00+05:30,7.65,7.85,7.65,7.8,325435
2003-06-02 00:00:00+05:30,7.75,8.0,7.75,7.95,1467105
2003-06-03 00:00:00+05:30,7.8,8.0,7.8,7.95,331810
2003-06-04 00:00:00+05:30,7.95,8.0,7.85,7.95,326530
2003-06-05 00:00:00+05:30,7.9,8.0,7.9,8.0,298695
