date,open,high,low,close,volume
2022-11-15 09:15:00+05:30,278.87,352.41,278.87,340.84,3544699
2022-11-15 10:15:00+05:30,340.84,346.07,327.43,327.67,3368896
2022-11-15 11:15:00+05:30,327.77,333.09,315.95,321.76,1831382
2022-11-15 12:15:00+05:30,321.76,325.68,319.58,320.79,1551167
2022-11-15 13:15:00+05:30,320.7,321.86,311.98,313.73,1258355
2022-11-15 14:15:00+05:30,313.87,321.47,310.92,315.08,1861385
2022-11-15 15:15:00+05:30,315.08,315.42,311.84,312.85,593275
2022-11-16 09:15:00+05:30,314.69,331.88,313.44,324.62,1438199
2022-11-16 10:15:00+05:30,324.62,329.12,324.62,326.85,775478
2022-11-16 11:15:00+05:30,326.85,333.09,326.41,329.03,377802
2022-11-16 12:15:00+05:30,329.03,334.06,327.77,328.35,231106
2022-11-16 13:15:00+05:30,328.49,333.29,328.25,331.74,197329
2022-11-16 14:15:00+05:30,332.03,337.45,331.4,334.3,560443
2022-11-16 15:15:00+05:30,334.4,335.61,331.74,332.61,197429
2022-11-17 09:15:00+05:30,332.12,332.9,323.7,331.4,242481
2022-11-17 10:15:00+05:30,332.03,335.42,328.11,329.41,148264
2022-11-17 11:15:00+05:30,329.56,330.67,327.62,328.73,30583
2022-11-17 12:15:00+05:30,328.73,329.7,327.72,329.51,25292
2022-11-17 13:15:00+05:30,329.51,329.61,328.35,329.32,26043
2022-11-17 14:15:00+05:30,329.32,329.51,327.52,328.59,60734
2022-11-17 15:15:00+05:30,328.59,332.56,328.35,331.35,77983
2022-11-18 09:15:00+05:30,331.11,332.12,324.47,325.25,85896
2022-11-18 10:15:00+05:30,325.2,325.68,324.52,324.91,29796
2022-11-18 11:15:00+05:30,324.91,333.58,324.76,328.83,106186
2022-11-18 12:15:00+05:30,328.83,329.8,327.62,328.2,15881
2022-11-18 13:15:00+05:30,328.2,328.59,325.49,326.56,23443
2022-11-18 14:15:00+05:30,326.56,328.2,324.62,325.1,42546
2022-11-18 15:15:00+05:30,325.1,328.15,324.38,324.38,90235
2022-11-21 09:15:00+05:30,325.35,325.39,317.7,319.83,109586
2022-11-21 10:15:00+05:30,319.83,328.78,317.31,327.04,86794
2022-11-21 11:15:00+05:30,326.46,336.0,324.38,335.08,691785
2022-11-21 12:15:00+05:30,335.08,336.0,331.16,331.16,187658
2022-11-21 13:15:00+05:30,331.16,332.51,327.67,328.73,54209
2022-11-21 14:15:00+05:30,328.73,330.14,326.94,329.7,79949
2022-11-21 15:15:00+05:30,329.7,334.21,329.51,331.69,71722
2022-11-22 09:15:00+05:30,329.32,334.01,328.4,330.28,171890
2022-11-22 10:15:00+05:30,330.28,331.49,329.75,330.67,48405
2022-11-22 11:15:00+05:30,330.67,330.72,329.9,329.99,44254
2022-11-22 12:15:00+05:30,329.99,330.33,329.99,330.19,10334
2022-11-22 13:15:00+05:30,330.19,330.67,329.99,330.19,16785
2022-11-22 14:15:00+05:30,330.19,336.0,330.19,330.77,94813
2022-11-22 15:15:00+05:30,330.77,331.83,330.19,331.64,24412
2022-11-23 09:15:00+05:30,330.87,332.56,327.38,329.22,47488
2022-11-23 10:15:00+05:30,329.22,330.19,329.22,329.27,13755
2022-11-23 11:15:00+05:30,329.27,331.16,328.49,328.49,32988
2022-11-23 12:15:00+05:30,328.49,328.93,326.8,327.14,19307
2022-11-23 13:15:00+05:30,327.14,327.72,325.83,327.62,12579
2022-11-23 14:15:00+05:30,327.62,327.62,324.52,326.7,32307
2022-11-23 15:15:00+05:30,326.41,329.22,324.43,328.25,41071
2022-11-24 09:15:00+05:30,329.12,332.9,327.28,330.96,49298
2022-11-24 10:15:00+05:30,330.96,337.35,328.25,330.19,152481
2022-11-24 11:15:00+05:30,330.38,337.21,329.65,335.56,83819
2022-11-24 12:15:00+05:30,335.56,341.52,335.42,339.39,233924
2022-11-24 13:15:00+05:30,339.39,344.66,338.9,339.24,186341
2022-11-24 14:15:00+05:30,339.24,340.84,334.06,335.32,118880
2022-11-24 15:15:00+05:30,335.51,335.51,333.09,333.87,43519
2022-11-25 09:15:00+05:30,336.19,345.29,336.19,341.76,192046
2022-11-25 10:15:00+05:30,341.76,354.3,340.84,349.65,757414
2022-11-25 11:15:00+05:30,349.55,352.36,345.44,350.52,238573
2022-11-25 12:15:00+05:30,350.13,351.49,346.65,346.99,126314
2022-11-25 13:15:00+05:30,346.99,349.02,346.65,347.57,96754
2022-11-25 14:15:00+05:30,347.57,349.46,346.65,348.58,283050
2022-11-25 15:15:00+05:30,348.88,352.26,348.25,351.25,202274
2022-11-28 09:15:00+05:30,353.43,357.78,352.46,353.77,470210
2022-11-28 10:15:00+05:30,353.77,362.82,353.43,362.43,528514
2022-11-28 11:15:00+05:30,362.14,363.06,355.65,358.61,491871
2022-11-28 12:15:00+05:30,358.27,358.75,355.51,356.77,92956
2022-11-28 13:15:00+05:30,356.77,360.2,353.52,357.06,141285
2022-11-28 14:15:00+05:30,357.06,365.05,357.06,362.43,556486
2022-11-28 15:15:00+05:30,362.43,366.55,362.14,366.06,201785
2022-11-29 09:15:00+05:30,373.76,378.6,355.61,357.49,1188850
2022-11-29 10:15:00+05:30,357.49,362.58,354.73,360.2,216037
2022-11-29 11:15:00+05:30,360.54,371.82,359.24,369.06,343390
2022-11-29 12:15:00+05:30,369.06,369.74,364.17,364.56,190988
2022-11-29 13:15:00+05:30,364.56,368.14,364.56,366.6,124144
2022-11-29 14:15:00+05:30,366.6,367.9,355.41,357.78,425073
2022-11-29 15:15:00+05:30,358.32,358.32,352.31,352.46,269144
