date,open,high,low,close,volume
2016-07-25 00:00:00+05:30,29.15,32.18,28.97,30.6,1529370
2016-07-26 00:00:00+05:30,31.04,31.25,29.66,30.18,2279886
2016-07-27 00:00:00+05:30,30.66,30.87,29.04,29.59,957043
2016-07-28 00:00:00+05:30,30.15,31.01,29.32,29.66,1882962
2016-07-29 00:00:00+05:30,30.01,30.01,28.8,29.53,1456485
2016-08-01 00:00:00+05:30,29.97,30.35,28.77,29.15,3668937
2016-08-02 00:00:00+05:30,28.97,29.08,28.73,28.94,1093816
2016-08-03 00:00:00+05:30,28.77,29.59,27.94,28.94,677047
2016-08-04 00:00:00+05:30,28.94,28.97,28.01,28.46,648535
2016-08-05 00:00:00+05:30,28.46,28.46,28.01,28.18,3455081
2016-08-08 00:00:00+05:30,28.08,28.25,27.59,28.08,2838736
2016-08-09 00:00:00+05:30,28.87,30.15,28.28,28.9,1486876
2016-08-10 00:00:00+05:30,28.97,29.18,27.59,27.94,331849
2016-08-11 00:00:00+05:30,28.18,28.18,26.94,27.9,1653298
2016-08-12 00:00:00+05:30,28.94,28.97,27.01,28.46,2364457
2016-08-16 00:00:00+05:30,27.63,27.8,27.28,27.63,2739579
2016-08-17 00:00:00+05:30,28.59,29.46,26.94,27.7,749833
2016-08-18 00:00:00+05:30,27.77,28.63,27.39,27.84,1448111
2016-08-19 00:00:00+05:30,27.84,27.84,27.18,27.59,562722
2016-08-22 00:00:00+05:30,27.59,28.59,27.32,27.53,2673215
2016-08-23 00:00:00+05:30,27.42,27.77,27.25,27.73,2057912
2016-08-24 00:00:00+05:30,28.22,28.22,27.28,27.46,1295270
2016-08-25 00:00:00+05:30,28.42,28.42,27.25,27.49,1877477
2016-08-26 00:00:00+05:30,27.59,27.59,27.18,27.42,1665496
2016-08-29 00:00:00+05:30,27.49,27.66,26.9,27.42,1328458
2016-08-30 00:00:00+05:30,27.42,27.63,27.08,27.46,707672
2016-08-31 00:00:00+05:30,27.42,27.9,27.15,27.49,3376848
2016-09-01 00:00:00+05:30,27.59,27.94,27.46,27.59,914341
2016-09-02 00:00:00+05:30,27.59,28.11,27.28,27.56,860756
2016-09-06 00:00:00+05:30,27.73,29.66,27.73,28.94,2064528
2016-09-07 00:00:00+05:30,28.97,28.97,27.66,28.77,454639
2016-09-08 00:00:00+05:30,27.42,28.22,27.42,27.73,1082596
2016-09-09 00:00:00+05:30,27.77,28.25,27.56,27.87,2453607
2016-09-12 00:00:00+05:30,27.77,28.49,27.42,27.84,1952835
2016-09-14 00:00:00+05:30,27.59,27.77,27.18,27.35,1299285
2016-09-15 00:00:00+05:30,27.39,27.53,26.97,27.32,177985
2016-09-16 00:00:00+05:30,27.04,27.53,26.63,27.18,529937
2016-09-19 00:00:00+05:30,27.53,28.63,26.63,27.21,1854425
2016-09-20 00:00:00+05:30,27.35,27.35,25.87,26.94,2162166
2016-09-21 00:00:00+05:30,27.25,27.53,26.49,27.04,289838
2016-09-22 00:00:00+05:30,27.21,27.53,26.56,27.01,1034636
2016-09-23 00:00:00+05:30,27.11,27.25,26.25,26.87,1576112
2016-09-26 00:00:00+05:30,26.7,27.25,26.39,27.18,733446
2016-09-27 00:00:00+05:30,26.77,26.97,26.42,26.9,1255332
2016-09-28 00:00:00+05:30,26.87,26.97,25.59,26.28,2452161
2016-09-29 00:00:00+05:30,26.25,26.56,21.04,22.25,1938465
2016-09-30 00:00:00+05:30,22.42,22.59,20.01,21.08,2051722
2016-10-03 00:00:00+05:30,21.39,22.94,21.39,22.66,657332
2016-10-04 00:00:00+05:30,23.28,23.28,21.63,22.01,1272124
2016-10-05 00:00:00+05:30,22.42,22.42,21.83,22.01,352791
2016-10-06 00:00:00+05:30,22.01,22.14,21.39,21.94,1758463
2016-10-07 00:00:00+05:30,21.39,22.14,21.39,22.04,677916
2016-10-10 00:00:00+05:30,22.39,22.39,21.73,22.01,1397743
2016-10-13 00:00:00+05:30,22.08,22.08,20.63,20.87,1049438
2016-10-14 00:00:00+05:30,21.25,22.21,20.7,21.04,2081851
2016-10-17 00:00:00+05:30,21.56,21.94,20.8,21.04,477161
2016-10-18 00:00:00+05:30,21.04,21.63,20.66,20.87,308047
2016-10-19 00:00:00+05:30,21.04,25.04,20.49,25.04,3193783
2016-10-20 00:00:00+05:30,25.52,26.87,24.7,25.56,1014574
2016-10-21 00:00:00+05:30,25.63,25.73,24.66,25.66,627413
2016-10-24 00:00:00+05:30,25.52,26.08,24.7,24.87,392412
2016-10-25 00:00:00+05:30,25.15,25.15,23.83,24.32,133082
2016-10-26 00:00:00+05:30,24.35,24.7,22.56,23.28,649299
2016-10-27 00:00:00+05:30,24.46,24.46,22.08,23.08,670492
2016-10-28 00:00:00+05:30,23.8,23.83,22.83,23.28,790533
2016-11-01 00:00:00+05:30,25.15,25.87,23.66,24.52,162312
2016-11-02 00:00:00+05:30,24.25,24.35,23.11,23.49,90583
2016-11-03 00:00:00+05:30,23.8,24.49,22.97,23.28,394527
2016-11-04 00:00:00+05:30,23.63,23.77,21.76,22.25,235227
2016-11-07 00:00:00+05:30,22.32,22.94,22.28,22.56,1920072
2016-11-08 00:00:00+05:30,22.42,22.8,22.08,22.7,219302
2016-11-09 00:00:00+05:30,20.04,22.01,19.32,21.14,316639
2016-11-10 00:00:00+05:30,21.73,22.25,21.56,22.04,138152
2016-11-11 00:00:00+05:30,21.9,22.01,20.97,21.14,37724
2016-11-15 00:00:00+05:30,22.04,22.04,18.63,19.04,89710
2016-11-16 00:00:00+05:30,20.28,20.49,18.01,18.28,2457391
2016-11-17 00:00:00+05:30,19.63,19.63,17.32,17.49,244180
2016-11-18 00:00:00+05:30,17.76,17.9,16.42,16.63,134334
2016-11-21 00:00:00+05:30,16.69,16.69,14.45,15.52,378384
2016-11-22 00:00:00+05:30,15.52,17.66,15.52,16.52,551246
2016-11-23 00:00:00+05:30,16.9,19.66,16.28,19.32,1095991
2016-11-24 00:00:00+05:30,19.25,20.35,17.94,18.63,229118
2016-11-25 00:00:00+05:30,18.28,21.49,18.28,19.59,878699
2016-11-28 00:00:00+05:30,20.49,20.49,18.97,19.83,993615
2016-11-29 00:00:00+05:30,19.97,20.01,19.38,19.42,78099
2016-11-30 00:00:00+05:30,19.63,19.66,17.73,18.76,273101
2016-12-01 00:00:00+05:30,19.07,19.25,18.52,18.63,60127
2016-12-02 00:00:00+05:30,18.28,18.97,17.94,18.04,58736
2016-12-05 00:00:00+05:30,18.07,18.87,17.76,18.14,223530
2016-12-06 00:00:00+05:30,19.9,20.01,18.28,19.11,1125989
