date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,77.25,79.0,77.25,78.4,8047
2015-02-02 10:15:00+05:30,78.4,79.45,78.2,79.45,11008
2015-02-02 11:15:00+05:30,79.45,79.5,78.0,78.0,19956
2015-02-02 12:15:00+05:30,78.0,78.6,77.9,78.6,99353
2015-02-02 13:15:00+05:30,78.6,78.65,78.0,78.6,5276
2015-02-02 14:15:00+05:30,78.6,80.0,78.5,79.1,10416
2015-02-02 15:15:00+05:30,79.1,79.3,78.85,79.3,4125
2015-02-03 09:15:00+05:30,80.15,81.95,80.15,81.3,26480
2015-02-03 10:15:00+05:30,81.3,81.4,80.6,81.1,7069
2015-02-03 11:15:00+05:30,81.1,81.5,80.7,81.0,6870
2015-02-03 12:15:00+05:30,81.0,81.35,80.8,81.0,41955
2015-02-03 13:15:00+05:30,81.0,81.7,81.0,81.7,13016
2015-02-03 14:15:00+05:30,81.7,81.9,81.3,81.85,37625
2015-02-03 15:15:00+05:30,81.9,82.8,81.85,82.05,23311
2015-02-04 09:15:00+05:30,81.85,82.55,81.6,81.6,10510
2015-02-04 10:15:00+05:30,81.6,82.05,81.55,81.95,621
2015-02-04 11:15:00+05:30,81.95,82.1,81.6,81.7,2358
2015-02-04 12:15:00+05:30,81.7,82.1,81.5,82.1,1439
2015-02-04 13:15:00+05:30,82.1,82.4,81.6,82.0,4910
2015-02-04 14:15:00+05:30,82.0,82.5,81.75,82.0,7262
2015-02-04 15:15:00+05:30,82.0,82.2,81.8,82.2,3818
2015-02-05 09:15:00+05:30,82.2,82.2,81.5,81.8,2037
2015-02-05 10:15:00+05:30,81.8,82.9,81.8,82.2,10568
2015-02-05 11:15:00+05:30,82.2,83.0,82.2,83.0,9491
2015-02-05 12:15:00+05:30,82.8,83.2,82.3,82.5,6223
2015-02-05 13:15:00+05:30,82.5,82.95,82.45,82.8,3120
2015-02-05 14:15:00+05:30,82.8,83.1,82.7,82.8,18831
2015-02-05 15:15:00+05:30,82.8,83.0,82.45,82.9,34023
2015-02-06 09:15:00+05:30,82.9,82.9,81.75,81.85,3125
2015-02-06 10:15:00+05:30,81.85,82.0,81.1,81.4,7927
2015-02-06 11:15:00+05:30,81.4,81.6,81.2,81.6,3332
2015-02-06 12:15:00+05:30,81.6,81.95,81.55,81.55,2532
2015-02-06 13:15:00+05:30,81.55,81.75,81.55,81.55,631
2015-02-06 14:15:00+05:30,81.55,81.75,81.5,81.7,6157
2015-02-06 15:15:00+05:30,81.7,81.75,81.5,81.7,1635
2015-02-09 09:15:00+05:30,81.6,81.6,79.9,80.5,4100
2015-02-09 10:15:00+05:30,80.5,80.65,80.0,80.4,3272
2015-02-09 11:15:00+05:30,80.1,80.8,80.05,80.4,4012
2015-02-09 12:15:00+05:30,80.4,80.9,80.4,80.7,5029
2015-02-09 13:15:00+05:30,80.8,80.9,80.6,80.8,3450
2015-02-09 14:15:00+05:30,80.8,80.95,80.8,80.95,3041
2015-02-09 15:15:00+05:30,80.95,80.95,80.8,80.8,1901
2015-02-10 09:15:00+05:30,81.0,81.0,80.0,80.85,1018
2015-02-10 10:15:00+05:30,80.85,80.85,80.45,80.75,314
2015-02-10 11:15:00+05:30,80.75,80.9,80.3,80.3,1065
2015-02-10 12:15:00+05:30,80.3,80.5,80.2,80.5,571
2015-02-10 13:15:00+05:30,80.5,80.6,80.2,80.2,475
2015-02-10 14:15:00+05:30,80.2,80.5,79.75,79.8,6056
2015-02-10 15:15:00+05:30,79.8,80.5,79.8,80.0,2209
2015-02-11 09:15:00+05:30,80.0,80.3,80.0,80.3,355
2015-02-11 10:15:00+05:30,80.3,81.5,79.95,80.9,8668
2015-02-11 11:15:00+05:30,80.9,81.05,80.6,81.0,495
2015-02-11 12:15:00+05:30,81.0,81.5,80.7,80.95,1129
2015-02-11 13:15:00+05:30,80.95,81.0,80.6,80.8,1587
2015-02-11 14:15:00+05:30,81.35,81.9,81.0,81.2,2866
2015-02-11 15:15:00+05:30,81.2,81.2,80.75,80.85,1091
2015-02-12 09:15:00+05:30,80.85,81.7,80.85,81.7,950
2015-02-12 10:15:00+05:30,81.7,82.0,81.2,81.9,2702
2015-02-12 11:15:00+05:30,81.9,81.9,81.15,81.5,1606
2015-02-12 12:15:00+05:30,81.5,82.5,81.1,82.4,8084
2015-02-12 13:15:00+05:30,82.4,82.4,81.8,82.0,2069
2015-02-12 14:15:00+05:30,82.0,82.4,81.9,82.25,4623
2015-02-12 15:15:00+05:30,82.25,82.4,81.9,82.4,4185
2015-02-13 09:15:00+05:30,82.3,82.3,80.6,81.0,3236
2015-02-13 10:15:00+05:30,81.0,81.95,80.85,81.5,1805
