date,open,high,low,close,volume
2012-04-20 00:00:00+05:30,88.0,92.4,83.6,92.4,13892
2012-04-23 00:00:00+05:30,97.0,97.0,87.8,87.8,9155
2012-04-24 00:00:00+05:30,83.45,84.95,83.45,83.45,5009
2012-04-25 00:00:00+05:30,79.4,80.0,79.3,79.3,10877
2012-04-26 00:00:00+05:30,75.45,75.45,75.35,75.35,7153
2012-04-27 00:00:00+05:30,71.6,71.65,71.6,71.6,7879
2012-04-30 00:00:00+05:30,71.0,77.5,71.0,74.05,10289
2012-05-02 00:00:00+05:30,74.1,77.65,74.0,75.4,19344
2012-05-03 00:00:00+05:30,71.8,74.0,71.65,72.25,41505
2012-05-04 00:00:00+05:30,75.0,78.0,68.15,69.95,19212
2012-05-07 00:00:00+05:30,67.5,67.9,57.25,59.5,26129
2012-05-08 00:00:00+05:30,57.55,61.9,53.6,53.8,40629
2012-05-09 00:00:00+05:30,53.15,58.85,49.5,49.9,11191
2012-05-10 00:00:00+05:30,47.1,53.0,46.35,49.3,28971
2012-05-11 00:00:00+05:30,49.0,53.9,49.0,52.25,8044
2012-05-14 00:00:00+05:30,52.0,57.0,51.4,54.25,2265
2012-05-15 00:00:00+05:30,53.05,59.0,53.05,55.1,10333
2012-05-16 00:00:00+05:30,52.9,55.0,51.15,51.4,4597
2012-05-17 00:00:00+05:30,51.0,53.95,48.15,48.4,7995
2012-05-18 00:00:00+05:30,48.1,48.45,46.4,47.55,12915
2012-05-21 00:00:00+05:30,47.0,48.85,45.15,46.15,4595
2012-05-22 00:00:00+05:30,45.6,47.8,44.8,45.1,24898
2012-05-23 00:00:00+05:30,44.45,45.25,43.0,44.25,3280
2012-05-24 00:00:00+05:30,43.0,44.0,41.65,42.0,18505
2012-05-25 00:00:00+05:30,41.95,45.9,40.5,40.75,5395
2012-05-28 00:00:00+05:30,40.0,41.5,38.75,39.15,40630
2012-05-29 00:00:00+05:30,40.65,40.65,38.1,39.85,5230
2012-05-30 00:00:00+05:30,39.0,40.0,39.0,39.95,30704
2012-05-31 00:00:00+05:30,39.95,40.0,38.5,38.7,17952
