date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,17.0,17.3,16.9,17.15,798229
2015-02-02 10:15:00+05:30,17.15,17.25,17.05,17.15,197651
2015-02-02 11:15:00+05:30,17.2,17.2,17.1,17.15,219726
2015-02-02 12:15:00+05:30,17.15,17.2,17.0,17.1,275973
2015-02-02 13:15:00+05:30,17.1,17.15,17.0,17.1,179762
2015-02-02 14:15:00+05:30,17.1,17.15,16.9,17.0,450879
2015-02-02 15:15:00+05:30,17.0,17.25,16.95,17.15,427714
2015-02-03 09:15:00+05:30,17.1,17.25,16.9,16.9,502645
2015-02-03 10:15:00+05:30,16.9,17.0,16.85,17.0,248741
2015-02-03 11:15:00+05:30,17.0,17.0,16.8,16.85,223789
2015-02-03 12:15:00+05:30,16.85,16.9,16.8,16.8,79553
2015-02-03 13:15:00+05:30,16.8,17.1,16.8,16.9,410302
2015-02-03 14:15:00+05:30,16.9,17.05,16.9,16.95,202608
2015-02-03 15:15:00+05:30,16.95,16.95,16.85,16.85,280623
2015-02-04 09:15:00+05:30,17.05,17.25,17.0,17.1,889940
2015-02-04 10:15:00+05:30,17.1,17.15,17.05,17.1,209929
2015-02-04 11:15:00+05:30,17.1,17.1,16.95,16.95,128740
2015-02-04 12:15:00+05:30,17.0,17.05,16.95,17.0,150112
2015-02-04 13:15:00+05:30,17.0,17.05,16.95,16.95,116708
2015-02-04 14:15:00+05:30,16.95,17.05,16.8,16.8,436444
2015-02-04 15:15:00+05:30,16.8,16.85,16.75,16.8,242611
2015-02-05 09:15:00+05:30,16.95,17.15,16.9,17.1,386672
2015-02-05 10:15:00+05:30,17.1,17.1,16.95,16.95,85351
2015-02-05 11:15:00+05:30,16.95,17.0,16.9,17.0,364005
2015-02-05 12:15:00+05:30,17.0,17.4,16.85,17.25,1858190
2015-02-05 13:15:00+05:30,17.25,18.0,17.25,17.65,2698347
2015-02-05 14:15:00+05:30,17.65,17.7,17.2,17.3,1203943
2015-02-05 15:15:00+05:30,17.3,17.3,17.15,17.15,434410
2015-02-06 09:15:00+05:30,17.2,17.2,16.9,17.0,713705
2015-02-06 10:15:00+05:30,17.0,17.05,16.8,16.9,361676
2015-02-06 11:15:00+05:30,16.9,17.05,16.8,17.0,505034
2015-02-06 12:15:00+05:30,17.0,17.05,16.9,16.9,221893
