date,open,high,low,close,volume
2018-03-09 00:00:00+05:30,270.0,276.0,252.1,267.75,15776490
2018-03-12 00:00:00+05:30,267.9,271.0,261.7,268.2,1278682
2018-03-13 00:00:00+05:30,267.1,277.2,264.0,272.0,1262968
2018-03-14 00:00:00+05:30,271.5,277.1,270.5,272.1,477332
2018-03-15 00:00:00+05:30,274.95,293.7,272.15,288.25,2210265
2018-03-16 00:00:00+05:30,292.1,304.0,291.0,296.35,1339569
2018-03-19 00:00:00+05:30,302.0,311.0,298.15,300.75,565161
2018-03-20 00:00:00+05:30,300.9,305.0,296.95,297.05,247595
2018-03-21 00:00:00+05:30,300.8,304.0,297.0,297.35,282172
2018-03-22 00:00:00+05:30,301.9,301.9,291.1,295.4,234442
2018-03-23 00:00:00+05:30,291.65,294.8,276.65,292.2,195670
2018-03-26 00:00:00+05:30,293.25,299.65,292.55,296.5,136812
2018-03-27 00:00:00+05:30,298.75,301.0,296.0,296.65,84581
2018-03-28 00:00:00+05:30,296.45,303.0,295.0,300.5,283595
2018-04-02 00:00:00+05:30,304.35,307.05,301.5,303.6,78989
2018-04-03 00:00:00+05:30,304.0,304.6,300.6,301.95,59151
2018-04-04 00:00:00+05:30,302.75,304.0,300.0,300.15,122914
2018-04-05 00:00:00+05:30,301.0,332.0,298.0,320.45,622573
2018-04-06 00:00:00+05:30,320.0,334.0,316.65,321.8,202562
2018-04-09 00:00:00+05:30,323.0,346.45,323.0,332.0,330216
2018-04-10 00:00:00+05:30,333.0,346.9,333.0,341.6,322857
2018-04-11 00:00:00+05:30,350.0,350.0,339.55,341.3,151072
2018-04-12 00:00:00+05:30,342.6,346.25,337.5,338.2,130852
2018-04-13 00:00:00+05:30,339.9,344.65,337.0,339.2,189580
2018-04-16 00:00:00+05:30,335.2,340.0,333.15,335.0,52196
2018-04-17 00:00:00+05:30,336.3,338.45,333.95,335.8,37755
2018-04-18 00:00:00+05:30,339.5,339.5,333.9,335.15,52240
2018-04-19 00:00:00+05:30,336.05,337.05,333.1,335.2,36502
2018-04-20 00:00:00+05:30,335.2,337.05,330.45,333.2,38673
2018-04-23 00:00:00+05:30,334.0,355.0,334.0,341.95,100266
2018-04-24 00:00:00+05:30,342.45,348.1,341.0,342.05,194951
2018-04-25 00:00:00+05:30,343.0,344.55,335.1,336.95,62927
2018-04-26 00:00:00+05:30,336.0,339.0,335.0,335.6,37971
2018-04-27 00:00:00+05:30,335.8,338.05,333.65,336.35,35138
2018-04-30 00:00:00+05:30,337.95,338.05,330.5,335.95,45076
2018-05-02 00:00:00+05:30,336.8,338.85,333.35,334.55,23703
2018-05-03 00:00:00+05:30,333.45,350.0,333.45,334.65,18365
2018-05-04 00:00:00+05:30,334.75,336.65,334.15,334.7,10790
2018-05-07 00:00:00+05:30,331.1,336.35,330.0,333.3,60270
2018-05-08 00:00:00+05:30,333.95,335.0,325.6,328.7,57708
2018-05-09 00:00:00+05:30,328.1,333.8,328.1,332.5,30912
2018-05-10 00:00:00+05:30,330.75,336.0,330.75,331.8,28188
2018-05-11 00:00:00+05:30,332.6,333.7,330.1,331.05,47930
2018-05-14 00:00:00+05:30,331.1,332.5,329.4,330.1,15952
2018-05-15 00:00:00+05:30,331.0,332.5,327.0,328.4,54091
