date,open,high,low,close,volume
2021-07-05 00:00:00+05:30,8.35,8.35,8.35,8.35,45550
2021-07-06 00:00:00+05:30,8.75,8.75,8.75,8.75,31500
2021-07-07 00:00:00+05:30,9.2,9.2,9.2,9.2,71250
2021-07-08 00:00:00+05:30,9.65,9.65,9.65,9.65,69770
2021-07-09 00:00:00+05:30,10.1,10.1,9.65,10.1,1324790
2021-07-12 00:00:00+05:30,10.6,10.6,10.6,10.6,71110
2021-07-13 00:00:00+05:30,11.15,11.15,10.5,11.15,1284595
2021-07-14 00:00:00+05:30,11.5,11.7,10.75,11.7,798760
2021-07-15 00:00:00+05:30,12.0,12.3,11.4,12.25,903725
2021-07-16 00:00:00+05:30,12.65,12.85,11.65,12.85,1273075
2021-07-19 00:00:00+05:30,12.9,13.5,12.5,13.5,568395
2021-07-20 00:00:00+05:30,14.2,14.2,13.9,14.2,677070
2021-07-22 00:00:00+05:30,14.2,14.9,14.2,14.9,198490
2021-07-23 00:00:00+05:30,15.6,15.6,14.4,15.6,801335
2021-07-26 00:00:00+05:30,16.4,16.4,15.0,15.1,994900
2021-07-27 00:00:00+05:30,15.2,15.6,14.35,14.35,328955
2021-07-28 00:00:00+05:30,13.6,13.6,13.6,13.6,201785
2021-07-29 00:00:00+05:30,12.95,14.3,12.95,14.3,868280
2021-07-30 00:00:00+05:30,14.9,15.0,14.6,14.9,616060
2021-08-02 00:00:00+05:30,15.0,15.0,14.2,14.4,459990
2021-08-03 00:00:00+05:30,15.05,15.05,13.8,13.95,299335
2021-08-04 00:00:00+05:30,14.15,14.4,13.4,13.6,368890
2021-08-05 00:00:00+05:30,14.2,14.3,13.7,14.3,414530
2021-08-06 00:00:00+05:30,14.7,14.8,14.0,14.25,223935
2021-08-09 00:00:00+05:30,14.75,14.85,13.8,14.05,241275
2021-08-10 00:00:00+05:30,14.0,14.35,13.35,13.4,287250
2021-08-11 00:00:00+05:30,12.75,12.75,12.75,12.75,90990
2021-08-12 00:00:00+05:30,13.0,13.35,12.75,13.35,129100
2021-08-13 00:00:00+05:30,13.55,14.0,13.55,14.0,179770
2021-08-16 00:00:00+05:30,14.55,14.7,13.6,13.8,199195
2021-08-17 00:00:00+05:30,13.8,13.95,13.15,13.3,151720
2021-08-18 00:00:00+05:30,13.45,13.75,12.65,12.9,144950
2021-08-20 00:00:00+05:30,12.45,13.2,12.25,12.6,133590
2021-08-23 00:00:00+05:30,13.15,13.15,12.05,12.15,174810
2021-08-24 00:00:00+05:30,12.15,12.75,12.05,12.75,98870
2021-08-25 00:00:00+05:30,13.15,13.35,12.6,13.3,160880
2021-08-26 00:00:00+05:30,13.45,13.45,12.4,12.75,108485
2021-08-27 00:00:00+05:30,12.4,12.9,12.4,12.65,70120
2021-08-30 00:00:00+05:30,12.75,13.0,12.7,12.8,55260
2021-08-31 00:00:00+05:30,13.05,13.05,12.2,12.35,87930
2021-09-01 00:00:00+05:30,12.8,12.9,12.35,12.5,82035
2021-09-02 00:00:00+05:30,12.4,12.8,12.3,12.7,57085
2021-09-03 00:00:00+05:30,12.8,12.8,12.5,12.8,67825
2021-09-06 00:00:00+05:30,12.8,12.95,12.4,12.7,49690
2021-09-07 00:00:00+05:30,12.6,12.85,12.3,12.5,39185
2021-09-08 00:00:00+05:30,12.15,12.8,11.9,12.35,101925
2021-09-09 00:00:00+05:30,12.1,12.8,12.1,12.25,51785
2021-09-13 00:00:00+05:30,12.4,12.55,12.2,12.3,51500
2021-09-14 00:00:00+05:30,12.3,12.45,12.1,12.2,63440
2021-09-15 00:00:00+05:30,12.6,12.8,12.2,12.7,86595
2021-09-16 00:00:00+05:30,12.85,13.15,12.55,13.05,193840
2021-09-17 00:00:00+05:30,13.3,13.55,12.5,12.7,143025
2021-09-20 00:00:00+05:30,12.4,13.15,12.3,12.45,44225
2021-09-21 00:00:00+05:30,12.5,12.75,12.15,12.3,87185
2021-09-22 00:00:00+05:30,12.55,12.7,12.35,12.45,78440
2021-09-23 00:00:00+05:30,12.5,12.6,12.35,12.4,24175
2021-09-24 00:00:00+05:30,12.6,12.75,12.3,12.55,72110
2021-09-27 00:00:00+05:30,12.2,12.6,12.05,12.2,90740
2021-09-28 00:00:00+05:30,12.1,12.6,12.1,12.45,35880
2021-09-29 00:00:00+05:30,12.1,13.1,12.1,12.65,132900
2021-09-30 00:00:00+05:30,12.8,13.0,12.4,12.7,63200
2021-10-01 00:00:00+05:30,12.95,13.0,12.35,12.65,97840
2021-10-04 00:00:00+05:30,13.1,13.1,12.55,12.7,58350
2021-10-05 00:00:00+05:30,13.35,13.35,12.6,13.0,97565
2021-10-06 00:00:00+05:30,13.35,13.65,13.3,13.5,207650
2021-10-07 00:00:00+05:30,14.1,14.55,13.25,13.55,174855
2021-10-08 00:00:00+05:30,13.6,13.95,12.2,13.45,112165
2021-10-11 00:00:00+05:30,13.2,14.6,13.2,14.0,187545
2021-10-12 00:00:00+05:30,14.2,15.0,14.0,14.4,248835
2021-10-13 00:00:00+05:30,14.95,14.95,14.4,14.85,172020
2021-10-14 00:00:00+05:30,15.2,15.2,14.0,14.3,120170
2021-10-18 00:00:00+05:30,14.8,14.8,13.1,13.5,268510
2021-10-19 00:00:00+05:30,14.05,14.35,12.45,12.95,166860
2021-10-20 00:00:00+05:30,12.8,13.5,12.05,12.75,115730
2021-10-21 00:00:00+05:30,13.4,13.4,12.6,12.7,40555
2021-10-22 00:00:00+05:30,13.0,13.15,12.1,12.3,107485
2021-10-25 00:00:00+05:30,12.8,13.55,12.8,13.55,243940
2021-10-26 00:00:00+05:30,14.6,14.9,13.7,14.05,728715
2021-10-27 00:00:00+05:30,13.7,14.75,13.25,13.6,162165
2021-10-28 00:00:00+05:30,13.65,14.1,13.2,13.5,102865
2021-10-29 00:00:00+05:30,14.0,14.0,13.25,13.4,83660
2021-11-01 00:00:00+05:30,14.1,14.1,13.15,13.2,100275
2021-11-02 00:00:00+05:30,13.55,13.6,13.0,13.1,61060
2021-11-03 00:00:00+05:30,13.1,13.45,13.05,13.3,57850
