date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,33.0,33.8,33.0,33.3,177326
2015-02-02 10:15:00+05:30,33.3,33.35,33.2,33.3,36747
2015-02-02 11:15:00+05:30,33.3,33.5,33.2,33.25,34402
2015-02-02 12:15:00+05:30,33.25,33.25,32.9,33.05,63810
2015-02-02 13:15:00+05:30,33.05,33.05,32.9,33.0,77992
2015-02-02 14:15:00+05:30,33.0,33.05,32.8,32.85,103989
2015-02-02 15:15:00+05:30,32.85,32.95,32.8,32.8,106810
2015-02-03 09:15:00+05:30,33.65,33.9,33.0,33.45,294785
2015-02-03 10:15:00+05:30,33.45,33.6,33.2,33.55,100784
2015-02-03 11:15:00+05:30,33.55,33.6,33.0,33.0,66658
2015-02-03 12:15:00+05:30,33.0,33.3,32.95,33.2,68907
2015-02-03 13:15:00+05:30,33.2,35.6,33.15,34.85,1061390
2015-02-03 14:15:00+05:30,34.85,38.35,34.25,37.4,2384583
2015-02-03 15:15:00+05:30,37.4,37.65,37.0,37.35,463333
2015-02-04 09:15:00+05:30,38.5,42.55,38.5,41.4,4959903
2015-02-04 10:15:00+05:30,41.4,41.45,40.75,41.3,621290
2015-02-04 11:15:00+05:30,41.3,41.35,40.8,40.95,331341
2015-02-04 12:15:00+05:30,40.95,41.0,40.25,40.3,297302
2015-02-04 13:15:00+05:30,40.3,40.75,39.6,39.9,421903
2015-02-04 14:15:00+05:30,39.9,40.15,39.05,39.05,519902
2015-02-04 15:15:00+05:30,39.05,39.2,38.8,38.85,341204
2015-02-05 09:15:00+05:30,38.8,38.9,37.35,37.5,530534
2015-02-05 10:15:00+05:30,37.5,37.55,36.85,36.9,273162
2015-02-05 11:15:00+05:30,36.9,37.1,36.85,37.0,118648
2015-02-05 12:15:00+05:30,37.0,37.1,36.75,36.85,94293
2015-02-05 13:15:00+05:30,36.9,37.3,36.8,37.15,133047
2015-02-05 14:15:00+05:30,37.2,37.2,36.3,36.4,183985
2015-02-05 15:15:00+05:30,36.4,36.45,36.15,36.25,118905
2015-02-06 09:15:00+05:30,36.35,37.85,36.05,36.9,395858
2015-02-06 10:15:00+05:30,36.9,37.0,36.3,36.65,122565
2015-02-06 11:15:00+05:30,36.65,37.2,36.25,37.2,92477
2015-02-06 12:15:00+05:30,37.2,37.4,36.1,36.15,125974
2015-02-06 13:15:00+05:30,36.15,36.5,36.1,36.35,53571
2015-02-06 14:15:00+05:30,36.4,36.4,36.0,36.25,122529
2015-02-06 15:15:00+05:30,36.25,36.8,36.15,36.65,112074
2015-02-09 09:15:00+05:30,35.95,37.05,35.45,36.9,272115
2015-02-09 10:15:00+05:30,36.95,36.95,36.25,36.35,79146
2015-02-09 11:15:00+05:30,36.35,36.5,36.0,36.1,51725
2015-02-09 12:15:00+05:30,36.1,36.1,35.75,36.0,31754
2015-02-09 13:15:00+05:30,36.0,36.05,35.6,35.8,36052
2015-02-09 14:15:00+05:30,35.8,35.85,35.1,35.2,91442
2015-02-09 15:15:00+05:30,35.3,35.45,35.15,35.4,73582
2015-02-10 09:15:00+05:30,35.4,36.0,34.9,35.5,158193
2015-02-10 10:15:00+05:30,35.5,36.15,35.4,35.7,123454
2015-02-10 11:15:00+05:30,35.7,35.95,35.5,35.5,34849
2015-02-10 12:15:00+05:30,35.5,35.55,35.1,35.2,38601
2015-02-10 13:15:00+05:30,35.2,35.25,34.1,34.15,106042
2015-02-10 14:15:00+05:30,34.1,34.7,33.9,34.5,79408
2015-02-10 15:15:00+05:30,34.5,35.0,34.3,34.75,66714
2015-02-11 09:15:00+05:30,34.75,34.95,34.6,34.7,59246
2015-02-11 10:15:00+05:30,34.7,34.8,34.1,34.3,123715
2015-02-11 11:15:00+05:30,34.3,34.35,34.1,34.25,51850
2015-02-11 12:15:00+05:30,34.25,34.25,33.9,34.05,57491
2015-02-11 13:15:00+05:30,34.05,34.15,33.8,33.8,60760
2015-02-11 14:15:00+05:30,33.8,35.3,33.8,34.7,283009
2015-02-11 15:15:00+05:30,34.7,34.9,34.6,34.8,65643
2015-02-12 09:15:00+05:30,34.5,35.65,34.2,35.05,303347
2015-02-12 10:15:00+05:30,35.05,35.9,34.75,35.5,181966
2015-02-12 11:15:00+05:30,35.5,35.75,35.05,35.15,79203
2015-02-12 12:15:00+05:30,35.15,35.2,34.65,34.7,47598
2015-02-12 13:15:00+05:30,34.7,35.35,34.7,35.15,58095
2015-02-12 14:15:00+05:30,35.15,36.45,35.0,36.2,347891
2015-02-12 15:15:00+05:30,36.2,36.7,35.8,36.5,136256
2015-02-13 09:15:00+05:30,36.5,36.95,36.3,36.5,228431
2015-02-13 10:15:00+05:30,36.5,36.5,36.1,36.3,75780
2015-02-13 11:15:00+05:30,36.3,36.35,35.6,35.65,71025
2015-02-13 12:15:00+05:30,35.75,35.95,35.6,35.7,51265
2015-02-13 13:15:00+05:30,35.7,35.8,35.5,35.5,74288
2015-02-13 14:15:00+05:30,35.5,35.75,35.25,35.25,89130
2015-02-13 15:15:00+05:30,35.25,35.7,35.25,35.7,73620
2015-02-16 09:15:00+05:30,35.95,36.25,35.1,35.7,196448
2015-02-16 10:15:00+05:30,35.7,35.7,34.9,35.25,119875
2015-02-16 11:15:00+05:30,35.25,35.3,34.9,34.95,71897
2015-02-16 12:15:00+05:30,34.95,35.0,34.5,34.75,84774
2015-02-16 13:15:00+05:30,34.75,35.0,34.6,34.9,52619
2015-02-16 14:15:00+05:30,34.9,34.9,34.55,34.55,72818
2015-02-16 15:15:00+05:30,34.55,34.95,34.5,34.7,154910
2015-02-18 09:15:00+05:30,34.65,35.2,34.25,34.8,230949
2015-02-18 10:15:00+05:30,34.8,37.65,34.8,37.15,808238
2015-02-18 11:15:00+05:30,37.2,40.65,37.1,39.9,2729096
2015-02-18 12:15:00+05:30,39.9,40.7,39.05,40.25,582709
2015-02-18 13:15:00+05:30,40.25,41.55,40.2,41.55,2750711
2015-02-18 14:15:00+05:30,41.55,41.55,41.55,41.55,98826
2015-02-18 15:15:00+05:30,41.55,41.55,41.55,41.55,14809
2015-02-19 09:15:00+05:30,42.9,43.6,40.75,41.35,1717731
2015-02-19 10:15:00+05:30,41.35,43.4,40.75,41.0,1014313
2015-02-19 11:15:00+05:30,41.0,44.1,40.65,43.05,1341938
2015-02-19 12:15:00+05:30,43.05,43.45,41.8,42.15,458554
2015-02-19 13:15:00+05:30,42.1,42.35,41.35,41.9,312098
2015-02-19 14:15:00+05:30,41.8,44.0,41.65,42.3,987273
2015-02-19 15:15:00+05:30,42.25,42.75,41.9,42.55,362423
2015-02-20 09:15:00+05:30,42.5,42.65,40.95,42.05,593877
2015-02-20 10:15:00+05:30,42.05,42.15,41.55,41.7,90309
2015-02-20 11:15:00+05:30,41.7,42.3,41.45,41.5,151208
2015-02-20 12:15:00+05:30,41.5,41.9,41.1,41.65,134062
2015-02-20 13:15:00+05:30,41.65,41.7,40.95,41.25,135145
2015-02-20 14:15:00+05:30,41.25,41.4,40.75,40.75,162885
2015-02-20 15:15:00+05:30,40.75,41.0,40.3,41.0,205680
2015-02-23 09:15:00+05:30,40.85,41.25,40.15,40.25,216468
2015-02-23 10:15:00+05:30,40.25,42.5,40.25,41.4,484661
2015-02-23 11:15:00+05:30,41.4,42.4,41.1,41.45,173379
2015-02-23 12:15:00+05:30,41.45,41.9,41.15,41.35,50102
2015-02-23 13:15:00+05:30,41.35,41.6,40.45,40.7,76616
2015-02-23 14:15:00+05:30,40.7,41.05,40.4,40.7,117880
2015-02-23 15:15:00+05:30,40.7,40.75,40.25,40.55,113025
2015-02-24 09:15:00+05:30,40.4,42.05,40.4,41.65,341003
2015-02-24 10:15:00+05:30,41.65,47.6,41.4,46.05,6308487
2015-02-24 11:15:00+05:30,46.05,46.1,44.05,45.7,1450165
2015-02-24 12:15:00+05:30,45.7,46.0,44.65,45.85,879100
2015-02-24 13:15:00+05:30,45.75,48.2,45.75,47.55,3761682
2015-02-24 14:15:00+05:30,47.55,48.4,46.75,47.9,2516962
2015-02-24 15:15:00+05:30,47.9,47.9,46.55,47.55,895169
2015-02-25 09:15:00+05:30,48.9,52.4,48.8,50.8,5774667
2015-02-25 10:15:00+05:30,50.8,52.2,50.7,51.75,1199403
2015-02-25 11:15:00+05:30,51.75,54.4,51.6,53.9,4772666
2015-02-25 12:15:00+05:30,53.9,54.5,52.45,52.8,1881482
2015-02-25 13:15:00+05:30,52.75,53.9,52.7,53.55,1697582
2015-02-25 14:15:00+05:30,53.5,53.6,50.4,51.15,2684436
2015-02-25 15:15:00+05:30,51.15,51.4,50.3,50.9,1208348
2015-02-26 09:15:00+05:30,51.25,51.4,48.85,49.5,2176964
2015-02-26 10:15:00+05:30,49.5,49.7,49.1,49.5,271044
2015-02-26 11:15:00+05:30,49.5,49.55,48.6,48.75,355230
2015-02-26 12:15:00+05:30,48.7,49.5,47.3,48.0,658632
2015-02-26 13:15:00+05:30,48.0,48.7,47.1,48.4,770747
2015-02-26 14:15:00+05:30,48.35,48.7,47.1,48.0,600329
2015-02-26 15:15:00+05:30,48.15,48.45,48.0,48.15,432202
2015-02-27 09:15:00+05:30,48.05,48.95,47.15,47.75,855196
2015-02-27 10:15:00+05:30,47.75,51.7,47.65,51.5,2896500
2015-02-27 11:15:00+05:30,51.5,51.75,50.4,50.5,1066741
2015-02-27 12:15:00+05:30,50.55,50.55,49.85,50.25,388137
2015-02-27 13:15:00+05:30,50.2,50.45,49.8,50.1,265305
2015-02-27 14:15:00+05:30,50.05,50.9,50.0,50.8,602541
2015-02-27 15:15:00+05:30,50.8,50.8,50.0,50.1,463480
2015-02-28 09:15:00+05:30,50.8,50.9,49.25,49.5,748355
2015-02-28 10:15:00+05:30,49.5,49.8,48.35,48.95,391086
2015-02-28 11:15:00+05:30,48.95,49.05,47.6,48.45,285900
2015-02-28 12:15:00+05:30,48.45,48.45,47.5,47.6,171304
2015-02-28 13:15:00+05:30,47.6,48.15,47.1,47.85,185987
2015-02-28 14:15:00+05:30,47.85,48.65,47.55,47.65,244083
2015-02-28 15:15:00+05:30,47.65,48.05,47.6,47.95,239528
2015-03-02 09:15:00+05:30,48.45,51.35,47.5,50.5,1664061
2015-03-02 10:15:00+05:30,50.95,50.95,49.5,50.35,526614
2015-03-02 11:15:00+05:30,50.35,50.6,49.55,50.0,234093
2015-03-02 12:15:00+05:30,50.0,50.0,49.55,49.85,199353
2015-03-02 13:15:00+05:30,49.75,49.95,49.55,49.85,114638
2015-03-02 14:15:00+05:30,49.8,49.9,49.25,49.45,243838
2015-03-02 15:15:00+05:30,49.45,49.95,49.45,49.95,274652
2015-03-03 09:15:00+05:30,49.9,50.7,49.1,50.0,622891
2015-03-03 10:15:00+05:30,50.0,52.4,49.95,51.95,1735720
2015-03-03 11:15:00+05:30,51.95,52.1,51.2,51.45,388485
2015-03-03 12:15:00+05:30,51.45,51.75,51.3,51.3,156431
2015-03-03 13:15:00+05:30,51.3,51.45,50.5,50.9,223418
2015-03-03 14:15:00+05:30,50.9,51.45,50.55,50.95,363993
2015-03-03 15:15:00+05:30,50.9,51.5,50.8,51.25,369020
2015-03-04 09:15:00+05:30,51.6,53.0,50.6,51.9,1115018
2015-03-04 10:15:00+05:30,51.9,52.1,51.0,51.2,225255
2015-03-04 11:15:00+05:30,51.2,51.4,50.25,50.45,244564
2015-03-04 12:15:00+05:30,50.3,50.5,50.0,50.4,165549
2015-03-04 13:15:00+05:30,50.5,50.5,49.8,50.1,200965
2015-03-04 14:15:00+05:30,50.05,50.15,47.6,47.85,461437
2015-03-04 15:15:00+05:30,47.9,48.9,47.65,48.7,170325
2015-03-05 09:15:00+05:30,48.6,50.3,48.45,49.45,589162
2015-03-05 10:15:00+05:30,49.45,49.55,48.8,49.45,106785
2015-03-05 11:15:00+05:30,49.45,49.9,48.65,48.95,227680
2015-03-05 12:15:00+05:30,49.0,49.1,48.1,48.15,163267
2015-03-05 13:15:00+05:30,48.15,48.85,48.0,48.5,112300
2015-03-05 14:15:00+05:30,48.5,48.8,48.3,48.8,124729
2015-03-05 15:15:00+05:30,48.8,48.85,48.25,48.35,147904
2015-03-09 09:15:00+05:30,47.65,48.85,47.35,47.85,389684
2015-03-09 10:15:00+05:30,47.9,47.9,47.15,47.4,154506
2015-03-09 11:15:00+05:30,47.45,47.65,47.15,47.5,75732
2015-03-09 12:15:00+05:30,47.5,47.5,46.6,46.65,167758
2015-03-09 13:15:00+05:30,46.65,47.05,46.25,46.6,116893
2015-03-09 14:15:00+05:30,46.7,47.3,46.6,46.6,188815
2015-03-09 15:15:00+05:30,46.6,46.75,46.25,46.75,154544
2015-03-10 09:15:00+05:30,47.0,47.7,46.5,46.7,344942
2015-03-10 10:15:00+05:30,46.7,47.35,46.4,47.1,131066
2015-03-10 11:15:00+05:30,47.1,47.15,46.55,46.6,78871
2015-03-10 12:15:00+05:30,46.55,46.75,46.25,46.4,101779
2015-03-10 13:15:00+05:30,46.45,46.5,44.9,45.25,190087
2015-03-10 14:15:00+05:30,45.25,45.45,44.65,45.3,171793
2015-03-10 15:15:00+05:30,45.35,45.45,45.2,45.25,93466
2015-03-11 09:15:00+05:30,45.45,45.55,44.25,44.4,311281
2015-03-11 10:15:00+05:30,44.4,44.65,44.0,44.3,97691
2015-03-11 11:15:00+05:30,44.3,44.4,43.6,43.85,125607
2015-03-11 12:15:00+05:30,43.85,43.95,43.35,43.65,81884
2015-03-11 13:15:00+05:30,43.55,44.1,43.25,43.8,106903
2015-03-11 14:15:00+05:30,43.8,44.25,43.35,43.4,124771
2015-03-11 15:15:00+05:30,43.45,43.5,43.2,43.4,180736
2015-03-12 09:15:00+05:30,43.85,44.15,42.0,43.2,273923
2015-03-12 10:15:00+05:30,43.15,45.7,43.0,45.3,755793
2015-03-12 11:15:00+05:30,45.3,45.95,45.0,45.55,357805
2015-03-12 12:15:00+05:30,45.55,45.65,45.3,45.4,86070
