date,open,high,low,close,volume
2006-11-21 00:00:00+05:30,85.95,89.6,85.95,87.1,73084
2006-11-22 00:00:00+05:30,88.0,94.8,88.0,92.45,280851
2006-11-23 00:00:00+05:30,94.45,94.45,90.5,91.55,286855
2006-11-24 00:00:00+05:30,94.85,97.45,91.55,92.05,164644
2006-11-27 00:00:00+05:30,92.5,98.4,92.5,97.05,686693
2006-11-28 00:00:00+05:30,97.5,97.5,91.1,92.7,246291
2006-11-29 00:00:00+05:30,91.8,94.6,91.25,93.35,108252
2006-11-30 00:00:00+05:30,93.5,96.3,93.4,95.0,137415
2006-12-01 00:00:00+05:30,95.0,98.25,93.7,96.6,223801
2006-12-04 00:00:00+05:30,97.45,98.2,95.1,96.9,166086
2006-12-05 00:00:00+05:30,97.45,97.9,95.4,96.15,154224
2006-12-06 00:00:00+05:30,97.0,97.5,94.0,94.55,99399
2006-12-07 00:00:00+05:30,95.5,96.4,91.55,92.9,129099
2006-12-08 00:00:00+05:30,94.45,94.45,91.2,92.65,141691
2006-12-11 00:00:00+05:30,93.1,94.0,87.6,90.35,207599
2006-12-12 00:00:00+05:30,90.45,92.5,72.5,82.75,357678
2006-12-13 00:00:00+05:30,84.5,89.9,81.5,86.65,116089
2006-12-14 00:00:00+05:30,87.85,89.5,86.05,88.55,83026
2006-12-15 00:00:00+05:30,90.0,90.9,88.5,89.5,84840
2006-12-18 00:00:00+05:30,89.95,89.95,85.25,85.85,135613
2006-12-19 00:00:00+05:30,86.0,87.4,82.5,83.4,148990
2006-12-20 00:00:00+05:30,85.1,85.9,82.8,83.05,79703
2006-12-21 00:00:00+05:30,82.5,84.9,82.5,83.4,82204
2006-12-22 00:00:00+05:30,83.5,84.95,81.7,83.4,156537
2006-12-26 00:00:00+05:30,82.5,84.35,82.5,83.45,56346
2006-12-27 00:00:00+05:30,84.0,84.95,83.0,83.25,65990
2006-12-28 00:00:00+05:30,84.0,84.25,82.55,82.9,49128
2006-12-29 00:00:00+05:30,83.35,84.3,82.5,82.65,86793
2007-01-02 00:00:00+05:30,83.95,83.95,82.7,83.3,62412
2007-01-03 00:00:00+05:30,83.5,83.6,80.6,81.0,151290
2007-01-04 00:00:00+05:30,80.8,80.8,77.6,78.7,277815
2007-01-05 00:00:00+05:30,78.7,80.65,78.0,78.45,162969
2007-01-08 00:00:00+05:30,77.35,78.1,76.0,77.25,164180
2007-01-09 00:00:00+05:30,76.5,79.9,76.5,79.3,116870
2007-01-10 00:00:00+05:30,80.5,80.5,76.9,77.3,143244
2007-01-11 00:00:00+05:30,78.8,81.1,76.6,78.45,253473
2007-01-12 00:00:00+05:30,80.0,82.5,80.0,80.8,281281
2007-01-15 00:00:00+05:30,82.5,83.0,81.0,82.7,151989
2007-01-16 00:00:00+05:30,82.7,83.25,81.0,81.35,78530
2007-01-17 00:00:00+05:30,81.3,82.2,72.85,80.0,77216
2007-01-18 00:00:00+05:30,80.0,80.45,78.6,79.3,65350
2007-01-19 00:00:00+05:30,79.5,80.0,77.0,77.4,107435
2007-01-22 00:00:00+05:30,77.15,77.8,75.75,76.95,97062
2007-01-23 00:00:00+05:30,77.5,77.5,72.55,75.75,50641
2007-01-24 00:00:00+05:30,76.25,77.2,75.6,75.9,95707
2007-01-25 00:00:00+05:30,77.1,79.5,76.25,77.25,412166
2007-01-29 00:00:00+05:30,77.6,78.0,75.5,75.95,123174
2007-01-31 00:00:00+05:30,75.1,76.2,70.1,70.75,271807
2007-02-01 00:00:00+05:30,71.2,74.9,70.5,72.3,222188
2007-02-02 00:00:00+05:30,72.8,72.8,69.1,69.35,385439
2007-02-05 00:00:00+05:30,69.3,69.3,64.7,66.1,219229
2007-02-06 00:00:00+05:30,66.1,68.0,66.1,66.8,295241
2007-02-07 00:00:00+05:30,68.8,69.0,66.5,67.1,258142
2007-02-08 00:00:00+05:30,66.0,68.0,64.0,67.4,207696
2007-02-09 00:00:00+05:30,66.5,67.4,66.1,66.35,68017
2007-02-12 00:00:00+05:30,65.9,66.65,63.25,63.8,179602
2007-02-13 00:00:00+05:30,63.3,63.6,61.0,62.25,65508
2007-02-14 00:00:00+05:30,62.6,63.5,61.0,62.0,231895
2007-02-15 00:00:00+05:30,62.9,67.4,62.5,66.6,516912
2007-02-19 00:00:00+05:30,67.5,68.3,66.3,67.6,176052
2007-02-20 00:00:00+05:30,67.6,67.7,64.85,65.15,78253
2007-02-21 00:00:00+05:30,65.0,65.4,62.1,62.65,164158
2007-02-22 00:00:00+05:30,63.3,66.0,62.2,62.6,103857
2007-02-23 00:00:00+05:30,65.0,65.0,61.1,61.8,439549
2007-02-26 00:00:00+05:30,63.3,67.6,63.3,66.9,368244
2007-02-27 00:00:00+05:30,67.2,67.4,65.7,66.5,261188
2007-02-28 00:00:00+05:30,60.5,66.5,57.1,64.15,222578
2007-03-01 00:00:00+05:30,65.85,65.85,61.9,62.25,87133
2007-03-02 00:00:00+05:30,62.5,63.75,60.0,60.35,109479
2007-03-05 00:00:00+05:30,58.5,59.85,55.6,57.8,200470
2007-03-06 00:00:00+05:30,60.5,60.5,57.5,58.4,109645
2007-03-07 00:00:00+05:30,59.45,60.9,55.85,58.15,361430
2007-03-08 00:00:00+05:30,57.5,63.3,57.3,61.1,145964
2007-03-09 00:00:00+05:30,61.8,62.2,59.5,61.15,152925
2007-03-12 00:00:00+05:30,61.0,61.0,59.1,59.3,70742
2007-03-13 00:00:00+05:30,60.0,60.3,59.2,59.4,52915
2007-03-14 00:00:00+05:30,58.5,58.5,57.0,57.4,76872
2007-03-15 00:00:00+05:30,60.25,60.25,57.75,58.2,37989
2007-03-16 00:00:00+05:30,59.9,59.9,55.8,56.35,92153
2007-03-19 00:00:00+05:30,56.85,57.2,55.8,56.4,64296
