date,open,high,low,close,volume
2023-07-04 09:15:00+05:30,62.5,66.7,61.0,61.85,15215910
2023-07-04 10:15:00+05:30,61.9,63.65,61.4,62.5,7811670
2023-07-04 11:15:00+05:30,62.5,62.9,62.5,62.6,1223170
2023-07-04 12:15:00+05:30,62.55,62.8,61.5,61.75,2703200
2023-07-04 13:15:00+05:30,61.75,61.8,60.1,60.2,2314890
2023-07-04 14:15:00+05:30,60.3,60.85,57.0,57.2,9551880
2023-07-04 15:15:00+05:30,57.25,59.35,57.1,57.95,4115820
2023-07-05 09:15:00+05:30,57.8,58.6,56.5,57.2,2074040
2023-07-05 10:15:00+05:30,57.25,57.3,56.6,57.1,434690
2023-07-05 11:15:00+05:30,57.1,58.95,57.0,58.2,1239310
2023-07-05 12:15:00+05:30,58.2,59.25,58.1,58.65,1977610
2023-07-05 13:15:00+05:30,58.65,58.8,58.0,58.5,267930
2023-07-05 14:15:00+05:30,58.5,59.05,58.3,58.35,384080
2023-07-05 15:15:00+05:30,58.35,58.5,58.05,58.3,823000
2023-07-06 09:15:00+05:30,58.9,58.9,58.1,58.5,503190
2023-07-06 10:15:00+05:30,58.5,59.1,58.5,59.1,386250
2023-07-06 11:15:00+05:30,59.1,59.65,58.9,59.5,1669910
2023-07-06 12:15:00+05:30,59.5,60.85,59.5,60.75,1575830
2023-07-06 13:15:00+05:30,60.75,61.35,60.1,60.2,1379150
2023-07-06 14:15:00+05:30,60.2,60.5,59.7,59.7,1002200
2023-07-06 15:15:00+05:30,59.7,59.9,59.5,59.7,341230
2023-07-07 09:15:00+05:30,60.0,60.5,58.95,59.2,710930
2023-07-07 10:15:00+05:30,59.2,59.6,58.6,58.75,307390
2023-07-07 11:15:00+05:30,58.75,59.3,58.75,58.95,113820
2023-07-07 12:15:00+05:30,58.95,59.25,58.8,58.9,146870
2023-07-07 13:15:00+05:30,58.9,59.2,58.8,59.0,676520
2023-07-07 14:15:00+05:30,59.0,59.2,58.8,59.0,673680
2023-07-07 15:15:00+05:30,59.0,59.0,58.3,58.8,321450
2023-07-10 09:15:00+05:30,58.8,59.0,57.9,58.4,295210
2023-07-10 10:15:00+05:30,58.4,58.4,58.0,58.1,243010
2023-07-10 11:15:00+05:30,58.1,58.9,57.95,58.6,316460
2023-07-10 12:15:00+05:30,58.6,58.85,58.2,58.25,124580
2023-07-10 13:15:00+05:30,58.25,58.3,58.1,58.2,45580
2023-07-10 14:15:00+05:30,58.2,58.3,57.9,57.95,218730
2023-07-10 15:15:00+05:30,57.95,58.0,57.7,57.9,90600
2023-07-11 09:15:00+05:30,57.7,58.45,57.5,58.15,222190
2023-07-11 10:15:00+05:30,58.15,58.6,57.9,58.6,203920
2023-07-11 11:15:00+05:30,58.6,58.6,58.2,58.45,359160
2023-07-11 12:15:00+05:30,58.45,58.5,58.2,58.4,143640
2023-07-11 13:15:00+05:30,58.4,58.5,58.2,58.3,136100
2023-07-11 14:15:00+05:30,58.3,58.6,58.15,58.5,232600
2023-07-11 15:15:00+05:30,58.5,59.2,58.5,59.1,221950
2023-07-12 09:15:00+05:30,58.4,59.3,58.4,58.6,163080
2023-07-12 10:15:00+05:30,58.6,58.9,58.6,58.7,169210
2023-07-12 11:15:00+05:30,58.7,58.85,58.3,58.3,112750
2023-07-12 12:15:00+05:30,58.3,58.5,58.3,58.5,58920
2023-07-12 13:15:00+05:30,58.5,58.9,58.4,58.75,176380
2023-07-12 14:15:00+05:30,58.75,58.85,58.35,58.45,143560
2023-07-12 15:15:00+05:30,58.45,58.5,57.8,58.1,228490
2023-07-13 09:15:00+05:30,58.15,58.85,58.05,58.3,441390
2023-07-13 10:15:00+05:30,58.2,58.4,57.95,58.0,80560
2023-07-13 11:15:00+05:30,58.0,58.0,57.05,57.2,690620
2023-07-13 12:15:00+05:30,57.2,57.5,57.15,57.2,44330
2023-07-13 13:15:00+05:30,57.2,57.35,56.5,56.7,129970
2023-07-13 14:15:00+05:30,56.7,58.6,56.5,58.5,462820
2023-07-13 15:15:00+05:30,58.5,59.1,58.0,59.0,724310
2023-07-14 09:15:00+05:30,58.9,59.0,57.9,58.1,174030
2023-07-14 10:15:00+05:30,58.1,58.25,58.05,58.2,36710
2023-07-14 11:15:00+05:30,58.2,58.65,58.2,58.2,81750
2023-07-14 12:15:00+05:30,58.2,58.45,58.05,58.15,78130
2023-07-14 13:15:00+05:30,58.15,58.25,57.75,57.8,112330
2023-07-14 14:15:00+05:30,57.8,58.3,57.65,58.0,343310
2023-07-14 15:15:00+05:30,58.0,58.5,57.75,57.8,98680
2023-07-17 09:15:00+05:30,57.95,58.5,57.7,57.95,220350
2023-07-17 10:15:00+05:30,57.95,58.5,57.65,58.0,134140
2023-07-17 11:15:00+05:30,58.0,58.35,57.9,58.0,106360
2023-07-17 12:15:00+05:30,58.0,58.5,57.9,58.35,232240
2023-07-17 13:15:00+05:30,58.4,60.2,58.35,59.6,907070
2023-07-17 14:15:00+05:30,59.6,59.6,59.0,59.1,226410
2023-07-17 15:15:00+05:30,59.1,59.4,58.8,59.2,114960
2023-07-18 09:15:00+05:30,59.2,59.7,59.0,59.1,246900
2023-07-18 10:15:00+05:30,59.1,59.3,58.5,58.7,107980
2023-07-18 11:15:00+05:30,58.7,58.8,58.2,58.3,90740
2023-07-18 12:15:00+05:30,58.3,58.4,58.25,58.4,33590
2023-07-18 13:15:00+05:30,58.4,58.7,58.35,58.6,83450
2023-07-18 14:15:00+05:30,58.6,58.95,58.6,58.8,133910
2023-07-18 15:15:00+05:30,58.8,59.0,58.5,59.0,52310
2023-07-19 09:15:00+05:30,58.85,59.05,58.4,58.9,137660
2023-07-19 10:15:00+05:30,58.9,59.2,58.5,58.85,344800
2023-07-19 11:15:00+05:30,59.0,60.5,59.0,59.95,818540
2023-07-19 12:15:00+05:30,59.95,60.0,59.5,59.5,132490
2023-07-19 13:15:00+05:30,59.5,60.1,59.5,60.1,121290
2023-07-19 14:15:00+05:30,60.15,60.7,60.0,60.4,1186470
2023-07-19 15:15:00+05:30,60.4,61.7,60.3,61.2,707780
2023-07-20 09:15:00+05:30,61.8,61.8,60.75,60.9,388400
2023-07-20 10:15:00+05:30,60.9,61.1,60.55,60.55,123820
2023-07-20 11:15:00+05:30,60.55,61.3,60.55,61.2,116660
2023-07-20 12:15:00+05:30,61.2,61.7,61.0,61.25,356430
2023-07-20 13:15:00+05:30,61.25,63.1,61.15,62.55,1095580
2023-07-20 14:15:00+05:30,62.55,63.0,61.9,62.8,1031000
2023-07-20 15:15:00+05:30,62.8,62.8,62.5,62.75,182620
2023-07-21 09:15:00+05:30,62.95,63.0,62.1,62.55,395390
2023-07-21 10:15:00+05:30,62.55,63.6,62.55,63.35,542290
2023-07-21 11:15:00+05:30,63.35,63.45,63.05,63.45,158710
2023-07-21 12:15:00+05:30,63.45,63.85,63.1,63.3,288510
2023-07-21 13:15:00+05:30,63.3,63.35,62.7,62.7,139170
2023-07-21 14:15:00+05:30,62.7,63.5,62.6,63.0,192130
2023-07-21 15:15:00+05:30,63.0,63.2,62.75,63.0,81650
2023-07-24 09:15:00+05:30,63.0,63.55,62.5,62.65,247640
2023-07-24 10:15:00+05:30,62.65,62.85,62.1,62.25,154040
2023-07-24 11:15:00+05:30,62.25,62.45,62.15,62.25,90940
2023-07-24 12:15:00+05:30,62.25,62.5,62.15,62.4,93490
2023-07-24 13:15:00+05:30,62.4,62.55,62.3,62.5,35700
2023-07-24 14:15:00+05:30,62.5,62.5,62.1,62.25,119300
2023-07-24 15:15:00+05:30,62.25,62.4,61.4,61.7,120980
2023-07-25 09:15:00+05:30,61.9,62.9,61.2,62.35,253170
2023-07-25 10:15:00+05:30,62.35,62.4,61.6,61.6,102830
2023-07-25 11:15:00+05:30,61.6,61.75,61.5,61.75,29670
2023-07-25 12:15:00+05:30,61.75,61.9,61.6,61.75,29560
2023-07-25 13:15:00+05:30,61.75,61.85,61.6,61.8,24160
2023-07-25 14:15:00+05:30,61.8,61.8,61.4,61.4,68450
2023-07-25 15:15:00+05:30,61.4,61.5,61.3,61.5,55750
2023-07-26 09:15:00+05:30,61.5,61.8,60.95,61.6,108650
2023-07-26 10:15:00+05:30,61.5,61.6,61.25,61.35,50000
2023-07-26 11:15:00+05:30,61.35,61.4,61.15,61.15,16580
2023-07-26 12:15:00+05:30,61.15,61.5,60.8,61.15,190250
2023-07-26 13:15:00+05:30,61.25,61.45,60.8,61.45,147510
2023-07-26 14:15:00+05:30,61.45,61.6,61.2,61.4,61430
2023-07-26 15:15:00+05:30,61.4,61.45,60.35,60.4,154580
2023-07-27 09:15:00+05:30,61.3,61.3,60.55,60.8,83660
2023-07-27 10:15:00+05:30,60.8,60.95,60.6,60.7,78070
2023-07-27 11:15:00+05:30,60.7,60.8,60.65,60.75,54580
2023-07-27 12:15:00+05:30,60.75,60.8,60.65,60.7,31030
2023-07-27 13:15:00+05:30,60.7,60.8,60.6,60.65,52230
2023-07-27 14:15:00+05:30,60.65,60.75,60.6,60.6,108750
2023-07-27 15:15:00+05:30,60.6,60.75,60.4,60.75,42020
2023-07-28 09:15:00+05:30,60.9,61.65,60.6,60.75,176870
2023-07-28 10:15:00+05:30,60.75,61.15,60.7,61.0,257940
2023-07-28 11:15:00+05:30,61.0,61.0,60.65,60.8,126480
2023-07-28 12:15:00+05:30,60.8,61.0,59.6,60.3,243460
2023-07-28 13:15:00+05:30,60.3,60.85,60.0,60.75,181500
