date,open,high,low,close,volume
2016-10-04 00:00:00+05:30,190.0,198.0,184.6,190.0,14830249
2016-10-05 00:00:00+05:30,190.5,192.9,185.4,185.5,928636
2016-10-06 00:00:00+05:30,186.5,188.75,182.05,182.9,582904
2016-10-07 00:00:00+05:30,183.0,184.7,177.1,177.7,478421
2016-10-10 00:00:00+05:30,178.4,182.7,176.7,178.3,601946
2016-10-13 00:00:00+05:30,176.45,178.0,171.0,172.1,475412
2016-10-14 00:00:00+05:30,172.0,175.5,171.8,174.0,278303
2016-10-17 00:00:00+05:30,175.0,175.75,168.15,168.8,326628
2016-10-18 00:00:00+05:30,170.0,172.0,168.1,168.95,275205
2016-10-19 00:00:00+05:30,169.15,190.45,169.1,188.55,1969180
2016-10-20 00:00:00+05:30,187.4,193.75,183.55,184.45,821709
2016-10-21 00:00:00+05:30,185.0,191.5,183.15,185.8,549295
2016-10-24 00:00:00+05:30,186.85,190.0,184.15,184.95,245708
2016-10-25 00:00:00+05:30,185.2,186.95,182.4,183.15,132849
2016-10-26 00:00:00+05:30,183.0,183.35,178.55,178.9,120965
2016-10-27 00:00:00+05:30,178.0,180.4,173.95,175.45,183254
2016-10-28 00:00:00+05:30,174.8,178.75,174.2,175.6,85345
2016-11-01 00:00:00+05:30,177.35,177.85,173.0,173.85,121323
2016-11-02 00:00:00+05:30,173.0,174.6,172.0,172.2,81506
2016-11-03 00:00:00+05:30,172.05,175.0,167.3,168.8,113619
2016-11-04 00:00:00+05:30,168.25,170.7,162.6,163.55,223553
2016-11-07 00:00:00+05:30,165.35,168.5,164.75,165.05,76148
2016-11-08 00:00:00+05:30,165.25,167.3,157.55,159.35,191672
2016-11-09 00:00:00+05:30,157.0,157.0,128.1,149.4,209889
2016-11-10 00:00:00+05:30,152.35,163.7,152.35,158.85,216203
2016-11-11 00:00:00+05:30,154.8,159.7,151.0,154.5,91671
2016-11-15 00:00:00+05:30,155.05,155.05,140.0,143.0,109486
2016-11-16 00:00:00+05:30,147.0,147.1,129.0,132.5,268247
2016-11-17 00:00:00+05:30,132.5,134.95,124.6,125.9,217072
2016-11-18 00:00:00+05:30,128.0,129.5,100.75,100.75,1011861
2016-11-21 00:00:00+05:30,96.1,98.0,90.7,90.7,747881
2016-11-22 00:00:00+05:30,81.65,81.65,81.65,81.65,209488
2016-11-23 00:00:00+05:30,76.8,89.8,74.0,89.6,7431915
2016-11-24 00:00:00+05:30,88.55,92.95,86.1,87.2,2082873
2016-11-25 00:00:00+05:30,87.8,91.2,87.55,88.25,1057701
2016-11-28 00:00:00+05:30,89.0,91.8,88.0,89.95,453228
2016-11-29 00:00:00+05:30,93.4,97.25,90.5,94.95,1130890
2016-11-30 00:00:00+05:30,95.95,96.75,93.75,95.6,683508
2016-12-01 00:00:00+05:30,96.0,104.1,95.8,100.0,1384536
2016-12-02 00:00:00+05:30,99.7,109.95,99.1,108.0,2186302
2016-12-05 00:00:00+05:30,110.2,115.0,110.0,110.95,1349234
2016-12-06 00:00:00+05:30,111.7,112.5,103.35,106.8,526334
2016-12-07 00:00:00+05:30,108.7,110.15,104.1,105.35,264177
2016-12-08 00:00:00+05:30,106.1,107.9,105.15,105.45,186957
2016-12-09 00:00:00+05:30,107.35,107.35,104.0,104.4,167736
2016-12-12 00:00:00+05:30,104.75,104.75,100.6,101.15,144457
2016-12-13 00:00:00+05:30,101.0,105.9,98.65,100.55,266473
2016-12-14 00:00:00+05:30,102.25,102.25,99.2,99.8,128578
2016-12-15 00:00:00+05:30,99.0,102.6,98.5,99.55,131303
2016-12-16 00:00:00+05:30,100.5,101.5,98.5,99.55,175860
2016-12-19 00:00:00+05:30,99.95,101.5,99.0,100.4,195828
2016-12-20 00:00:00+05:30,100.4,106.9,100.4,101.75,536899
2016-12-21 00:00:00+05:30,104.0,104.5,101.75,102.1,775269
2016-12-22 00:00:00+05:30,103.0,104.0,100.1,100.5,202880
2016-12-23 00:00:00+05:30,99.9,100.35,98.9,99.05,113634
2016-12-26 00:00:00+05:30,99.45,99.45,95.2,95.5,99308
2016-12-27 00:00:00+05:30,96.5,98.9,93.55,95.4,165564
2016-12-28 00:00:00+05:30,95.5,98.0,94.4,94.95,127049
2016-12-29 00:00:00+05:30,95.0,99.2,95.0,96.35,300827
2016-12-30 00:00:00+05:30,96.6,100.0,96.6,98.15,198795
2017-01-02 00:00:00+05:30,98.0,100.6,97.5,98.6,140691
2017-01-03 00:00:00+05:30,99.0,101.9,98.6,100.5,239466
2017-01-04 00:00:00+05:30,100.85,101.9,100.0,100.45,101172
2017-01-05 00:00:00+05:30,101.7,104.25,100.5,101.6,240184
2017-01-06 00:00:00+05:30,102.0,103.95,101.5,102.2,180349
2017-01-09 00:00:00+05:30,101.5,108.3,101.5,106.7,652615
2017-01-10 00:00:00+05:30,108.0,110.8,107.4,109.55,494733
2017-01-11 00:00:00+05:30,110.4,112.2,110.1,110.75,253769
2017-01-12 00:00:00+05:30,109.65,115.0,109.65,114.4,599973
2017-01-13 00:00:00+05:30,115.0,119.7,115.0,118.8,660771
2017-01-16 00:00:00+05:30,119.4,122.8,118.7,119.65,224542
2017-01-17 00:00:00+05:30,120.8,121.0,116.05,116.65,143843
2017-01-18 00:00:00+05:30,115.6,119.2,115.5,118.2,146577
2017-01-19 00:00:00+05:30,118.0,119.5,116.25,116.9,121385
2017-01-20 00:00:00+05:30,116.6,117.5,113.15,113.55,134804
2017-01-23 00:00:00+05:30,114.4,118.75,110.6,118.05,284012
2017-01-24 00:00:00+05:30,118.3,119.25,115.75,116.6,102671
2017-01-25 00:00:00+05:30,117.15,119.0,116.3,116.55,81026
2017-01-27 00:00:00+05:30,116.95,118.8,115.0,115.25,135433
2017-01-30 00:00:00+05:30,115.2,115.8,113.25,114.35,56317
2017-01-31 00:00:00+05:30,114.8,115.2,112.05,112.25,54917
2017-02-01 00:00:00+05:30,112.75,115.0,111.8,114.05,92014
