date,open,high,low,close,volume
2003-10-09 00:00:00+05:30,47.41,51.52,47.41,50.0,3994
2003-10-10 00:00:00+05:30,48.26,50.89,48.26,50.0,2800
2003-10-13 00:00:00+05:30,49.24,51.34,49.2,50.0,8344
2003-10-14 00:00:00+05:30,50.18,50.49,47.59,48.3,12916
2003-10-15 00:00:00+05:30,48.21,49.64,47.95,49.51,5870
2003-10-16 00:00:00+05:30,50.89,50.89,48.26,48.53,3162
2003-10-17 00:00:00+05:30,50.63,50.63,46.92,47.01,7663
2003-10-20 00:00:00+05:30,48.93,48.93,46.43,47.5,2015
2003-10-21 00:00:00+05:30,46.56,47.32,45.09,45.71,4835
2003-10-22 00:00:00+05:30,47.41,47.41,44.64,44.73,3137
2003-10-23 00:00:00+05:30,45.54,46.88,45.54,45.54,1429
2003-10-24 00:00:00+05:30,45.54,46.43,45.54,45.85,1580
2003-10-27 00:00:00+05:30,45.58,46.79,45.54,46.12,2168
2003-10-28 00:00:00+05:30,45.63,46.43,45.63,45.98,2592
2003-10-29 00:00:00+05:30,46.34,46.34,45.54,45.98,1674
2003-10-30 00:00:00+05:30,44.64,45.89,44.64,45.71,3080
2003-10-31 00:00:00+05:30,44.64,44.64,42.19,44.46,16094
2003-11-03 00:00:00+05:30,45.27,45.4,41.96,43.97,4613
2003-11-04 00:00:00+05:30,44.15,47.23,43.79,46.96,14465
2003-11-05 00:00:00+05:30,45.98,47.68,45.98,46.07,2940
2003-11-06 00:00:00+05:30,46.7,49.11,46.43,48.53,32575
2003-11-07 00:00:00+05:30,51.74,53.57,50.04,52.63,45657
2003-11-10 00:00:00+05:30,49.11,57.05,49.11,52.81,11697
2003-11-11 00:00:00+05:30,52.68,53.57,50.89,51.43,16977
2003-11-12 00:00:00+05:30,53.26,54.91,52.68,52.81,24465
2003-11-13 00:00:00+05:30,53.48,54.02,50.18,51.21,16660
2003-11-14 00:00:00+05:30,50.45,51.43,49.11,49.29,2509
2003-11-17 00:00:00+05:30,49.91,52.59,49.91,51.56,8854
2003-11-18 00:00:00+05:30,52.59,52.59,49.29,49.55,23950
2003-11-19 00:00:00+05:30,51.29,51.34,47.81,47.99,8680
2003-11-20 00:00:00+05:30,48.3,50.45,46.43,47.1,17397
2003-11-21 00:00:00+05:30,49.91,49.91,45.54,46.52,10404
2003-11-24 00:00:00+05:30,46.65,52.68,46.65,49.87,22372
2003-11-25 00:00:00+05:30,50.89,59.87,50.89,59.69,132980
2003-11-27 00:00:00+05:30,60.54,66.96,58.93,66.07,225764
2003-11-28 00:00:00+05:30,67.63,68.75,63.13,63.88,177325
2003-12-01 00:00:00+05:30,65.18,65.8,62.77,63.08,42198
2003-12-02 00:00:00+05:30,62.5,64.64,60.18,60.89,26326
2003-12-03 00:00:00+05:30,60.71,70.0,60.71,67.72,89098
2003-12-04 00:00:00+05:30,71.43,71.43,65.18,65.63,46665
2003-12-05 00:00:00+05:30,70.45,70.54,62.5,63.53,34541
2003-12-08 00:00:00+05:30,67.77,68.66,64.64,64.96,11967
2003-12-09 00:00:00+05:30,66.96,70.54,66.21,69.82,35321
2003-12-10 00:00:00+05:30,70.09,73.21,67.86,69.51,42432
2003-12-11 00:00:00+05:30,69.64,71.79,65.4,67.46,28888
2003-12-12 00:00:00+05:30,65.18,68.75,65.18,65.63,13546
2003-12-15 00:00:00+05:30,66.88,68.75,64.78,65.09,28460
2003-12-16 00:00:00+05:30,65.22,66.21,64.73,65.0,11575
2003-12-17 00:00:00+05:30,65.8,78.04,65.18,78.04,231754
2003-12-18 00:00:00+05:30,81.25,93.66,79.64,93.66,264915
2003-12-19 00:00:00+05:30,97.59,108.88,93.3,100.4,338558
2003-12-22 00:00:00+05:30,100.0,102.63,92.86,94.02,123860
2003-12-23 00:00:00+05:30,95.98,99.55,91.96,93.13,88865
2003-12-24 00:00:00+05:30,93.75,98.21,91.52,96.52,48637
2003-12-26 00:00:00+05:30,97.23,103.04,95.54,101.88,157613
2003-12-29 00:00:00+05:30,105.09,106.96,99.2,100.63,133324
2003-12-30 00:00:00+05:30,100.89,104.42,94.64,96.7,61908
2003-12-31 00:00:00+05:30,97.32,99.11,92.19,92.99,34213
2004-01-01 00:00:00+05:30,93.57,97.19,93.57,94.46,25131
2004-01-02 00:00:00+05:30,94.64,96.88,92.86,94.2,16168
2004-01-05 00:00:00+05:30,93.75,95.54,88.21,89.2,33790
2004-01-06 00:00:00+05:30,90.4,92.41,87.59,88.13,15160
2004-01-07 00:00:00+05:30,88.35,89.2,83.48,87.46,17185
2004-01-08 00:00:00+05:30,87.95,91.7,86.83,88.39,15704
2004-01-09 00:00:00+05:30,92.32,92.41,84.91,86.25,14087
2004-01-12 00:00:00+05:30,87.19,88.3,82.14,86.65,12797
2004-01-13 00:00:00+05:30,85.18,87.41,81.25,85.4,20436
2004-01-14 00:00:00+05:30,86.56,88.39,85.8,86.92,16894
2004-01-15 00:00:00+05:30,87.28,87.28,83.13,83.53,10695
2004-01-16 00:00:00+05:30,83.93,83.93,75.45,78.66,17304
2004-01-19 00:00:00+05:30,78.57,78.57,75.09,75.63,19467
2004-01-20 00:00:00+05:30,73.66,78.93,73.66,77.23,10874
2004-01-21 00:00:00+05:30,75.89,77.23,69.51,69.55,20788
2004-01-22 00:00:00+05:30,63.57,66.96,62.63,65.09,30642
2004-01-23 00:00:00+05:30,62.5,71.61,62.5,71.29,21377
2004-01-27 00:00:00+05:30,72.86,74.96,71.92,73.71,8331
2004-01-28 00:00:00+05:30,74.51,74.51,71.61,72.9,7212
2004-01-29 00:00:00+05:30,72.32,74.55,71.16,73.75,6257
2004-01-30 00:00:00+05:30,73.21,74.33,70.54,70.85,6545
2004-02-03 00:00:00+05:30,66.96,67.86,63.79,65.18,10967
2004-02-04 00:00:00+05:30,63.39,65.63,62.1,64.73,17162
2004-02-05 00:00:00+05:30,69.46,69.46,63.71,64.11,4806
2004-02-06 00:00:00+05:30,64.06,64.06,60.76,61.12,1827
2004-02-09 00:00:00+05:30,62.41,64.96,60.76,61.92,5723
2004-02-10 00:00:00+05:30,61.61,61.7,59.82,61.21,7368
2004-02-11 00:00:00+05:30,62.5,62.5,58.26,58.93,2391
2004-02-12 00:00:00+05:30,61.03,61.03,58.71,59.78,2975
2004-02-13 00:00:00+05:30,57.37,65.76,57.37,65.76,17698
2004-02-16 00:00:00+05:30,67.86,72.37,67.86,71.88,17853
2004-02-17 00:00:00+05:30,71.43,71.43,66.21,66.83,7217
2004-02-18 00:00:00+05:30,68.75,70.98,64.55,65.49,7375
2004-02-19 00:00:00+05:30,64.06,66.52,62.5,62.99,5367
2004-02-20 00:00:00+05:30,58.57,64.73,58.48,64.73,1859
2004-02-23 00:00:00+05:30,63.84,64.2,60.71,61.47,4340
2004-02-24 00:00:00+05:30,59.82,62.05,59.15,61.47,3286
2004-02-25 00:00:00+05:30,62.59,63.08,60.71,60.8,5224
2004-02-26 00:00:00+05:30,59.46,62.5,59.46,60.27,6564
2004-02-27 00:00:00+05:30,60.94,61.61,58.08,60.71,7983
2004-03-01 00:00:00+05:30,64.29,66.07,63.17,64.91,4356
2004-03-03 00:00:00+05:30,65.18,65.63,60.71,60.98,4763
2004-03-04 00:00:00+05:30,63.35,63.39,60.0,60.0,5088
2004-03-05 00:00:00+05:30,61.56,61.56,58.13,58.57,5209
2004-03-08 00:00:00+05:30,59.6,61.96,59.6,61.07,1904
2004-03-09 00:00:00+05:30,60.31,60.31,58.04,58.08,4190
2004-03-10 00:00:00+05:30,58.26,59.82,58.26,59.78,1568
2004-03-11 00:00:00+05:30,59.02,59.02,57.68,58.04,2992
2004-03-12 00:00:00+05:30,58.08,59.29,57.23,57.77,4321
2004-03-15 00:00:00+05:30,56.74,57.99,52.68,53.84,13833
2004-03-16 00:00:00+05:30,52.68,55.36,51.88,53.75,6490
2004-03-17 00:00:00+05:30,52.72,54.46,50.94,51.52,7884
2004-03-18 00:00:00+05:30,50.49,51.34,49.11,50.45,8708
2004-03-19 00:00:00+05:30,50.89,54.46,50.89,52.46,6399
2004-03-22 00:00:00+05:30,50.22,51.65,49.11,49.82,7972
2004-03-23 00:00:00+05:30,49.11,49.2,45.63,47.41,11302
2004-03-24 00:00:00+05:30,46.88,49.91,46.88,49.78,3771
2004-03-25 00:00:00+05:30,49.91,53.57,49.91,53.17,4040
2004-03-26 00:00:00+05:30,54.29,55.13,53.35,54.02,5692
2004-03-29 00:00:00+05:30,54.46,56.25,53.84,56.07,5508
2004-03-30 00:00:00+05:30,56.21,59.82,55.63,58.93,8548
2004-03-31 00:00:00+05:30,58.93,58.93,56.92,58.39,3538
2004-04-01 00:00:00+05:30,58.04,61.47,58.04,60.71,3490
2004-04-02 00:00:00+05:30,58.97,66.07,58.97,61.52,6119
2004-04-05 00:00:00+05:30,61.61,63.39,61.61,62.1,7708
2004-04-06 00:00:00+05:30,62.5,63.39,60.71,60.71,3791
2004-04-07 00:00:00+05:30,60.94,62.95,60.94,60.94,3002
2004-04-08 00:00:00+05:30,62.41,64.24,61.16,61.16,3456
2004-04-12 00:00:00+05:30,64.15,65.18,60.71,61.7,5769
2004-04-13 00:00:00+05:30,61.38,61.38,58.93,59.15,8558
2004-04-15 00:00:00+05:30,60.31,62.5,59.02,59.42,30766
2004-04-16 00:00:00+05:30,59.82,61.38,59.82,60.09,18547
2004-04-19 00:00:00+05:30,64.15,64.15,61.16,61.16,6250
2004-04-20 00:00:00+05:30,60.71,60.89,58.48,60.71,2666
2004-04-21 00:00:00+05:30,61.88,62.68,61.16,62.14,1973
2004-04-22 00:00:00+05:30,60.94,63.39,60.94,61.43,2100
2004-04-23 00:00:00+05:30,62.5,63.39,62.01,62.41,3997
2004-04-27 00:00:00+05:30,62.19,62.19,58.13,58.21,4593
2004-04-28 00:00:00+05:30,56.83,58.88,56.83,58.79,3871
2004-04-29 00:00:00+05:30,63.39,63.39,57.59,57.99,3989
2004-04-30 00:00:00+05:30,58.04,59.38,57.37,59.06,1579
2004-05-03 00:00:00+05:30,58.93,61.34,57.68,61.34,3081
2004-05-04 00:00:00+05:30,58.44,61.38,58.44,60.27,2856
2004-05-05 00:00:00+05:30,59.38,62.81,59.38,62.37,12572
2004-05-06 00:00:00+05:30,62.59,65.85,62.5,64.02,5817
2004-05-07 00:00:00+05:30,64.29,64.29,62.5,62.5,3434
2004-05-10 00:00:00+05:30,62.14,64.11,62.1,62.32,3826
2004-05-11 00:00:00+05:30,59.64,59.82,58.48,58.57,2127
2004-05-12 00:00:00+05:30,62.5,62.5,56.25,59.11,1671
2004-05-13 00:00:00+05:30,58.04,61.47,58.04,60.18,969
2004-05-14 00:00:00+05:30,58.13,58.21,54.2,55.09,7273
2004-05-17 00:00:00+05:30,52.68,52.68,51.74,51.74,1232
2004-05-18 00:00:00+05:30,51.74,53.48,51.03,51.25,3300
2004-05-19 00:00:00+05:30,56.16,56.25,53.57,55.4,10018
2004-05-20 00:00:00+05:30,55.0,60.71,55.0,57.05,3970
2004-05-21 00:00:00+05:30,53.79,57.77,53.79,57.32,4268
2004-06-23 00:00:00+05:30,46.43,46.88,45.31,45.31,674
2004-06-24 00:00:00+05:30,47.9,47.9,43.53,44.6,1747
2004-06-25 00:00:00+05:30,44.69,45.98,44.69,45.0,1852
2004-06-28 00:00:00+05:30,45.27,45.71,45.27,45.71,280
2004-06-29 00:00:00+05:30,46.43,46.43,45.09,45.98,1267
2004-06-30 00:00:00+05:30,45.45,48.93,45.45,46.34,421
2004-07-01 00:00:00+05:30,46.65,47.32,44.69,46.7,1567
2004-07-02 00:00:00+05:30,47.68,48.88,46.96,47.28,1728
2004-07-05 00:00:00+05:30,47.37,47.95,46.43,46.43,2038
2004-07-06 00:00:00+05:30,48.53,48.93,47.37,47.68,1352
2004-07-07 00:00:00+05:30,51.79,52.46,51.79,52.46,885
2004-07-08 00:00:00+05:30,57.72,57.72,51.79,54.42,83924
2004-07-09 00:00:00+05:30,58.48,59.87,55.8,59.87,22000
2004-07-12 00:00:00+05:30,60.71,65.89,60.71,65.89,23789
2004-07-13 00:00:00+05:30,71.34,72.23,63.84,66.83,50310
2004-07-14 00:00:00+05:30,68.66,68.66,63.93,64.91,11696
2004-07-15 00:00:00+05:30,64.51,65.98,62.1,62.86,15940
2004-07-16 00:00:00+05:30,63.57,65.18,61.16,63.71,10517
2004-07-19 00:00:00+05:30,65.18,70.09,65.18,68.26,16731
2004-07-20 00:00:00+05:30,64.42,66.96,64.33,65.45,3734
2004-07-21 00:00:00+05:30,64.73,66.43,64.73,65.58,8574
2004-07-22 00:00:00+05:30,66.83,69.2,66.83,68.26,31997
2004-07-23 00:00:00+05:30,67.86,68.57,65.76,66.12,5666
2004-07-26 00:00:00+05:30,65.27,66.52,62.5,64.2,11804
2004-07-27 00:00:00+05:30,64.29,64.29,61.25,61.56,22981
2004-07-28 00:00:00+05:30,62.05,62.05,59.46,59.87,12520
2004-07-29 00:00:00+05:30,61.61,64.29,59.02,63.08,12331
2004-07-30 00:00:00+05:30,61.16,62.86,58.26,59.64,10118
2004-08-02 00:00:00+05:30,58.53,60.71,58.04,60.22,5267
2004-08-03 00:00:00+05:30,61.61,63.84,60.49,62.68,16866
2004-08-04 00:00:00+05:30,62.28,68.97,62.28,68.08,88144
2004-08-05 00:00:00+05:30,64.82,69.42,64.73,65.31,55472
2004-08-06 00:00:00+05:30,64.91,65.49,62.72,63.84,10557
2004-08-09 00:00:00+05:30,62.1,64.38,62.1,62.9,5041
2004-08-10 00:00:00+05:30,66.07,66.07,63.57,63.79,4986
2004-08-11 00:00:00+05:30,63.62,63.84,58.04,60.04,21332
2004-08-12 00:00:00+05:30,62.95,65.71,58.53,62.81,13444
2004-08-13 00:00:00+05:30,61.25,63.39,60.8,62.68,4306
2004-08-16 00:00:00+05:30,61.25,63.39,60.8,62.68,4306
2004-08-17 00:00:00+05:30,62.05,63.39,62.05,62.54,504
2004-08-18 00:00:00+05:30,63.35,65.18,62.5,63.53,3133
2004-08-19 00:00:00+05:30,62.68,65.8,62.68,65.36,7326
2004-08-20 00:00:00+05:30,63.44,66.07,63.44,65.18,6815
2004-08-23 00:00:00+05:30,63.48,66.07,63.48,65.63,4463
2004-08-24 00:00:00+05:30,65.98,67.86,65.36,67.1,10877
2004-08-25 00:00:00+05:30,68.21,73.84,67.81,73.84,18038
2004-08-26 00:00:00+05:30,74.46,80.09,74.46,75.13,14168
2004-08-27 00:00:00+05:30,79.33,82.05,76.34,78.88,16934
2004-08-30 00:00:00+05:30,77.72,80.36,77.72,79.78,3332
2004-08-31 00:00:00+05:30,78.13,78.13,76.34,76.56,2959
2004-09-01 00:00:00+05:30,74.6,78.08,74.6,75.85,2564
2004-09-02 00:00:00+05:30,75.89,77.68,72.5,72.77,5444
2004-09-03 00:00:00+05:30,71.29,72.32,71.29,72.32,980
2004-09-06 00:00:00+05:30,72.32,76.34,71.43,76.03,6145
2004-09-07 00:00:00+05:30,75.8,75.89,72.37,74.6,2453
2004-09-08 00:00:00+05:30,75.8,75.89,74.55,74.87,6210
2004-09-09 00:00:00+05:30,73.44,77.68,73.44,75.98,8690
2004-09-10 00:00:00+05:30,77.19,77.19,75.04,75.89,1708
2004-09-13 00:00:00+05:30,75.89,75.89,74.87,75.85,1332
2004-09-14 00:00:00+05:30,77.63,77.63,75.18,75.45,1522
2004-09-15 00:00:00+05:30,73.66,76.65,73.66,74.33,764
2004-09-16 00:00:00+05:30,74.2,75.0,72.99,74.24,3592
2004-09-17 00:00:00+05:30,73.93,74.11,71.52,72.32,1490
2004-09-20 00:00:00+05:30,72.32,74.11,71.83,73.08,4474
2004-09-21 00:00:00+05:30,72.32,74.55,72.32,74.24,6116
2004-09-22 00:00:00+05:30,72.41,74.11,72.32,73.79,3865
2004-09-23 00:00:00+05:30,74.55,75.0,73.48,73.93,3259
2004-09-24 00:00:00+05:30,73.21,74.33,72.37,74.11,1792
2004-09-27 00:00:00+05:30,73.66,77.23,73.66,74.69,9706
2004-09-28 00:00:00+05:30,74.55,75.45,73.66,73.71,5628
2004-09-29 00:00:00+05:30,73.21,75.45,73.21,75.31,12721
2004-09-30 00:00:00+05:30,76.79,78.57,76.34,77.37,8416
2004-10-01 00:00:00+05:30,71.56,78.44,71.43,77.32,4542
2004-10-04 00:00:00+05:30,79.64,82.14,78.21,80.36,11553
2004-10-05 00:00:00+05:30,80.36,86.96,80.36,86.74,8373
2004-10-06 00:00:00+05:30,91.07,95.4,86.61,91.65,19053
2004-10-07 00:00:00+05:30,91.07,95.4,86.61,91.65,0
2004-10-08 00:00:00+05:30,87.54,89.2,86.88,87.01,3639
2004-10-11 00:00:00+05:30,89.29,89.29,84.82,85.27,9437
2004-10-12 00:00:00+05:30,85.27,87.28,80.49,82.86,7162
2004-10-14 00:00:00+05:30,77.72,81.25,77.68,78.71,6769
2004-10-15 00:00:00+05:30,81.25,85.71,78.79,80.89,9612
2004-10-18 00:00:00+05:30,82.14,84.78,78.35,78.66,13381
