date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,66.5,67.85,65.8,66.85,42766
2015-02-02 10:15:00+05:30,66.85,67.45,66.65,67.45,16937
2015-02-02 11:15:00+05:30,67.45,67.45,66.8,66.9,5486
2015-02-02 12:15:00+05:30,66.9,66.9,66.15,66.3,12496
2015-02-02 13:15:00+05:30,66.3,66.7,66.15,66.65,5593
2015-02-02 14:15:00+05:30,66.65,66.8,66.35,66.35,8156
2015-02-02 15:15:00+05:30,66.35,66.55,65.75,66.05,15878
2015-02-03 09:15:00+05:30,66.3,67.1,66.3,66.5,18060
2015-02-03 10:15:00+05:30,66.5,66.75,66.2,66.7,7100
2015-02-03 11:15:00+05:30,66.7,66.7,66.1,66.1,4643
2015-02-03 12:15:00+05:30,66.1,66.65,66.0,66.15,9169
2015-02-03 13:15:00+05:30,66.15,66.6,66.15,66.6,9343
2015-02-03 14:15:00+05:30,66.6,66.85,66.3,66.35,27810
2015-02-03 15:15:00+05:30,66.35,66.4,65.05,65.05,20557
2015-02-04 09:15:00+05:30,65.2,66.45,62.25,63.75,89331
2015-02-04 10:15:00+05:30,63.8,65.2,63.7,65.0,44788
2015-02-04 11:15:00+05:30,65.1,65.2,64.6,65.0,17493
2015-02-04 12:15:00+05:30,64.8,64.8,64.3,64.65,9743
2015-02-04 13:15:00+05:30,64.5,64.5,64.0,64.05,14939
2015-02-04 14:15:00+05:30,64.05,64.3,63.45,63.5,17667
2015-02-04 15:15:00+05:30,63.5,63.5,63.05,63.45,20197
2015-02-05 09:15:00+05:30,63.5,65.1,63.2,64.7,64627
2015-02-05 10:15:00+05:30,64.7,65.0,62.7,63.35,48256
2015-02-05 11:15:00+05:30,63.35,63.35,62.85,63.15,10230
2015-02-05 12:15:00+05:30,63.15,63.25,62.95,63.25,13025
2015-02-05 13:15:00+05:30,63.25,63.4,63.15,63.3,5756
2015-02-05 14:15:00+05:30,63.3,63.45,62.5,62.6,23093
2015-02-05 15:15:00+05:30,62.6,62.8,62.15,62.25,18975
2015-02-06 09:15:00+05:30,62.0,62.0,60.75,61.5,33045
2015-02-06 10:15:00+05:30,61.55,61.65,60.1,60.9,19898
2015-02-06 11:15:00+05:30,60.9,61.75,60.3,61.15,13090
2015-02-06 12:15:00+05:30,61.15,61.7,60.85,61.0,24145
2015-02-06 13:15:00+05:30,61.0,61.1,59.7,60.65,32846
2015-02-06 14:15:00+05:30,60.65,60.7,60.15,60.35,21914
2015-02-06 15:15:00+05:30,60.35,60.8,60.15,60.5,14535
2015-02-09 09:15:00+05:30,60.55,60.55,58.8,59.7,23562
2015-02-09 10:15:00+05:30,59.7,60.35,59.7,59.8,11588
2015-02-09 11:15:00+05:30,59.75,60.25,59.75,60.1,8034
2015-02-09 12:15:00+05:30,60.1,60.1,59.75,59.95,6311
2015-02-09 13:15:00+05:30,59.85,60.1,59.25,59.55,10328
2015-02-09 14:15:00+05:30,59.55,59.55,59.0,59.1,18113
2015-02-09 15:15:00+05:30,59.1,59.75,58.9,59.5,10347
2015-02-10 09:15:00+05:30,57.8,60.65,57.8,60.5,22958
2015-02-10 10:15:00+05:30,60.5,60.95,60.2,60.2,13636
2015-02-10 11:15:00+05:30,60.3,61.6,60.3,60.8,19574
2015-02-10 12:15:00+05:30,60.65,60.9,60.2,60.45,3904
2015-02-10 13:15:00+05:30,60.45,60.55,60.1,60.15,28129
2015-02-10 14:15:00+05:30,60.15,60.5,60.05,60.3,30436
2015-02-10 15:15:00+05:30,60.3,60.95,60.15,60.75,13910
2015-02-11 09:15:00+05:30,61.0,64.45,61.0,63.4,107094
2015-02-11 10:15:00+05:30,63.4,66.25,63.3,64.8,143053
2015-02-11 11:15:00+05:30,64.8,65.1,63.75,64.0,38978
2015-02-11 12:15:00+05:30,64.0,64.25,63.65,63.65,33119
2015-02-11 13:15:00+05:30,63.65,63.95,63.65,63.75,16516
2015-02-11 14:15:00+05:30,63.7,63.75,63.05,63.2,57227
2015-02-11 15:15:00+05:30,63.2,63.95,63.2,63.65,35399
2015-02-12 09:15:00+05:30,63.8,64.35,62.5,63.3,58432
2015-02-12 10:15:00+05:30,63.3,63.5,63.05,63.1,7195
2015-02-12 11:15:00+05:30,63.1,63.45,63.05,63.1,5949
2015-02-12 12:15:00+05:30,63.1,63.1,62.95,62.95,1730
2015-02-12 13:15:00+05:30,62.95,64.1,62.95,64.0,27612
2015-02-12 14:15:00+05:30,64.05,64.05,62.5,63.0,27796
2015-02-12 15:15:00+05:30,63.0,63.15,62.5,62.65,17749
2015-02-13 09:15:00+05:30,62.65,63.6,62.05,62.6,19398
2015-02-13 10:15:00+05:30,62.6,63.4,62.4,62.85,15439
2015-02-13 11:15:00+05:30,62.85,63.4,62.75,62.75,7035
2015-02-13 12:15:00+05:30,62.55,62.95,62.45,62.9,5979
2015-02-13 13:15:00+05:30,62.9,63.1,62.4,62.85,6715
2015-02-13 14:15:00+05:30,62.85,63.25,62.7,62.7,21722
2015-02-13 15:15:00+05:30,62.7,62.95,62.05,62.4,18484
2015-02-16 09:15:00+05:30,62.5,63.15,62.05,62.65,11891
2015-02-16 10:15:00+05:30,62.65,63.5,62.25,62.65,10623
2015-02-16 11:15:00+05:30,62.65,62.9,62.05,62.55,7337
2015-02-16 12:15:00+05:30,62.55,62.85,61.9,62.45,3503
2015-02-16 13:15:00+05:30,62.45,62.8,61.5,61.85,4787
2015-02-16 14:15:00+05:30,61.85,62.0,61.05,61.05,11754
