date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,3.5,3.5,3.25,3.4,17873
2015-01-02 00:00:00+05:30,3.4,3.5,3.4,3.5,1325
2015-01-05 00:00:00+05:30,3.5,3.9,3.5,3.75,79247
2015-01-06 00:00:00+05:30,3.75,3.85,3.65,3.65,38393
2015-01-07 00:00:00+05:30,3.35,3.8,3.3,3.7,31783
2015-01-08 00:00:00+05:30,3.65,4.4,3.65,4.4,196620
2015-01-09 00:00:00+05:30,4.45,5.15,3.7,4.3,105152
2015-01-12 00:00:00+05:30,4.7,4.7,4.0,4.2,79107
2015-01-13 00:00:00+05:30,4.45,5.0,4.05,5.0,280082
2015-01-14 00:00:00+05:30,5.25,5.6,4.45,4.55,190057
2015-01-15 00:00:00+05:30,4.45,4.8,4.3,4.4,76027
2015-01-16 00:00:00+05:30,4.2,4.65,4.2,4.5,26430
2015-01-19 00:00:00+05:30,4.59,4.95,4.2,4.5,29024
2015-01-20 00:00:00+05:30,4.34,4.7,4.34,4.59,29581
2015-01-21 00:00:00+05:30,4.75,4.75,4.34,4.5,38437
2015-01-22 00:00:00+05:30,3.7,4.7,3.7,4.2,47988
2015-01-23 00:00:00+05:30,4.2,4.34,4.0,4.05,28208
2015-01-27 00:00:00+05:30,3.85,4.5,3.5,4.09,33090
2015-01-28 00:00:00+05:30,4.09,4.3,3.85,4.0,27347
2015-01-29 00:00:00+05:30,3.9,4.0,3.9,4.0,8405
2015-01-30 00:00:00+05:30,4.0,4.0,3.55,3.9,29346
2015-02-02 00:00:00+05:30,3.65,4.4,3.6,3.95,30498
2015-02-03 00:00:00+05:30,4.09,4.09,3.65,3.9,28627
2015-02-04 00:00:00+05:30,3.7,3.9,3.65,3.8,18980
2015-02-05 00:00:00+05:30,4.0,4.0,3.75,3.75,15002
2015-02-06 00:00:00+05:30,3.7,3.95,3.65,3.7,2095
2015-02-09 00:00:00+05:30,3.65,4.0,3.5,3.55,21622
2015-02-10 00:00:00+05:30,3.65,4.0,3.65,3.75,3315
2015-02-11 00:00:00+05:30,3.6,3.65,3.55,3.6,2703
2015-02-12 00:00:00+05:30,3.95,3.95,3.6,3.6,7117
2015-02-13 00:00:00+05:30,3.9,3.9,3.7,3.7,3968
2015-02-16 00:00:00+05:30,3.75,3.9,3.75,3.8,10244
2015-02-18 00:00:00+05:30,4.0,4.0,3.7,3.7,8009
2015-02-19 00:00:00+05:30,3.9,3.9,3.65,3.65,24006
2015-02-20 00:00:00+05:30,3.55,4.2,3.55,3.9,25777
2015-02-23 00:00:00+05:30,3.7,3.7,3.6,3.65,17810
2015-02-24 00:00:00+05:30,3.9,3.9,3.55,3.65,5293
2015-02-25 00:00:00+05:30,3.55,3.8,3.5,3.75,15044
2015-02-26 00:00:00+05:30,3.45,4.0,3.45,3.95,67353
2015-02-27 00:00:00+05:30,3.65,3.9,3.65,3.7,17696
2015-03-02 00:00:00+05:30,3.9,3.9,3.55,3.55,17153
2015-03-03 00:00:00+05:30,3.9,3.9,3.5,3.6,9264
2015-03-04 00:00:00+05:30,3.75,3.75,3.45,3.5,10326
2015-03-05 00:00:00+05:30,3.5,3.8,3.5,3.5,15072
2015-03-09 00:00:00+05:30,3.5,3.6,3.3,3.35,8603
2015-03-10 00:00:00+05:30,3.95,3.95,3.35,3.35,290
2015-03-11 00:00:00+05:30,3.35,3.55,3.2,3.25,2178
2015-03-12 00:00:00+05:30,3.3,3.45,3.2,3.25,21313
2015-03-13 00:00:00+05:30,3.3,3.45,3.2,3.25,25645
2015-03-16 00:00:00+05:30,3.25,3.35,3.05,3.15,86781
2015-03-17 00:00:00+05:30,3.5,3.5,3.0,3.0,17887
2015-03-18 00:00:00+05:30,3.05,3.15,3.05,3.05,4839
2015-03-19 00:00:00+05:30,3.1,3.25,3.05,3.05,12942
2015-03-20 00:00:00+05:30,3.0,3.0,2.9,2.95,4990
2015-03-23 00:00:00+05:30,2.9,3.35,2.9,2.9,8698
2015-03-24 00:00:00+05:30,3.35,3.35,2.75,3.0,8983
2015-03-25 00:00:00+05:30,3.0,3.0,2.8,2.85,18798
2015-03-26 00:00:00+05:30,2.9,2.9,2.5,2.65,75554
2015-03-27 00:00:00+05:30,2.35,3.05,2.29,2.7,50679
2015-03-30 00:00:00+05:30,2.54,2.95,2.54,2.7,7447
2015-03-31 00:00:00+05:30,2.6,2.95,2.6,2.65,3782
2015-04-01 00:00:00+05:30,2.9,3.0,2.7,2.95,2558
2015-04-06 00:00:00+05:30,2.6,3.15,2.6,3.0,4733
2015-04-07 00:00:00+05:30,3.1,3.15,2.85,3.15,6947
2015-04-08 00:00:00+05:30,2.8,3.45,2.8,3.0,52992
2015-04-09 00:00:00+05:30,3.0,3.2,2.95,3.2,46710
2015-04-10 00:00:00+05:30,3.05,3.5,3.05,3.5,39461
2015-04-13 00:00:00+05:30,3.15,4.2,3.15,4.2,120571
2015-04-15 00:00:00+05:30,4.4,4.8,3.55,4.0,442800
2015-04-16 00:00:00+05:30,4.09,4.09,3.75,3.9,56644
2015-04-17 00:00:00+05:30,3.7,3.9,3.7,3.8,22496
2015-04-20 00:00:00+05:30,3.85,4.0,3.6,3.9,81709
2015-04-21 00:00:00+05:30,3.65,4.0,3.55,3.65,122462
2015-04-22 00:00:00+05:30,3.6,3.95,3.5,3.55,41517
2015-04-23 00:00:00+05:30,3.8,3.8,3.5,3.6,10353
2015-04-24 00:00:00+05:30,3.75,3.75,3.35,3.4,46008
2015-04-27 00:00:00+05:30,3.2,3.5,3.2,3.35,11634
2015-04-28 00:00:00+05:30,3.2,3.4,3.0,3.15,15883
2015-04-29 00:00:00+05:30,3.0,3.4,3.0,3.3,28588
2015-04-30 00:00:00+05:30,3.3,3.35,3.15,3.35,6028
2015-05-04 00:00:00+05:30,3.0,3.45,3.0,3.1,2871
2015-05-05 00:00:00+05:30,3.4,3.45,3.15,3.15,31829
2015-05-06 00:00:00+05:30,3.15,3.4,3.15,3.15,2230
2015-05-07 00:00:00+05:30,3.35,3.35,3.1,3.2,9306
2015-05-08 00:00:00+05:30,3.05,3.45,3.05,3.4,831
2015-05-11 00:00:00+05:30,3.2,3.3,3.15,3.3,2064
2015-05-12 00:00:00+05:30,3.3,3.4,3.0,3.05,4222
2015-05-13 00:00:00+05:30,3.35,3.35,3.0,3.2,2551
2015-05-14 00:00:00+05:30,3.3,3.3,3.05,3.05,6081
2015-05-15 00:00:00+05:30,3.0,3.45,3.0,3.3,6109
