date,open,high,low,close,volume
2023-12-21 09:15:00+05:30,880.0,979.0,880.0,911.55,8538075
2023-12-21 10:15:00+05:30,911.15,912.7,855.1,906.4,6498021
2023-12-21 11:15:00+05:30,906.35,946.95,900.0,919.7,3278433
2023-12-21 12:15:00+05:30,919.65,930.0,915.0,927.1,839904
2023-12-21 13:15:00+05:30,927.2,929.0,919.5,927.05,754003
2023-12-21 14:15:00+05:30,927.25,990.0,925.75,934.1,5535547
2023-12-21 15:15:00+05:30,933.65,938.7,930.9,935.0,823429
2023-12-22 09:15:00+05:30,945.0,959.9,936.15,945.85,1836067
2023-12-22 10:15:00+05:30,945.85,945.9,936.15,937.55,365722
2023-12-22 11:15:00+05:30,937.85,939.9,930.05,932.05,340304
2023-12-22 12:15:00+05:30,932.05,932.85,918.1,922.3,507095
2023-12-22 13:15:00+05:30,921.6,924.95,912.1,917.15,271901
2023-12-22 14:15:00+05:30,917.75,922.85,906.6,911.75,527018
2023-12-22 15:15:00+05:30,911.65,914.35,910.0,911.0,247055
2023-12-26 09:15:00+05:30,911.1,913.65,876.6,882.95,970494
2023-12-26 10:15:00+05:30,882.95,886.95,880.0,885.75,189199
2023-12-26 11:15:00+05:30,885.75,898.65,885.75,896.0,306285
2023-12-26 12:15:00+05:30,895.95,930.0,895.0,923.35,717727
2023-12-26 13:15:00+05:30,923.8,937.0,918.95,920.9,699488
2023-12-26 14:15:00+05:30,920.1,937.65,919.25,930.65,411765
2023-12-26 15:15:00+05:30,930.65,932.55,920.0,920.75,157522
2023-12-27 09:15:00+05:30,926.0,944.35,920.8,929.45,493427
2023-12-27 10:15:00+05:30,929.4,929.95,921.25,922.85,132164
2023-12-27 11:15:00+05:30,923.0,924.75,917.5,920.15,92203
2023-12-27 12:15:00+05:30,920.15,921.5,905.15,906.05,189329
2023-12-27 13:15:00+05:30,906.05,909.9,897.6,903.5,283313
2023-12-27 14:15:00+05:30,903.5,903.6,895.0,896.7,178926
2023-12-27 15:15:00+05:30,896.7,897.0,892.5,896.45,130967
2023-12-28 09:15:00+05:30,905.0,907.0,888.15,889.0,243263
2023-12-28 10:15:00+05:30,888.7,900.45,888.15,896.35,121582
2023-12-28 11:15:00+05:30,895.3,897.0,890.0,892.2,96971
2023-12-28 12:15:00+05:30,891.7,898.75,891.0,893.45,66378
2023-12-28 13:15:00+05:30,893.05,896.0,891.3,891.5,56588
2023-12-28 14:15:00+05:30,891.65,895.45,887.5,891.9,147987
2023-12-28 15:15:00+05:30,891.4,892.4,886.0,887.0,72587
2023-12-29 09:15:00+05:30,890.0,890.5,877.05,881.75,199654
2023-12-29 10:15:00+05:30,882.0,904.25,881.05,890.55,303854
2023-12-29 11:15:00+05:30,890.55,890.8,886.0,889.9,69803
2023-12-29 12:15:00+05:30,889.9,889.95,882.55,883.4,81876
2023-12-29 13:15:00+05:30,883.4,883.55,878.0,880.25,129042
2023-12-29 14:15:00+05:30,880.25,888.0,879.0,882.4,120212
2023-12-29 15:15:00+05:30,882.3,883.3,880.1,880.9,53248
2024-01-01 09:15:00+05:30,884.9,894.9,884.0,887.15,108718
2024-01-01 10:15:00+05:30,887.15,887.3,882.55,885.25,56868
