date,open,high,low,close,volume
2015-01-01 00:00:00+05:30,88.5,96.0,88.5,95.1,2998
2015-01-02 00:00:00+05:30,93.5,99.85,93.5,99.0,15525
2015-01-05 00:00:00+05:30,99.0,100.95,95.6,96.95,6359
2015-01-06 00:00:00+05:30,93.7,97.0,92.15,92.55,5032
2015-01-07 00:00:00+05:30,94.0,94.0,89.0,91.8,3006
2015-01-08 00:00:00+05:30,95.0,96.0,92.0,94.0,7967
2015-01-09 00:00:00+05:30,93.3,94.95,90.55,93.35,5353
2015-01-12 00:00:00+05:30,93.2,97.15,90.2,95.4,23752
2015-01-13 00:00:00+05:30,97.45,97.45,91.2,91.4,3218
2015-01-14 00:00:00+05:30,95.0,95.95,88.0,91.75,4161
2015-01-15 00:00:00+05:30,91.0,95.0,87.2,94.05,3662
2015-01-16 00:00:00+05:30,92.0,95.0,92.0,94.3,851
2015-01-19 00:00:00+05:30,97.0,97.0,92.75,93.8,2355
2015-01-20 00:00:00+05:30,93.0,94.95,92.0,92.9,1650
2015-01-21 00:00:00+05:30,90.55,92.65,90.55,90.8,1499
2015-01-22 00:00:00+05:30,94.9,94.9,90.55,92.3,3215
2015-01-23 00:00:00+05:30,92.0,93.0,87.7,88.5,16912
2015-01-27 00:00:00+05:30,91.0,91.7,84.2,85.5,25277
2015-01-28 00:00:00+05:30,85.1,89.55,83.4,88.05,17154
2015-01-29 00:00:00+05:30,87.0,89.85,86.1,86.4,16025
2015-01-30 00:00:00+05:30,86.95,87.4,84.45,85.7,6984
2015-02-02 00:00:00+05:30,83.75,89.95,83.2,89.95,5665
2015-02-03 00:00:00+05:30,92.0,93.75,87.55,89.4,2007
2015-02-04 00:00:00+05:30,86.25,91.0,86.25,89.25,8596
2015-02-05 00:00:00+05:30,88.0,91.4,88.0,89.45,1415
2015-02-06 00:00:00+05:30,90.0,92.75,85.35,90.0,5799
2015-02-09 00:00:00+05:30,90.0,90.0,82.5,84.9,30948
2015-02-10 00:00:00+05:30,88.95,90.9,81.0,86.0,12668
2015-02-11 00:00:00+05:30,86.0,87.0,83.55,84.5,34040
2015-02-12 00:00:00+05:30,82.85,85.0,77.15,82.3,639347
2015-02-13 00:00:00+05:30,77.0,78.15,74.5,75.05,290351
2015-02-16 00:00:00+05:30,76.0,76.9,74.15,74.7,105008
2015-02-18 00:00:00+05:30,74.0,76.9,69.95,75.55,113485
2015-02-19 00:00:00+05:30,77.0,78.0,75.0,77.25,124451
2015-02-20 00:00:00+05:30,76.59,77.5,75.7,76.4,9754
2015-02-23 00:00:00+05:30,75.7,76.95,74.09,74.84,30050
2015-02-24 00:00:00+05:30,74.09,74.5,72.0,73.34,50865
2015-02-25 00:00:00+05:30,72.59,75.9,72.3,74.09,103322
2015-02-26 00:00:00+05:30,73.0,74.59,72.2,73.8,39031
2015-02-27 00:00:00+05:30,75.25,77.4,75.09,76.15,180493
2015-03-02 00:00:00+05:30,77.2,77.2,74.25,76.05,39217
2015-03-03 00:00:00+05:30,75.4,75.5,73.15,74.65,53349
2015-03-04 00:00:00+05:30,74.05,75.7,73.84,74.45,39173
2015-03-05 00:00:00+05:30,74.3,74.8,73.8,74.05,10238
2015-03-09 00:00:00+05:30,74.95,75.0,72.59,73.45,18031
2015-03-10 00:00:00+05:30,73.0,74.45,71.05,71.25,45300
2015-03-11 00:00:00+05:30,73.0,73.5,71.25,72.34,9955
2015-03-12 00:00:00+05:30,73.0,73.0,71.55,72.4,8702
2015-03-13 00:00:00+05:30,72.0,73.9,70.09,70.55,11605
2015-03-16 00:00:00+05:30,70.0,70.95,67.0,67.4,13522
2015-03-17 00:00:00+05:30,68.05,70.2,68.05,68.59,9493
2015-03-18 00:00:00+05:30,68.05,72.8,67.59,70.95,20728
2015-03-19 00:00:00+05:30,70.05,71.9,70.05,70.84,2887
2015-03-20 00:00:00+05:30,71.7,71.7,68.4,68.5,8719
2015-03-23 00:00:00+05:30,68.0,69.84,67.0,67.09,4739
2015-03-24 00:00:00+05:30,66.55,67.0,63.3,64.0,9361
2015-03-25 00:00:00+05:30,63.0,64.0,62.0,63.0,43486
2015-03-26 00:00:00+05:30,62.05,62.9,62.05,62.25,14290
2015-03-27 00:00:00+05:30,62.2,67.0,62.2,65.55,28155
2015-03-30 00:00:00+05:30,66.95,67.84,63.05,64.8,7266
2015-03-31 00:00:00+05:30,64.4,69.0,64.0,65.7,16429
2015-04-01 00:00:00+05:30,65.25,70.0,65.25,68.65,9507
2015-04-06 00:00:00+05:30,66.75,73.9,66.75,72.0,20414
2015-04-07 00:00:00+05:30,72.7,73.0,72.0,72.65,9971
2015-04-08 00:00:00+05:30,72.5,76.5,72.5,74.34,35477
2015-04-09 00:00:00+05:30,74.0,78.9,73.2,74.9,24644
2015-04-10 00:00:00+05:30,74.0,75.0,73.09,73.84,27541
2015-04-13 00:00:00+05:30,74.0,75.5,73.7,74.95,7811
2015-04-15 00:00:00+05:30,72.0,83.6,72.0,79.95,131964
2015-04-16 00:00:00+05:30,81.8,85.75,80.34,81.09,45384
2015-04-17 00:00:00+05:30,80.5,83.9,79.15,80.3,18612
2015-04-20 00:00:00+05:30,79.5,80.5,76.0,76.55,12562
2015-04-21 00:00:00+05:30,76.5,77.5,75.25,76.09,6344
2015-04-22 00:00:00+05:30,77.0,78.0,75.09,76.05,6226
2015-04-23 00:00:00+05:30,76.65,78.45,75.55,77.75,11157
2015-04-24 00:00:00+05:30,77.0,78.05,70.2,74.2,69484
2015-04-27 00:00:00+05:30,75.59,75.59,70.09,71.05,38744
2015-04-28 00:00:00+05:30,70.4,74.8,70.0,71.75,1996
2015-04-29 00:00:00+05:30,73.0,73.0,70.55,72.09,2625
2015-04-30 00:00:00+05:30,73.0,74.84,69.75,70.75,6655
2015-05-04 00:00:00+05:30,70.09,71.95,67.0,67.3,21285
2015-05-05 00:00:00+05:30,66.0,69.9,61.2,68.7,18751
2015-05-06 00:00:00+05:30,67.0,78.34,66.34,74.2,75092
2015-05-07 00:00:00+05:30,71.09,76.4,70.0,71.09,69243
2015-05-08 00:00:00+05:30,73.0,74.0,71.75,72.7,7468
2015-05-11 00:00:00+05:30,72.0,76.2,71.5,73.65,42734
2015-05-12 00:00:00+05:30,72.5,73.8,72.05,72.3,3843
2015-05-13 00:00:00+05:30,71.25,74.5,71.25,72.7,3149
2015-05-14 00:00:00+05:30,72.7,74.0,72.05,73.0,4566
2015-05-15 00:00:00+05:30,73.0,75.0,73.0,73.55,7281
2015-05-18 00:00:00+05:30,73.2,74.95,73.0,74.3,5960
2015-05-19 00:00:00+05:30,74.9,74.9,73.09,73.25,3539
2015-05-20 00:00:00+05:30,73.0,77.4,72.0,72.65,6086
2015-05-21 00:00:00+05:30,72.0,73.8,72.0,73.0,2319
2015-05-22 00:00:00+05:30,75.0,75.0,72.09,72.4,6976
2015-05-25 00:00:00+05:30,73.84,73.9,72.4,73.5,4889
2015-05-26 00:00:00+05:30,73.5,74.8,72.5,73.55,4493
2015-05-27 00:00:00+05:30,75.8,75.8,70.65,72.7,5190
2015-05-28 00:00:00+05:30,72.0,73.4,71.5,71.75,2504
2015-05-29 00:00:00+05:30,72.0,73.2,72.0,72.4,2913
2015-06-01 00:00:00+05:30,71.75,72.95,71.09,71.25,2634
2015-06-02 00:00:00+05:30,71.25,71.9,70.5,70.7,1665
2015-06-03 00:00:00+05:30,70.0,71.0,66.55,67.15,5699
2015-06-04 00:00:00+05:30,67.0,70.0,67.0,68.9,3968
2015-06-05 00:00:00+05:30,68.25,68.8,67.09,67.75,1851
2015-06-08 00:00:00+05:30,67.0,68.0,65.15,65.45,3148
2015-06-09 00:00:00+05:30,69.0,69.0,65.34,65.8,2659
2015-06-10 00:00:00+05:30,65.2,69.0,65.2,66.75,3291
2015-06-11 00:00:00+05:30,66.09,67.0,65.25,66.09,4557
2015-06-12 00:00:00+05:30,65.2,67.0,65.2,66.5,10873
2015-06-15 00:00:00+05:30,66.05,68.0,66.05,66.95,983
2015-06-16 00:00:00+05:30,67.0,69.0,67.0,68.75,4224
2015-06-17 00:00:00+05:30,68.5,69.8,68.09,69.0,1808
2015-06-18 00:00:00+05:30,71.9,71.9,69.25,69.59,2217
2015-06-19 00:00:00+05:30,71.0,71.8,70.0,70.0,770
2015-06-22 00:00:00+05:30,69.0,75.0,68.0,73.7,47871
2015-06-23 00:00:00+05:30,70.75,74.0,70.75,73.5,6901
2015-06-24 00:00:00+05:30,72.5,74.0,72.5,73.15,4202
2015-06-25 00:00:00+05:30,74.4,74.4,72.5,73.0,3245
2015-06-26 00:00:00+05:30,72.0,73.95,70.05,72.09,2172
2015-06-29 00:00:00+05:30,72.0,73.25,70.34,72.75,27137
2015-06-30 00:00:00+05:30,73.5,74.0,72.59,73.84,11791
2015-07-01 00:00:00+05:30,71.05,75.0,71.05,74.09,10524
2015-07-02 00:00:00+05:30,73.15,74.5,73.05,73.84,1817
2015-07-03 00:00:00+05:30,74.5,79.95,74.0,76.5,97293
2015-07-06 00:00:00+05:30,75.5,80.09,73.09,78.84,78299
2015-07-07 00:00:00+05:30,80.4,89.9,80.0,86.3,120447
2015-07-08 00:00:00+05:30,85.45,90.9,84.5,88.6,148635
2015-07-09 00:00:00+05:30,91.05,97.8,91.05,93.9,140156
2015-07-10 00:00:00+05:30,95.75,107.9,91.3,103.05,304120
2015-07-13 00:00:00+05:30,104.4,109.75,103.3,103.9,140157
2015-07-14 00:00:00+05:30,103.9,105.25,100.0,100.75,44479
2015-07-15 00:00:00+05:30,101.75,103.45,97.5,102.9,98551
2015-07-16 00:00:00+05:30,103.6,103.6,98.0,98.8,30171
2015-07-17 00:00:00+05:30,99.05,103.35,99.05,100.85,53881
2015-07-20 00:00:00+05:30,102.0,103.25,99.1,100.9,31092
2015-07-21 00:00:00+05:30,101.1,121.05,101.1,117.15,583349
2015-07-22 00:00:00+05:30,117.0,124.65,114.5,117.95,220044
2015-07-23 00:00:00+05:30,119.5,122.4,115.2,120.2,185306
2015-07-24 00:00:00+05:30,121.4,121.9,115.1,115.8,66017
2015-07-27 00:00:00+05:30,116.45,117.3,107.7,110.7,81325
2015-07-28 00:00:00+05:30,107.5,116.8,107.5,108.45,72005
2015-07-29 00:00:00+05:30,109.7,110.9,105.15,107.05,39856
2015-07-30 00:00:00+05:30,107.5,111.8,106.0,107.5,28691
2015-07-31 00:00:00+05:30,107.75,108.9,100.1,103.0,116868
2015-08-03 00:00:00+05:30,103.0,106.85,101.5,103.45,94354
2015-08-04 00:00:00+05:30,104.0,112.9,103.25,107.85,211721
2015-08-05 00:00:00+05:30,98.0,98.0,97.1,97.1,13276
2015-08-06 00:00:00+05:30,87.4,87.4,87.4,87.4,5231
2015-08-07 00:00:00+05:30,79.4,94.0,79.4,86.7,337958
2015-08-10 00:00:00+05:30,86.0,89.7,84.1,84.95,50081
2015-08-11 00:00:00+05:30,85.0,86.75,80.05,81.5,63168
2015-08-12 00:00:00+05:30,83.25,83.25,76.05,77.84,126665
2015-08-13 00:00:00+05:30,80.5,80.5,72.3,73.7,44912
2015-08-14 00:00:00+05:30,73.5,76.95,73.05,76.3,81246
2015-08-17 00:00:00+05:30,76.3,80.09,74.09,80.0,248242
2015-08-18 00:00:00+05:30,80.9,84.0,79.55,82.15,65098
2015-08-19 00:00:00+05:30,82.9,84.75,82.0,82.3,53334
2015-08-20 00:00:00+05:30,82.5,82.8,77.0,77.2,24851
2015-08-21 00:00:00+05:30,77.95,77.95,74.09,76.45,36499
2015-08-24 00:00:00+05:30,74.15,74.15,65.75,66.84,45082
2015-08-25 00:00:00+05:30,67.25,73.0,58.05,66.09,57294
2015-08-26 00:00:00+05:30,67.95,67.95,62.6,66.0,12234
2015-08-27 00:00:00+05:30,66.34,70.5,66.34,68.4,16879
2015-08-28 00:00:00+05:30,72.9,72.9,66.15,67.2,38974
2015-08-31 00:00:00+05:30,68.0,69.8,67.95,69.2,4524
2015-09-01 00:00:00+05:30,68.0,69.0,63.5,68.55,97249
2015-09-02 00:00:00+05:30,68.55,69.0,65.15,67.0,27930
2015-09-03 00:00:00+05:30,65.0,69.9,64.5,66.84,29769
2015-09-04 00:00:00+05:30,66.15,67.0,63.1,64.59,21934
2015-09-07 00:00:00+05:30,62.6,64.59,61.0,61.2,25836
2015-09-08 00:00:00+05:30,60.0,65.5,58.2,64.75,47695
2015-09-09 00:00:00+05:30,67.9,67.9,63.0,64.15,19661
2015-09-10 00:00:00+05:30,63.0,64.7,61.1,64.05,5658
2015-09-11 00:00:00+05:30,63.0,69.5,62.05,67.3,123547
2015-09-14 00:00:00+05:30,67.0,68.84,65.15,67.84,6408
2015-09-15 00:00:00+05:30,67.0,68.2,65.15,66.34,5381
2015-09-16 00:00:00+05:30,69.9,69.9,65.09,67.55,7948
2015-09-18 00:00:00+05:30,67.0,70.0,65.34,66.9,9561
2015-09-21 00:00:00+05:30,66.0,67.8,64.0,67.65,9998
2015-09-22 00:00:00+05:30,69.75,69.75,66.25,67.4,11691
2015-09-23 00:00:00+05:30,66.5,68.75,64.4,68.09,3155
2015-09-24 00:00:00+05:30,67.0,75.0,65.05,73.65,88700
2015-09-28 00:00:00+05:30,73.34,73.34,68.7,69.15,21359
2015-09-29 00:00:00+05:30,68.0,69.9,66.0,69.0,13302
2015-09-30 00:00:00+05:30,69.9,70.95,66.65,67.15,59294
2015-10-01 00:00:00+05:30,68.9,68.9,65.55,66.05,13769
2015-10-05 00:00:00+05:30,68.0,70.9,66.05,70.45,46610
2015-10-06 00:00:00+05:30,71.0,76.4,70.09,73.3,127719
2015-10-07 00:00:00+05:30,74.7,77.5,71.09,75.75,56264
2015-10-08 00:00:00+05:30,77.0,77.3,73.0,74.2,38484
2015-10-09 00:00:00+05:30,75.0,76.9,73.8,76.25,54847
2015-10-12 00:00:00+05:30,77.7,80.7,76.3,76.84,42986
2015-10-13 00:00:00+05:30,76.75,91.3,76.5,89.65,196216
2015-10-14 00:00:00+05:30,91.0,96.95,88.0,91.15,150932
2015-10-15 00:00:00+05:30,92.55,94.9,88.25,90.0,52300
2015-10-16 00:00:00+05:30,90.0,90.55,86.5,88.0,27017
2015-10-19 00:00:00+05:30,87.0,88.45,85.25,86.55,20940
2015-10-20 00:00:00+05:30,87.8,92.25,87.0,90.35,74008
2015-10-21 00:00:00+05:30,90.0,93.35,88.0,90.1,51482
2015-10-23 00:00:00+05:30,88.65,92.0,87.0,87.4,32486
2015-10-26 00:00:00+05:30,87.0,87.9,85.5,85.85,11977
2015-10-27 00:00:00+05:30,85.0,87.45,83.1,84.05,10876
2015-10-28 00:00:00+05:30,85.0,89.9,83.0,87.2,26032
2015-10-29 00:00:00+05:30,88.0,89.35,85.1,85.3,16755
2015-10-30 00:00:00+05:30,87.65,87.95,82.55,83.2,13131
2015-11-02 00:00:00+05:30,84.5,85.0,76.9,77.75,36686
2015-11-03 00:00:00+05:30,76.0,78.0,72.0,75.09,52959
2015-11-04 00:00:00+05:30,74.05,77.5,74.05,77.0,21395
2015-11-05 00:00:00+05:30,76.0,76.0,72.59,73.15,12689
2015-11-06 00:00:00+05:30,75.75,75.8,71.59,72.15,10037
2015-11-09 00:00:00+05:30,70.75,72.5,69.0,71.4,22920
2015-11-10 00:00:00+05:30,71.0,73.5,68.0,70.2,23233
2015-11-11 00:00:00+05:30,70.0,72.95,70.0,71.75,4693
2015-11-13 00:00:00+05:30,71.0,73.2,67.55,69.65,14825
2015-11-16 00:00:00+05:30,70.3,73.34,70.25,71.05,11172
2015-11-17 00:00:00+05:30,72.0,75.15,71.7,73.15,32846
2015-11-18 00:00:00+05:30,73.5,74.7,71.25,71.4,11462
2015-11-19 00:00:00+05:30,72.84,73.59,72.25,72.5,8228
2015-11-20 00:00:00+05:30,72.0,76.9,71.75,74.7,16633
2015-11-23 00:00:00+05:30,74.0,76.0,73.59,74.45,13087
2015-11-24 00:00:00+05:30,74.0,80.8,74.0,77.75,59268
2015-11-26 00:00:00+05:30,77.75,84.5,77.75,80.45,77116
2015-11-27 00:00:00+05:30,80.05,81.95,78.0,79.45,32112
2015-11-30 00:00:00+05:30,79.0,79.95,77.45,77.75,16364
2015-12-01 00:00:00+05:30,78.8,80.0,76.0,77.0,21660
2015-12-02 00:00:00+05:30,76.7,77.8,75.5,76.7,15790
2015-12-03 00:00:00+05:30,77.5,77.5,75.5,76.3,30807
2015-12-04 00:00:00+05:30,75.5,77.95,74.09,75.2,28804
2015-12-07 00:00:00+05:30,76.9,76.9,74.05,74.3,5655
2015-12-08 00:00:00+05:30,75.9,76.0,71.7,72.25,23160
2015-12-09 00:00:00+05:30,72.09,72.95,68.0,68.84,32918
2015-12-10 00:00:00+05:30,68.2,72.15,66.09,71.9,13603
2015-12-11 00:00:00+05:30,72.5,73.9,69.55,72.0,34072
2015-12-14 00:00:00+05:30,72.0,73.0,70.4,71.09,10092
2015-12-15 00:00:00+05:30,71.95,78.45,71.0,76.84,36607
2015-12-16 00:00:00+05:30,77.5,80.7,76.05,80.0,84369
2015-12-17 00:00:00+05:30,80.0,82.0,78.0,81.3,32110
2015-12-18 00:00:00+05:30,81.5,82.0,79.09,80.0,45794
2015-12-21 00:00:00+05:30,79.25,87.95,79.25,87.3,154377
2015-12-22 00:00:00+05:30,88.0,92.4,83.5,85.35,117795
2015-12-23 00:00:00+05:30,86.4,86.95,85.05,86.55,19207
2015-12-24 00:00:00+05:30,86.9,92.9,85.1,90.55,160366
2015-12-28 00:00:00+05:30,91.95,92.5,88.0,88.3,17855
2015-12-29 00:00:00+05:30,87.3,89.8,85.7,86.55,47390
2015-12-30 00:00:00+05:30,88.2,88.2,85.6,86.0,12508
2015-12-31 00:00:00+05:30,85.1,90.0,85.1,88.15,36436
2016-01-01 00:00:00+05:30,87.2,92.45,87.2,90.45,50135
2016-01-04 00:00:00+05:30,91.9,91.9,85.3,86.2,49680
2016-01-05 00:00:00+05:30,86.95,89.5,86.5,87.1,55602
2016-01-06 00:00:00+05:30,86.65,89.5,85.85,86.4,27248
2016-01-07 00:00:00+05:30,85.5,88.5,81.4,82.35,70564
2016-01-08 00:00:00+05:30,85.5,85.8,81.75,85.4,17443
2016-01-11 00:00:00+05:30,84.0,85.85,82.25,84.25,14374
2016-01-12 00:00:00+05:30,83.5,85.0,80.5,83.95,18845
2016-01-13 00:00:00+05:30,85.0,87.5,75.6,80.8,57618
2016-01-14 00:00:00+05:30,79.0,82.0,75.1,77.75,12223
2016-01-15 00:00:00+05:30,79.9,81.45,75.15,76.05,28216
2016-01-18 00:00:00+05:30,75.0,75.0,64.5,66.35,58190
2016-01-19 00:00:00+05:30,67.55,70.25,67.0,69.6,16866
2016-01-20 00:00:00+05:30,68.7,69.7,65.25,69.2,24937
2016-01-21 00:00:00+05:30,71.9,71.9,67.15,68.6,6317
2016-01-22 00:00:00+05:30,70.05,73.0,70.0,72.85,19681
2016-01-25 00:00:00+05:30,74.9,74.9,71.3,72.4,5557
2016-01-27 00:00:00+05:30,73.95,73.95,70.7,71.25,10960
2016-01-28 00:00:00+05:30,70.0,72.0,68.2,69.75,24089
2016-01-29 00:00:00+05:30,70.0,72.8,69.75,70.95,18863
2016-02-01 00:00:00+05:30,73.05,73.05,69.1,71.85,69250
2016-02-02 00:00:00+05:30,71.0,73.4,68.5,69.5,27481
2016-02-03 00:00:00+05:30,68.0,69.35,63.8,67.25,13092
2016-02-04 00:00:00+05:30,69.7,69.7,65.0,66.4,12296
2016-02-05 00:00:00+05:30,65.5,69.8,65.3,68.7,11864
2016-02-08 00:00:00+05:30,66.2,69.45,65.65,66.5,8387
2016-02-09 00:00:00+05:30,66.6,66.7,53.2,53.7,255263
2016-02-10 00:00:00+05:30,52.0,52.5,44.5,46.45,221793
2016-02-11 00:00:00+05:30,47.75,48.5,43.2,44.05,25948
2016-02-12 00:00:00+05:30,44.0,44.8,40.15,42.15,17534
2016-02-15 00:00:00+05:30,41.1,45.8,41.1,43.8,28835
2016-02-16 00:00:00+05:30,45.6,45.6,39.45,39.7,46039
2016-02-17 00:00:00+05:30,40.25,40.9,37.05,40.15,25485
2016-02-18 00:00:00+05:30,41.5,42.8,39.65,40.3,21034
2016-02-19 00:00:00+05:30,40.6,41.7,38.5,39.85,10001
2016-02-22 00:00:00+05:30,39.5,41.8,39.45,41.0,8472
2016-02-23 00:00:00+05:30,40.0,41.8,40.0,40.5,15282
2016-02-24 00:00:00+05:30,39.6,41.25,39.1,40.5,5777
2016-02-25 00:00:00+05:30,39.55,41.0,39.5,40.25,6820
2016-02-26 00:00:00+05:30,40.25,41.5,40.05,40.7,5614
2016-02-29 00:00:00+05:30,40.5,41.8,40.5,41.1,12791
2016-03-01 00:00:00+05:30,41.6,45.2,41.1,45.15,51935
2016-03-02 00:00:00+05:30,46.8,48.9,45.0,47.5,27547
2016-03-03 00:00:00+05:30,46.2,52.25,46.2,52.25,47776
2016-03-04 00:00:00+05:30,54.75,54.85,52.0,54.85,37336
2016-03-08 00:00:00+05:30,56.5,57.55,53.8,55.1,52083
2016-03-09 00:00:00+05:30,55.1,57.85,53.5,57.85,44831
2016-03-10 00:00:00+05:30,58.8,60.7,58.1,58.6,40633
2016-03-11 00:00:00+05:30,58.55,61.5,58.55,59.25,42712
2016-03-14 00:00:00+05:30,58.5,59.0,56.3,57.1,33613
2016-03-15 00:00:00+05:30,54.3,57.0,54.25,54.35,7495
2016-03-16 00:00:00+05:30,52.25,54.9,51.65,52.0,14068
2016-03-17 00:00:00+05:30,52.25,53.95,51.5,52.2,10052
