date,open,high,low,close,volume
2022-02-22 09:15:00+05:30,188.8,188.8,185.0,185.8,15220
2022-02-22 10:15:00+05:30,185.8,189.0,184.5,188.9,16160
2022-02-22 11:15:00+05:30,188.9,188.9,185.0,185.2,10190
2022-02-22 12:15:00+05:30,185.2,187.0,185.15,186.0,2740
2022-02-22 13:15:00+05:30,186.0,187.15,184.5,187.1,10030
2022-02-22 14:15:00+05:30,187.1,187.2,185.4,185.9,4620
2022-02-22 15:15:00+05:30,185.9,187.35,185.9,186.2,4500
2022-02-23 09:15:00+05:30,186.2,192.4,185.5,188.0,21840
2022-02-23 10:15:00+05:30,188.0,189.5,186.3,187.05,3440
2022-02-23 11:15:00+05:30,187.05,187.8,186.5,187.7,5700
2022-02-23 12:15:00+05:30,187.7,187.8,186.25,186.25,3570
2022-02-23 13:15:00+05:30,186.05,188.5,186.05,187.3,9410
2022-02-23 14:15:00+05:30,187.3,187.8,185.1,185.2,9220
2022-02-23 15:15:00+05:30,185.2,186.7,185.0,185.0,3610
2022-02-24 09:15:00+05:30,180.0,180.0,148.55,176.2,56340
2022-02-24 10:15:00+05:30,176.85,179.0,174.7,176.2,13520
2022-02-24 11:15:00+05:30,176.2,184.4,176.1,177.7,13700
2022-02-24 12:15:00+05:30,177.7,177.7,165.0,170.0,38160
2022-02-24 13:15:00+05:30,170.0,177.0,169.0,172.35,9970
2022-02-24 14:15:00+05:30,172.35,177.0,170.0,172.0,24290
2022-02-24 15:15:00+05:30,172.0,174.05,171.1,171.8,6420
2022-02-25 09:15:00+05:30,187.9,187.9,175.55,178.2,33020
2022-02-25 10:15:00+05:30,178.45,180.0,178.2,179.0,4860
2022-02-25 11:15:00+05:30,179.0,180.0,178.0,178.1,6650
2022-02-25 12:15:00+05:30,178.1,179.2,178.0,178.1,10330
2022-02-25 13:15:00+05:30,178.1,182.0,176.5,181.4,19410
2022-02-25 14:15:00+05:30,181.4,190.0,177.75,183.1,56700
2022-02-25 15:15:00+05:30,183.1,189.0,181.1,182.2,6950
2022-02-28 09:15:00+05:30,184.05,186.3,179.55,182.15,98670
2022-02-28 10:15:00+05:30,181.95,183.45,180.3,181.55,8000
2022-02-28 11:15:00+05:30,181.55,182.8,181.2,182.5,7540
2022-02-28 12:15:00+05:30,182.75,183.3,181.7,183.2,6220
2022-02-28 13:15:00+05:30,183.2,183.45,181.2,182.05,5880
2022-02-28 14:15:00+05:30,181.9,186.9,180.9,184.0,40550
2022-02-28 15:15:00+05:30,184.0,184.0,181.1,181.2,7980
2022-03-02 09:15:00+05:30,182.5,183.8,176.2,176.55,31790
2022-03-02 10:15:00+05:30,176.55,179.95,176.55,179.4,15570
2022-03-02 11:15:00+05:30,179.15,179.7,178.7,178.7,8830
