date,open,high,low,close,volume
2006-02-22 00:00:00+05:30,60.17,65.33,44.18,45.15,102853289
2006-02-23 00:00:00+05:30,46.28,46.28,42.25,43.6,37821621
2006-02-24 00:00:00+05:30,43.83,45.63,43.03,44.92,23357595
2006-02-27 00:00:00+05:30,45.08,45.08,43.43,43.63,6218132
2006-02-28 00:00:00+05:30,43.5,43.83,42.04,42.39,2999605
2006-03-01 00:00:00+05:30,42.45,43.12,41.67,42.56,3685975
2006-03-02 00:00:00+05:30,42.97,44.17,41.92,42.22,2722381
2006-03-03 00:00:00+05:30,42.33,42.48,41.51,42.11,1787652
2006-03-06 00:00:00+05:30,42.17,43.61,41.68,42.96,2354100
2006-03-07 00:00:00+05:30,43.17,43.22,41.92,42.62,1326888
2006-03-08 00:00:00+05:30,42.75,43.97,41.5,43.06,3085141
2006-03-09 00:00:00+05:30,43.33,48.27,43.15,47.53,14804051
2006-03-10 00:00:00+05:30,48.33,48.83,45.61,45.96,3353029
2006-03-13 00:00:00+05:30,45.83,46.0,44.21,44.38,1072188
2006-03-14 00:00:00+05:30,44.58,44.87,43.5,43.72,563502
2006-03-16 00:00:00+05:30,43.83,44.75,43.17,43.42,884976
2006-03-17 00:00:00+05:30,43.34,44.0,43.17,43.23,486960
2006-03-20 00:00:00+05:30,42.5,45.23,42.44,43.78,1965966
2006-03-21 00:00:00+05:30,43.5,45.15,43.5,44.57,956736
2006-03-22 00:00:00+05:30,44.0,49.12,44.0,48.52,8930583
2006-03-23 00:00:00+05:30,48.72,50.72,47.17,50.04,11052340
2006-03-24 00:00:00+05:30,50.0,50.77,47.78,50.02,4268407
2006-03-27 00:00:00+05:30,50.08,53.5,49.01,52.39,3565297
2006-03-28 00:00:00+05:30,53.17,53.17,47.55,48.7,2013150
2006-03-29 00:00:00+05:30,48.57,50.83,48.1,49.06,1767162
2006-03-30 00:00:00+05:30,49.23,49.58,48.02,48.47,912402
2006-03-31 00:00:00+05:30,48.83,50.0,48.33,49.07,843654
2006-04-03 00:00:00+05:30,49.17,49.62,48.12,48.62,699936
2006-04-04 00:00:00+05:30,48.83,48.94,48.0,48.25,322914
2006-04-05 00:00:00+05:30,48.17,49.17,48.17,48.82,206376
2006-04-07 00:00:00+05:30,49.0,49.67,47.44,47.97,286062
2006-04-10 00:00:00+05:30,48.48,48.48,47.33,47.52,153498
2006-04-12 00:00:00+05:30,47.67,48.33,47.0,47.83,282882
2006-04-13 00:00:00+05:30,47.33,47.83,45.0,45.71,347604
2006-04-17 00:00:00+05:30,45.83,46.97,45.5,46.41,110556
2006-04-18 00:00:00+05:30,47.5,48.67,45.87,46.57,424296
2006-04-19 00:00:00+05:30,46.57,48.67,46.57,47.52,522840
2006-04-20 00:00:00+05:30,47.5,52.48,47.5,51.47,3352987
2006-04-21 00:00:00+05:30,51.67,51.67,49.7,50.52,736608
2006-04-24 00:00:00+05:30,50.48,50.48,49.17,49.92,327738
2006-04-25 00:00:00+05:30,50.0,51.91,48.75,49.71,490314
2006-04-26 00:00:00+05:30,50.0,50.75,49.5,49.82,216558
2006-04-27 00:00:00+05:30,50.33,51.83,50.0,50.35,588420
2006-04-28 00:00:00+05:30,41.67,49.67,41.67,49.23,414708
2006-05-02 00:00:00+05:30,48.25,49.5,47.67,49.16,2253864
2006-05-03 00:00:00+05:30,48.33,50.8,48.33,49.19,658908
2006-05-04 00:00:00+05:30,50.67,50.67,48.83,49.18,190794
2006-05-05 00:00:00+05:30,49.67,50.0,49.17,49.37,284328
