date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,1.86,1.88,1.86,1.87,3479
2003-01-02 00:00:00+05:30,1.86,1.92,1.86,1.86,14519
2003-01-03 00:00:00+05:30,1.88,1.88,1.86,1.87,9699
2003-01-06 00:00:00+05:30,1.83,1.85,1.83,1.85,1599
2003-01-07 00:00:00+05:30,1.77,1.93,1.77,1.9,2119
2003-01-08 00:00:00+05:30,1.9,1.9,1.8,1.8,4199
2003-01-09 00:00:00+05:30,1.9,1.9,1.81,1.81,20899
2003-01-10 00:00:00+05:30,1.82,1.86,1.82,1.84,3279
2003-01-13 00:00:00+05:30,1.84,2.0,1.84,1.91,13279
2003-01-14 00:00:00+05:30,1.76,1.93,1.76,1.81,8999
2003-01-15 00:00:00+05:30,1.93,1.95,1.81,1.84,5399
2003-01-16 00:00:00+05:30,1.83,1.83,1.83,1.83,1999
2003-01-17 00:00:00+05:30,1.83,1.83,1.81,1.82,12839
2003-01-20 00:00:00+05:30,1.85,1.85,1.84,1.84,21799
2003-01-21 00:00:00+05:30,1.84,1.89,1.84,1.85,14979
2003-01-22 00:00:00+05:30,1.77,1.9,1.77,1.86,8999
2003-01-23 00:00:00+05:30,1.82,1.85,1.82,1.85,1079
2003-01-24 00:00:00+05:30,1.84,1.85,1.78,1.78,8399
2003-01-27 00:00:00+05:30,1.65,1.85,1.65,1.75,7019
2003-01-28 00:00:00+05:30,1.8,1.8,1.71,1.77,7999
2003-01-29 00:00:00+05:30,1.87,1.87,1.75,1.86,979
2003-01-30 00:00:00+05:30,1.8,1.8,1.73,1.75,13259
2003-01-31 00:00:00+05:30,1.73,1.74,1.73,1.74,399
2003-02-03 00:00:00+05:30,1.73,1.74,1.73,1.74,0
2003-02-04 00:00:00+05:30,1.7,1.77,1.7,1.77,2199
2003-02-05 00:00:00+05:30,1.73,1.73,1.73,1.73,3119
2003-02-06 00:00:00+05:30,1.66,1.77,1.66,1.68,23799
2003-02-07 00:00:00+05:30,1.71,1.84,1.71,1.82,24819
2003-02-10 00:00:00+05:30,1.92,1.92,1.79,1.81,14199
2003-02-11 00:00:00+05:30,1.77,1.8,1.75,1.76,2499
2003-02-12 00:00:00+05:30,1.7,1.71,1.7,1.71,1539
2003-02-14 00:00:00+05:30,1.7,1.7,1.64,1.65,1999
2003-02-17 00:00:00+05:30,1.7,1.7,1.5,1.66,10099
2003-02-18 00:00:00+05:30,1.74,1.75,1.68,1.68,7919
2003-02-19 00:00:00+05:30,1.75,1.75,1.75,1.75,1519
2003-02-20 00:00:00+05:30,1.63,1.7,1.62,1.7,1459
2003-02-21 00:00:00+05:30,1.7,1.72,1.7,1.72,7539
2003-02-24 00:00:00+05:30,1.74,1.74,1.74,1.74,699
2003-02-25 00:00:00+05:30,1.75,1.91,1.75,1.86,27919
2003-02-26 00:00:00+05:30,1.81,1.9,1.81,1.89,5299
2003-02-27 00:00:00+05:30,1.74,1.85,1.74,1.85,5599
2003-02-28 00:00:00+05:30,1.9,1.9,1.76,1.76,2799
