date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,16.76,16.76,16.2,16.2,9600
2015-02-02 10:15:00+05:30,16.2,16.21,16.2,16.21,2110
2015-02-02 11:15:00+05:30,16.2,16.5,16.2,16.21,5010
2015-02-02 12:15:00+05:30,16.21,16.4,16.21,16.3,2100
2015-02-02 13:15:00+05:30,16.3,16.95,16.3,16.95,5010
2015-02-02 14:15:00+05:30,16.95,16.95,16.56,16.8,17600
2015-02-02 15:15:00+05:30,16.8,16.9,16.6,16.9,14020
2015-02-03 09:15:00+05:30,16.9,17.75,16.87,17.0,9310
2015-02-03 10:15:00+05:30,17.0,17.0,16.5,16.98,9700
2015-02-03 11:15:00+05:30,16.98,16.98,16.8,16.8,580
2015-02-03 12:15:00+05:30,16.8,16.8,16.6,16.6,1300
2015-02-03 13:15:00+05:30,16.6,17.2,16.6,16.91,73020
2015-02-03 14:15:00+05:30,16.91,17.04,16.7,17.04,2850
2015-02-03 15:15:00+05:30,17.04,17.04,17.0,17.0,2050
2015-02-04 09:15:00+05:30,17.6,20.32,17.6,20.32,479850
2015-02-04 10:15:00+05:30,20.32,20.32,19.91,20.32,235490
2015-02-04 11:15:00+05:30,20.32,20.32,20.32,20.32,51620
2015-02-04 12:15:00+05:30,20.32,20.32,20.32,20.32,3090
2015-02-04 13:15:00+05:30,20.32,20.32,20.32,20.32,34910
2015-02-04 14:15:00+05:30,20.32,20.32,20.32,20.32,12050
2015-02-04 15:15:00+05:30,20.32,20.32,20.32,20.32,1530
2015-02-05 09:15:00+05:30,21.0,21.19,19.2,19.89,431890
2015-02-05 10:15:00+05:30,19.89,19.9,19.01,19.26,88990
2015-02-05 11:15:00+05:30,19.26,19.37,19.11,19.24,26770
2015-02-05 12:15:00+05:30,19.24,19.25,18.21,18.5,113800
2015-02-05 13:15:00+05:30,18.4,18.88,18.35,18.47,50900
2015-02-05 14:15:00+05:30,18.47,18.6,18.04,18.2,59710
2015-02-05 15:15:00+05:30,18.2,18.38,18.0,18.1,64480
2015-02-06 09:15:00+05:30,18.32,18.59,17.92,18.0,33090
2015-02-06 10:15:00+05:30,18.0,18.27,18.0,18.03,115230
2015-02-06 11:15:00+05:30,18.03,18.12,18.01,18.1,5370
2015-02-06 12:15:00+05:30,18.1,18.26,18.1,18.14,6340
2015-02-06 13:15:00+05:30,18.14,18.2,18.0,18.1,9150
2015-02-06 14:15:00+05:30,18.19,18.45,18.0,18.0,160440
2015-02-06 15:15:00+05:30,18.0,18.41,18.0,18.0,41950
2015-02-09 09:15:00+05:30,18.0,18.5,17.89,18.06,45530
2015-02-09 10:15:00+05:30,18.06,18.2,18.0,18.0,19550
2015-02-09 11:15:00+05:30,18.0,18.0,18.0,18.0,16010
2015-02-09 12:15:00+05:30,18.0,18.27,18.0,18.19,5500
2015-02-09 13:15:00+05:30,18.19,18.99,18.17,18.5,53450
2015-02-09 14:15:00+05:30,18.5,18.67,18.33,18.54,12160
2015-02-09 15:15:00+05:30,18.54,18.69,18.4,18.41,6350
2015-02-10 09:15:00+05:30,18.03,18.9,18.03,18.9,9340
2015-02-10 10:15:00+05:30,18.9,18.9,18.65,18.65,860
2015-02-10 11:15:00+05:30,18.65,18.65,18.5,18.5,990
2015-02-10 12:15:00+05:30,18.6,18.6,18.48,18.48,2500
2015-02-10 13:15:00+05:30,18.5,18.5,18.0,18.0,20600
2015-02-10 14:15:00+05:30,18.01,18.4,18.0,18.0,37060
2015-02-10 15:15:00+05:30,18.0,18.15,18.0,18.0,4300
2015-02-11 09:15:00+05:30,18.0,18.4,18.0,18.15,760
2015-02-11 10:15:00+05:30,18.15,18.5,18.1,18.4,2720
2015-02-11 11:15:00+05:30,18.4,18.4,18.36,18.36,710
2015-02-11 12:15:00+05:30,18.36,18.4,18.36,18.36,370
2015-02-11 13:15:00+05:30,18.36,18.36,18.03,18.1,6610
2015-02-11 14:15:00+05:30,18.1,18.5,18.1,18.3,8390
2015-02-11 15:15:00+05:30,18.3,18.6,18.3,18.3,2250
2015-02-12 09:15:00+05:30,19.5,20.0,19.1,19.4,109000
2015-02-12 10:15:00+05:30,19.4,19.79,19.3,19.5,31440
2015-02-12 11:15:00+05:30,19.5,19.7,19.41,19.5,11100
2015-02-12 12:15:00+05:30,19.5,19.69,19.4,19.69,24410
2015-02-12 13:15:00+05:30,19.69,19.88,19.59,19.77,30300
2015-02-12 14:15:00+05:30,19.77,19.84,19.3,19.5,30770
2015-02-12 15:15:00+05:30,19.5,19.6,19.06,19.41,24230
2015-02-13 09:15:00+05:30,19.41,19.8,19.1,19.74,49530
2015-02-13 10:15:00+05:30,19.74,19.9,18.9,19.3,109910
2015-02-13 11:15:00+05:30,19.3,19.4,19.14,19.4,5380
2015-02-13 12:15:00+05:30,19.4,19.4,19.1,19.29,8100
2015-02-13 13:15:00+05:30,19.29,19.68,19.29,19.68,16330
2015-02-13 14:15:00+05:30,19.65,19.92,19.2,19.21,35200
2015-02-13 15:15:00+05:30,19.21,19.25,19.1,19.2,1920
2015-02-16 09:15:00+05:30,19.2,19.6,19.2,19.4,4310
2015-02-16 10:15:00+05:30,19.4,19.4,19.29,19.29,1130
2015-02-16 11:15:00+05:30,19.29,19.29,19.23,19.26,12260
2015-02-16 12:15:00+05:30,19.26,19.8,19.26,19.6,19930
2015-02-16 13:15:00+05:30,19.6,19.81,19.6,19.66,6040
2015-02-16 14:15:00+05:30,19.81,19.97,19.61,19.61,16580
2015-02-16 15:15:00+05:30,19.61,19.7,19.44,19.61,8320
2015-02-18 09:15:00+05:30,19.61,19.9,19.4,19.48,4960
