date,open,high,low,close,volume
2015-12-10 00:00:00+05:30,12.65,12.65,12.65,12.65,7256
2015-12-11 00:00:00+05:30,13.3,13.3,13.3,13.3,8806
2015-12-14 00:00:00+05:30,13.9,13.9,13.9,13.9,8457
2015-12-15 00:00:00+05:30,14.6,14.6,14.6,14.6,10997
2015-12-16 00:00:00+05:30,15.3,15.3,15.3,15.3,5415
2015-12-17 00:00:00+05:30,16.05,16.05,16.05,16.05,1221
2015-12-18 00:00:00+05:30,16.8,16.8,16.8,16.8,12304
2015-12-21 00:00:00+05:30,17.65,17.65,17.65,17.65,2730
2015-12-22 00:00:00+05:30,18.5,18.5,18.5,18.5,9226
2015-12-23 00:00:00+05:30,19.45,19.45,19.45,19.45,7599
2015-12-24 00:00:00+05:30,20.4,20.4,20.4,20.4,15331
2015-12-28 00:00:00+05:30,21.4,21.4,20.7,21.4,339062
2015-12-29 00:00:00+05:30,22.45,22.45,21.5,22.45,138329
2015-12-30 00:00:00+05:30,23.6,23.6,23.6,23.6,8101
2015-12-31 00:00:00+05:30,24.75,24.75,23.7,24.75,278701
2015-12-31 00:00:00+05:30,24.75,24.75,23.7,24.75,278701
2016-01-01 00:00:00+05:30,25.25,25.45,23.55,23.55,87039
2016-01-04 00:00:00+05:30,22.4,23.0,22.4,22.4,38571
2016-01-05 00:00:00+05:30,21.4,23.5,21.25,23.5,115192
2016-01-06 00:00:00+05:30,24.45,24.45,22.4,22.95,61320
2016-01-07 00:00:00+05:30,23.7,23.7,21.85,21.95,68417
2016-01-08 00:00:00+05:30,22.5,23.0,22.25,23.0,17478
2016-01-11 00:00:00+05:30,23.95,24.1,23.7,24.1,23620
2016-01-12 00:00:00+05:30,25.3,25.3,25.3,25.3,4611
2016-01-13 00:00:00+05:30,26.4,26.55,24.75,26.55,125079
2016-01-14 00:00:00+05:30,26.0,27.85,25.25,27.85,44570
2016-01-15 00:00:00+05:30,29.2,29.2,29.2,29.2,7577
2016-01-18 00:00:00+05:30,30.45,30.65,29.0,29.7,115740
2016-01-19 00:00:00+05:30,30.8,30.8,28.25,28.25,29088
2016-01-20 00:00:00+05:30,26.85,26.85,26.85,26.85,6342
2016-01-21 00:00:00+05:30,25.8,27.95,25.55,25.55,46946
2016-01-22 00:00:00+05:30,26.6,26.8,24.7,25.95,67916
2016-01-25 00:00:00+05:30,26.6,27.2,25.55,26.35,12561
2016-01-27 00:00:00+05:30,25.35,26.5,25.05,25.3,11054
2016-01-28 00:00:00+05:30,25.6,26.1,24.1,24.85,19732
2016-01-29 00:00:00+05:30,23.7,25.0,23.65,23.8,34875
2016-02-01 00:00:00+05:30,24.95,24.95,24.95,24.95,30733
2016-02-02 00:00:00+05:30,26.15,26.15,25.3,26.15,26354
2016-02-03 00:00:00+05:30,25.65,27.45,25.6,27.45,100449
2016-02-04 00:00:00+05:30,28.8,28.8,26.35,27.0,75460
2016-02-05 00:00:00+05:30,27.0,27.75,25.7,26.6,50459
2016-02-08 00:00:00+05:30,26.1,27.05,26.1,26.1,47757
2016-02-09 00:00:00+05:30,24.9,26.3,24.8,25.0,41795
2016-02-10 00:00:00+05:30,24.15,24.15,23.8,23.8,5539
2016-02-11 00:00:00+05:30,23.2,23.2,22.6,22.6,6531
2016-02-12 00:00:00+05:30,21.65,21.65,21.5,21.5,2830
2016-02-15 00:00:00+05:30,21.5,22.25,20.45,21.05,37577
2016-02-16 00:00:00+05:30,21.05,21.25,20.05,20.05,21279
2016-02-17 00:00:00+05:30,21.0,21.0,19.1,19.55,21729
2016-02-18 00:00:00+05:30,18.55,19.7,18.55,19.15,47227
2016-02-19 00:00:00+05:30,18.45,20.0,18.4,18.95,3260
2016-02-22 00:00:00+05:30,18.35,19.85,18.35,19.7,3894
2016-02-23 00:00:00+05:30,20.0,20.65,18.85,19.4,29299
2016-02-24 00:00:00+05:30,18.4,18.85,18.4,18.4,18630
2016-02-25 00:00:00+05:30,18.35,18.95,17.7,18.4,6439
2016-02-26 00:00:00+05:30,18.35,19.35,18.35,19.35,11036
2016-02-29 00:00:00+05:30,18.85,20.3,18.85,19.5,8497
2016-03-01 00:00:00+05:30,20.45,20.45,20.1,20.45,10199
2016-03-02 00:00:00+05:30,21.45,21.45,21.45,21.45,3654
2016-03-03 00:00:00+05:30,22.5,22.5,20.95,22.05,31730
2016-03-04 00:00:00+05:30,21.25,23.1,21.25,23.1,12468
2016-03-08 00:00:00+05:30,24.2,24.2,23.35,24.2,8905
2016-03-09 00:00:00+05:30,24.95,25.4,23.0,24.65,62427
2016-03-10 00:00:00+05:30,24.15,25.7,23.5,23.95,8595
2016-03-11 00:00:00+05:30,23.9,24.95,22.9,23.8,8622
2016-03-14 00:00:00+05:30,24.65,24.9,23.0,23.6,8717
2016-03-15 00:00:00+05:30,23.6,23.6,22.45,23.2,3507
2016-03-16 00:00:00+05:30,22.15,22.9,22.05,22.5,7472
2016-03-17 00:00:00+05:30,21.65,22.55,21.6,22.2,6774
2016-03-18 00:00:00+05:30,22.1,22.7,21.35,22.25,5904
2016-03-21 00:00:00+05:30,22.55,22.55,21.4,22.2,18132
2016-03-22 00:00:00+05:30,21.3,23.25,21.3,22.7,12013
2016-03-23 00:00:00+05:30,22.05,23.85,22.05,23.6,11194
2016-03-28 00:00:00+05:30,23.6,24.4,22.5,23.45,14323
2016-03-29 00:00:00+05:30,22.5,24.05,22.3,22.5,44839
2016-03-30 00:00:00+05:30,23.2,23.2,21.75,22.4,10626
2016-03-31 00:00:00+05:30,21.95,23.0,21.75,21.8,26627
2016-04-01 00:00:00+05:30,21.75,22.7,21.0,21.25,27459
2016-04-04 00:00:00+05:30,22.25,23.2,21.05,23.15,62199
2016-04-05 00:00:00+05:30,22.9,24.55,22.9,23.65,24447
2016-04-06 00:00:00+05:30,23.85,25.95,23.85,25.95,27080
2016-04-07 00:00:00+05:30,28.5,28.5,26.95,27.3,246825
2016-04-08 00:00:00+05:30,27.8,27.8,25.95,26.25,70509
2016-04-11 00:00:00+05:30,26.15,27.25,26.15,26.95,29531
2016-04-12 00:00:00+05:30,26.1,27.45,26.1,26.25,35210
2016-04-13 00:00:00+05:30,26.6,27.05,26.3,26.75,19898
2016-04-18 00:00:00+05:30,27.05,28.1,26.1,27.5,77982
2016-04-20 00:00:00+05:30,27.85,28.05,26.15,26.2,92896
2016-04-21 00:00:00+05:30,26.9,27.45,26.6,26.85,50405
2016-04-22 00:00:00+05:30,26.55,28.05,26.55,27.8,53014
2016-04-25 00:00:00+05:30,28.05,29.15,27.9,29.05,218992
2016-04-26 00:00:00+05:30,29.05,29.05,28.0,28.5,79406
2016-04-27 00:00:00+05:30,28.7,29.85,28.2,29.55,114565
2016-04-28 00:00:00+05:30,29.6,31.0,29.6,31.0,122010
