date,open,high,low,close,volume
2003-01-01 00:00:00+05:30,11.61,11.78,11.5,11.5,21359
2003-01-02 00:00:00+05:30,11.51,11.6,11.5,11.51,29434
2003-01-03 00:00:00+05:30,11.5,11.69,11.4,11.55,48849
2003-01-06 00:00:00+05:30,11.5,11.51,11.5,11.5,16679
2003-01-07 00:00:00+05:30,11.5,11.68,11.5,11.5,10234
2003-01-08 00:00:00+05:30,11.53,11.53,11.5,11.5,60694
2003-01-09 00:00:00+05:30,11.55,11.6,11.3,11.45,20729
2003-01-10 00:00:00+05:30,11.23,11.35,11.01,11.02,13074
2003-01-13 00:00:00+05:30,10.82,11.04,10.8,10.82,13339
2003-01-14 00:00:00+05:30,10.42,10.42,10.0,10.0,10559
2003-01-15 00:00:00+05:30,9.56,9.8,9.33,9.49,81549
2003-01-16 00:00:00+05:30,9.4,9.4,8.83,9.04,39514
2003-01-17 00:00:00+05:30,9.03,9.18,9.0,9.0,14919
2003-01-20 00:00:00+05:30,9.12,9.46,9.12,9.21,8669
2003-01-21 00:00:00+05:30,9.69,9.69,9.0,9.0,6099
2003-01-22 00:00:00+05:30,9.0,9.02,8.85,8.97,7724
2003-01-23 00:00:00+05:30,8.81,8.81,8.44,8.44,2679
2003-01-24 00:00:00+05:30,8.27,8.78,8.2,8.5,11509
2003-01-27 00:00:00+05:30,8.06,8.5,7.7,8.33,8099
2003-01-28 00:00:00+05:30,8.35,8.8,8.35,8.8,8879
2003-01-29 00:00:00+05:30,9.35,9.35,8.91,8.93,5259
2003-01-30 00:00:00+05:30,8.9,9.0,8.68,8.68,3749
2003-01-31 00:00:00+05:30,8.34,8.34,8.2,8.2,4024
2003-02-03 00:00:00+05:30,8.6,9.0,8.29,9.0,5889
2003-02-04 00:00:00+05:30,9.02,9.02,9.0,9.0,5249
2003-02-05 00:00:00+05:30,9.79,9.79,8.6,8.71,13504
2003-02-06 00:00:00+05:30,9.75,9.75,8.61,8.83,7424
2003-02-07 00:00:00+05:30,8.9,9.2,8.8,9.13,8599
2003-02-10 00:00:00+05:30,9.1,9.1,8.81,8.99,21249
2003-02-11 00:00:00+05:30,8.91,9.0,8.8,8.84,33499
2003-02-12 00:00:00+05:30,8.84,8.85,8.65,8.65,28104
2003-02-14 00:00:00+05:30,8.8,8.8,8.6,8.6,13579
2003-02-17 00:00:00+05:30,8.63,8.8,8.6,8.8,83249
2003-02-18 00:00:00+05:30,8.81,8.9,8.8,8.9,44999
2003-02-19 00:00:00+05:30,8.9,9.21,8.8,9.2,57644
2003-02-20 00:00:00+05:30,9.21,9.21,9.2,9.2,32504
2003-02-21 00:00:00+05:30,9.2,9.21,9.15,9.17,37174
2003-02-24 00:00:00+05:30,9.16,9.16,9.15,9.15,5174
2003-02-25 00:00:00+05:30,9.16,9.2,9.1,9.1,50514
2003-02-26 00:00:00+05:30,9.2,9.2,9.05,9.1,15689
2003-02-27 00:00:00+05:30,9.01,9.21,9.0,9.0,75759
2003-02-28 00:00:00+05:30,9.49,10.0,9.0,9.01,53474
2003-03-03 00:00:00+05:30,9.2,9.2,9.2,9.2,5104
2003-03-04 00:00:00+05:30,9.05,9.06,8.8,8.96,42229
2003-03-05 00:00:00+05:30,8.81,8.85,8.8,8.8,6344
2003-03-06 00:00:00+05:30,8.8,8.8,8.8,8.8,529
2003-03-07 00:00:00+05:30,8.6,8.6,8.6,8.6,10299
2003-03-10 00:00:00+05:30,8.6,8.95,8.6,8.6,2174
2003-03-11 00:00:00+05:30,8.22,8.22,8.2,8.2,22749
2003-03-12 00:00:00+05:30,8.08,8.08,8.04,8.06,3579
2003-03-13 00:00:00+05:30,7.95,7.95,7.94,7.94,749
2003-03-17 00:00:00+05:30,7.71,8.08,7.71,8.08,2714
2003-03-19 00:00:00+05:30,8.2,8.99,8.2,8.77,9044
2003-03-20 00:00:00+05:30,8.8,9.0,8.8,8.8,20454
2003-03-21 00:00:00+05:30,8.82,8.82,8.42,8.42,749
2003-03-24 00:00:00+05:30,8.8,9.0,8.63,8.64,48144
2003-03-25 00:00:00+05:30,8.8,8.93,8.6,8.8,15999
2003-03-26 00:00:00+05:30,8.8,8.8,8.6,8.6,27274
2003-03-27 00:00:00+05:30,8.81,8.81,8.43,8.43,6674
2003-03-28 00:00:00+05:30,7.82,8.4,7.82,8.12,1959
2003-03-31 00:00:00+05:30,8.0,8.55,8.0,8.38,10499
2003-04-01 00:00:00+05:30,8.0,8.0,7.86,7.91,849
2003-04-02 00:00:00+05:30,8.0,8.03,8.0,8.03,674
2003-04-03 00:00:00+05:30,8.02,8.02,8.0,8.0,1424
2003-04-04 00:00:00+05:30,8.0,8.0,8.0,8.0,1049
2003-04-07 00:00:00+05:30,8.05,8.5,8.05,8.5,1499
2003-04-08 00:00:00+05:30,8.1,8.1,8.1,8.1,1174
2003-04-09 00:00:00+05:30,8.05,8.15,8.0,8.07,3849
2003-04-10 00:00:00+05:30,8.4,8.4,8.4,8.4,499
2003-04-11 00:00:00+05:30,7.8,7.8,7.6,7.6,19249
2003-04-15 00:00:00+05:30,7.8,8.0,7.6,7.63,1424
2003-04-16 00:00:00+05:30,7.6,7.9,7.6,7.9,5499
2003-04-17 00:00:00+05:30,7.6,7.8,7.6,7.8,21449
2003-04-21 00:00:00+05:30,7.6,7.8,7.6,7.8,0
2003-04-22 00:00:00+05:30,6.67,7.61,6.67,7.61,1374
