date,open,high,low,close,volume
2003-06-16 00:00:00+05:30,27.46,27.8,26.9,27.53,318943
2003-06-17 00:00:00+05:30,27.82,29.12,27.82,28.66,624735
2003-06-18 00:00:00+05:30,28.57,29.1,27.82,27.9,242335
2003-06-19 00:00:00+05:30,28.42,28.44,27.17,27.79,430047
2003-06-20 00:00:00+05:30,27.76,28.26,27.58,27.8,217423
2003-06-23 00:00:00+05:30,27.84,28.07,27.48,27.89,265047
2003-06-24 00:00:00+05:30,27.7,30.17,27.7,29.67,351311
2003-06-25 00:00:00+05:30,29.68,30.17,29.06,29.59,274527
2003-06-26 00:00:00+05:30,29.65,30.28,29.57,30.02,285663
2003-06-27 00:00:00+05:30,29.99,31.82,29.99,31.61,403847
2003-06-30 00:00:00+05:30,32.15,34.77,32.15,34.77,354503
2003-07-01 00:00:00+05:30,36.34,36.48,33.77,34.6,793679
2003-07-02 00:00:00+05:30,34.62,35.91,33.28,34.73,557111
2003-07-03 00:00:00+05:30,37.09,37.09,34.42,34.89,361759
2003-07-04 00:00:00+05:30,35.0,36.11,34.75,35.58,556351
2003-07-07 00:00:00+05:30,35.82,35.84,35.24,35.39,367367
2003-07-08 00:00:00+05:30,35.24,35.49,34.44,34.56,338831
2003-07-09 00:00:00+05:30,34.66,34.66,33.31,33.39,219951
2003-07-10 00:00:00+05:30,31.53,34.87,31.53,33.36,162775
2003-07-11 00:00:00+05:30,32.78,34.01,32.78,33.63,267399
2003-07-14 00:00:00+05:30,33.64,34.38,33.14,34.17,343791
2003-07-15 00:00:00+05:30,34.01,34.75,33.02,34.58,412943
2003-07-16 00:00:00+05:30,34.62,34.62,33.64,34.16,235023
2003-07-17 00:00:00+05:30,35.86,35.86,33.5,33.66,210895
2003-07-18 00:00:00+05:30,34.01,34.01,33.14,33.37,146719
2003-07-21 00:00:00+05:30,33.94,33.94,32.52,33.0,189551
2003-07-22 00:00:00+05:30,32.77,33.64,32.28,33.25,127799
2003-07-23 00:00:00+05:30,33.86,33.87,32.79,33.15,260631
2003-07-24 00:00:00+05:30,32.77,33.76,32.73,33.33,190951
2003-07-25 00:00:00+05:30,33.08,33.85,33.03,33.69,260855
2003-07-28 00:00:00+05:30,36.16,36.16,32.41,32.64,244591
2003-07-29 00:00:00+05:30,32.83,33.39,32.65,32.98,111439
2003-07-30 00:00:00+05:30,33.39,33.39,31.78,32.5,252327
2003-07-31 00:00:00+05:30,32.39,32.39,29.68,31.08,208007
2003-08-01 00:00:00+05:30,31.26,31.53,29.2,29.53,212295
2003-08-04 00:00:00+05:30,29.93,30.41,29.83,30.25,104775
2003-08-05 00:00:00+05:30,31.16,31.53,30.19,30.29,75239
2003-08-06 00:00:00+05:30,30.08,31.38,30.05,30.78,126095
2003-08-07 00:00:00+05:30,30.92,31.04,30.35,30.99,98999
2003-08-08 00:00:00+05:30,31.04,31.66,30.68,31.37,28431
2003-08-11 00:00:00+05:30,31.08,31.56,30.82,31.4,250623
2003-08-12 00:00:00+05:30,31.04,31.41,30.98,31.39,93343
2003-08-13 00:00:00+05:30,31.1,31.16,30.87,31.01,106983
2003-08-14 00:00:00+05:30,30.93,31.29,30.93,31.07,85599
2003-08-18 00:00:00+05:30,30.79,31.16,30.67,30.88,177447
2003-08-19 00:00:00+05:30,30.79,31.04,30.54,30.77,80815
2003-08-20 00:00:00+05:30,30.67,31.22,30.44,30.9,110159
2003-08-21 00:00:00+05:30,31.78,31.78,30.69,31.15,108535
2003-08-22 00:00:00+05:30,30.68,30.98,30.61,30.63,199543
2003-08-25 00:00:00+05:30,30.54,30.9,30.33,30.34,95839
2003-08-26 00:00:00+05:30,30.67,30.67,30.3,30.48,88639
2003-08-27 00:00:00+05:30,30.3,31.16,30.3,30.87,200071
2003-08-28 00:00:00+05:30,31.29,31.29,30.44,31.06,255615
2003-08-29 00:00:00+05:30,30.93,34.13,30.8,33.94,401047
2003-09-01 00:00:00+05:30,34.02,34.62,32.4,32.92,273055
2003-09-02 00:00:00+05:30,33.51,33.51,32.29,32.46,206927
2003-09-03 00:00:00+05:30,32.52,33.14,31.29,31.87,312079
2003-09-04 00:00:00+05:30,32.31,32.81,31.78,32.15,253543
2003-09-05 00:00:00+05:30,31.97,33.14,31.97,32.5,264031
2003-09-08 00:00:00+05:30,32.65,34.2,32.28,33.85,526663
2003-09-09 00:00:00+05:30,34.43,37.24,33.86,36.01,1119311
2003-09-10 00:00:00+05:30,36.23,39.6,36.22,39.48,1794007
2003-09-11 00:00:00+05:30,39.68,41.04,37.72,39.63,688535
2003-09-12 00:00:00+05:30,40.44,40.55,38.4,38.6,403007
2003-09-15 00:00:00+05:30,38.58,42.46,38.58,42.46,489927
2003-09-16 00:00:00+05:30,43.65,44.51,40.81,42.72,369047
2003-09-17 00:00:00+05:30,43.29,47.0,43.29,46.98,1209871
2003-09-18 00:00:00+05:30,45.75,48.97,43.66,47.13,1166807
2003-09-19 00:00:00+05:30,47.11,50.95,47.11,49.1,673631
2003-09-22 00:00:00+05:30,49.28,50.82,49.22,50.04,420287
2003-09-23 00:00:00+05:30,50.32,51.01,49.84,50.85,429095
2003-09-24 00:00:00+05:30,51.01,54.16,50.95,53.59,491815
2003-09-25 00:00:00+05:30,53.79,54.39,50.92,51.63,497199
2003-09-26 00:00:00+05:30,53.79,54.16,52.56,53.38,204415
2003-09-29 00:00:00+05:30,53.17,54.52,50.97,51.44,257919
2003-09-30 00:00:00+05:30,52.42,53.28,51.01,52.23,82567
2003-10-01 00:00:00+05:30,52.8,53.48,52.2,52.88,214191
2003-10-03 00:00:00+05:30,53.05,53.79,52.57,53.53,121695
2003-10-06 00:00:00+05:30,53.17,53.79,52.82,53.35,145967
2003-10-07 00:00:00+05:30,53.17,53.79,52.57,52.82,263247
2003-10-08 00:00:00+05:30,53.79,54.41,52.56,53.51,296703
2003-10-09 00:00:00+05:30,54.41,54.89,53.5,54.29,226423
2003-10-10 00:00:00+05:30,55.65,56.64,54.16,55.45,221055
2003-10-13 00:00:00+05:30,56.87,57.87,53.33,54.77,461503
2003-10-14 00:00:00+05:30,55.65,56.12,52.03,52.22,297039
2003-10-15 00:00:00+05:30,51.07,54.78,51.07,53.13,178527
2003-10-16 00:00:00+05:30,53.17,53.9,52.88,53.35,346095
2003-10-17 00:00:00+05:30,55.03,55.03,52.94,54.79,467535
2003-10-20 00:00:00+05:30,55.02,55.02,52.62,53.49,147391
2003-10-21 00:00:00+05:30,52.75,53.79,52.75,53.15,174999
2003-10-22 00:00:00+05:30,52.8,54.35,52.8,53.88,120119
2003-10-23 00:00:00+05:30,53.54,54.9,53.37,54.15,239255
2003-10-24 00:00:00+05:30,56.27,56.27,53.17,53.96,112791
2003-10-27 00:00:00+05:30,54.67,56.33,53.61,55.12,103423
2003-10-28 00:00:00+05:30,53.79,54.16,52.56,53.13,26679
2003-10-29 00:00:00+05:30,54.91,54.91,52.63,53.42,159943
2003-10-30 00:00:00+05:30,54.78,54.78,53.3,53.59,190495
2003-10-31 00:00:00+05:30,53.18,54.16,52.06,52.63,224527
2003-11-03 00:00:00+05:30,52.2,53.79,52.2,53.3,171055
2003-11-04 00:00:00+05:30,53.54,55.28,52.86,54.79,185279
2003-11-05 00:00:00+05:30,53.31,54.63,53.3,54.24,84927
2003-11-06 00:00:00+05:30,53.79,54.62,53.3,54.23,143711
2003-11-07 00:00:00+05:30,54.71,54.71,53.71,54.02,152911
2003-11-10 00:00:00+05:30,54.98,56.27,54.04,55.13,254343
2003-11-11 00:00:00+05:30,55.03,55.77,54.41,55.31,136383
2003-11-12 00:00:00+05:30,55.77,56.74,54.53,55.62,105863
2003-11-13 00:00:00+05:30,56.39,57.5,55.28,55.83,171327
2003-11-14 00:00:00+05:30,54.42,55.77,54.42,54.79,144807
2003-11-17 00:00:00+05:30,55.46,56.88,54.78,55.77,223343
2003-11-18 00:00:00+05:30,56.88,56.88,54.61,55.28,168935
2003-11-19 00:00:00+05:30,54.57,56.57,54.57,55.62,218607
2003-11-20 00:00:00+05:30,56.27,56.38,55.4,55.6,304911
2003-11-21 00:00:00+05:30,54.53,56.14,54.08,54.9,338295
2003-11-24 00:00:00+05:30,55.65,55.8,54.44,55.62,172479
2003-11-25 00:00:00+05:30,55.89,56.88,54.87,56.82,213783
2003-11-27 00:00:00+05:30,57.59,59.65,56.9,59.0,229199
2003-11-28 00:00:00+05:30,61.58,61.96,59.6,61.6,286127
2003-12-01 00:00:00+05:30,64.3,64.69,63.92,64.69,52095
2003-12-02 00:00:00+05:30,67.27,67.93,63.56,67.21,174983
2003-12-03 00:00:00+05:30,69.62,70.57,67.77,70.46,178287
2003-12-04 00:00:00+05:30,72.84,73.99,71.72,73.86,189559
2003-12-05 00:00:00+05:30,77.09,77.09,72.13,74.04,155239
2003-12-08 00:00:00+05:30,74.44,77.75,74.2,77.75,156791
2003-12-09 00:00:00+05:30,79.12,80.13,78.03,78.55,110567
2003-12-10 00:00:00+05:30,80.86,80.86,78.28,79.14,134159
2003-12-11 00:00:00+05:30,80.01,80.75,78.54,80.12,119647
2003-12-12 00:00:00+05:30,82.23,82.85,79.27,82.17,289535
2003-12-15 00:00:00+05:30,86.13,86.28,84.21,86.14,210863
2003-12-16 00:00:00+05:30,86.69,90.45,85.94,90.41,289831
2003-12-17 00:00:00+05:30,91.9,92.73,88.17,89.8,112687
2003-12-18 00:00:00+05:30,90.02,94.29,89.78,94.28,231919
2003-12-19 00:00:00+05:30,96.13,99.0,96.13,98.92,188607
2003-12-22 00:00:00+05:30,103.63,103.87,100.78,103.86,212823
2003-12-23 00:00:00+05:30,105.72,105.93,103.87,104.71,108431
2003-12-24 00:00:00+05:30,103.87,106.81,103.69,105.47,114199
2003-12-26 00:00:00+05:30,107.57,107.58,105.39,107.53,124655
2003-12-29 00:00:00+05:30,108.2,109.68,107.57,109.15,149863
2003-12-30 00:00:00+05:30,110.91,110.91,106.97,107.86,217007
2003-12-31 00:00:00+05:30,107.46,109.81,106.97,108.6,160887
