date,open,high,low,close,volume
2025-07-01 00:00:00+05:30,414.0,452.8,414.0,432.95,9459898
2025-07-02 00:00:00+05:30,424.9,426.05,408.55,414.3,1675979
2025-07-03 00:00:00+05:30,414.0,421.6,410.0,414.4,908402
2025-07-04 00:00:00+05:30,414.0,419.95,411.5,415.2,508106
2025-07-07 00:00:00+05:30,413.0,438.0,412.95,422.8,1231053
2025-07-08 00:00:00+05:30,421.0,432.7,414.55,429.85,622826
2025-07-09 00:00:00+05:30,435.05,457.4,424.2,431.65,2500565
2025-07-10 00:00:00+05:30,433.85,437.0,416.8,419.6,915048
2025-07-11 00:00:00+05:30,424.35,430.0,416.1,417.75,753209
2025-07-14 00:00:00+05:30,419.85,426.9,417.1,419.65,475624
2025-07-15 00:00:00+05:30,425.0,427.5,417.15,420.1,303792
2025-07-16 00:00:00+05:30,420.95,434.35,420.6,426.5,585661
2025-07-17 00:00:00+05:30,432.95,434.65,420.0,421.1,512430
2025-07-18 00:00:00+05:30,423.6,426.9,415.1,416.3,326419
2025-07-21 00:00:00+05:30,424.0,424.0,411.35,412.7,257780
2025-07-22 00:00:00+05:30,413.25,420.85,411.25,417.2,292683
2025-07-23 00:00:00+05:30,418.9,425.6,416.1,417.4,165987
2025-07-24 00:00:00+05:30,418.4,421.5,412.8,414.25,114411
2025-07-25 00:00:00+05:30,414.45,418.8,402.8,406.15,162202
2025-07-28 00:00:00+05:30,405.0,411.5,401.1,408.85,183791
2025-07-29 00:00:00+05:30,408.0,412.3,404.1,407.35,62386
2025-07-30 00:00:00+05:30,406.75,411.4,401.2,402.3,53495
2025-07-31 00:00:00+05:30,397.05,405.0,394.3,396.65,86509
2025-08-01 00:00:00+05:30,395.65,398.15,370.0,377.35,334415
2025-08-04 00:00:00+05:30,378.45,381.3,372.85,375.75,96977
2025-08-05 00:00:00+05:30,376.9,377.0,361.7,363.65,163029
2025-08-06 00:00:00+05:30,363.65,366.7,348.85,361.35,254036
2025-08-07 00:00:00+05:30,360.0,367.0,345.8,364.65,235835
2025-08-08 00:00:00+05:30,372.0,395.0,366.75,380.05,942146
2025-08-11 00:00:00+05:30,382.4,414.35,382.0,406.7,583162
2025-08-12 00:00:00+05:30,406.65,414.1,396.65,410.3,191158
