date,open,high,low,close,volume
2015-02-02 09:15:00+05:30,94.45,96.9,93.3,96.55,136984
2015-02-02 10:15:00+05:30,96.55,96.6,95.5,96.25,36772
2015-02-02 11:15:00+05:30,96.35,96.35,94.55,95.45,85135
2015-02-02 12:15:00+05:30,95.45,96.5,95.3,96.1,38232
2015-02-02 13:15:00+05:30,96.1,96.2,95.7,95.9,6629
2015-02-02 14:15:00+05:30,95.9,96.2,95.5,95.75,39135
2015-02-02 15:15:00+05:30,95.75,96.45,95.1,96.15,24313
2015-02-03 09:15:00+05:30,97.0,99.0,96.3,97.3,155247
2015-02-03 10:15:00+05:30,97.3,97.9,96.95,97.55,36455
2015-02-03 11:15:00+05:30,97.5,97.85,97.05,97.35,33262
2015-02-03 12:15:00+05:30,97.35,97.35,97.0,97.35,20200
2015-02-03 13:15:00+05:30,97.4,98.0,97.0,97.4,26283
2015-02-03 14:15:00+05:30,97.4,97.85,95.9,96.35,53608
2015-02-03 15:15:00+05:30,96.3,96.6,96.0,96.05,28800
2015-02-04 09:15:00+05:30,97.2,98.0,93.15,94.25,79952
2015-02-04 10:15:00+05:30,94.15,94.75,93.75,94.75,30455
2015-02-04 11:15:00+05:30,94.75,94.9,94.0,94.5,16422
2015-02-04 12:15:00+05:30,94.5,94.85,94.35,94.5,11891
2015-02-04 13:15:00+05:30,94.5,95.05,94.0,94.4,17701
2015-02-04 14:15:00+05:30,94.4,96.95,94.0,94.6,45628
2015-02-04 15:15:00+05:30,94.85,95.4,94.2,94.5,26177
2015-02-05 09:15:00+05:30,94.0,94.0,84.2,87.35,1631664
2015-02-05 10:15:00+05:30,87.35,91.35,87.2,88.0,1343286
2015-02-05 11:15:00+05:30,88.0,88.9,87.05,87.2,410733
2015-02-05 12:15:00+05:30,87.2,87.55,87.1,87.4,96973
2015-02-05 13:15:00+05:30,87.35,87.75,87.05,87.45,143775
2015-02-05 14:15:00+05:30,87.45,87.65,85.75,85.95,289358
2015-02-05 15:15:00+05:30,85.95,86.0,85.5,85.7,99382
2015-02-06 09:15:00+05:30,86.35,87.7,85.55,86.2,156839
2015-02-06 10:15:00+05:30,86.2,86.4,83.65,84.25,90644
