date,open,high,low,close,volume
2015-01-06 00:00:00+05:30,12.5,12.5,12.5,12.5,4
2015-01-07 00:00:00+05:30,12.0,12.0,11.9,11.9,10050
2015-01-12 00:00:00+05:30,12.4,12.4,12.4,12.4,500
2015-01-13 00:00:00+05:30,11.8,11.8,11.8,11.8,2
2015-01-16 00:00:00+05:30,11.6,11.6,11.6,11.6,100
2015-02-02 00:00:00+05:30,11.05,11.05,11.05,11.05,1
2015-02-16 00:00:00+05:30,10.5,10.5,10.5,10.5,200
2015-02-18 00:00:00+05:30,10.0,10.0,10.0,10.0,4
2015-02-19 00:00:00+05:30,9.9,9.9,9.9,9.9,205
2015-02-20 00:00:00+05:30,9.44,9.75,9.44,9.75,770
2015-02-23 00:00:00+05:30,9.35,10.0,9.35,10.0,954
2015-02-25 00:00:00+05:30,10.5,10.5,9.75,9.75,1250
2015-03-09 00:00:00+05:30,9.3,9.3,9.3,9.3,120
2015-03-10 00:00:00+05:30,9.1,9.1,8.9,8.9,6
2015-03-11 00:00:00+05:30,9.3,9.3,9.3,9.3,50
2015-03-12 00:00:00+05:30,9.3,9.3,9.3,9.3,2005
2015-03-16 00:00:00+05:30,8.85,8.85,8.85,8.85,200
2015-03-17 00:00:00+05:30,8.65,8.65,8.44,8.44,290
2015-03-23 00:00:00+05:30,8.05,8.05,8.05,8.05,60
2015-04-01 00:00:00+05:30,7.65,7.65,7.65,7.65,500
2015-04-06 00:00:00+05:30,7.4,7.4,7.4,7.4,600
2015-04-07 00:00:00+05:30,7.5,7.5,7.5,7.5,1
2015-04-08 00:00:00+05:30,7.2,7.2,7.15,7.15,300
2015-04-09 00:00:00+05:30,6.8,6.8,6.8,6.8,1
2015-04-10 00:00:00+05:30,6.5,6.5,6.5,6.5,1754
2015-04-13 00:00:00+05:30,6.5,6.5,6.2,6.2,1410
2015-04-15 00:00:00+05:30,6.5,6.5,6.5,6.5,750
2015-04-16 00:00:00+05:30,6.8,6.8,6.8,6.8,1000
2015-04-17 00:00:00+05:30,6.8,7.1,6.8,7.1,650
2015-04-20 00:00:00+05:30,7.0,7.0,7.0,7.0,226
2015-04-23 00:00:00+05:30,7.35,7.35,7.35,7.35,495
2015-04-24 00:00:00+05:30,7.45,7.45,7.45,7.45,304
2015-04-27 00:00:00+05:30,7.8,7.8,7.8,7.8,5
2015-04-28 00:00:00+05:30,8.15,8.15,8.15,8.15,1
2015-04-29 00:00:00+05:30,7.75,7.75,7.75,7.75,100
2015-05-08 00:00:00+05:30,7.7,7.7,7.7,7.7,1000
2015-05-11 00:00:00+05:30,7.35,7.35,7.35,7.35,1
2015-05-15 00:00:00+05:30,7.7,7.7,7.7,7.7,1
2015-05-25 00:00:00+05:30,7.9,7.9,7.9,7.9,1000
2015-05-27 00:00:00+05:30,8.25,8.25,8.25,8.25,1
2015-06-18 00:00:00+05:30,7.85,7.85,7.85,7.85,225
2015-06-19 00:00:00+05:30,7.5,8.19,7.5,7.5,250
2015-06-22 00:00:00+05:30,7.45,7.45,7.45,7.45,100
