date,open,high,low,close,volume
2006-04-13 00:00:00+05:30,53.15,60.75,46.7,47.9,25117210
2006-04-17 00:00:00+05:30,47.25,57.5,47.25,55.35,16013595
2006-04-18 00:00:00+05:30,55.5,56.25,52.95,53.75,6715480
2006-04-19 00:00:00+05:30,53.95,55.9,51.8,54.7,4416635
2006-04-20 00:00:00+05:30,55.35,62.2,54.25,60.4,7513220
2006-04-21 00:00:00+05:30,60.65,65.15,55.85,63.1,8290715
2006-04-24 00:00:00+05:30,62.6,66.5,60.65,62.7,3897875
2006-04-25 00:00:00+05:30,63.0,64.15,60.15,60.75,1259110
2006-04-26 00:00:00+05:30,60.9,63.4,60.65,61.5,901360
2006-04-27 00:00:00+05:30,61.9,70.65,61.9,66.05,3733435
2006-04-28 00:00:00+05:30,53.35,67.5,53.15,66.95,1286865
2006-05-02 00:00:00+05:30,68.65,71.65,67.4,68.35,484330
2006-05-03 00:00:00+05:30,68.65,73.4,65.95,68.7,1685550
2006-05-04 00:00:00+05:30,68.95,69.35,65.55,66.1,458415
2006-05-05 00:00:00+05:30,53.45,67.9,53.45,66.4,313020
2006-05-08 00:00:00+05:30,66.05,66.7,63.4,64.25,234795
2006-05-09 00:00:00+05:30,63.4,65.95,62.0,64.3,223675
2006-05-10 00:00:00+05:30,65.95,69.3,65.55,66.7,392390
2006-05-11 00:00:00+05:30,65.95,67.85,64.0,65.05,126035
2006-05-12 00:00:00+05:30,64.0,66.55,63.4,64.25,337480
2006-05-15 00:00:00+05:30,63.6,64.95,62.15,63.0,285625
2006-05-16 00:00:00+05:30,63.0,64.75,58.2,63.5,184375
2006-05-17 00:00:00+05:30,66.95,70.45,64.15,65.7,1159990
2006-05-18 00:00:00+05:30,66.95,66.95,55.65,56.6,353290
2006-05-19 00:00:00+05:30,58.05,58.85,48.25,50.5,851465
2006-05-22 00:00:00+05:30,51.6,51.6,42.55,43.7,169005
2006-05-23 00:00:00+05:30,44.1,50.4,41.05,47.8,699785
2006-05-24 00:00:00+05:30,51.2,51.2,45.9,46.8,181525
